# _root_ Η πρόταση , κατά την άποψή μας , βελτιώνει και δεν υπονομεύει την ασφαλή και αξιόπιστη επισκευή των αυτοκινήτων .
#goldHeads=2,10,4,10,6,4,6,4,10,0,12,10,17,15,17,15,12,19,17,0,
#predictedHeads=2,10,4,9,6,4,6,4,10,0,12,10,17,15,17,15,12,19,17,0,
(0,2),-0.230058 # DEPENDENCYPART_ARC
(0,3),0.120827 # DEPENDENCYPART_ARC
(0,4),-0.505765 # DEPENDENCYPART_ARC
(0,6),-0.86147 # DEPENDENCYPART_ARC
(0,8),-0.0742901 # DEPENDENCYPART_ARC
(0,9),0.916033 # DEPENDENCYPART_ARC
(0,10),-0.459641 # DEPENDENCYPART_ARC
(0,12),-0.345171 # DEPENDENCYPART_ARC
(0,14),-1.14239 # DEPENDENCYPART_ARC
(0,15),-0.791005 # DEPENDENCYPART_ARC
(0,16),-1.1963 # DEPENDENCYPART_ARC
(0,17),-1.08015 # DEPENDENCYPART_ARC
(0,19),-1.39803 # DEPENDENCYPART_ARC
(0,20),2.54241 # DEPENDENCYPART_ARC
(1,2),-0.880646 # DEPENDENCYPART_ARC
(2,1),2.48527 # DEPENDENCYPART_ARC
(2,3),-0.282761 # DEPENDENCYPART_ARC
(2,4),-0.30201 # DEPENDENCYPART_ARC
(2,6),-1.17608 # DEPENDENCYPART_ARC
(2,8),-0.728522 # DEPENDENCYPART_ARC
(2,9),-1.33835 # DEPENDENCYPART_ARC
(2,10),-0.845158 # DEPENDENCYPART_ARC
(2,12),-1.5734 # DEPENDENCYPART_ARC
(3,2),-0.642419 # DEPENDENCYPART_ARC
(3,4),-0.619707 # DEPENDENCYPART_ARC
(3,6),-1.15847 # DEPENDENCYPART_ARC
(3,8),-0.511554 # DEPENDENCYPART_ARC
(3,9),-1.19932 # DEPENDENCYPART_ARC
(3,10),-0.723394 # DEPENDENCYPART_ARC
(3,12),-1.47399 # DEPENDENCYPART_ARC
(3,14),-1.60522 # DEPENDENCYPART_ARC
(3,16),-1.61082 # DEPENDENCYPART_ARC
(4,2),-1.40704 # DEPENDENCYPART_ARC
(4,3),-0.0591467 # DEPENDENCYPART_ARC
(4,5),0.00151406 # DEPENDENCYPART_ARC
(4,6),1.30925 # DEPENDENCYPART_ARC
(4,8),-0.0863039 # DEPENDENCYPART_ARC
(4,9),-0.828096 # DEPENDENCYPART_ARC
(4,10),-0.580264 # DEPENDENCYPART_ARC
(4,15),-0.835364 # DEPENDENCYPART_ARC
(4,20),-0.727657 # DEPENDENCYPART_ARC
(6,1),-0.393172 # DEPENDENCYPART_ARC
(6,2),-1.5346 # DEPENDENCYPART_ARC
(6,3),-1.11683 # DEPENDENCYPART_ARC
(6,4),-0.757368 # DEPENDENCYPART_ARC
(6,5),2.25217 # DEPENDENCYPART_ARC
(6,7),1.16169 # DEPENDENCYPART_ARC
(6,8),-0.210331 # DEPENDENCYPART_ARC
(6,9),-0.307765 # DEPENDENCYPART_ARC
(6,10),-0.405339 # DEPENDENCYPART_ARC
(6,12),-0.896502 # DEPENDENCYPART_ARC
(6,15),-0.557821 # DEPENDENCYPART_ARC
(6,17),-1.65167 # DEPENDENCYPART_ARC
(6,19),-0.853095 # DEPENDENCYPART_ARC
(8,2),-1.12606 # DEPENDENCYPART_ARC
(8,3),-0.741202 # DEPENDENCYPART_ARC
(8,4),-0.758126 # DEPENDENCYPART_ARC
(8,6),-0.829239 # DEPENDENCYPART_ARC
(8,9),-0.626236 # DEPENDENCYPART_ARC
(8,10),-0.963915 # DEPENDENCYPART_ARC
(8,12),-1.46655 # DEPENDENCYPART_ARC
(8,14),-1.52976 # DEPENDENCYPART_ARC
(9,2),-0.504419 # DEPENDENCYPART_ARC
(9,3),-0.259722 # DEPENDENCYPART_ARC
(9,4),-0.122402 # DEPENDENCYPART_ARC
(9,5),-1.56046 # DEPENDENCYPART_ARC
(9,6),-0.675213 # DEPENDENCYPART_ARC
(9,8),0.499502 # DEPENDENCYPART_ARC
(9,10),0.495406 # DEPENDENCYPART_ARC
(9,12),-0.273953 # DEPENDENCYPART_ARC
(9,14),-1.5823 # DEPENDENCYPART_ARC
(9,15),-0.766819 # DEPENDENCYPART_ARC
(9,16),-1.97988 # DEPENDENCYPART_ARC
(9,17),-0.909524 # DEPENDENCYPART_ARC
(9,19),-3.03804 # DEPENDENCYPART_ARC
(9,20),-0.402225 # DEPENDENCYPART_ARC
(10,2),-0.424605 # DEPENDENCYPART_ARC
(10,3),-0.177476 # DEPENDENCYPART_ARC
(10,4),-0.490943 # DEPENDENCYPART_ARC
(10,5),-0.71493 # DEPENDENCYPART_ARC
(10,6),-0.153192 # DEPENDENCYPART_ARC
(10,8),0.344953 # DEPENDENCYPART_ARC
(10,9),1.46336 # DEPENDENCYPART_ARC
(10,11),-0.0355821 # DEPENDENCYPART_ARC
(10,12),0.609897 # DEPENDENCYPART_ARC
(10,14),-0.681119 # DEPENDENCYPART_ARC
(10,15),-0.500434 # DEPENDENCYPART_ARC
(10,16),-0.769669 # DEPENDENCYPART_ARC
(10,17),-1.34989 # DEPENDENCYPART_ARC
(10,19),-1.56289 # DEPENDENCYPART_ARC
(10,20),-0.571564 # DEPENDENCYPART_ARC
(12,2),-0.422895 # DEPENDENCYPART_ARC
(12,3),-0.399037 # DEPENDENCYPART_ARC
(12,4),-0.325736 # DEPENDENCYPART_ARC
(12,6),-0.884506 # DEPENDENCYPART_ARC
(12,8),-0.471719 # DEPENDENCYPART_ARC
(12,9),-0.873858 # DEPENDENCYPART_ARC
(12,10),-0.278731 # DEPENDENCYPART_ARC
(12,11),1.82372 # DEPENDENCYPART_ARC
(12,13),-0.35553 # DEPENDENCYPART_ARC
(12,14),-0.617913 # DEPENDENCYPART_ARC
(12,15),-0.180831 # DEPENDENCYPART_ARC
