# _root_ Επίσης , μέσα στο Κάστρο υπήρχαν οι απαραίτητες δεξαμενές για νερό , ενώ το Νεκροταφείο βρισκόταν έξω από την πόλη .
#goldHeads=13,13,6,3,4,13,9,9,6,9,10,13,0,15,16,13,16,17,20,18,0,
#predictedHeads=6,6,6,3,4,13,9,9,6,9,10,13,0,15,16,13,16,16,20,18,0,
(0,1),-0.247571 # DEPENDENCYPART_ARC
(0,2),-0.141267 # DEPENDENCYPART_ARC
(0,3),-0.777142 # DEPENDENCYPART_ARC
(0,4),-0.665353 # DEPENDENCYPART_ARC
(0,5),-0.497158 # DEPENDENCYPART_ARC
(0,6),0.458837 # DEPENDENCYPART_ARC
(0,8),-0.886511 # DEPENDENCYPART_ARC
(0,9),-1.16077 # DEPENDENCYPART_ARC
(0,12),-0.268372 # DEPENDENCYPART_ARC
(0,13),0.552362 # DEPENDENCYPART_ARC
(0,16),0.132052 # DEPENDENCYPART_ARC
(0,17),-0.916594 # DEPENDENCYPART_ARC
(0,20),-1.02325 # DEPENDENCYPART_ARC
(0,21),2.42654 # DEPENDENCYPART_ARC
(1,2),-0.172332 # DEPENDENCYPART_ARC
(1,3),-0.870815 # DEPENDENCYPART_ARC
(1,4),-0.627975 # DEPENDENCYPART_ARC
(1,6),-1.03463 # DEPENDENCYPART_ARC
(2,1),-0.271897 # DEPENDENCYPART_ARC
(2,3),-0.619681 # DEPENDENCYPART_ARC
(2,4),-0.964287 # DEPENDENCYPART_ARC
(2,5),-1.19416 # DEPENDENCYPART_ARC
(2,6),-1.12875 # DEPENDENCYPART_ARC
(2,8),-1.49581 # DEPENDENCYPART_ARC
(3,1),-0.228472 # DEPENDENCYPART_ARC
(3,2),0.177484 # DEPENDENCYPART_ARC
(3,4),0.739535 # DEPENDENCYPART_ARC
(3,5),-0.234473 # DEPENDENCYPART_ARC
(3,6),-0.463909 # DEPENDENCYPART_ARC
(3,9),-1.37207 # DEPENDENCYPART_ARC
(3,10),-0.94782 # DEPENDENCYPART_ARC
(3,11),-1.45221 # DEPENDENCYPART_ARC
(3,12),-0.559789 # DEPENDENCYPART_ARC
(3,13),-0.576078 # DEPENDENCYPART_ARC
(3,16),-1.186 # DEPENDENCYPART_ARC
(3,17),-1.00176 # DEPENDENCYPART_ARC
(4,2),-0.501663 # DEPENDENCYPART_ARC
(4,3),-0.182095 # DEPENDENCYPART_ARC
(4,5),2.6948 # DEPENDENCYPART_ARC
(4,6),-0.933194 # DEPENDENCYPART_ARC
(5,1),-1.16934 # DEPENDENCYPART_ARC
(5,2),-1.10003 # DEPENDENCYPART_ARC
(5,3),-0.451665 # DEPENDENCYPART_ARC
(5,4),-0.648246 # DEPENDENCYPART_ARC
(5,6),-1.52475 # DEPENDENCYPART_ARC
(5,8),-1.78369 # DEPENDENCYPART_ARC
(6,1),0.423507 # DEPENDENCYPART_ARC
(6,2),0.26975 # DEPENDENCYPART_ARC
(6,3),0.443072 # DEPENDENCYPART_ARC
(6,4),0.382481 # DEPENDENCYPART_ARC
(6,5),0.000847849 # DEPENDENCYPART_ARC
(6,7),-1.06745 # DEPENDENCYPART_ARC
(6,8),-0.0583886 # DEPENDENCYPART_ARC
(6,9),0.898139 # DEPENDENCYPART_ARC
(6,10),0.257363 # DEPENDENCYPART_ARC
(6,11),-0.176519 # DEPENDENCYPART_ARC
(6,12),-0.0280283 # DEPENDENCYPART_ARC
(6,13),-0.158346 # DEPENDENCYPART_ARC
(6,15),-0.953963 # DEPENDENCYPART_ARC
(6,16),-2.26814 # DEPENDENCYPART_ARC
(6,17),-1.00388 # DEPENDENCYPART_ARC
(6,18),-1.31615 # DEPENDENCYPART_ARC
(6,20),-1.62559 # DEPENDENCYPART_ARC
(6,21),-0.411757 # DEPENDENCYPART_ARC
(8,3),-0.974882 # DEPENDENCYPART_ARC
(8,7),1.21484 # DEPENDENCYPART_ARC
(8,9),-1.05173 # DEPENDENCYPART_ARC
(8,10),-0.168732 # DEPENDENCYPART_ARC
(8,11),-1.56231 # DEPENDENCYPART_ARC
(8,13),-0.485174 # DEPENDENCYPART_ARC
(8,15),-2.36111 # DEPENDENCYPART_ARC
(8,18),-0.684244 # DEPENDENCYPART_ARC
