# _root_ Από τότε , η Κέρκυρα έχει γεννήσει δύο Έλληνες πρωθυπουργούς και διάφορους άλλους πρωταγωνιστές της πολιτικής , κοινωνικής και πολιτιστικής ζωής της χώρας .
#goldHeads=7,1,7,5,7,7,0,10,10,11,7,14,14,11,16,19,19,19,21,19,14,23,21,0,
#predictedHeads=7,1,7,5,7,7,0,9,7,11,7,14,14,11,16,14,19,19,21,19,16,23,21,0,
(0,1),-0.287479 # DEPENDENCYPART_ARC
(0,2),-0.68835 # DEPENDENCYPART_ARC
(0,3),-6.58102e-05 # DEPENDENCYPART_ARC
(0,5),-0.652335 # DEPENDENCYPART_ARC
(0,6),0.563402 # DEPENDENCYPART_ARC
(0,7),-0.819611 # DEPENDENCYPART_ARC
(0,9),-1.01735 # DEPENDENCYPART_ARC
(0,10),-0.834991 # DEPENDENCYPART_ARC
(0,11),-0.63961 # DEPENDENCYPART_ARC
(0,12),-1.20132 # DEPENDENCYPART_ARC
(0,13),-0.983622 # DEPENDENCYPART_ARC
(0,14),-1.09234 # DEPENDENCYPART_ARC
(0,17),-0.31231 # DEPENDENCYPART_ARC
(0,18),-1.22905 # DEPENDENCYPART_ARC
(0,19),-0.649854 # DEPENDENCYPART_ARC
(0,20),-1.25254 # DEPENDENCYPART_ARC
(0,21),-1.36933 # DEPENDENCYPART_ARC
(0,23),-1.35756 # DEPENDENCYPART_ARC
(0,24),2.9084 # DEPENDENCYPART_ARC
(1,2),0.992271 # DEPENDENCYPART_ARC
(1,3),0.0823567 # DEPENDENCYPART_ARC
(1,5),0.223692 # DEPENDENCYPART_ARC
(1,6),-0.741414 # DEPENDENCYPART_ARC
(1,7),-1.18469 # DEPENDENCYPART_ARC
(1,9),-1.01787 # DEPENDENCYPART_ARC
(1,11),-0.368051 # DEPENDENCYPART_ARC
(2,1),-0.108874 # DEPENDENCYPART_ARC
(2,3),-0.199808 # DEPENDENCYPART_ARC
(2,5),-1.01142 # DEPENDENCYPART_ARC
(2,6),-1.02401 # DEPENDENCYPART_ARC
(3,1),-0.87744 # DEPENDENCYPART_ARC
(3,2),-0.475275 # DEPENDENCYPART_ARC
(3,5),-0.880356 # DEPENDENCYPART_ARC
(3,6),-0.92118 # DEPENDENCYPART_ARC
(5,2),-0.974267 # DEPENDENCYPART_ARC
(5,3),-0.562649 # DEPENDENCYPART_ARC
(5,4),2.49057 # DEPENDENCYPART_ARC
(5,6),-0.88254 # DEPENDENCYPART_ARC
(5,7),-1.05209 # DEPENDENCYPART_ARC
(6,1),-0.110806 # DEPENDENCYPART_ARC
(6,2),-0.181675 # DEPENDENCYPART_ARC
(6,3),0.307196 # DEPENDENCYPART_ARC
(6,4),-0.852446 # DEPENDENCYPART_ARC
(6,5),0.702288 # DEPENDENCYPART_ARC
(6,7),-0.681451 # DEPENDENCYPART_ARC
(6,8),-1.29769 # DEPENDENCYPART_ARC
(6,9),-0.784631 # DEPENDENCYPART_ARC
(6,10),-0.785515 # DEPENDENCYPART_ARC
(6,11),-0.962493 # DEPENDENCYPART_ARC
(6,12),-2.25866 # DEPENDENCYPART_ARC
(6,17),-0.943786 # DEPENDENCYPART_ARC
(7,1),0.262668 # DEPENDENCYPART_ARC
(7,2),0.281709 # DEPENDENCYPART_ARC
(7,3),0.407619 # DEPENDENCYPART_ARC
(7,4),-0.542269 # DEPENDENCYPART_ARC
(7,5),1.09188 # DEPENDENCYPART_ARC
(7,6),3.29422 # DEPENDENCYPART_ARC
(7,8),0.72329 # DEPENDENCYPART_ARC
(7,9),1.267 # DEPENDENCYPART_ARC
(7,10),0.988119 # DEPENDENCYPART_ARC
(7,11),0.0375922 # DEPENDENCYPART_ARC
(7,12),-0.713359 # DEPENDENCYPART_ARC
(7,13),-0.306621 # DEPENDENCYPART_ARC
(7,14),-0.325378 # DEPENDENCYPART_ARC
(7,16),-1.80325 # DEPENDENCYPART_ARC
(7,17),-0.0704709 # DEPENDENCYPART_ARC
(7,19),-0.366898 # DEPENDENCYPART_ARC
(7,21),-1.91694 # DEPENDENCYPART_ARC
(7,23),-2.26894 # DEPENDENCYPART_ARC
(7,24),-0.161324 # DEPENDENCYPART_ARC
(9,6),-2.52357 # DEPENDENCYPART_ARC
(9,7),-1.19092 # DEPENDENCYPART_ARC
(9,8),1.45029 # DEPENDENCYPART_ARC
(9,10),-0.445288 # DEPENDENCYPART_ARC
(9,11),-0.405854 # DEPENDENCYPART_ARC
(9,12),-1.34788 # DEPENDENCYPART_ARC
(9,18),-1.4191 # DEPENDENCYPART_ARC
(9,19),-0.764193 # DEPENDENCYPART_ARC
(9,20),-1.4445 # DEPENDENCYPART_ARC
(10,1),-0.89979 # DEPENDENCYPART_ARC
(10,2),-0.826523 # DEPENDENCYPART_ARC
(10,3),-0.837763 # DEPENDENCYPART_ARC
(10,4),-1.26879 # DEPENDENCYPART_ARC
(10,5),-1.32852 # DEPENDENCYPART_ARC
(10,6),-2.93798 # DEPENDENCYPART_ARC
(10,7),-1.97061 # DEPENDENCYPART_ARC
(10,8),1.56581 # DEPENDENCYPART_ARC
(10,9),0.651421 # DEPENDENCYPART_ARC
(10,11),-0.0750525 # DEPENDENCYPART_ARC
(10,12),-0.878549 # DEPENDENCYPART_ARC
(10,13),-0.729194 # DEPENDENCYPART_ARC
(10,14),-1.98416 # DEPENDENCYPART_ARC
(11,1),-0.661867 # DEPENDENCYPART_ARC
(11,2),-0.465838 # DEPENDENCYPART_ARC
(11,3),-0.107474 # DEPENDENCYPART_ARC
(11,5),-0.225489 # DEPENDENCYPART_ARC
(11,6),-0.076672 # DEPENDENCYPART_ARC
(11,7),0.158706 # DEPENDENCYPART_ARC
(11,8),0.0416497 # DEPENDENCYPART_ARC
(11,9),0.214558 # DEPENDENCYPART_ARC
(11,10),1.49709 # DEPENDENCYPART_ARC
(11,12),0.835889 # DEPENDENCYPART_ARC
(11,13),-0.204382 # DEPENDENCYPART_ARC
(11,14),-0.0573906 # DEPENDENCYPART_ARC
(11,16),-0.351663 # DEPENDENCYPART_ARC
(11,17),-0.376122 # DEPENDENCYPART_ARC
(11,18),-0.553232 # DEPENDENCYPART_ARC
(11,19),-0.425219 # DEPENDENCYPART_ARC
(11,21),-1.19403 # DEPENDENCYPART_ARC
(11,24),-0.781568 # DEPENDENCYPART_ARC
(12,10),-1.17473 # DEPENDENCYPART_ARC
(12,11),0.145775 # DEPENDENCYPART_ARC
(12,13),-0.801756 # DEPENDENCYPART_ARC
(12,14),-1.35081 # DEPENDENCYPART_ARC
(12,16),-0.262866 # DEPENDENCYPART_ARC
(12,19),-0.296469 # DEPENDENCYPART_ARC
(13,14),-0.839378 # DEPENDENCYPART_ARC
(13,16),-0.774518 # DEPENDENCYPART_ARC
(13,19),-0.467521 # DEPENDENCYPART_ARC
(14,2),-0.860989 # DEPENDENCYPART_ARC
(14,4),-1.5444 # DEPENDENCYPART_ARC
(14,7),-2.16298 # DEPENDENCYPART_ARC
(14,9),0.120711 # DEPENDENCYPART_ARC
(14,10),-1.30814 # DEPENDENCYPART_ARC
(14,11),-0.0963014 # DEPENDENCYPART_ARC
(14,12),1.41379 # DEPENDENCYPART_ARC
(14,13),2.07166 # DEPENDENCYPART_ARC
(14,15),-0.683719 # DEPENDENCYPART_ARC
(14,16),1.01785 # DEPENDENCYPART_ARC
(14,17),-0.3281 # DEPENDENCYPART_ARC
(14,18),-0.765307 # DEPENDENCYPART_ARC
(14,19),-0.521279 # DEPENDENCYPART_ARC
(14,20),-0.971695 # DEPENDENCYPART_ARC
(14,21),-0.422849 # DEPENDENCYPART_ARC
(14,23),-0.600937 # DEPENDENCYPART_ARC
(14,24),-0.410797 # DEPENDENCYPART_ARC
(16,12),-2.13975 # DEPENDENCYPART_ARC
(16,13),-0.990347 # DEPENDENCYPART_ARC
(16,14),-1.46735 # DEPENDENCYPART_ARC
(16,15),2.17453 # DEPENDENCYPART_ARC
(16,17),-0.36535 # DEPENDENCYPART_ARC
(16,18),-0.323395 # DEPENDENCYPART_ARC
(16,19),-0.614605 # DEPENDENCYPART_ARC
(16,20),-0.695784 # DEPENDENCYPART_ARC
(16,21),-0.318794 # DEPENDENCYPART_ARC
(16,23),-0.81311 # DEPENDENCYPART_ARC
(17,3),-0.77762 # DEPENDENCYPART_ARC
(17,5),-1.31297 # DEPENDENCYPART_ARC
(17,7),-1.08676 # DEPENDENCYPART_ARC
(17,9),-0.959512 # DEPENDENCYPART_ARC
(17,10),-0.933261 # DEPENDENCYPART_ARC
(17,12),-1.08101 # DEPENDENCYPART_ARC
(17,13),-1.1378 # DEPENDENCYPART_ARC
(17,14),-0.799456 # DEPENDENCYPART_ARC
(17,16),-0.367672 # DEPENDENCYPART_ARC
(17,18),-0.402345 # DEPENDENCYPART_ARC
