# _root_ Η Κέρκυρα περιήλθε σε Βρετανική κυριαρχία το 1815 , μετά το Βατερλώ , και από τότε άρχισε να διαμορφώνεται ο σημερινός χαρακτήρας του νησιού .
#goldHeads=2,3,14,3,6,4,8,3,3,3,12,10,3,0,17,15,14,19,17,22,22,19,24,22,0,
#predictedHeads=2,3,0,3,6,4,8,3,12,12,12,14,14,0,17,17,14,19,17,22,22,19,24,22,0,
(0,2),-0.398375 # DEPENDENCYPART_ARC
(0,3),0.73047 # DEPENDENCYPART_ARC
(0,8),-1.07811 # DEPENDENCYPART_ARC
(0,9),-0.225786 # DEPENDENCYPART_ARC
(0,12),0.136702 # DEPENDENCYPART_ARC
(0,13),-0.18645 # DEPENDENCYPART_ARC
(0,14),-0.149815 # DEPENDENCYPART_ARC
(0,15),-0.64228 # DEPENDENCYPART_ARC
(0,17),-0.0719646 # DEPENDENCYPART_ARC
(0,19),-0.466102 # DEPENDENCYPART_ARC
(0,25),2.98847 # DEPENDENCYPART_ARC
(2,1),2.4506 # DEPENDENCYPART_ARC
(2,3),-1.12883 # DEPENDENCYPART_ARC
(2,4),-0.98846 # DEPENDENCYPART_ARC
(2,5),-2.09473 # DEPENDENCYPART_ARC
(3,1),-0.741365 # DEPENDENCYPART_ARC
(3,2),1.60306 # DEPENDENCYPART_ARC
(3,4),1.54951 # DEPENDENCYPART_ARC
(3,5),0.0938291 # DEPENDENCYPART_ARC
(3,6),-0.191636 # DEPENDENCYPART_ARC
(3,8),-0.356986 # DEPENDENCYPART_ARC
(3,9),0.04146 # DEPENDENCYPART_ARC
(3,10),0.0482199 # DEPENDENCYPART_ARC
(3,12),-0.883634 # DEPENDENCYPART_ARC
(3,13),-0.438655 # DEPENDENCYPART_ARC
(3,14),-0.710591 # DEPENDENCYPART_ARC
(3,15),-1.14739 # DEPENDENCYPART_ARC
(3,16),-1.0751 # DEPENDENCYPART_ARC
(3,17),-2.71452 # DEPENDENCYPART_ARC
(3,19),-2.08529 # DEPENDENCYPART_ARC
(3,22),-2.14145 # DEPENDENCYPART_ARC
(3,24),-3.57734 # DEPENDENCYPART_ARC
(3,25),-0.362825 # DEPENDENCYPART_ARC
(4,3),-0.344958 # DEPENDENCYPART_ARC
