# _root_ Τα νέα στοιχεία υποδεικνύουν μάλιστα ότι οι ιζηματογενείς αποθέσεις των ωκεανών , οι οποίες καλύπτουν το 70% της επιφάνειας της Γης , περιέχουν περίπου τους μισούς μικροοργανισμούς του πλανήτη .
#goldHeads=3,3,4,0,4,4,9,9,23,11,9,15,14,15,9,17,15,19,17,21,19,15,6,26,27,27,23,29,27,0,
#predictedHeads=3,3,4,0,4,4,9,9,4,11,9,15,14,15,9,17,15,19,17,21,19,23,6,23,27,27,23,29,27,0,
(0,2),-0.572545 # DEPENDENCYPART_ARC
(0,3),-0.652791 # DEPENDENCYPART_ARC
(0,4),0.628172 # DEPENDENCYPART_ARC
(0,5),-1.12286 # DEPENDENCYPART_ARC
(0,6),-0.978468 # DEPENDENCYPART_ARC
(0,8),-0.977785 # DEPENDENCYPART_ARC
(0,12),-0.288084 # DEPENDENCYPART_ARC
(0,15),-0.478489 # DEPENDENCYPART_ARC
(0,17),-1.19787 # DEPENDENCYPART_ARC
(0,22),-0.3409 # DEPENDENCYPART_ARC
(0,23),0.00290743 # DEPENDENCYPART_ARC
(0,30),3.66001 # DEPENDENCYPART_ARC
(2,1),1.28612 # DEPENDENCYPART_ARC
(2,3),-0.879589 # DEPENDENCYPART_ARC
(2,4),-1.07013 # DEPENDENCYPART_ARC
(2,5),-0.965195 # DEPENDENCYPART_ARC
(2,6),-0.791817 # DEPENDENCYPART_ARC
(2,9),-2.52362 # DEPENDENCYPART_ARC
(2,11),-1.65221 # DEPENDENCYPART_ARC
(3,1),2.52598 # DEPENDENCYPART_ARC
(3,2),2.53994 # DEPENDENCYPART_ARC
(3,4),-0.781872 # DEPENDENCYPART_ARC
(3,5),-0.801518 # DEPENDENCYPART_ARC
(3,6),-0.736151 # DEPENDENCYPART_ARC
(3,8),-1.18093 # DEPENDENCYPART_ARC
(3,9),-2.32053 # DEPENDENCYPART_ARC
(3,11),-1.60185 # DEPENDENCYPART_ARC
(4,1),-0.0653023 # DEPENDENCYPART_ARC
(4,2),-0.421444 # DEPENDENCYPART_ARC
(4,3),0.823173 # DEPENDENCYPART_ARC
(4,5),1.03246 # DEPENDENCYPART_ARC
(4,6),0.823137 # DEPENDENCYPART_ARC
(4,8),-0.472278 # DEPENDENCYPART_ARC
(4,9),0.653656 # DEPENDENCYPART_ARC
(4,11),-1.83462 # DEPENDENCYPART_ARC
(4,12),-0.145919 # DEPENDENCYPART_ARC
(4,15),-1.7324 # DEPENDENCYPART_ARC
(4,17),-0.853963 # DEPENDENCYPART_ARC
(4,19),-2.79239 # DEPENDENCYPART_ARC
(4,21),-3.04087 # DEPENDENCYPART_ARC
(4,22),-0.455854 # DEPENDENCYPART_ARC
(4,23),-2.5809 # DEPENDENCYPART_ARC
(4,24),-1.25435 # DEPENDENCYPART_ARC
(4,27),-1.49127 # DEPENDENCYPART_ARC
(4,29),-3.6271 # DEPENDENCYPART_ARC
(5,2),-0.855215 # DEPENDENCYPART_ARC
(5,3),-0.639281 # DEPENDENCYPART_ARC
(5,4),-0.518765 # DEPENDENCYPART_ARC
(5,6),-0.148601 # DEPENDENCYPART_ARC
(5,8),-1.18449 # DEPENDENCYPART_ARC
(5,9),-1.12476 # DEPENDENCYPART_ARC
(5,11),-1.33 # DEPENDENCYPART_ARC
(5,12),-0.916595 # DEPENDENCYPART_ARC
(5,15),-1.26806 # DEPENDENCYPART_ARC
(6,5),-0.0589485 # DEPENDENCYPART_ARC
(6,7),-0.136397 # DEPENDENCYPART_ARC
(6,12),-0.353461 # DEPENDENCYPART_ARC
(6,15),0.570362 # DEPENDENCYPART_ARC
(6,22),-0.993067 # DEPENDENCYPART_ARC
(6,23),0.0822021 # DEPENDENCYPART_ARC
(8,3),-0.884407 # DEPENDENCYPART_ARC
(8,5),-0.565604 # DEPENDENCYPART_ARC
(8,6),-0.515285 # DEPENDENCYPART_ARC
(8,7),1.41795 # DEPENDENCYPART_ARC
(8,9),-1.14841 # DEPENDENCYPART_ARC
(8,11),-1.00757 # DEPENDENCYPART_ARC
(8,12),-0.580725 # DEPENDENCYPART_ARC
(9,1),-0.750738 # DEPENDENCYPART_ARC
(9,3),-1.46703 # DEPENDENCYPART_ARC
(9,4),-3.43394 # DEPENDENCYPART_ARC
(9,5),-0.682286 # DEPENDENCYPART_ARC
(9,7),2.61526 # DEPENDENCYPART_ARC
(9,8),3.03245 # DEPENDENCYPART_ARC
(9,10),-0.28343 # DEPENDENCYPART_ARC
(9,11),0.761074 # DEPENDENCYPART_ARC
(9,12),-0.214626 # DEPENDENCYPART_ARC
(9,15),-0.384264 # DEPENDENCYPART_ARC
(9,17),-0.810053 # DEPENDENCYPART_ARC
(9,19),-0.558141 # DEPENDENCYPART_ARC
(9,21),-0.761178 # DEPENDENCYPART_ARC
(9,23),-1.48322 # DEPENDENCYPART_ARC
(9,24),-0.833494 # DEPENDENCYPART_ARC
(11,1),-1.96852 # DEPENDENCYPART_ARC
(11,7),-0.751467 # DEPENDENCYPART_ARC
(11,8),-0.814231 # DEPENDENCYPART_ARC
(11,9),-0.894521 # DEPENDENCYPART_ARC
(11,10),2.25972 # DEPENDENCYPART_ARC
(11,12),-0.501151 # DEPENDENCYPART_ARC
(11,13),-1.45645 # DEPENDENCYPART_ARC
(11,14),-1.54934 # DEPENDENCYPART_ARC
(11,15),-0.872774 # DEPENDENCYPART_ARC
(11,17),-1.19563 # DEPENDENCYPART_ARC
(12,3),-1.30475 # DEPENDENCYPART_ARC
(12,4),-1.22291 # DEPENDENCYPART_ARC
(12,5),-0.905153 # DEPENDENCYPART_ARC
(12,8),-1.27608 # DEPENDENCYPART_ARC
(12,9),-0.855582 # DEPENDENCYPART_ARC
(12,11),-0.362612 # DEPENDENCYPART_ARC
(12,15),-0.889693 # DEPENDENCYPART_ARC
(12,19),-1.62798 # DEPENDENCYPART_ARC
(12,22),-0.658634 # DEPENDENCYPART_ARC
(12,23),-1.20981 # DEPENDENCYPART_ARC
(14,12),-0.173314 # DEPENDENCYPART_ARC
(14,13),2.65455 # DEPENDENCYPART_ARC
(14,15),-0.604621 # DEPENDENCYPART_ARC
(14,23),-1.70254 # DEPENDENCYPART_ARC
(15,2),-1.71744 # DEPENDENCYPART_ARC
(15,3),-0.790635 # DEPENDENCYPART_ARC
(15,4),-1.57171 # DEPENDENCYPART_ARC
