# _root_ Οι επεμβατική αντιμετώπιση της διέγερσης των πυρήνων , που γίνεται και στην Ελλάδα , γίνεται στις περιπτώσεις που οι ασθενείς έχουν κορεστεί από τα φάρμακα .
#goldHeads=3,3,15,5,3,7,5,10,10,3,13,10,12,10,0,15,16,22,20,22,22,17,22,25,23,0,
#predictedHeads=3,3,0,5,3,7,5,10,10,7,12,10,12,15,0,15,16,22,20,22,22,17,22,25,23,0,
(0,2),-0.533553 # DEPENDENCYPART_ARC
(0,3),-0.450916 # DEPENDENCYPART_ARC
(0,8),0.00729598 # DEPENDENCYPART_ARC
(0,10),0.290838 # DEPENDENCYPART_ARC
(0,11),-0.560473 # DEPENDENCYPART_ARC
(0,13),-1.1134 # DEPENDENCYPART_ARC
(0,14),-0.361425 # DEPENDENCYPART_ARC
(0,15),0.139227 # DEPENDENCYPART_ARC
(0,17),-1.16635 # DEPENDENCYPART_ARC
(0,18),-0.910975 # DEPENDENCYPART_ARC
(0,20),-1.45905 # DEPENDENCYPART_ARC
(0,21),-0.321873 # DEPENDENCYPART_ARC
(0,22),-1.1593 # DEPENDENCYPART_ARC
(0,26),3.17395 # DEPENDENCYPART_ARC
(2,1),0.929992 # DEPENDENCYPART_ARC
(2,3),-0.603584 # DEPENDENCYPART_ARC
(2,5),-0.334209 # DEPENDENCYPART_ARC
(2,7),-0.589918 # DEPENDENCYPART_ARC
(3,1),1.33033 # DEPENDENCYPART_ARC
(3,2),2.52078 # DEPENDENCYPART_ARC
(3,4),0.125081 # DEPENDENCYPART_ARC
(3,5),1.32976 # DEPENDENCYPART_ARC
(3,7),0.213048 # DEPENDENCYPART_ARC
(3,8),-0.321392 # DEPENDENCYPART_ARC
(3,10),-0.541818 # DEPENDENCYPART_ARC
(3,11),-0.542253 # DEPENDENCYPART_ARC
(3,12),-0.685068 # DEPENDENCYPART_ARC
(3,15),-1.42937 # DEPENDENCYPART_ARC
(3,16),-0.873014 # DEPENDENCYPART_ARC
(3,18),-0.963436 # DEPENDENCYPART_ARC
(3,22),-1.17363 # DEPENDENCYPART_ARC
(5,1),-1.01807 # DEPENDENCYPART_ARC
(5,2),-1.23748 # DEPENDENCYPART_ARC
(5,3),-1.8494 # DEPENDENCYPART_ARC
(5,4),2.22007 # DEPENDENCYPART_ARC
(5,6),0.0924855 # DEPENDENCYPART_ARC
(5,7),0.47246 # DEPENDENCYPART_ARC
(5,8),-0.310574 # DEPENDENCYPART_ARC
(5,10),-0.543712 # DEPENDENCYPART_ARC
(5,12),-0.870608 # DEPENDENCYPART_ARC
(5,15),-1.55763 # DEPENDENCYPART_ARC
(5,22),-1.56468 # DEPENDENCYPART_ARC
