# _root_ Ανησυχώ μήπως η διακρατική συνεργασία στον τομέα της εκπαίδευσης , δηλαδή η διακυβερνητική πτυχή , παραγκωνίσει την κοινοτική προσέγγιση .
#goldHeads=0,1,5,5,11,5,6,9,7,11,16,14,14,11,16,2,19,19,16,0,
#predictedHeads=0,1,5,5,1,5,6,9,7,11,1,14,14,16,16,0,19,19,16,0,
(0,1),0.823001 # DEPENDENCYPART_ARC
(0,2),-1.03813 # DEPENDENCYPART_ARC
(0,4),-1.03191 # DEPENDENCYPART_ARC
(0,6),-0.85044 # DEPENDENCYPART_ARC
(0,10),-0.267877 # DEPENDENCYPART_ARC
(0,15),-0.388671 # DEPENDENCYPART_ARC
(0,16),-0.752314 # DEPENDENCYPART_ARC
(0,20),2.53045 # DEPENDENCYPART_ARC
(1,2),1.24711 # DEPENDENCYPART_ARC
(1,3),-1.44129 # DEPENDENCYPART_ARC
(1,4),-0.192391 # DEPENDENCYPART_ARC
(1,5),0.464731 # DEPENDENCYPART_ARC
(1,6),0.111546 # DEPENDENCYPART_ARC
(1,7),-0.744657 # DEPENDENCYPART_ARC
(1,9),-2.24249 # DEPENDENCYPART_ARC
(1,10),-0.0823936 # DEPENDENCYPART_ARC
(1,11),0.123193 # DEPENDENCYPART_ARC
(1,14),-1.12909 # DEPENDENCYPART_ARC
(1,15),-0.241185 # DEPENDENCYPART_ARC
(1,16),-2.06616 # DEPENDENCYPART_ARC
(1,19),-1.7064 # DEPENDENCYPART_ARC
(1,20),-0.425068 # DEPENDENCYPART_ARC
(2,1),-0.737977 # DEPENDENCYPART_ARC
(2,3),-0.356973 # DEPENDENCYPART_ARC
(2,4),-0.884644 # DEPENDENCYPART_ARC
(2,5),-0.760522 # DEPENDENCYPART_ARC
(2,6),-0.587812 # DEPENDENCYPART_ARC
(2,7),-1.15135 # DEPENDENCYPART_ARC
(2,10),-0.742036 # DEPENDENCYPART_ARC
(2,11),-1.02452 # DEPENDENCYPART_ARC
(2,15),-0.890085 # DEPENDENCYPART_ARC
(2,16),-1.17265 # DEPENDENCYPART_ARC
(4,2),-0.493125 # DEPENDENCYPART_ARC
(4,3),0.541427 # DEPENDENCYPART_ARC
(4,5),-0.851755 # DEPENDENCYPART_ARC
(4,6),-0.735863 # DEPENDENCYPART_ARC
(4,7),-1.79975 # DEPENDENCYPART_ARC
(4,9),-0.694152 # DEPENDENCYPART_ARC
(4,11),-0.829229 # DEPENDENCYPART_ARC
