# _root_ Ωστόσο , έχουμε παράλληλα επίγνωση του γεγονότος ότι η παρούσα οδηγία είναι μεν σημαντική και ενδιαφέρουσα , αλλά δεν λύνει δυστυχώς ακόμα όλα τα προβλήματα .
#goldHeads=0,3,1,3,3,7,5,7,11,11,12,18,12,15,12,15,18,8,20,18,20,20,25,25,20,0,
#predictedHeads=0,1,1,3,3,7,5,3,11,11,12,8,14,12,12,15,18,0,20,18,20,23,25,25,20,0,
(0,1),0.207397 # DEPENDENCYPART_ARC
(0,2),-0.288042 # DEPENDENCYPART_ARC
(0,3),0.58789 # DEPENDENCYPART_ARC
(0,5),-0.771598 # DEPENDENCYPART_ARC
(0,8),-1.24565 # DEPENDENCYPART_ARC
(0,12),0.151768 # DEPENDENCYPART_ARC
(0,14),-1.14701 # DEPENDENCYPART_ARC
(0,16),-1.26011 # DEPENDENCYPART_ARC
(0,17),-0.166522 # DEPENDENCYPART_ARC
(0,18),-0.340922 # DEPENDENCYPART_ARC
(0,20),-0.879382 # DEPENDENCYPART_ARC
(0,23),-1.25947 # DEPENDENCYPART_ARC
(0,26),2.96898 # DEPENDENCYPART_ARC
(1,2),0.691352 # DEPENDENCYPART_ARC
(1,3),0.867849 # DEPENDENCYPART_ARC
(1,4),-0.742486 # DEPENDENCYPART_ARC
(1,5),-0.845406 # DEPENDENCYPART_ARC
(1,7),-1.37098 # DEPENDENCYPART_ARC
(1,8),-0.639278 # DEPENDENCYPART_ARC
(1,12),-0.348298 # DEPENDENCYPART_ARC
(1,17),-0.790528 # DEPENDENCYPART_ARC
(1,18),-0.668846 # DEPENDENCYPART_ARC
(1,20),-1.12207 # DEPENDENCYPART_ARC
(2,1),-0.442051 # DEPENDENCYPART_ARC
(2,3),-0.780596 # DEPENDENCYPART_ARC
(2,5),-1.5348 # DEPENDENCYPART_ARC
(2,14),-1.73743 # DEPENDENCYPART_ARC
(2,16),-1.69378 # DEPENDENCYPART_ARC
(3,1),-0.254109 # DEPENDENCYPART_ARC
(3,2),0.558725 # DEPENDENCYPART_ARC
(3,4),1.22975 # DEPENDENCYPART_ARC
(3,5),1.19271 # DEPENDENCYPART_ARC
(3,7),-1.58674 # DEPENDENCYPART_ARC
(3,8),0.097553 # DEPENDENCYPART_ARC
(3,10),-1.1157 # DEPENDENCYPART_ARC
(3,11),-0.74582 # DEPENDENCYPART_ARC
(3,12),-2.31483 # DEPENDENCYPART_ARC
(3,13),-0.602474 # DEPENDENCYPART_ARC
(3,15),-0.820124 # DEPENDENCYPART_ARC
(3,17),-0.265889 # DEPENDENCYPART_ARC
(3,18),-0.836485 # DEPENDENCYPART_ARC
(3,21),-1.04406 # DEPENDENCYPART_ARC
(3,22),-1.13039 # DEPENDENCYPART_ARC
(3,25),-1.62903 # DEPENDENCYPART_ARC
(3,26),-0.0652434 # DEPENDENCYPART_ARC
(4,1),-0.467027 # DEPENDENCYPART_ARC
(4,2),-0.404181 # DEPENDENCYPART_ARC
(4,3),-0.573973 # DEPENDENCYPART_ARC
(4,5),0.0513219 # DEPENDENCYPART_ARC
(4,7),-0.664795 # DEPENDENCYPART_ARC
(5,1),-0.668181 # DEPENDENCYPART_ARC
(5,2),-0.788554 # DEPENDENCYPART_ARC
(5,3),-2.22221 # DEPENDENCYPART_ARC
(5,4),0.43777 # DEPENDENCYPART_ARC
(5,6),-0.131358 # DEPENDENCYPART_ARC
(5,7),1.16848 # DEPENDENCYPART_ARC
(5,8),-0.0842936 # DEPENDENCYPART_ARC
(5,10),-0.717489 # DEPENDENCYPART_ARC
(5,11),-1.52028 # DEPENDENCYPART_ARC
(5,12),-1.37943 # DEPENDENCYPART_ARC
(5,15),-0.590585 # DEPENDENCYPART_ARC
(5,21),-1.07988 # DEPENDENCYPART_ARC
(5,22),-1.02693 # DEPENDENCYPART_ARC
(7,4),-0.660714 # DEPENDENCYPART_ARC
(7,5),-1.88379 # DEPENDENCYPART_ARC
(7,6),2.28432 # DEPENDENCYPART_ARC
(7,8),0.0550037 # DEPENDENCYPART_ARC
(7,9),-1.03371 # DEPENDENCYPART_ARC
(7,10),-0.598781 # DEPENDENCYPART_ARC
(7,11),-0.78229 # DEPENDENCYPART_ARC
(8,9),-0.0151931 # DEPENDENCYPART_ARC
(8,12),1.32285 # DEPENDENCYPART_ARC
(8,13),-0.62354 # DEPENDENCYPART_ARC
(8,15),-0.276851 # DEPENDENCYPART_ARC
(8,17),-0.426768 # DEPENDENCYPART_ARC
(8,18),-0.138881 # DEPENDENCYPART_ARC
(8,20),-0.591242 # DEPENDENCYPART_ARC
(10,7),-1.23563 # DEPENDENCYPART_ARC
(10,8),-0.576026 # DEPENDENCYPART_ARC
(10,9),0.671884 # DEPENDENCYPART_ARC
(10,11),-0.764469 # DEPENDENCYPART_ARC
(11,1),-0.717832 # DEPENDENCYPART_ARC
(11,3),-3.26508 # DEPENDENCYPART_ARC
(11,4),-0.862094 # DEPENDENCYPART_ARC
(11,6),-1.25636 # DEPENDENCYPART_ARC
(11,7),-1.10996 # DEPENDENCYPART_ARC
(11,9),2.39119 # DEPENDENCYPART_ARC
(11,10),2.40272 # DEPENDENCYPART_ARC
(11,12),-0.601781 # DEPENDENCYPART_ARC
(11,13),-0.683553 # DEPENDENCYPART_ARC
(11,14),-1.19639 # DEPENDENCYPART_ARC
(11,16),-1.35055 # DEPENDENCYPART_ARC
(12,1),-0.487899 # DEPENDENCYPART_ARC
(12,2),-0.485227 # DEPENDENCYPART_ARC
(12,3),-1.07698 # DEPENDENCYPART_ARC
(12,4),-0.277481 # DEPENDENCYPART_ARC
(12,5),-0.786383 # DEPENDENCYPART_ARC
(12,7),-1.55091 # DEPENDENCYPART_ARC
(12,8),-0.648692 # DEPENDENCYPART_ARC
(12,9),-0.912113 # DEPENDENCYPART_ARC
(12,10),0.170195 # DEPENDENCYPART_ARC
(12,11),1.15864 # DEPENDENCYPART_ARC
(12,13),0.934471 # DEPENDENCYPART_ARC
(12,14),1.17185 # DEPENDENCYPART_ARC
(12,15),-0.0730517 # DEPENDENCYPART_ARC
(12,16),0.479437 # DEPENDENCYPART_ARC
(12,17),-0.0271605 # DEPENDENCYPART_ARC
(12,18),-0.0214537 # DEPENDENCYPART_ARC
(12,20),-1.31245 # DEPENDENCYPART_ARC
(12,21),-0.858296 # DEPENDENCYPART_ARC
(12,22),-0.936984 # DEPENDENCYPART_ARC
(12,25),-1.56448 # DEPENDENCYPART_ARC
(12,26),-0.617502 # DEPENDENCYPART_ARC
(13,10),-1.06062 # DEPENDENCYPART_ARC
(13,11),-0.974286 # DEPENDENCYPART_ARC
(13,12),-0.651646 # DEPENDENCYPART_ARC
(13,14),-0.476175 # DEPENDENCYPART_ARC
(13,15),-0.429954 # DEPENDENCYPART_ARC
(13,16),-1.21743 # DEPENDENCYPART_ARC
(13,17),-0.634397 # DEPENDENCYPART_ARC
(13,18),-0.64922 # DEPENDENCYPART_ARC
(13,20),-1.2504 # DEPENDENCYPART_ARC
(13,21),-1.33284 # DEPENDENCYPART_ARC
(13,22),-1.34849 # DEPENDENCYPART_ARC
(14,11),-1.12512 # DEPENDENCYPART_ARC
(14,13),0.847385 # DEPENDENCYPART_ARC
(14,15),-0.180985 # DEPENDENCYPART_ARC
(14,16),-1.13374 # DEPENDENCYPART_ARC
(15,1),-0.523658 # DEPENDENCYPART_ARC
(15,2),-0.900142 # DEPENDENCYPART_ARC
(15,3),-0.66034 # DEPENDENCYPART_ARC
(15,4),-0.469588 # DEPENDENCYPART_ARC
(15,5),-0.686157 # DEPENDENCYPART_ARC
(15,7),-0.343448 # DEPENDENCYPART_ARC
(15,8),-0.222356 # DEPENDENCYPART_ARC
(15,9),-0.895369 # DEPENDENCYPART_ARC
(15,10),-0.414887 # DEPENDENCYPART_ARC
(15,11),-0.10288 # DEPENDENCYPART_ARC
(15,12),0.227142 # DEPENDENCYPART_ARC
(15,13),0.126731 # DEPENDENCYPART_ARC
(15,14),1.32635 # DEPENDENCYPART_ARC
(15,16),1.39317 # DEPENDENCYPART_ARC
(15,17),-0.0766427 # DEPENDENCYPART_ARC
(15,18),-0.164348 # DEPENDENCYPART_ARC
(15,20),-0.212281 # DEPENDENCYPART_ARC
(15,21),-0.817035 # DEPENDENCYPART_ARC
(15,22),-0.906332 # DEPENDENCYPART_ARC
(15,23),-0.641367 # DEPENDENCYPART_ARC
(15,25),-1.31241 # DEPENDENCYPART_ARC
(16,13),-0.154181 # DEPENDENCYPART_ARC
(16,14),-0.201628 # DEPENDENCYPART_ARC
(16,15),0.26271 # DEPENDENCYPART_ARC
(16,17),-0.322926 # DEPENDENCYPART_ARC
(16,18),-0.695383 # DEPENDENCYPART_ARC
(16,20),-1.15581 # DEPENDENCYPART_ARC
(16,25),-2.55102 # DEPENDENCYPART_ARC
(17,2),-0.910413 # DEPENDENCYPART_ARC
(17,10),-1.42851 # DEPENDENCYPART_ARC
(17,14),-1.12966 # DEPENDENCYPART_ARC
(17,15),-0.498779 # DEPENDENCYPART_ARC
(17,16),-0.38868 # DEPENDENCYPART_ARC
(17,18),-0.321369 # DEPENDENCYPART_ARC
(17,20),-1.03048 # DEPENDENCYPART_ARC
(17,23),-1.37865 # DEPENDENCYPART_ARC
(18,1),-0.507859 # DEPENDENCYPART_ARC
(18,2),-1.08814 # DEPENDENCYPART_ARC
(18,3),-0.28815 # DEPENDENCYPART_ARC
(18,4),-0.559453 # DEPENDENCYPART_ARC
(18,5),-0.854482 # DEPENDENCYPART_ARC
(18,7),-0.753307 # DEPENDENCYPART_ARC
(18,8),-0.357108 # DEPENDENCYPART_ARC
(18,10),-1.03904 # DEPENDENCYPART_ARC
(18,11),-0.559248 # DEPENDENCYPART_ARC
(18,12),0.379648 # DEPENDENCYPART_ARC
(18,13),-0.404024 # DEPENDENCYPART_ARC
(18,14),-0.556631 # DEPENDENCYPART_ARC
(18,15),-0.111736 # DEPENDENCYPART_ARC
(18,16),-0.012146 # DEPENDENCYPART_ARC
(18,17),0.842552 # DEPENDENCYPART_ARC
(18,19),0.209402 # DEPENDENCYPART_ARC
(18,20),0.952078 # DEPENDENCYPART_ARC
(18,21),-0.520723 # DEPENDENCYPART_ARC
(18,22),-0.670671 # DEPENDENCYPART_ARC
(18,23),-0.529481 # DEPENDENCYPART_ARC
(18,25),-1.03983 # DEPENDENCYPART_ARC
(18,26),-0.35362 # DEPENDENCYPART_ARC
(20,1),-0.556079 # DEPENDENCYPART_ARC
(20,2),-1.07132 # DEPENDENCYPART_ARC
(20,3),-1.39004 # DEPENDENCYPART_ARC
(20,4),-0.64893 # DEPENDENCYPART_ARC
(20,5),-1.2461 # DEPENDENCYPART_ARC
(20,7),-2.12125 # DEPENDENCYPART_ARC
(20,8),-0.955751 # DEPENDENCYPART_ARC
(20,10),-1.26336 # DEPENDENCYPART_ARC
(20,11),-0.316498 # DEPENDENCYPART_ARC
(20,12),-2.0032 # DEPENDENCYPART_ARC
(20,13),-0.342428 # DEPENDENCYPART_ARC
(20,14),-0.907757 # DEPENDENCYPART_ARC
(20,15),-0.568041 # DEPENDENCYPART_ARC
(20,16),-0.707592 # DEPENDENCYPART_ARC
(20,17),0.0273033 # DEPENDENCYPART_ARC
(20,18),-0.184491 # DEPENDENCYPART_ARC
(20,19),1.78547 # DEPENDENCYPART_ARC
(20,21),1.08442 # DEPENDENCYPART_ARC
(20,22),0.497831 # DEPENDENCYPART_ARC
(20,23),-0.342667 # DEPENDENCYPART_ARC
(20,25),0.213604 # DEPENDENCYPART_ARC
(20,26),-0.142675 # DEPENDENCYPART_ARC
(21,20),-0.515453 # DEPENDENCYPART_ARC
(21,22),-0.184612 # DEPENDENCYPART_ARC
(21,23),-0.739647 # DEPENDENCYPART_ARC
(21,25),-1.12727 # DEPENDENCYPART_ARC
(22,4),-0.535196 # DEPENDENCYPART_ARC
(22,13),-0.3966 # DEPENDENCYPART_ARC
(22,21),0.723541 # DEPENDENCYPART_ARC
(22,23),-0.24422 # DEPENDENCYPART_ARC
(22,25),-1.02495 # DEPENDENCYPART_ARC
(22,26),-0.706393 # DEPENDENCYPART_ARC
(23,21),0.0176359 # DEPENDENCYPART_ARC
(23,22),0.715838 # DEPENDENCYPART_ARC
(23,24),-0.592094 # DEPENDENCYPART_ARC
(23,25),-0.830853 # DEPENDENCYPART_ARC
(23,26),-0.415828 # DEPENDENCYPART_ARC
(25,21),-0.8866 # DEPENDENCYPART_ARC
(25,22),-0.686608 # DEPENDENCYPART_ARC
(25,23),0.927279 # DEPENDENCYPART_ARC
(25,24),2.41593 # DEPENDENCYPART_ARC
(25,26),-0.43103 # DEPENDENCYPART_ARC
(26,23),-1.61251 # DEPENDENCYPART_ARC
(26,25),-1.17617 # DEPENDENCYPART_ARC
(0,1),(0,2),0.118616 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.211437 # DEPENDENCYPART_SIBL
