# _root_ Ακόμη και σε μια μικρή κοινότητα όπως η δική μου , που βρίσκεται σε μια χώρα όπου η οικοδόμηση έχει υψηλό κόστος για κλιματικούς λόγους , σήμερα η απλή κατασκευή ενός σχολικού κτιρίου βρίσκεται ήδη πάνω από την τιμή κατωφλίου .
#goldHeads=6,6,34,6,6,3,6,9,6,9,13,13,6,13,16,14,20,19,20,16,22,20,20,25,23,34,34,30,30,34,33,33,30,0,34,34,36,39,37,39,0,
#predictedHeads=2,0,2,6,6,3,6,9,7,9,13,13,6,13,16,14,20,19,20,16,22,20,22,25,23,27,20,30,30,34,33,33,30,27,36,34,36,39,37,39,0,
(0,1),-0.311424 # DEPENDENCYPART_ARC
(0,2),-0.565228 # DEPENDENCYPART_ARC
(0,3),-0.542854 # DEPENDENCYPART_ARC
(0,5),-0.681516 # DEPENDENCYPART_ARC
(0,6),-0.57042 # DEPENDENCYPART_ARC
(0,7),-0.794902 # DEPENDENCYPART_ARC
(0,9),-0.815222 # DEPENDENCYPART_ARC
(0,11),0.0082769 # DEPENDENCYPART_ARC
(0,13),-0.196415 # DEPENDENCYPART_ARC
(0,20),-0.287671 # DEPENDENCYPART_ARC
(0,21),-1.2768 # DEPENDENCYPART_ARC
(0,34),-0.210291 # DEPENDENCYPART_ARC
(0,41),4.19051 # DEPENDENCYPART_ARC
(1,2),-0.167868 # DEPENDENCYPART_ARC
(1,3),-0.578627 # DEPENDENCYPART_ARC
(1,6),-1.39785 # DEPENDENCYPART_ARC
(2,1),0.3688 # DEPENDENCYPART_ARC
(2,3),0.449987 # DEPENDENCYPART_ARC
(2,5),-0.304935 # DEPENDENCYPART_ARC
(2,6),-0.708872 # DEPENDENCYPART_ARC
(2,7),-0.814405 # DEPENDENCYPART_ARC
(2,9),-0.803053 # DEPENDENCYPART_ARC
(2,11),-0.652769 # DEPENDENCYPART_ARC
(2,13),-1.19411 # DEPENDENCYPART_ARC
(2,14),-1.42846 # DEPENDENCYPART_ARC
(3,1),-0.689476 # DEPENDENCYPART_ARC
(3,2),0.115591 # DEPENDENCYPART_ARC
(3,4),-0.143016 # DEPENDENCYPART_ARC
(3,5),-0.111093 # DEPENDENCYPART_ARC
(3,6),0.341797 # DEPENDENCYPART_ARC
(3,7),-0.52767 # DEPENDENCYPART_ARC
(3,11),-0.607111 # DEPENDENCYPART_ARC
(5,1),-0.66346 # DEPENDENCYPART_ARC
(5,4),0.279938 # DEPENDENCYPART_ARC
(5,6),-0.530279 # DEPENDENCYPART_ARC
(5,7),-0.355009 # DEPENDENCYPART_ARC
(5,13),-0.970522 # DEPENDENCYPART_ARC
(6,1),-0.517483 # DEPENDENCYPART_ARC
(6,2),-0.0194055 # DEPENDENCYPART_ARC
(6,3),-0.695557 # DEPENDENCYPART_ARC
(6,4),2.29434 # DEPENDENCYPART_ARC
(6,5),2.53361 # DEPENDENCYPART_ARC
(6,7),0.394937 # DEPENDENCYPART_ARC
(6,8),-0.86833 # DEPENDENCYPART_ARC
(6,9),-0.563612 # DEPENDENCYPART_ARC
(6,11),-0.407613 # DEPENDENCYPART_ARC
(6,13),-0.24913 # DEPENDENCYPART_ARC
(6,14),-1.10566 # DEPENDENCYPART_ARC
(6,20),-1.28527 # DEPENDENCYPART_ARC
(7,1),-0.808099 # DEPENDENCYPART_ARC
(7,2),-0.746065 # DEPENDENCYPART_ARC
(7,3),-0.938498 # DEPENDENCYPART_ARC
