# _root_ * Πάρτε το ποτό σας και καθίστε κάπου κοντά στο Pierro's , ένα από τα διασημότερα και παλαιότερα gay μπαρ του κόσμου , για να δείτε τον κόσμο που πηγαινοέρχεται τα βράδυα .
#goldHeads=6,6,4,2,4,0,6,9,7,9,12,10,12,13,20,17,20,17,20,14,22,20,24,6,26,24,28,26,30,28,32,30,0,
#predictedHeads=0,6,4,2,4,0,6,9,7,9,10,7,12,13,16,14,20,20,20,14,22,20,24,20,26,24,28,26,30,28,32,30,0,
(0,1),0.764985 # DEPENDENCYPART_ARC
(0,2),0.324832 # DEPENDENCYPART_ARC
(0,4),-0.610713 # DEPENDENCYPART_ARC
(0,6),-0.110726 # DEPENDENCYPART_ARC
(0,7),-0.303876 # DEPENDENCYPART_ARC
(0,11),-0.40442 # DEPENDENCYPART_ARC
(0,12),-0.109175 # DEPENDENCYPART_ARC
(0,16),-1.0386 # DEPENDENCYPART_ARC
(0,17),-0.353535 # DEPENDENCYPART_ARC
(0,19),-0.475379 # DEPENDENCYPART_ARC
(0,26),-0.990586 # DEPENDENCYPART_ARC
(0,28),-0.781346 # DEPENDENCYPART_ARC
(0,30),-0.828913 # DEPENDENCYPART_ARC
(0,32),-0.747996 # DEPENDENCYPART_ARC
(0,33),3.0902 # DEPENDENCYPART_ARC
(1,2),-0.729531 # DEPENDENCYPART_ARC
(1,4),-1.703 # DEPENDENCYPART_ARC
(1,7),-1.53327 # DEPENDENCYPART_ARC
(2,1),0.370577 # DEPENDENCYPART_ARC
(2,3),-0.2113 # DEPENDENCYPART_ARC
(2,4),1.06327 # DEPENDENCYPART_ARC
(2,6),0.0694742 # DEPENDENCYPART_ARC
(2,7),-0.916398 # DEPENDENCYPART_ARC
(2,8),-0.709484 # DEPENDENCYPART_ARC
(2,9),-0.677407 # DEPENDENCYPART_ARC
(2,10),-0.18577 # DEPENDENCYPART_ARC
(2,12),0.165758 # DEPENDENCYPART_ARC
(2,14),-1.06861 # DEPENDENCYPART_ARC
(2,17),-0.766764 # DEPENDENCYPART_ARC
(2,18),-0.306554 # DEPENDENCYPART_ARC
(2,23),0.018881 # DEPENDENCYPART_ARC
(2,24),-0.98542 # DEPENDENCYPART_ARC
(2,33),0.150428 # DEPENDENCYPART_ARC
(3,6),-0.542086 # DEPENDENCYPART_ARC
(4,1),-0.793507 # DEPENDENCYPART_ARC
(4,2),-1.01491 # DEPENDENCYPART_ARC
(4,3),2.41809 # DEPENDENCYPART_ARC
(4,5),1.51285 # DEPENDENCYPART_ARC
(4,6),-0.171876 # DEPENDENCYPART_ARC
(4,7),-0.878912 # DEPENDENCYPART_ARC
(4,8),-0.725677 # DEPENDENCYPART_ARC
(4,9),-0.732233 # DEPENDENCYPART_ARC
(4,11),-1.03367 # DEPENDENCYPART_ARC
(4,30),-1.18033 # DEPENDENCYPART_ARC
(6,1),-0.279737 # DEPENDENCYPART_ARC
(6,2),0.621656 # DEPENDENCYPART_ARC
(6,3),-0.3088 # DEPENDENCYPART_ARC
(6,4),0.24219 # DEPENDENCYPART_ARC
(6,7),1.45191 # DEPENDENCYPART_ARC
(6,8),-0.506036 # DEPENDENCYPART_ARC
(6,9),-0.779466 # DEPENDENCYPART_ARC
(6,10),-0.688299 # DEPENDENCYPART_ARC
(6,12),-0.45577 # DEPENDENCYPART_ARC
(7,1),-0.879281 # DEPENDENCYPART_ARC
(7,2),-2.26177 # DEPENDENCYPART_ARC
(7,3),-0.206558 # DEPENDENCYPART_ARC
(7,4),-1.01851 # DEPENDENCYPART_ARC
(7,6),0.0750055 # DEPENDENCYPART_ARC
(7,8),1.0436 # DEPENDENCYPART_ARC
(7,9),0.624314 # DEPENDENCYPART_ARC
(7,10),0.209553 # DEPENDENCYPART_ARC
(7,11),-0.290219 # DEPENDENCYPART_ARC
(7,12),0.0953061 # DEPENDENCYPART_ARC
(7,14),-0.320083 # DEPENDENCYPART_ARC
(7,17),-0.374729 # DEPENDENCYPART_ARC
(7,18),0.129855 # DEPENDENCYPART_ARC
(7,20),-1.6624 # DEPENDENCYPART_ARC
(7,22),-3.36375 # DEPENDENCYPART_ARC
(7,23),-0.128676 # DEPENDENCYPART_ARC
(7,24),-0.492788 # DEPENDENCYPART_ARC
(7,26),-1.25453 # DEPENDENCYPART_ARC
(7,28),-3.07912 # DEPENDENCYPART_ARC
(7,32),-3.10341 # DEPENDENCYPART_ARC
(8,1),-0.791261 # DEPENDENCYPART_ARC
(8,2),-1.5714 # DEPENDENCYPART_ARC
(8,4),-1.08032 # DEPENDENCYPART_ARC
(8,6),-0.294397 # DEPENDENCYPART_ARC
(8,7),-0.587602 # DEPENDENCYPART_ARC
(8,9),-0.276434 # DEPENDENCYPART_ARC
(8,10),-0.27796 # DEPENDENCYPART_ARC
(8,12),-0.603261 # DEPENDENCYPART_ARC
(8,14),-0.856963 # DEPENDENCYPART_ARC
(8,17),-0.720216 # DEPENDENCYPART_ARC
(8,18),-1.06921 # DEPENDENCYPART_ARC
(9,1),-0.678995 # DEPENDENCYPART_ARC
(9,2),-1.44332 # DEPENDENCYPART_ARC
(9,4),-0.986656 # DEPENDENCYPART_ARC
(9,6),-0.24631 # DEPENDENCYPART_ARC
(9,7),-0.980316 # DEPENDENCYPART_ARC
(9,8),1.08064 # DEPENDENCYPART_ARC
(9,10),0.687033 # DEPENDENCYPART_ARC
(9,12),-0.24734 # DEPENDENCYPART_ARC
(9,14),-0.333213 # DEPENDENCYPART_ARC
(9,17),-0.499888 # DEPENDENCYPART_ARC
(9,18),-0.894486 # DEPENDENCYPART_ARC
(10,8),-0.744401 # DEPENDENCYPART_ARC
(10,9),-0.199946 # DEPENDENCYPART_ARC
(10,11),1.19103 # DEPENDENCYPART_ARC
(10,12),0.0392205 # DEPENDENCYPART_ARC
(11,6),-0.674996 # DEPENDENCYPART_ARC
(11,12),-0.21244 # DEPENDENCYPART_ARC
(12,2),-1.16883 # DEPENDENCYPART_ARC
(12,7),-1.10638 # DEPENDENCYPART_ARC
(12,10),-0.717003 # DEPENDENCYPART_ARC
(12,11),-0.433101 # DEPENDENCYPART_ARC
(12,13),-0.210418 # DEPENDENCYPART_ARC
(12,14),-0.885535 # DEPENDENCYPART_ARC
(12,16),-1.05959 # DEPENDENCYPART_ARC
(13,14),1.3813 # DEPENDENCYPART_ARC
(13,26),-0.776224 # DEPENDENCYPART_ARC
(14,12),-0.666901 # DEPENDENCYPART_ARC
(14,13),-0.556314 # DEPENDENCYPART_ARC
(14,15),-0.117695 # DEPENDENCYPART_ARC
(14,16),0.0364802 # DEPENDENCYPART_ARC
(14,17),-0.314581 # DEPENDENCYPART_ARC
(14,18),-0.481464 # DEPENDENCYPART_ARC
(14,19),-0.356391 # DEPENDENCYPART_ARC
(14,20),-0.204336 # DEPENDENCYPART_ARC
(14,22),-0.652134 # DEPENDENCYPART_ARC
(14,23),-0.595722 # DEPENDENCYPART_ARC
(16,14),-0.603923 # DEPENDENCYPART_ARC
(16,15),0.987169 # DEPENDENCYPART_ARC
(16,18),-0.763815 # DEPENDENCYPART_ARC
(16,19),-0.803617 # DEPENDENCYPART_ARC
(16,20),-1.54352 # DEPENDENCYPART_ARC
(16,24),-0.67731 # DEPENDENCYPART_ARC
(17,1),-1.19815 # DEPENDENCYPART_ARC
