# _root_ Τη Μύκονο την λατρεύεις ή τη μισείς : όχι μόνο δεν υπάρχει ενδιάμεση αντίδραση , αλλά συνήθως , το αρχικό συναίσθημα διαρκεί για πάντα .
#goldHeads=2,5,4,5,8,7,5,0,10,12,12,16,14,12,16,8,22,16,21,21,22,16,22,23,0,
#predictedHeads=2,5,4,5,8,7,5,9,12,12,12,16,14,12,16,0,22,22,21,21,22,16,22,23,0,
(0,2),-0.321534 # DEPENDENCYPART_ARC
(0,4),0.292075 # DEPENDENCYPART_ARC
(0,5),-0.944676 # DEPENDENCYPART_ARC
(0,7),-1.22952 # DEPENDENCYPART_ARC
(0,8),0.382077 # DEPENDENCYPART_ARC
(0,12),-0.427439 # DEPENDENCYPART_ARC
(0,13),-1.13308 # DEPENDENCYPART_ARC
(0,15),0.0513186 # DEPENDENCYPART_ARC
(0,16),-0.265186 # DEPENDENCYPART_ARC
(0,17),-0.819675 # DEPENDENCYPART_ARC
(0,18),-0.115226 # DEPENDENCYPART_ARC
(0,20),-1.4045 # DEPENDENCYPART_ARC
(0,22),-0.675549 # DEPENDENCYPART_ARC
(0,24),-0.751423 # DEPENDENCYPART_ARC
(0,25),2.69927 # DEPENDENCYPART_ARC
(2,1),2.33195 # DEPENDENCYPART_ARC
(2,4),-0.154604 # DEPENDENCYPART_ARC
(2,5),-0.662467 # DEPENDENCYPART_ARC
(2,7),-1.40856 # DEPENDENCYPART_ARC
(4,1),-0.844712 # DEPENDENCYPART_ARC
(4,2),-0.194119 # DEPENDENCYPART_ARC
(4,3),2.43365 # DEPENDENCYPART_ARC
(4,5),0.618141 # DEPENDENCYPART_ARC
(4,6),-1.01524 # DEPENDENCYPART_ARC
(4,7),-0.846004 # DEPENDENCYPART_ARC
(4,8),-0.190085 # DEPENDENCYPART_ARC
(4,10),-0.853622 # DEPENDENCYPART_ARC
(4,12),-1.55582 # DEPENDENCYPART_ARC
(4,15),-0.618769 # DEPENDENCYPART_ARC
(4,16),-0.934547 # DEPENDENCYPART_ARC
(4,24),-1.60082 # DEPENDENCYPART_ARC
(5,1),-0.678281 # DEPENDENCYPART_ARC
(5,2),0.0801652 # DEPENDENCYPART_ARC
(5,3),0.0282256 # DEPENDENCYPART_ARC
(5,4),1.00724 # DEPENDENCYPART_ARC
(5,6),-0.233691 # DEPENDENCYPART_ARC
(5,7),0.147472 # DEPENDENCYPART_ARC
(5,8),-0.10769 # DEPENDENCYPART_ARC
(5,10),-0.644345 # DEPENDENCYPART_ARC
(5,12),-0.363944 # DEPENDENCYPART_ARC
(5,13),-0.835112 # DEPENDENCYPART_ARC
(5,14),-1.37197 # DEPENDENCYPART_ARC
(5,15),-0.502413 # DEPENDENCYPART_ARC
(5,16),-0.688367 # DEPENDENCYPART_ARC
(5,18),-0.730556 # DEPENDENCYPART_ARC
(5,22),-1.40126 # DEPENDENCYPART_ARC
(5,23),-1.14721 # DEPENDENCYPART_ARC
(5,25),-0.857151 # DEPENDENCYPART_ARC
(7,5),-0.459725 # DEPENDENCYPART_ARC
(7,6),0.054558 # DEPENDENCYPART_ARC
(7,8),-0.255652 # DEPENDENCYPART_ARC
(7,10),-0.804431 # DEPENDENCYPART_ARC
(7,12),-1.57565 # DEPENDENCYPART_ARC
(8,2),-1.16389 # DEPENDENCYPART_ARC
(8,3),-1.18071 # DEPENDENCYPART_ARC
(8,4),-0.942223 # DEPENDENCYPART_ARC
(8,5),-0.52079 # DEPENDENCYPART_ARC
(8,7),-0.325045 # DEPENDENCYPART_ARC
(8,10),-0.578081 # DEPENDENCYPART_ARC
(8,12),-0.69302 # DEPENDENCYPART_ARC
(8,13),-0.96753 # DEPENDENCYPART_ARC
(8,16),-0.552571 # DEPENDENCYPART_ARC
(8,18),-0.46358 # DEPENDENCYPART_ARC
(8,20),-1.02938 # DEPENDENCYPART_ARC
(8,22),-0.788241 # DEPENDENCYPART_ARC
(9,8),0.0430466 # DEPENDENCYPART_ARC
(10,4),-1.23018 # DEPENDENCYPART_ARC
(10,5),-0.42492 # DEPENDENCYPART_ARC
(10,7),-0.660382 # DEPENDENCYPART_ARC
(10,8),-0.113122 # DEPENDENCYPART_ARC
(10,9),0.521035 # DEPENDENCYPART_ARC
(10,12),-0.646714 # DEPENDENCYPART_ARC
(10,13),-1.42565 # DEPENDENCYPART_ARC
(10,14),-1.22929 # DEPENDENCYPART_ARC
(11,14),-1.09266 # DEPENDENCYPART_ARC
(12,2),-0.906571 # DEPENDENCYPART_ARC
(12,3),0.885149 # DEPENDENCYPART_ARC
(12,4),-0.754396 # DEPENDENCYPART_ARC
(12,5),-0.402413 # DEPENDENCYPART_ARC
(12,7),-0.696519 # DEPENDENCYPART_ARC
(12,8),0.0196929 # DEPENDENCYPART_ARC
(12,9),0.562379 # DEPENDENCYPART_ARC
(12,10),0.65161 # DEPENDENCYPART_ARC
(12,11),1.8187 # DEPENDENCYPART_ARC
(12,13),0.730694 # DEPENDENCYPART_ARC
(12,14),1.52646 # DEPENDENCYPART_ARC
(12,15),0.0761017 # DEPENDENCYPART_ARC
(12,16),0.0776697 # DEPENDENCYPART_ARC
(12,17),-0.272077 # DEPENDENCYPART_ARC
(12,18),-0.24928 # DEPENDENCYPART_ARC
(12,20),-0.937519 # DEPENDENCYPART_ARC
(12,21),-0.354107 # DEPENDENCYPART_ARC
(12,22),-1.13078 # DEPENDENCYPART_ARC
(12,23),-1.24696 # DEPENDENCYPART_ARC
(12,24),-1.02577 # DEPENDENCYPART_ARC
(12,25),-0.773627 # DEPENDENCYPART_ARC
(13,10),-0.568317 # DEPENDENCYPART_ARC
(13,11),-0.351291 # DEPENDENCYPART_ARC
(13,12),-1.69763 # DEPENDENCYPART_ARC
(13,14),-0.997476 # DEPENDENCYPART_ARC
(13,15),-0.702797 # DEPENDENCYPART_ARC
(13,17),-0.783609 # DEPENDENCYPART_ARC
(13,21),-2.52987 # DEPENDENCYPART_ARC
(14,5),-0.215485 # DEPENDENCYPART_ARC
(14,6),-0.220321 # DEPENDENCYPART_ARC
(14,10),-0.729317 # DEPENDENCYPART_ARC
(14,12),-1.9511 # DEPENDENCYPART_ARC
(14,13),2.29309 # DEPENDENCYPART_ARC
(14,15),-0.159406 # DEPENDENCYPART_ARC
(14,16),-0.459955 # DEPENDENCYPART_ARC
(14,17),-0.714845 # DEPENDENCYPART_ARC
(14,20),-1.61516 # DEPENDENCYPART_ARC
(14,22),-1.51184 # DEPENDENCYPART_ARC
(15,2),-1.51209 # DEPENDENCYPART_ARC
(15,7),-1.51348 # DEPENDENCYPART_ARC
(15,13),-0.828995 # DEPENDENCYPART_ARC
(15,14),-0.408552 # DEPENDENCYPART_ARC
(15,16),-0.404052 # DEPENDENCYPART_ARC
(15,17),-1.0663 # DEPENDENCYPART_ARC
(15,18),-0.345123 # DEPENDENCYPART_ARC
(15,20),-1.26144 # DEPENDENCYPART_ARC
(15,21),-1.52677 # DEPENDENCYPART_ARC
(16,2),-0.917812 # DEPENDENCYPART_ARC
(16,4),-0.459054 # DEPENDENCYPART_ARC
(16,5),-0.350397 # DEPENDENCYPART_ARC
(16,7),-0.769684 # DEPENDENCYPART_ARC
(16,8),-0.493637 # DEPENDENCYPART_ARC
(16,9),-0.689392 # DEPENDENCYPART_ARC
(16,10),-0.419358 # DEPENDENCYPART_ARC
(16,11),-0.708491 # DEPENDENCYPART_ARC
(16,12),0.198983 # DEPENDENCYPART_ARC
(16,13),-0.392312 # DEPENDENCYPART_ARC
(16,14),-0.242546 # DEPENDENCYPART_ARC
(16,15),0.856299 # DEPENDENCYPART_ARC
(16,17),0.300007 # DEPENDENCYPART_ARC
(16,18),0.191523 # DEPENDENCYPART_ARC
(16,20),-0.104616 # DEPENDENCYPART_ARC
(16,21),-0.517837 # DEPENDENCYPART_ARC
(16,22),0.320314 # DEPENDENCYPART_ARC
(16,23),-0.826601 # DEPENDENCYPART_ARC
(16,24),-0.838802 # DEPENDENCYPART_ARC
(16,25),-0.437986 # DEPENDENCYPART_ARC
(17,4),-1.13491 # DEPENDENCYPART_ARC
(17,8),-0.370613 # DEPENDENCYPART_ARC
(17,10),-0.23914 # DEPENDENCYPART_ARC
(17,14),-0.553398 # DEPENDENCYPART_ARC
(17,15),0.129698 # DEPENDENCYPART_ARC
(17,16),0.58093 # DEPENDENCYPART_ARC
(17,18),-0.21117 # DEPENDENCYPART_ARC
(17,20),-1.10601 # DEPENDENCYPART_ARC
(17,21),-0.974217 # DEPENDENCYPART_ARC
(17,22),-1.0719 # DEPENDENCYPART_ARC
(17,23),-1.40544 # DEPENDENCYPART_ARC
(18,2),-1.47047 # DEPENDENCYPART_ARC
(18,4),-1.20107 # DEPENDENCYPART_ARC
(18,13),-1.30192 # DEPENDENCYPART_ARC
(18,14),-1.04947 # DEPENDENCYPART_ARC
(18,15),-0.619662 # DEPENDENCYPART_ARC
(18,17),-0.292295 # DEPENDENCYPART_ARC
(18,20),-0.880826 # DEPENDENCYPART_ARC
(18,21),-1.1133 # DEPENDENCYPART_ARC
(18,22),-0.938405 # DEPENDENCYPART_ARC
(18,23),-1.12823 # DEPENDENCYPART_ARC
(18,24),-1.27236 # DEPENDENCYPART_ARC
(20,17),-0.394001 # DEPENDENCYPART_ARC
(20,18),-0.436161 # DEPENDENCYPART_ARC
(20,19),0.89967 # DEPENDENCYPART_ARC
(20,21),-0.766232 # DEPENDENCYPART_ARC
(20,23),-0.695968 # DEPENDENCYPART_ARC
(20,24),-0.969708 # DEPENDENCYPART_ARC
(21,16),-0.166034 # DEPENDENCYPART_ARC
(21,17),-0.613274 # DEPENDENCYPART_ARC
(21,18),-0.406537 # DEPENDENCYPART_ARC
(21,19),2.40731 # DEPENDENCYPART_ARC
(21,20),2.50617 # DEPENDENCYPART_ARC
(21,22),-0.643667 # DEPENDENCYPART_ARC
(21,23),-0.487361 # DEPENDENCYPART_ARC
(21,24),-0.979899 # DEPENDENCYPART_ARC
(22,4),-1.13312 # DEPENDENCYPART_ARC
(22,5),-0.399365 # DEPENDENCYPART_ARC
(22,7),-1.57749 # DEPENDENCYPART_ARC
(22,8),-0.826758 # DEPENDENCYPART_ARC
(22,10),-0.471234 # DEPENDENCYPART_ARC
(22,12),-1.10454 # DEPENDENCYPART_ARC
(22,13),-1.13309 # DEPENDENCYPART_ARC
(22,14),-0.449038 # DEPENDENCYPART_ARC
(22,15),-0.129801 # DEPENDENCYPART_ARC
(22,16),-0.508284 # DEPENDENCYPART_ARC
(22,17),0.0868036 # DEPENDENCYPART_ARC
(22,18),0.326773 # DEPENDENCYPART_ARC
