# _root_ Τέλος , κύριε Πρόεδρε , θα αναφερθώ στη συζήτηση σχετικά με τη Συνέλευση και τη διακυβέρνηση .
#goldHeads=7,4,4,7,4,7,0,7,8,9,10,13,14,11,16,14,0,
#predictedHeads=7,4,4,7,7,7,0,7,8,9,10,13,14,11,16,14,0,
(0,1),-0.248263 # DEPENDENCYPART_ARC
(0,2),-0.0979287 # DEPENDENCYPART_ARC
(0,3),-0.182922 # DEPENDENCYPART_ARC
(0,4),-0.158531 # DEPENDENCYPART_ARC
(0,5),-0.095241 # DEPENDENCYPART_ARC
(0,7),0.0432256 # DEPENDENCYPART_ARC
(0,8),-0.929777 # DEPENDENCYPART_ARC
(0,9),-0.927679 # DEPENDENCYPART_ARC
(0,10),-1.00782 # DEPENDENCYPART_ARC
(0,11),-0.951381 # DEPENDENCYPART_ARC
(0,13),-1.06737 # DEPENDENCYPART_ARC
(0,14),-0.648507 # DEPENDENCYPART_ARC
(0,16),-1.01232 # DEPENDENCYPART_ARC
(0,17),2.0155 # DEPENDENCYPART_ARC
(1,2),-0.233556 # DEPENDENCYPART_ARC
(1,3),-0.444004 # DEPENDENCYPART_ARC
(1,4),-0.978018 # DEPENDENCYPART_ARC
(1,5),-0.825538 # DEPENDENCYPART_ARC
(1,7),-1.17382 # DEPENDENCYPART_ARC
(1,11),-1.28805 # DEPENDENCYPART_ARC
(2,1),-0.406722 # DEPENDENCYPART_ARC
(2,3),-0.48115 # DEPENDENCYPART_ARC
(2,4),-0.960199 # DEPENDENCYPART_ARC
(2,5),-0.334069 # DEPENDENCYPART_ARC
(2,7),-1.19186 # DEPENDENCYPART_ARC
(2,8),-1.31434 # DEPENDENCYPART_ARC
(3,1),-0.470018 # DEPENDENCYPART_ARC
(3,2),-0.0912772 # DEPENDENCYPART_ARC
(3,4),-0.639811 # DEPENDENCYPART_ARC
(3,5),-0.33524 # DEPENDENCYPART_ARC
(3,7),-0.695099 # DEPENDENCYPART_ARC
(3,8),-0.995095 # DEPENDENCYPART_ARC
(3,9),-2.14485 # DEPENDENCYPART_ARC
(3,10),-0.708024 # DEPENDENCYPART_ARC
(3,11),-1.05311 # DEPENDENCYPART_ARC
(3,14),-0.498503 # DEPENDENCYPART_ARC
(3,17),-0.548677 # DEPENDENCYPART_ARC
(4,1),-0.0189038 # DEPENDENCYPART_ARC
(4,2),0.539395 # DEPENDENCYPART_ARC
(4,3),2.80017 # DEPENDENCYPART_ARC
(4,5),0.164586 # DEPENDENCYPART_ARC
(4,7),-0.6172 # DEPENDENCYPART_ARC
(4,8),-1.06286 # DEPENDENCYPART_ARC
(4,9),-1.84243 # DEPENDENCYPART_ARC
(4,10),-0.842728 # DEPENDENCYPART_ARC
(5,1),-1.00522 # DEPENDENCYPART_ARC
(5,2),-0.392831 # DEPENDENCYPART_ARC
(5,3),-0.932014 # DEPENDENCYPART_ARC
(5,4),-0.516212 # DEPENDENCYPART_ARC
(5,7),-1.12861 # DEPENDENCYPART_ARC
(5,8),-1.12768 # DEPENDENCYPART_ARC
(5,9),-1.50575 # DEPENDENCYPART_ARC
(5,10),-1.44362 # DEPENDENCYPART_ARC
(5,13),-1.8321 # DEPENDENCYPART_ARC
(5,17),-0.892416 # DEPENDENCYPART_ARC
(7,1),0.579426 # DEPENDENCYPART_ARC
(7,2),0.336403 # DEPENDENCYPART_ARC
(7,3),-0.229404 # DEPENDENCYPART_ARC
(7,4),-0.191817 # DEPENDENCYPART_ARC
(7,5),0.718299 # DEPENDENCYPART_ARC
(7,6),2.03936 # DEPENDENCYPART_ARC
(7,8),1.91188 # DEPENDENCYPART_ARC
(7,9),0.217099 # DEPENDENCYPART_ARC
(7,10),0.533621 # DEPENDENCYPART_ARC
(7,11),0.311672 # DEPENDENCYPART_ARC
(7,13),-1.33467 # DEPENDENCYPART_ARC
(7,14),-0.0853922 # DEPENDENCYPART_ARC
(7,16),-1.72811 # DEPENDENCYPART_ARC
(7,17),0.00913193 # DEPENDENCYPART_ARC
(8,9),2.79689 # DEPENDENCYPART_ARC
(8,11),-0.780546 # DEPENDENCYPART_ARC
(9,1),-1.64686 # DEPENDENCYPART_ARC
(9,2),-1.53133 # DEPENDENCYPART_ARC
(9,3),-1.53514 # DEPENDENCYPART_ARC
(9,4),-1.52536 # DEPENDENCYPART_ARC
(9,5),-1.50329 # DEPENDENCYPART_ARC
(9,8),-0.245868 # DEPENDENCYPART_ARC
(9,10),0.154684 # DEPENDENCYPART_ARC
(9,11),-0.269819 # DEPENDENCYPART_ARC
(9,13),-1.13352 # DEPENDENCYPART_ARC
(9,14),-0.392501 # DEPENDENCYPART_ARC
(9,16),-1.78931 # DEPENDENCYPART_ARC
(9,17),-0.638188 # DEPENDENCYPART_ARC
(10,1),-0.716526 # DEPENDENCYPART_ARC
(10,2),-0.894859 # DEPENDENCYPART_ARC
(10,3),-1.32947 # DEPENDENCYPART_ARC
(10,4),-1.31781 # DEPENDENCYPART_ARC
(10,5),-0.685624 # DEPENDENCYPART_ARC
(10,7),-1.44392 # DEPENDENCYPART_ARC
(10,8),-0.514455 # DEPENDENCYPART_ARC
(10,9),-0.437502 # DEPENDENCYPART_ARC
(10,11),1.17527 # DEPENDENCYPART_ARC
(10,13),-0.739946 # DEPENDENCYPART_ARC
(10,14),-0.323333 # DEPENDENCYPART_ARC
(10,16),-1.2045 # DEPENDENCYPART_ARC
(10,17),-0.514182 # DEPENDENCYPART_ARC
(11,7),-1.30987 # DEPENDENCYPART_ARC
(11,9),-1.29158 # DEPENDENCYPART_ARC
(11,10),-0.218401 # DEPENDENCYPART_ARC
(11,12),-0.18086 # DEPENDENCYPART_ARC
(11,13),1.02011 # DEPENDENCYPART_ARC
(11,14),0.234374 # DEPENDENCYPART_ARC
(11,16),-0.181164 # DEPENDENCYPART_ARC
(11,17),-0.625685 # DEPENDENCYPART_ARC
(12,13),-0.417846 # DEPENDENCYPART_ARC
(12,14),-0.383185 # DEPENDENCYPART_ARC
(13,1),-1.2766 # DEPENDENCYPART_ARC
(13,5),-1.41414 # DEPENDENCYPART_ARC
(13,9),-1.29569 # DEPENDENCYPART_ARC
(13,10),-0.766455 # DEPENDENCYPART_ARC
(13,11),-0.597748 # DEPENDENCYPART_ARC
(13,12),2.44268 # DEPENDENCYPART_ARC
(13,14),-0.0919897 # DEPENDENCYPART_ARC
(13,15),-1.10868 # DEPENDENCYPART_ARC
(13,16),-1.14706 # DEPENDENCYPART_ARC
(13,17),-0.762239 # DEPENDENCYPART_ARC
(14,1),-0.950078 # DEPENDENCYPART_ARC
(14,2),-0.763891 # DEPENDENCYPART_ARC
(14,3),-1.05314 # DEPENDENCYPART_ARC
(14,4),-0.813245 # DEPENDENCYPART_ARC
(14,5),-0.388388 # DEPENDENCYPART_ARC
(14,7),-0.126833 # DEPENDENCYPART_ARC
(14,8),-0.442197 # DEPENDENCYPART_ARC
(14,9),-0.485585 # DEPENDENCYPART_ARC
(14,10),-0.538198 # DEPENDENCYPART_ARC
(14,11),-0.108315 # DEPENDENCYPART_ARC
(14,12),-0.345666 # DEPENDENCYPART_ARC
(14,13),1.47864 # DEPENDENCYPART_ARC
(14,15),-0.170469 # DEPENDENCYPART_ARC
(14,16),0.706562 # DEPENDENCYPART_ARC
(14,17),-0.248055 # DEPENDENCYPART_ARC
(15,16),-0.485622 # DEPENDENCYPART_ARC
(16,12),0.136697 # DEPENDENCYPART_ARC
(16,13),-1.13516 # DEPENDENCYPART_ARC
(16,14),-0.0756119 # DEPENDENCYPART_ARC
(16,15),2.25552 # DEPENDENCYPART_ARC
(16,17),-0.229273 # DEPENDENCYPART_ARC
(17,2),-1.56299 # DEPENDENCYPART_ARC
(17,3),-2.02643 # DEPENDENCYPART_ARC
(17,4),-2.09921 # DEPENDENCYPART_ARC
(17,7),-1.81882 # DEPENDENCYPART_ARC
(17,8),-1.62536 # DEPENDENCYPART_ARC
(17,10),-1.35227 # DEPENDENCYPART_ARC
(17,11),-1.45598 # DEPENDENCYPART_ARC
(17,13),-1.71207 # DEPENDENCYPART_ARC
(17,14),-1.13299 # DEPENDENCYPART_ARC
(17,16),-1.16028 # DEPENDENCYPART_ARC
