# _root_ Στα νερά του , ο επισκέπτης μπορεί να κάνει καγιάκ ή ράφτινγκ , ενώ η γύρω περιοχή είναι ιδανική για περιηγητικούς περιπάτους στη φύση .
#goldHeads=7,1,2,7,6,7,14,9,7,11,9,11,14,0,17,17,18,14,18,19,22,20,22,23,0,
#predictedHeads=7,1,2,7,6,7,14,9,7,11,9,11,14,0,17,17,18,14,18,19,22,20,22,23,0,
(0,1),-0.302951 # DEPENDENCYPART_ARC
(0,2),-0.292307 # DEPENDENCYPART_ARC
(0,4),-0.139979 # DEPENDENCYPART_ARC
(0,6),-0.804498 # DEPENDENCYPART_ARC
(0,7),0.630009 # DEPENDENCYPART_ARC
(0,9),-0.452409 # DEPENDENCYPART_ARC
(0,11),-1.02002 # DEPENDENCYPART_ARC
(0,12),-0.918647 # DEPENDENCYPART_ARC
(0,13),-0.216995 # DEPENDENCYPART_ARC
(0,14),0.446241 # DEPENDENCYPART_ARC
(0,18),0.319003 # DEPENDENCYPART_ARC
(0,25),2.87579 # DEPENDENCYPART_ARC
(1,2),2.37157 # DEPENDENCYPART_ARC
(1,4),-0.218705 # DEPENDENCYPART_ARC
(2,1),-0.756573 # DEPENDENCYPART_ARC
(2,3),1.60655 # DEPENDENCYPART_ARC
(2,4),-0.344571 # DEPENDENCYPART_ARC
(2,6),-0.701134 # DEPENDENCYPART_ARC
(2,7),-0.679582 # DEPENDENCYPART_ARC
(2,9),-1.51177 # DEPENDENCYPART_ARC
(2,11),-0.513695 # DEPENDENCYPART_ARC
(4,1),-0.724868 # DEPENDENCYPART_ARC
(4,2),-0.70972 # DEPENDENCYPART_ARC
(4,6),-0.88914 # DEPENDENCYPART_ARC
(4,7),-0.920606 # DEPENDENCYPART_ARC
(6,2),-2.13083 # DEPENDENCYPART_ARC
(6,3),-0.371418 # DEPENDENCYPART_ARC
(6,4),-0.523654 # DEPENDENCYPART_ARC
(6,5),2.30136 # DEPENDENCYPART_ARC
(6,7),-0.83144 # DEPENDENCYPART_ARC
(6,8),-1.03377 # DEPENDENCYPART_ARC
(6,9),-1.47954 # DEPENDENCYPART_ARC
(6,10),-1.28552 # DEPENDENCYPART_ARC
(7,1),-0.0914047 # DEPENDENCYPART_ARC
(7,2),-1.28147 # DEPENDENCYPART_ARC
(7,4),0.408891 # DEPENDENCYPART_ARC
(7,5),-0.617134 # DEPENDENCYPART_ARC
(7,6),1.11063 # DEPENDENCYPART_ARC
(7,8),0.319961 # DEPENDENCYPART_ARC
(7,9),1.48219 # DEPENDENCYPART_ARC
(7,10),0.114571 # DEPENDENCYPART_ARC
(7,11),0.144257 # DEPENDENCYPART_ARC
(7,12),-0.327459 # DEPENDENCYPART_ARC
(7,13),-0.0309214 # DEPENDENCYPART_ARC
(7,14),-0.163618 # DEPENDENCYPART_ARC
(7,16),-0.831819 # DEPENDENCYPART_ARC
(7,18),-1.53613 # DEPENDENCYPART_ARC
(7,20),-1.16475 # DEPENDENCYPART_ARC
(7,22),-1.50559 # DEPENDENCYPART_ARC
(7,23),-1.23774 # DEPENDENCYPART_ARC
(7,25),-0.13371 # DEPENDENCYPART_ARC
(8,9),-0.267111 # DEPENDENCYPART_ARC
(8,10),-0.767721 # DEPENDENCYPART_ARC
(9,1),-0.419512 # DEPENDENCYPART_ARC
(9,2),-1.71749 # DEPENDENCYPART_ARC
(9,4),-0.328787 # DEPENDENCYPART_ARC
(9,5),-1.7349 # DEPENDENCYPART_ARC
(9,6),-0.00885647 # DEPENDENCYPART_ARC
(9,7),-0.339315 # DEPENDENCYPART_ARC
(9,8),1.91013 # DEPENDENCYPART_ARC
(9,10),1.88106 # DEPENDENCYPART_ARC
(9,11),0.486149 # DEPENDENCYPART_ARC
(9,12),0.281245 # DEPENDENCYPART_ARC
(9,13),-0.0687077 # DEPENDENCYPART_ARC
(9,14),0.00770365 # DEPENDENCYPART_ARC
(9,16),-0.654628 # DEPENDENCYPART_ARC
(9,17),-0.757214 # DEPENDENCYPART_ARC
(9,18),-1.46905 # DEPENDENCYPART_ARC
(9,20),-1.23503 # DEPENDENCYPART_ARC
(9,22),-1.65495 # DEPENDENCYPART_ARC
(9,23),-0.854421 # DEPENDENCYPART_ARC
(10,5),-0.647382 # DEPENDENCYPART_ARC
(10,6),-0.565057 # DEPENDENCYPART_ARC
(10,7),-2.18621 # DEPENDENCYPART_ARC
(10,9),-0.52366 # DEPENDENCYPART_ARC
(10,11),-0.130887 # DEPENDENCYPART_ARC
(10,12),-0.693137 # DEPENDENCYPART_ARC
(10,13),-0.654868 # DEPENDENCYPART_ARC
(10,14),-0.869253 # DEPENDENCYPART_ARC
