# _root_ Ασφαλώς , η συνόψιση των μέχρι τώρα οδηγιών , η εναρμόνιση και ο εκσυγχρονισμός τους αποτελούν ένα πολύ ουσιαστικό βήμα .
#goldHeads=16,16,4,12,8,8,6,4,12,11,12,16,14,12,14,0,20,19,20,16,0,
#predictedHeads=16,16,4,12,6,4,6,6,12,11,12,16,14,12,14,0,20,19,20,16,0,
(0,1),-0.239525 # DEPENDENCYPART_ARC
(0,2),-0.170311 # DEPENDENCYPART_ARC
(0,4),-0.449598 # DEPENDENCYPART_ARC
(0,6),-0.561609 # DEPENDENCYPART_ARC
(0,7),-0.858386 # DEPENDENCYPART_ARC
(0,8),-0.952359 # DEPENDENCYPART_ARC
(0,9),-0.0730376 # DEPENDENCYPART_ARC
(0,11),-0.791023 # DEPENDENCYPART_ARC
(0,12),-0.796212 # DEPENDENCYPART_ARC
(0,14),-0.84603 # DEPENDENCYPART_ARC
(0,16),-0.224268 # DEPENDENCYPART_ARC
(0,18),-0.993346 # DEPENDENCYPART_ARC
(0,19),-1.31633 # DEPENDENCYPART_ARC
(0,20),-1.08358 # DEPENDENCYPART_ARC
(0,21),2.44308 # DEPENDENCYPART_ARC
(1,2),-0.187769 # DEPENDENCYPART_ARC
(1,4),-0.931323 # DEPENDENCYPART_ARC
(1,6),-0.844003 # DEPENDENCYPART_ARC
(1,7),-1.15518 # DEPENDENCYPART_ARC
(1,8),-1.33742 # DEPENDENCYPART_ARC
(1,9),-0.887902 # DEPENDENCYPART_ARC
(1,12),-0.853547 # DEPENDENCYPART_ARC
(1,16),-1.17051 # DEPENDENCYPART_ARC
(2,1),-0.584191 # DEPENDENCYPART_ARC
(2,4),-0.870468 # DEPENDENCYPART_ARC
(2,6),-0.863639 # DEPENDENCYPART_ARC
(2,8),-1.47492 # DEPENDENCYPART_ARC
(2,9),-0.562145 # DEPENDENCYPART_ARC
(2,12),-0.394545 # DEPENDENCYPART_ARC
(2,16),-0.786861 # DEPENDENCYPART_ARC
(4,1),-1.10831 # DEPENDENCYPART_ARC
(4,2),-0.63019 # DEPENDENCYPART_ARC
(4,3),2.50285 # DEPENDENCYPART_ARC
(4,5),0.0783977 # DEPENDENCYPART_ARC
(4,6),0.227315 # DEPENDENCYPART_ARC
(4,7),-0.0786981 # DEPENDENCYPART_ARC
(4,8),0.675486 # DEPENDENCYPART_ARC
(4,9),-0.105872 # DEPENDENCYPART_ARC
(4,11),-1.19331 # DEPENDENCYPART_ARC
(4,12),0.0903419 # DEPENDENCYPART_ARC
(4,14),-1.91975 # DEPENDENCYPART_ARC
(4,16),-0.741873 # DEPENDENCYPART_ARC
(4,18),-0.719335 # DEPENDENCYPART_ARC
(4,21),-0.314312 # DEPENDENCYPART_ARC
(5,7),-0.889209 # DEPENDENCYPART_ARC
(6,4),-1.17479 # DEPENDENCYPART_ARC
(6,5),-0.22129 # DEPENDENCYPART_ARC
(6,7),0.850841 # DEPENDENCYPART_ARC
(6,8),1.22052 # DEPENDENCYPART_ARC
(6,9),-0.0610857 # DEPENDENCYPART_ARC
(6,11),-0.339804 # DEPENDENCYPART_ARC
(6,12),-0.0656165 # DEPENDENCYPART_ARC
(6,14),-1.04113 # DEPENDENCYPART_ARC
(6,21),-0.708355 # DEPENDENCYPART_ARC
(7,1),-0.933348 # DEPENDENCYPART_ARC
(7,2),-1.07865 # DEPENDENCYPART_ARC
(7,4),-1.34511 # DEPENDENCYPART_ARC
(7,5),-0.582806 # DEPENDENCYPART_ARC
(7,6),-0.241463 # DEPENDENCYPART_ARC
(7,8),0.13503 # DEPENDENCYPART_ARC
(7,9),-0.689269 # DEPENDENCYPART_ARC
(7,11),-1.07935 # DEPENDENCYPART_ARC
(7,12),-0.669758 # DEPENDENCYPART_ARC
(7,14),-1.41523 # DEPENDENCYPART_ARC
(7,16),-1.25629 # DEPENDENCYPART_ARC
(7,18),-1.44733 # DEPENDENCYPART_ARC
(8,1),-0.947195 # DEPENDENCYPART_ARC
(8,2),-0.871611 # DEPENDENCYPART_ARC
(8,3),-1.17174 # DEPENDENCYPART_ARC
(8,4),-2.07076 # DEPENDENCYPART_ARC
(8,5),-0.0179078 # DEPENDENCYPART_ARC
(8,6),-0.275003 # DEPENDENCYPART_ARC
(8,7),0.564272 # DEPENDENCYPART_ARC
(8,9),-0.363428 # DEPENDENCYPART_ARC
(8,10),-1.322 # DEPENDENCYPART_ARC
(8,11),-1.40443 # DEPENDENCYPART_ARC
(8,12),-0.728329 # DEPENDENCYPART_ARC
(8,16),-1.18286 # DEPENDENCYPART_ARC
(8,20),-2.98781 # DEPENDENCYPART_ARC
(9,1),-1.08762 # DEPENDENCYPART_ARC
(9,2),-1.20571 # DEPENDENCYPART_ARC
(9,4),-1.30912 # DEPENDENCYPART_ARC
(9,6),-0.826916 # DEPENDENCYPART_ARC
(9,7),-0.912655 # DEPENDENCYPART_ARC
(9,8),-0.460806 # DEPENDENCYPART_ARC
(9,11),-0.692958 # DEPENDENCYPART_ARC
(9,12),-0.394698 # DEPENDENCYPART_ARC
