# _root_ Επομένως όταν οι άνθρωποι βρίσκονται κοντά σε πηγές , ο οργανισμός τους αντιδρά , αυξάνοντας τον καρδιακό παλμό και την αρτηριακή πίεση ή προκαλώντας ορμονικές αλλαγές .
#goldHeads=13,13,4,5,2,5,6,7,2,11,13,11,0,23,23,18,18,19,15,22,22,19,13,23,26,24,0,
#predictedHeads=13,13,4,5,2,5,5,7,13,11,13,11,0,13,13,18,18,19,15,22,22,19,22,23,26,24,0,
(0,1),-0.355345 # DEPENDENCYPART_ARC
(0,2),-0.711662 # DEPENDENCYPART_ARC
(0,4),-0.560721 # DEPENDENCYPART_ARC
(0,5),0.397039 # DEPENDENCYPART_ARC
(0,9),-0.273253 # DEPENDENCYPART_ARC
(0,13),-0.475147 # DEPENDENCYPART_ARC
(0,14),-0.231596 # DEPENDENCYPART_ARC
(0,15),-1.2256 # DEPENDENCYPART_ARC
(0,19),-0.647566 # DEPENDENCYPART_ARC
(0,21),-1.18219 # DEPENDENCYPART_ARC
(0,23),-1.30799 # DEPENDENCYPART_ARC
(0,24),-1.79978 # DEPENDENCYPART_ARC
(0,26),-1.04099 # DEPENDENCYPART_ARC
(0,27),3.38726 # DEPENDENCYPART_ARC
(1,2),-0.0717889 # DEPENDENCYPART_ARC
(1,4),-0.965224 # DEPENDENCYPART_ARC
(1,5),-0.91728 # DEPENDENCYPART_ARC
(2,1),0.345367 # DEPENDENCYPART_ARC
(2,3),-0.0235461 # DEPENDENCYPART_ARC
(2,5),0.856545 # DEPENDENCYPART_ARC
(2,6),-0.657274 # DEPENDENCYPART_ARC
(2,9),-0.226443 # DEPENDENCYPART_ARC
(2,13),-0.638033 # DEPENDENCYPART_ARC
(2,14),-0.266151 # DEPENDENCYPART_ARC
(2,15),-1.01425 # DEPENDENCYPART_ARC
(2,19),-0.513786 # DEPENDENCYPART_ARC
(2,23),-0.698627 # DEPENDENCYPART_ARC
(2,24),-1.32565 # DEPENDENCYPART_ARC
(4,1),-0.688901 # DEPENDENCYPART_ARC
(4,3),2.37751 # DEPENDENCYPART_ARC
(4,5),-0.732171 # DEPENDENCYPART_ARC
(4,6),-0.521993 # DEPENDENCYPART_ARC
(4,7),-0.900004 # DEPENDENCYPART_ARC
(4,8),-2.0272 # DEPENDENCYPART_ARC
(5,1),0.251124 # DEPENDENCYPART_ARC
(5,2),-0.191298 # DEPENDENCYPART_ARC
(5,3),-0.357453 # DEPENDENCYPART_ARC
(5,4),1.03461 # DEPENDENCYPART_ARC
(5,6),1.09371 # DEPENDENCYPART_ARC
(5,7),0.670004 # DEPENDENCYPART_ARC
(5,8),0.0346482 # DEPENDENCYPART_ARC
(5,9),-0.210999 # DEPENDENCYPART_ARC
(5,11),-0.829249 # DEPENDENCYPART_ARC
(5,13),-1.99537 # DEPENDENCYPART_ARC
(5,14),-0.521872 # DEPENDENCYPART_ARC
(5,15),0.576625 # DEPENDENCYPART_ARC
(5,18),-1.94695 # DEPENDENCYPART_ARC
(5,19),-0.542121 # DEPENDENCYPART_ARC
(5,23),-0.809118 # DEPENDENCYPART_ARC
(6,1),-0.549966 # DEPENDENCYPART_ARC
(6,3),-0.785607 # DEPENDENCYPART_ARC
(6,4),-0.883059 # DEPENDENCYPART_ARC
(6,5),-0.691506 # DEPENDENCYPART_ARC
(6,7),0.377069 # DEPENDENCYPART_ARC
(6,8),-0.606 # DEPENDENCYPART_ARC
(6,9),-0.433631 # DEPENDENCYPART_ARC
(6,11),-0.940008 # DEPENDENCYPART_ARC
(6,13),-1.19904 # DEPENDENCYPART_ARC
(6,14),-0.830398 # DEPENDENCYPART_ARC
(7,4),-1.44235 # DEPENDENCYPART_ARC
(7,6),-0.273421 # DEPENDENCYPART_ARC
(7,8),2.23884 # DEPENDENCYPART_ARC
(7,9),-0.0884036 # DEPENDENCYPART_ARC
(7,11),-0.163645 # DEPENDENCYPART_ARC
(8,3),-1.7093 # DEPENDENCYPART_ARC
(8,6),-0.543419 # DEPENDENCYPART_ARC
(8,7),-0.447836 # DEPENDENCYPART_ARC
(8,9),-0.120431 # DEPENDENCYPART_ARC
(8,10),-1.22406 # DEPENDENCYPART_ARC
(8,11),-1.36667 # DEPENDENCYPART_ARC
(8,13),-0.57889 # DEPENDENCYPART_ARC
(9,4),-1.32096 # DEPENDENCYPART_ARC
(9,5),-1.15894 # DEPENDENCYPART_ARC
(9,6),-0.78269 # DEPENDENCYPART_ARC
(9,7),-0.728736 # DEPENDENCYPART_ARC
(9,8),-0.27817 # DEPENDENCYPART_ARC
(9,11),-0.745623 # DEPENDENCYPART_ARC
(11,3),-1.84127 # DEPENDENCYPART_ARC
(11,8),-2.51843 # DEPENDENCYPART_ARC
(11,10),2.2546 # DEPENDENCYPART_ARC
(11,12),1.46848 # DEPENDENCYPART_ARC
(11,13),0.0650646 # DEPENDENCYPART_ARC
(11,14),-0.118795 # DEPENDENCYPART_ARC
(11,15),-0.381757 # DEPENDENCYPART_ARC
(11,17),-1.29195 # DEPENDENCYPART_ARC
(11,18),-1.43166 # DEPENDENCYPART_ARC
(11,23),-0.337408 # DEPENDENCYPART_ARC
(13,1),-0.0808959 # DEPENDENCYPART_ARC
(13,2),-0.069608 # DEPENDENCYPART_ARC
(13,4),-0.315638 # DEPENDENCYPART_ARC
(13,5),-1.24488 # DEPENDENCYPART_ARC
(13,6),0.068227 # DEPENDENCYPART_ARC
(13,7),-0.0186746 # DEPENDENCYPART_ARC
(13,8),-0.969538 # DEPENDENCYPART_ARC
