# _root_ Εδώ δεν πρέπει όμως να ξεχάσουμε το εξής : το ευρώ δεν είναι μόνο ένα νομισματικό πρόγραμμα , αλλά ήταν ανέκαθεν και πολιτικό πρόγραμμα , αποτελώντας τμήμα της Πολιτικής Ένωσης της Ευρώπης .
#goldHeads=3,3,4,0,6,3,8,9,6,11,13,13,19,13,17,17,13,19,9,19,20,24,24,20,26,19,26,30,30,27,32,30,0,
#predictedHeads=3,3,4,0,6,3,8,6,6,11,13,13,19,13,17,17,13,19,0,19,22,24,22,20,26,20,26,30,30,27,32,30,0,
(0,1),-0.313946 # DEPENDENCYPART_ARC
(0,3),0.587101 # DEPENDENCYPART_ARC
(0,4),-0.124768 # DEPENDENCYPART_ARC
(0,6),-0.886237 # DEPENDENCYPART_ARC
(0,9),0.199953 # DEPENDENCYPART_ARC
(0,13),-0.662934 # DEPENDENCYPART_ARC
(0,18),0.118748 # DEPENDENCYPART_ARC
(0,19),-0.157152 # DEPENDENCYPART_ARC
(0,20),-0.989625 # DEPENDENCYPART_ARC
(0,22),-0.912536 # DEPENDENCYPART_ARC
(0,24),-0.82456 # DEPENDENCYPART_ARC
(0,25),0.0373539 # DEPENDENCYPART_ARC
(0,26),-1.7782 # DEPENDENCYPART_ARC
(0,27),-0.883642 # DEPENDENCYPART_ARC
(0,33),3.89583 # DEPENDENCYPART_ARC
(1,3),-0.519468 # DEPENDENCYPART_ARC
(1,4),-0.60829 # DEPENDENCYPART_ARC
(1,6),-1.01831 # DEPENDENCYPART_ARC
(3,1),0.217768 # DEPENDENCYPART_ARC
(3,2),1.24299 # DEPENDENCYPART_ARC
(3,4),0.551286 # DEPENDENCYPART_ARC
(3,6),0.753129 # DEPENDENCYPART_ARC
(3,9),-0.424011 # DEPENDENCYPART_ARC
(3,11),-1.31376 # DEPENDENCYPART_ARC
(3,13),-1.50312 # DEPENDENCYPART_ARC
(3,16),-1.4803 # DEPENDENCYPART_ARC
(3,19),-1.02559 # DEPENDENCYPART_ARC
(3,23),-2.1413 # DEPENDENCYPART_ARC
(4,1),-0.290354 # DEPENDENCYPART_ARC
(4,2),-0.151483 # DEPENDENCYPART_ARC
(4,3),1.68128 # DEPENDENCYPART_ARC
(4,5),0.05175 # DEPENDENCYPART_ARC
(4,6),0.781435 # DEPENDENCYPART_ARC
(4,8),-0.74764 # DEPENDENCYPART_ARC
(4,9),-0.285743 # DEPENDENCYPART_ARC
(4,11),-1.38641 # DEPENDENCYPART_ARC
(4,13),-0.589981 # DEPENDENCYPART_ARC
(4,18),-0.324127 # DEPENDENCYPART_ARC
(4,19),-0.437147 # DEPENDENCYPART_ARC
(4,20),-0.796322 # DEPENDENCYPART_ARC
(4,22),-0.599609 # DEPENDENCYPART_ARC
(4,25),-0.251647 # DEPENDENCYPART_ARC
(4,26),-1.31941 # DEPENDENCYPART_ARC
(6,1),-0.290972 # DEPENDENCYPART_ARC
(6,2),0.0465667 # DEPENDENCYPART_ARC
(6,3),-1.14056 # DEPENDENCYPART_ARC
(6,4),-0.575864 # DEPENDENCYPART_ARC
(6,5),1.68228 # DEPENDENCYPART_ARC
(6,7),-0.522755 # DEPENDENCYPART_ARC
(6,8),0.393171 # DEPENDENCYPART_ARC
(6,9),0.105587 # DEPENDENCYPART_ARC
(6,11),-0.188372 # DEPENDENCYPART_ARC
(6,13),-1.94797 # DEPENDENCYPART_ARC
(6,14),-0.864397 # DEPENDENCYPART_ARC
(6,17),-1.72234 # DEPENDENCYPART_ARC
(6,18),-0.495178 # DEPENDENCYPART_ARC
(6,19),-0.982966 # DEPENDENCYPART_ARC
(6,24),-1.78535 # DEPENDENCYPART_ARC
(6,25),-0.420661 # DEPENDENCYPART_ARC
(6,30),-3.43926 # DEPENDENCYPART_ARC
(6,32),-3.7906 # DEPENDENCYPART_ARC
(7,8),-0.122613 # DEPENDENCYPART_ARC
(8,1),-0.431364 # DEPENDENCYPART_ARC
(8,4),-0.472151 # DEPENDENCYPART_ARC
(8,6),-1.03969 # DEPENDENCYPART_ARC
(8,7),0.284514 # DEPENDENCYPART_ARC
(8,9),-0.36711 # DEPENDENCYPART_ARC
(8,11),-1.18235 # DEPENDENCYPART_ARC
(9,3),-1.06257 # DEPENDENCYPART_ARC
(9,4),-0.958796 # DEPENDENCYPART_ARC
(9,6),-0.814093 # DEPENDENCYPART_ARC
(9,8),-0.239039 # DEPENDENCYPART_ARC
(9,11),-0.770818 # DEPENDENCYPART_ARC
(9,13),-0.775216 # DEPENDENCYPART_ARC
(9,19),-0.601847 # DEPENDENCYPART_ARC
(9,20),-0.832671 # DEPENDENCYPART_ARC
(9,22),-0.398886 # DEPENDENCYPART_ARC
(9,23),-1.26457 # DEPENDENCYPART_ARC
(9,32),-1.49336 # DEPENDENCYPART_ARC
(11,7),0.401469 # DEPENDENCYPART_ARC
(11,8),-0.428313 # DEPENDENCYPART_ARC
(11,9),0.0197082 # DEPENDENCYPART_ARC
(11,10),2.47841 # DEPENDENCYPART_ARC
(11,13),-0.855158 # DEPENDENCYPART_ARC
(11,14),-0.824913 # DEPENDENCYPART_ARC
(11,16),-1.10279 # DEPENDENCYPART_ARC
(12,10),-0.40377 # DEPENDENCYPART_ARC
(13,1),-0.380902 # DEPENDENCYPART_ARC
(13,3),-1.86771 # DEPENDENCYPART_ARC
(13,4),-0.364622 # DEPENDENCYPART_ARC
(13,6),-1.79951 # DEPENDENCYPART_ARC
(13,8),0.00526392 # DEPENDENCYPART_ARC
(13,9),0.0899483 # DEPENDENCYPART_ARC
(13,10),-0.454699 # DEPENDENCYPART_ARC
(13,11),0.00930246 # DEPENDENCYPART_ARC
(13,12),1.77345 # DEPENDENCYPART_ARC
(13,14),1.01102 # DEPENDENCYPART_ARC
(13,16),0.362384 # DEPENDENCYPART_ARC
(13,17),0.797903 # DEPENDENCYPART_ARC
(13,18),-0.0869448 # DEPENDENCYPART_ARC
(13,19),-0.0734567 # DEPENDENCYPART_ARC
(13,20),-1.80869 # DEPENDENCYPART_ARC
(13,21),-1.54057 # DEPENDENCYPART_ARC
(13,22),-0.79682 # DEPENDENCYPART_ARC
(13,24),-1.01807 # DEPENDENCYPART_ARC
(13,25),-0.560213 # DEPENDENCYPART_ARC
(13,27),-1.0502 # DEPENDENCYPART_ARC
(13,30),-2.40749 # DEPENDENCYPART_ARC
(13,32),-2.68768 # DEPENDENCYPART_ARC
(14,13),-0.774402 # DEPENDENCYPART_ARC
(14,16),-0.991376 # DEPENDENCYPART_ARC
(14,17),-0.957687 # DEPENDENCYPART_ARC
(14,18),-0.896329 # DEPENDENCYPART_ARC
(15,14),0.598767 # DEPENDENCYPART_ARC
(16,14),-0.471863 # DEPENDENCYPART_ARC
(16,15),0.630031 # DEPENDENCYPART_ARC
(16,17),-0.770678 # DEPENDENCYPART_ARC
(17,7),-1.30369 # DEPENDENCYPART_ARC
(17,10),-0.990829 # DEPENDENCYPART_ARC
(17,14),-0.454259 # DEPENDENCYPART_ARC
(17,15),2.58877 # DEPENDENCYPART_ARC
(17,16),2.52449 # DEPENDENCYPART_ARC
(17,18),-0.10536 # DEPENDENCYPART_ARC
(17,20),-1.12092 # DEPENDENCYPART_ARC
(17,21),-1.31786 # DEPENDENCYPART_ARC
(18,16),-0.90601 # DEPENDENCYPART_ARC
(18,17),-0.47447 # DEPENDENCYPART_ARC
(18,20),-1.07228 # DEPENDENCYPART_ARC
(19,1),-0.339651 # DEPENDENCYPART_ARC
(19,3),-0.294367 # DEPENDENCYPART_ARC
(19,4),-0.43866 # DEPENDENCYPART_ARC
(19,6),-0.212696 # DEPENDENCYPART_ARC
(19,8),-0.370404 # DEPENDENCYPART_ARC
(19,9),-0.601223 # DEPENDENCYPART_ARC
(19,11),-0.564053 # DEPENDENCYPART_ARC
(19,12),-0.606807 # DEPENDENCYPART_ARC
(19,13),0.442531 # DEPENDENCYPART_ARC
(19,14),-0.167783 # DEPENDENCYPART_ARC
(19,15),-0.655067 # DEPENDENCYPART_ARC
(19,16),-0.267353 # DEPENDENCYPART_ARC
(19,17),-0.105567 # DEPENDENCYPART_ARC
(19,18),0.898778 # DEPENDENCYPART_ARC
(19,20),1.84533 # DEPENDENCYPART_ARC
(19,21),-0.0774158 # DEPENDENCYPART_ARC
(19,22),-0.144352 # DEPENDENCYPART_ARC
(19,23),-0.438281 # DEPENDENCYPART_ARC
(19,24),-0.87302 # DEPENDENCYPART_ARC
(19,25),-0.181634 # DEPENDENCYPART_ARC
(19,26),-0.645409 # DEPENDENCYPART_ARC
(19,27),-1.34289 # DEPENDENCYPART_ARC
(20,1),-0.357486 # DEPENDENCYPART_ARC
(20,3),-1.72833 # DEPENDENCYPART_ARC
(20,4),-0.381828 # DEPENDENCYPART_ARC
(20,8),-0.336796 # DEPENDENCYPART_ARC
(20,9),-0.405604 # DEPENDENCYPART_ARC
(20,11),-0.965932 # DEPENDENCYPART_ARC
(20,13),-1.79044 # DEPENDENCYPART_ARC
(20,14),-0.0844364 # DEPENDENCYPART_ARC
(20,16),-0.537144 # DEPENDENCYPART_ARC
(20,17),0.130654 # DEPENDENCYPART_ARC
(20,18),0.594454 # DEPENDENCYPART_ARC
(20,19),0.291684 # DEPENDENCYPART_ARC
(20,21),0.517199 # DEPENDENCYPART_ARC
(20,22),0.175631 # DEPENDENCYPART_ARC
(20,23),-0.28485 # DEPENDENCYPART_ARC
(20,24),0.38897 # DEPENDENCYPART_ARC
(20,25),0.0240736 # DEPENDENCYPART_ARC
(20,26),1.39785 # DEPENDENCYPART_ARC
