# _root_ Σε αυτό εκτίθενται ευρήματα από τον προϊστορικό οικισμό στο Ντικιλί Τας , την ελληνιστική , ρωμαϊκή και παλιοχριστιανική πόλη των Φιλίππων .
#goldHeads=3,1,0,3,4,8,8,12,8,9,10,5,14,17,17,17,19,17,12,21,19,0,
#predictedHeads=3,1,0,3,4,8,8,5,8,9,14,17,19,17,17,17,19,17,10,21,19,0,
(0,1),-0.386065 # DEPENDENCYPART_ARC
(0,2),-0.559496 # DEPENDENCYPART_ARC
(0,3),0.30272 # DEPENDENCYPART_ARC
(0,4),-0.926933 # DEPENDENCYPART_ARC
(0,5),-0.899297 # DEPENDENCYPART_ARC
(0,7),-1.29065 # DEPENDENCYPART_ARC
(0,9),-0.800977 # DEPENDENCYPART_ARC
(0,12),-0.533723 # DEPENDENCYPART_ARC
(0,14),-1.18139 # DEPENDENCYPART_ARC
(0,15),-0.429521 # DEPENDENCYPART_ARC
(0,16),-1.25605 # DEPENDENCYPART_ARC
(0,17),-0.475427 # DEPENDENCYPART_ARC
(0,18),-1.2041 # DEPENDENCYPART_ARC
(0,19),-1.27605 # DEPENDENCYPART_ARC
(0,21),-1.28427 # DEPENDENCYPART_ARC
(0,22),2.55911 # DEPENDENCYPART_ARC
(1,2),1.33696 # DEPENDENCYPART_ARC
(1,3),0.0120848 # DEPENDENCYPART_ARC
(1,4),-0.0632378 # DEPENDENCYPART_ARC
(1,8),-0.988969 # DEPENDENCYPART_ARC
(1,15),-0.548582 # DEPENDENCYPART_ARC
(1,17),-0.872862 # DEPENDENCYPART_ARC
(2,3),-0.43157 # DEPENDENCYPART_ARC
(2,4),-1.26729 # DEPENDENCYPART_ARC
(3,1),0.478573 # DEPENDENCYPART_ARC
(3,2),1.28599 # DEPENDENCYPART_ARC
(3,4),1.98184 # DEPENDENCYPART_ARC
(3,5),0.357813 # DEPENDENCYPART_ARC
(3,7),-1.36561 # DEPENDENCYPART_ARC
(3,8),-0.483586 # DEPENDENCYPART_ARC
(3,9),-0.505761 # DEPENDENCYPART_ARC
(3,10),-1.42958 # DEPENDENCYPART_ARC
(3,12),-0.481963 # DEPENDENCYPART_ARC
(3,15),-0.608035 # DEPENDENCYPART_ARC
(3,17),-0.578686 # DEPENDENCYPART_ARC
(3,19),-1.70448 # DEPENDENCYPART_ARC
(3,22),-0.507189 # DEPENDENCYPART_ARC
(4,1),-1.01676 # DEPENDENCYPART_ARC
(4,2),0.410099 # DEPENDENCYPART_ARC
(4,3),-0.949465 # DEPENDENCYPART_ARC
(4,5),0.726178 # DEPENDENCYPART_ARC
(4,6),-1.1338 # DEPENDENCYPART_ARC
(4,7),-0.819323 # DEPENDENCYPART_ARC
(4,8),-0.833191 # DEPENDENCYPART_ARC
(4,9),-0.320308 # DEPENDENCYPART_ARC
(4,10),-1.58548 # DEPENDENCYPART_ARC
(4,12),-0.231971 # DEPENDENCYPART_ARC
(4,17),-0.554744 # DEPENDENCYPART_ARC
(4,22),-0.290895 # DEPENDENCYPART_ARC
(5,1),-1.27712 # DEPENDENCYPART_ARC
(5,3),-1.13594 # DEPENDENCYPART_ARC
(5,4),-1.16112 # DEPENDENCYPART_ARC
(5,6),-0.0804435 # DEPENDENCYPART_ARC
(5,7),0.0892838 # DEPENDENCYPART_ARC
(5,8),0.367369 # DEPENDENCYPART_ARC
(5,10),0.0800345 # DEPENDENCYPART_ARC
(5,12),-0.480142 # DEPENDENCYPART_ARC
(5,15),-0.569565 # DEPENDENCYPART_ARC
(5,17),-0.603435 # DEPENDENCYPART_ARC
(5,22),-0.729479 # DEPENDENCYPART_ARC
(7,4),-0.415185 # DEPENDENCYPART_ARC
(7,5),-0.700597 # DEPENDENCYPART_ARC
(7,6),0.522598 # DEPENDENCYPART_ARC
(7,8),-0.770228 # DEPENDENCYPART_ARC
(7,9),-0.616935 # DEPENDENCYPART_ARC
(7,10),-1.51763 # DEPENDENCYPART_ARC
(7,17),-0.370313 # DEPENDENCYPART_ARC
(8,1),-1.02503 # DEPENDENCYPART_ARC
(8,2),-0.362405 # DEPENDENCYPART_ARC
(8,3),-1.73598 # DEPENDENCYPART_ARC
(8,4),-1.01477 # DEPENDENCYPART_ARC
(8,5),-0.69817 # DEPENDENCYPART_ARC
(8,6),1.98671 # DEPENDENCYPART_ARC
(8,7),2.42193 # DEPENDENCYPART_ARC
(8,9),0.711848 # DEPENDENCYPART_ARC
(8,10),-0.28709 # DEPENDENCYPART_ARC
(8,12),-0.357591 # DEPENDENCYPART_ARC
(8,14),-1.011 # DEPENDENCYPART_ARC
(8,17),-0.568986 # DEPENDENCYPART_ARC
(9,7),-1.1481 # DEPENDENCYPART_ARC
(9,10),2.86892 # DEPENDENCYPART_ARC
(9,12),-0.398839 # DEPENDENCYPART_ARC
(10,1),-1.9241 # DEPENDENCYPART_ARC
(10,5),-1.78572 # DEPENDENCYPART_ARC
(10,6),-0.653418 # DEPENDENCYPART_ARC
(10,7),-0.561877 # DEPENDENCYPART_ARC
(10,8),-0.543422 # DEPENDENCYPART_ARC
(10,9),-0.640323 # DEPENDENCYPART_ARC
(10,11),-0.54597 # DEPENDENCYPART_ARC
(10,12),-0.547452 # DEPENDENCYPART_ARC
(10,14),-0.724153 # DEPENDENCYPART_ARC
(10,15),-0.662652 # DEPENDENCYPART_ARC
(10,16),-0.871265 # DEPENDENCYPART_ARC
(10,17),-0.784732 # DEPENDENCYPART_ARC
(10,19),-1.32887 # DEPENDENCYPART_ARC
(12,1),-1.22935 # DEPENDENCYPART_ARC
(12,3),-1.26397 # DEPENDENCYPART_ARC
(12,4),-1.17222 # DEPENDENCYPART_ARC
(12,5),-0.950776 # DEPENDENCYPART_ARC
(12,7),-1.37283 # DEPENDENCYPART_ARC
(12,8),-1.06524 # DEPENDENCYPART_ARC
(12,9),-0.815569 # DEPENDENCYPART_ARC
(12,10),-0.969956 # DEPENDENCYPART_ARC
(12,14),-0.86803 # DEPENDENCYPART_ARC
(12,15),-0.241244 # DEPENDENCYPART_ARC
(12,16),-1.00914 # DEPENDENCYPART_ARC
(12,18),-1.05585 # DEPENDENCYPART_ARC
(12,19),-1.45384 # DEPENDENCYPART_ARC
(12,21),-1.16337 # DEPENDENCYPART_ARC
(12,22),-0.462618 # DEPENDENCYPART_ARC
(14,8),-0.948616 # DEPENDENCYPART_ARC
(14,10),-0.847922 # DEPENDENCYPART_ARC
(14,11),0.0474966 # DEPENDENCYPART_ARC
(14,12),-0.335033 # DEPENDENCYPART_ARC
(14,13),0.572796 # DEPENDENCYPART_ARC
(14,15),-0.247631 # DEPENDENCYPART_ARC
(14,16),-1.47977 # DEPENDENCYPART_ARC
(15,3),-1.04526 # DEPENDENCYPART_ARC
(15,4),-0.941311 # DEPENDENCYPART_ARC
(15,5),-0.703559 # DEPENDENCYPART_ARC
(15,7),-1.13599 # DEPENDENCYPART_ARC
(15,8),-0.893003 # DEPENDENCYPART_ARC
(15,9),-0.672828 # DEPENDENCYPART_ARC
(15,10),-0.914231 # DEPENDENCYPART_ARC
(15,12),-0.500166 # DEPENDENCYPART_ARC
(15,14),-0.190489 # DEPENDENCYPART_ARC
(15,16),-0.143802 # DEPENDENCYPART_ARC
(15,17),-0.514376 # DEPENDENCYPART_ARC
(15,18),-0.71953 # DEPENDENCYPART_ARC
(15,19),-1.09971 # DEPENDENCYPART_ARC
(15,21),-0.940903 # DEPENDENCYPART_ARC
(15,22),-0.335965 # DEPENDENCYPART_ARC
(16,13),-0.446048 # DEPENDENCYPART_ARC
(16,14),-0.174625 # DEPENDENCYPART_ARC
(16,15),-0.0285869 # DEPENDENCYPART_ARC
(16,18),-1.40678 # DEPENDENCYPART_ARC
(16,19),-1.41941 # DEPENDENCYPART_ARC
(16,22),-0.497699 # DEPENDENCYPART_ARC
(17,1),-0.986775 # DEPENDENCYPART_ARC
(17,3),-0.322434 # DEPENDENCYPART_ARC
(17,4),-0.505672 # DEPENDENCYPART_ARC
(17,5),-0.660234 # DEPENDENCYPART_ARC
(17,7),-0.417511 # DEPENDENCYPART_ARC
(17,8),-0.100714 # DEPENDENCYPART_ARC
(17,9),-0.447101 # DEPENDENCYPART_ARC
(17,10),0.0502225 # DEPENDENCYPART_ARC
(17,11),-0.761248 # DEPENDENCYPART_ARC
(17,12),0.160349 # DEPENDENCYPART_ARC
(17,13),-0.654098 # DEPENDENCYPART_ARC
(17,14),0.379766 # DEPENDENCYPART_ARC
(17,15),0.676906 # DEPENDENCYPART_ARC
(17,16),1.42937 # DEPENDENCYPART_ARC
(17,18),1.85716 # DEPENDENCYPART_ARC
(17,19),0.0232118 # DEPENDENCYPART_ARC
(17,21),-0.14661 # DEPENDENCYPART_ARC
(17,22),-0.415935 # DEPENDENCYPART_ARC
(18,16),-0.135161 # DEPENDENCYPART_ARC
(18,19),-0.605486 # DEPENDENCYPART_ARC
(18,21),-0.974534 # DEPENDENCYPART_ARC
(19,11),-0.579528 # DEPENDENCYPART_ARC
(19,13),0.604462 # DEPENDENCYPART_ARC
(19,14),0.134487 # DEPENDENCYPART_ARC
(19,15),-0.615762 # DEPENDENCYPART_ARC
(19,16),0.124138 # DEPENDENCYPART_ARC
(19,17),0.779712 # DEPENDENCYPART_ARC
(19,18),1.9049 # DEPENDENCYPART_ARC
(19,20),0.247452 # DEPENDENCYPART_ARC
(19,21),-0.329244 # DEPENDENCYPART_ARC
(19,22),-0.194454 # DEPENDENCYPART_ARC
(21,19),-1.96134 # DEPENDENCYPART_ARC
(21,20),1.15347 # DEPENDENCYPART_ARC
(21,22),-0.304488 # DEPENDENCYPART_ARC
