# _root_ Πιστεύω , κύριε Πρόεδρε , ότι το Κοινοβούλιο μπορεί να θεωρήσει γενικά ικανοποιητικό το παρόν κείμενο .
#goldHeads=0,4,4,1,4,1,8,9,6,11,9,11,11,16,16,11,0,
#predictedHeads=0,4,4,1,4,1,8,9,6,11,9,11,15,15,16,11,0,
(0,1),0.853347 # DEPENDENCYPART_ARC
(0,2),-0.263978 # DEPENDENCYPART_ARC
(0,3),-0.612972 # DEPENDENCYPART_ARC
(0,4),-0.589477 # DEPENDENCYPART_ARC
(0,5),-0.280315 # DEPENDENCYPART_ARC
(0,6),-0.810841 # DEPENDENCYPART_ARC
(0,9),-0.0384706 # DEPENDENCYPART_ARC
(0,11),-0.797413 # DEPENDENCYPART_ARC
(0,12),-0.892226 # DEPENDENCYPART_ARC
(0,13),-1.35529 # DEPENDENCYPART_ARC
(0,16),-1.07439 # DEPENDENCYPART_ARC
(0,17),2.32865 # DEPENDENCYPART_ARC
(1,2),0.286611 # DEPENDENCYPART_ARC
(1,3),0.797399 # DEPENDENCYPART_ARC
(1,4),0.0442109 # DEPENDENCYPART_ARC
(1,5),-0.286247 # DEPENDENCYPART_ARC
(1,6),0.0412009 # DEPENDENCYPART_ARC
(1,8),-1.35035 # DEPENDENCYPART_ARC
(1,9),-1.63867 # DEPENDENCYPART_ARC
(1,11),-0.831373 # DEPENDENCYPART_ARC
(1,12),-1.1177 # DEPENDENCYPART_ARC
(1,15),-2.11138 # DEPENDENCYPART_ARC
(1,16),-2.19563 # DEPENDENCYPART_ARC
(1,17),-0.701583 # DEPENDENCYPART_ARC
(2,1),-0.279722 # DEPENDENCYPART_ARC
(2,3),-0.474002 # DEPENDENCYPART_ARC
(2,4),-0.963144 # DEPENDENCYPART_ARC
(2,5),-0.309503 # DEPENDENCYPART_ARC
(2,6),-0.848328 # DEPENDENCYPART_ARC
(2,8),-1.68161 # DEPENDENCYPART_ARC
(2,9),-1.08742 # DEPENDENCYPART_ARC
(2,13),-1.59032 # DEPENDENCYPART_ARC
(3,1),-1.50785 # DEPENDENCYPART_ARC
(3,2),-0.153016 # DEPENDENCYPART_ARC
(3,4),-0.646974 # DEPENDENCYPART_ARC
(3,5),-0.339163 # DEPENDENCYPART_ARC
(3,6),-0.344747 # DEPENDENCYPART_ARC
(3,8),-1.62609 # DEPENDENCYPART_ARC
(3,9),-1.72368 # DEPENDENCYPART_ARC
(3,11),-1.97651 # DEPENDENCYPART_ARC
(3,12),-0.906578 # DEPENDENCYPART_ARC
(3,17),-0.514752 # DEPENDENCYPART_ARC
(4,1),-1.17519 # DEPENDENCYPART_ARC
(4,2),0.477885 # DEPENDENCYPART_ARC
(4,3),2.76678 # DEPENDENCYPART_ARC
(4,5),0.094016 # DEPENDENCYPART_ARC
(4,6),-0.348912 # DEPENDENCYPART_ARC
(4,8),-1.60909 # DEPENDENCYPART_ARC
(4,9),-1.58976 # DEPENDENCYPART_ARC
(4,11),-2.04987 # DEPENDENCYPART_ARC
(4,12),-1.01852 # DEPENDENCYPART_ARC
(5,1),-1.18457 # DEPENDENCYPART_ARC
(5,2),-0.367395 # DEPENDENCYPART_ARC
(5,3),-0.908764 # DEPENDENCYPART_ARC
(5,4),-0.489145 # DEPENDENCYPART_ARC
(5,6),-0.367045 # DEPENDENCYPART_ARC
(5,8),-1.06536 # DEPENDENCYPART_ARC
(5,9),-0.985481 # DEPENDENCYPART_ARC
(5,11),-1.37785 # DEPENDENCYPART_ARC
(5,13),-1.47785 # DEPENDENCYPART_ARC
(5,15),-1.67218 # DEPENDENCYPART_ARC
(6,2),-0.540219 # DEPENDENCYPART_ARC
(6,5),0.59355 # DEPENDENCYPART_ARC
(6,7),0.122909 # DEPENDENCYPART_ARC
(6,9),1.53358 # DEPENDENCYPART_ARC
(6,11),0.16454 # DEPENDENCYPART_ARC
(6,17),-0.444054 # DEPENDENCYPART_ARC
(7,8),-0.766945 # DEPENDENCYPART_ARC
(8,1),-2.39405 # DEPENDENCYPART_ARC
(8,2),-1.0135 # DEPENDENCYPART_ARC
(8,3),-0.305363 # DEPENDENCYPART_ARC
(8,4),-0.461921 # DEPENDENCYPART_ARC
(8,5),-0.817047 # DEPENDENCYPART_ARC
(8,7),2.61757 # DEPENDENCYPART_ARC
(8,9),-0.918535 # DEPENDENCYPART_ARC
(8,10),-1.2324 # DEPENDENCYPART_ARC
(8,11),-1.61912 # DEPENDENCYPART_ARC
(8,12),-1.16654 # DEPENDENCYPART_ARC
(8,13),-1.51477 # DEPENDENCYPART_ARC
(8,15),-2.0575 # DEPENDENCYPART_ARC
(8,16),-2.09188 # DEPENDENCYPART_ARC
(9,1),-1.12969 # DEPENDENCYPART_ARC
(9,2),-0.261204 # DEPENDENCYPART_ARC
(9,3),-0.416945 # DEPENDENCYPART_ARC
(9,4),-0.345413 # DEPENDENCYPART_ARC
(9,5),0.148676 # DEPENDENCYPART_ARC
(9,6),-0.465009 # DEPENDENCYPART_ARC
(9,7),0.10128 # DEPENDENCYPART_ARC
(9,8),1.04326 # DEPENDENCYPART_ARC
(9,10),0.345979 # DEPENDENCYPART_ARC
(9,11),1.54316 # DEPENDENCYPART_ARC
(9,12),-0.205533 # DEPENDENCYPART_ARC
(9,13),-0.225125 # DEPENDENCYPART_ARC
(9,15),-0.710839 # DEPENDENCYPART_ARC
(9,16),-0.815134 # DEPENDENCYPART_ARC
(9,17),-0.12965 # DEPENDENCYPART_ARC
(10,11),-0.248511 # DEPENDENCYPART_ARC
(11,1),-1.32396 # DEPENDENCYPART_ARC
(11,2),-0.771237 # DEPENDENCYPART_ARC
(11,3),-0.960716 # DEPENDENCYPART_ARC
(11,4),-1.04244 # DEPENDENCYPART_ARC
(11,5),-0.663938 # DEPENDENCYPART_ARC
(11,6),-0.771013 # DEPENDENCYPART_ARC
(11,7),-0.972091 # DEPENDENCYPART_ARC
