# _root_ Στο ένα κράτος μπορεί κανείς να οδηγεί με 90 χιλιόμετρα την ώρα , στο άλλο με 100 χιλιόμετρα την ώρα , ενώ στο επόμενο κράτος μέλος μόλις με 80 χιλιόμετρα την ώρα .
#goldHeads=4,3,1,22,4,7,4,7,10,8,12,10,22,22,14,22,18,16,20,18,22,0,22,25,23,25,28,22,30,28,32,30,0,
#predictedHeads=4,3,1,22,4,7,22,7,10,8,12,7,22,7,14,15,18,16,20,18,22,0,22,26,26,23,26,27,30,28,32,30,0,
(0,1),-0.308045 # DEPENDENCYPART_ARC
(0,3),-0.453892 # DEPENDENCYPART_ARC
(0,4),0.741797 # DEPENDENCYPART_ARC
(0,5),-1.10624 # DEPENDENCYPART_ARC
(0,7),-0.112623 # DEPENDENCYPART_ARC
(0,8),-0.974382 # DEPENDENCYPART_ARC
(0,9),-1.10126 # DEPENDENCYPART_ARC
(0,10),-1.01494 # DEPENDENCYPART_ARC
(0,12),-1.05763 # DEPENDENCYPART_ARC
(0,13),-0.260117 # DEPENDENCYPART_ARC
(0,14),-0.894433 # DEPENDENCYPART_ARC
(0,15),-1.09318 # DEPENDENCYPART_ARC
(0,17),-1.22576 # DEPENDENCYPART_ARC
(0,22),1.0452 # DEPENDENCYPART_ARC
(0,23),-0.89745 # DEPENDENCYPART_ARC
(0,29),-1.44652 # DEPENDENCYPART_ARC
(0,33),3.10375 # DEPENDENCYPART_ARC
(1,2),0.684261 # DEPENDENCYPART_ARC
(1,3),1.82234 # DEPENDENCYPART_ARC
(1,4),-1.5261 # DEPENDENCYPART_ARC
(3,1),-0.582295 # DEPENDENCYPART_ARC
(3,2),2.3234 # DEPENDENCYPART_ARC
(3,4),-0.432549 # DEPENDENCYPART_ARC
(3,5),0.0753101 # DEPENDENCYPART_ARC
(3,6),-1.05306 # DEPENDENCYPART_ARC
(3,7),-1.11267 # DEPENDENCYPART_ARC
(3,8),-0.700453 # DEPENDENCYPART_ARC
(3,9),-0.858204 # DEPENDENCYPART_ARC
(3,10),-2.05802 # DEPENDENCYPART_ARC
(3,14),-1.25731 # DEPENDENCYPART_ARC
(4,1),-0.113355 # DEPENDENCYPART_ARC
(4,2),-0.349516 # DEPENDENCYPART_ARC
(4,3),0.00977602 # DEPENDENCYPART_ARC
(4,5),1.63268 # DEPENDENCYPART_ARC
