# _root_ Ήταν στεγασμένη με ένα τετράγωνο κτήριο , ανοικτό στη νότια πλευρά , όπου υπήρχε δωρική στοά .
#goldHeads=0,1,2,6,6,3,1,6,8,11,9,14,14,11,16,14,14,
#predictedHeads=0,1,2,6,6,3,8,1,8,11,9,14,14,11,16,14,0,
(0,1),0.976758 # DEPENDENCYPART_ARC
(0,2),-0.88172 # DEPENDENCYPART_ARC
(0,3),-0.896258 # DEPENDENCYPART_ARC
(0,7),-0.219875 # DEPENDENCYPART_ARC
(0,8),-1.33382 # DEPENDENCYPART_ARC
(0,12),-0.342799 # DEPENDENCYPART_ARC
(0,14),-0.0426372 # DEPENDENCYPART_ARC
(0,15),-1.19656 # DEPENDENCYPART_ARC
(0,16),-1.30133 # DEPENDENCYPART_ARC
(0,17),2.20208 # DEPENDENCYPART_ARC
(1,2),1.92437 # DEPENDENCYPART_ARC
(1,3),0.522724 # DEPENDENCYPART_ARC
(1,5),-0.513166 # DEPENDENCYPART_ARC
(1,6),0.15947 # DEPENDENCYPART_ARC
(1,7),0.00564643 # DEPENDENCYPART_ARC
(1,8),-0.00864078 # DEPENDENCYPART_ARC
(1,9),-0.168678 # DEPENDENCYPART_ARC
(1,11),-0.67076 # DEPENDENCYPART_ARC
(1,12),-0.282072 # DEPENDENCYPART_ARC
(1,13),-0.519084 # DEPENDENCYPART_ARC
(1,14),-2.19537 # DEPENDENCYPART_ARC
(1,16),-1.39686 # DEPENDENCYPART_ARC
(1,17),-0.646256 # DEPENDENCYPART_ARC
(2,1),-1.57994 # DEPENDENCYPART_ARC
(2,3),0.78743 # DEPENDENCYPART_ARC
(2,5),-1.15814 # DEPENDENCYPART_ARC
(2,6),-1.62362 # DEPENDENCYPART_ARC
(2,7),-0.375466 # DEPENDENCYPART_ARC
(2,9),-0.695379 # DEPENDENCYPART_ARC
(2,11),-1.83327 # DEPENDENCYPART_ARC
(2,12),-0.249788 # DEPENDENCYPART_ARC
(2,14),-0.653056 # DEPENDENCYPART_ARC
(3,1),-0.842476 # DEPENDENCYPART_ARC
(3,2),-0.539465 # DEPENDENCYPART_ARC
(3,4),-0.120867 # DEPENDENCYPART_ARC
(3,5),-0.106842 # DEPENDENCYPART_ARC
(3,6),0.350134 # DEPENDENCYPART_ARC
(3,7),-0.449435 # DEPENDENCYPART_ARC
(3,11),-0.423697 # DEPENDENCYPART_ARC
(3,12),-0.607211 # DEPENDENCYPART_ARC
(3,17),-0.88227 # DEPENDENCYPART_ARC
(5,3),-0.710056 # DEPENDENCYPART_ARC
(5,4),0.685401 # DEPENDENCYPART_ARC
(5,6),-0.252251 # DEPENDENCYPART_ARC
(5,8),-0.0763498 # DEPENDENCYPART_ARC
(5,9),-0.612502 # DEPENDENCYPART_ARC
(6,1),-1.20643 # DEPENDENCYPART_ARC
(6,2),-0.465932 # DEPENDENCYPART_ARC
(6,3),-0.569264 # DEPENDENCYPART_ARC
(6,4),2.33458 # DEPENDENCYPART_ARC
(6,5),2.63449 # DEPENDENCYPART_ARC
(6,7),-0.30875 # DEPENDENCYPART_ARC
(6,8),-0.625966 # DEPENDENCYPART_ARC
(6,9),-0.905982 # DEPENDENCYPART_ARC
(6,10),-1.01889 # DEPENDENCYPART_ARC
(6,11),-0.978022 # DEPENDENCYPART_ARC
(6,13),-1.13779 # DEPENDENCYPART_ARC
(6,14),-1.51895 # DEPENDENCYPART_ARC
(7,1),-1.09515 # DEPENDENCYPART_ARC
(7,2),-1.13515 # DEPENDENCYPART_ARC
(7,3),-0.627731 # DEPENDENCYPART_ARC
(7,5),-0.733568 # DEPENDENCYPART_ARC
(7,6),-0.251675 # DEPENDENCYPART_ARC
(7,8),-0.451398 # DEPENDENCYPART_ARC
(7,9),-0.697964 # DEPENDENCYPART_ARC
(7,10),-0.8907 # DEPENDENCYPART_ARC
(7,11),-1.08888 # DEPENDENCYPART_ARC
(7,12),-0.315254 # DEPENDENCYPART_ARC
(7,13),-1.06941 # DEPENDENCYPART_ARC
(7,14),-1.09377 # DEPENDENCYPART_ARC
(7,15),-1.34033 # DEPENDENCYPART_ARC
(7,16),-1.69573 # DEPENDENCYPART_ARC
(7,17),-0.626985 # DEPENDENCYPART_ARC
(8,6),-0.592738 # DEPENDENCYPART_ARC
(8,7),0.0215276 # DEPENDENCYPART_ARC
(8,9),0.319594 # DEPENDENCYPART_ARC
(8,10),-0.689467 # DEPENDENCYPART_ARC
(8,11),-0.828393 # DEPENDENCYPART_ARC
(8,12),-0.200594 # DEPENDENCYPART_ARC
(8,13),-0.444046 # DEPENDENCYPART_ARC
(8,14),-0.829991 # DEPENDENCYPART_ARC
(8,16),-1.58368 # DEPENDENCYPART_ARC
(8,17),-0.549166 # DEPENDENCYPART_ARC
(9,7),-0.223172 # DEPENDENCYPART_ARC
