# _root_ Αφού έλαβαν υπόψη και άλλους παράγοντες επικινδυνότητας για την ασθένεια , όπως η ηλικία και το φύλο , οι επιστήμονες βρήκαν ότι ο διαβήτης αυξάνει τις πιθανότητες ανάπτυξης καρκίνου του ήπατος .
#goldHeads=21,1,2,6,6,2,6,7,10,8,6,6,14,15,6,17,15,6,20,21,0,21,24,25,22,27,25,27,28,29,29,0,
#predictedHeads=0,1,2,2,6,4,6,7,10,8,15,21,14,15,8,17,15,21,20,21,0,21,24,25,22,27,25,27,28,31,29,0,
(0,1),-0.00243661 # DEPENDENCYPART_ARC
(0,2),0.0488482 # DEPENDENCYPART_ARC
(0,3),-0.987055 # DEPENDENCYPART_ARC
(0,4),-0.7663 # DEPENDENCYPART_ARC
(0,5),-1.00388 # DEPENDENCYPART_ARC
(0,11),-0.394389 # DEPENDENCYPART_ARC
(0,15),-0.844162 # DEPENDENCYPART_ARC
(0,21),-0.387271 # DEPENDENCYPART_ARC
(0,22),-2.47776 # DEPENDENCYPART_ARC
(0,25),-0.471527 # DEPENDENCYPART_ARC
(0,28),-1.37296 # DEPENDENCYPART_ARC
(0,29),-1.35633 # DEPENDENCYPART_ARC
(0,31),-1.49226 # DEPENDENCYPART_ARC
(0,32),3.59071 # DEPENDENCYPART_ARC
(1,2),1.85584 # DEPENDENCYPART_ARC
(1,3),-0.260366 # DEPENDENCYPART_ARC
(1,4),-0.0490739 # DEPENDENCYPART_ARC
(1,5),-0.661385 # DEPENDENCYPART_ARC
(1,11),0.115724 # DEPENDENCYPART_ARC
(1,18),0.0690107 # DEPENDENCYPART_ARC
(1,21),-0.702456 # DEPENDENCYPART_ARC
(1,25),-0.972789 # DEPENDENCYPART_ARC
(2,1),-0.0600133 # DEPENDENCYPART_ARC
(2,3),1.25095 # DEPENDENCYPART_ARC
(2,4),0.412234 # DEPENDENCYPART_ARC
(2,5),-0.178513 # DEPENDENCYPART_ARC
(2,6),0.208101 # DEPENDENCYPART_ARC
(2,7),-1.06353 # DEPENDENCYPART_ARC
(2,8),0.250951 # DEPENDENCYPART_ARC
(2,10),-0.709284 # DEPENDENCYPART_ARC
(2,11),0.0480933 # DEPENDENCYPART_ARC
(2,12),-0.154106 # DEPENDENCYPART_ARC
(2,15),-0.0677004 # DEPENDENCYPART_ARC
(2,17),-1.33249 # DEPENDENCYPART_ARC
(2,18),-0.302496 # DEPENDENCYPART_ARC
(2,20),-1.69957 # DEPENDENCYPART_ARC
(2,21),-2.80059 # DEPENDENCYPART_ARC
(2,22),-1.53279 # DEPENDENCYPART_ARC
(3,2),-0.711344 # DEPENDENCYPART_ARC
(3,4),-0.314216 # DEPENDENCYPART_ARC
(3,6),-1.42194 # DEPENDENCYPART_ARC
(4,1),0.0107472 # DEPENDENCYPART_ARC
(4,2),0.38812 # DEPENDENCYPART_ARC
(4,3),0.540926 # DEPENDENCYPART_ARC
(4,5),0.0682312 # DEPENDENCYPART_ARC
(4,6),0.312437 # DEPENDENCYPART_ARC
(4,7),-0.421117 # DEPENDENCYPART_ARC
(4,8),-0.732449 # DEPENDENCYPART_ARC
(4,10),-1.19152 # DEPENDENCYPART_ARC
(4,11),-0.378223 # DEPENDENCYPART_ARC
(4,12),-0.914209 # DEPENDENCYPART_ARC
(4,14),-1.54616 # DEPENDENCYPART_ARC
(4,18),-0.649413 # DEPENDENCYPART_ARC
(4,21),-2.09428 # DEPENDENCYPART_ARC
(4,22),-1.25552 # DEPENDENCYPART_ARC
(5,4),0.392907 # DEPENDENCYPART_ARC
(5,6),-0.982145 # DEPENDENCYPART_ARC
(5,7),-0.462637 # DEPENDENCYPART_ARC
(5,8),-0.286221 # DEPENDENCYPART_ARC
(6,2),-2.52572 # DEPENDENCYPART_ARC
(6,3),-0.294546 # DEPENDENCYPART_ARC
(6,4),0.388123 # DEPENDENCYPART_ARC
(6,5),2.35749 # DEPENDENCYPART_ARC
(6,7),1.67851 # DEPENDENCYPART_ARC
(6,8),0.0903524 # DEPENDENCYPART_ARC
(6,10),-1.14737 # DEPENDENCYPART_ARC
(6,15),-0.272679 # DEPENDENCYPART_ARC
(7,2),-2.59205 # DEPENDENCYPART_ARC
(7,3),-0.77285 # DEPENDENCYPART_ARC
(7,4),-0.330898 # DEPENDENCYPART_ARC
(7,5),-0.131559 # DEPENDENCYPART_ARC
(7,6),-1.05901 # DEPENDENCYPART_ARC
(7,8),0.688299 # DEPENDENCYPART_ARC
(7,9),-0.701153 # DEPENDENCYPART_ARC
(7,10),-0.87296 # DEPENDENCYPART_ARC
(7,12),-0.676372 # DEPENDENCYPART_ARC
(7,15),-0.430027 # DEPENDENCYPART_ARC
(8,7),-1.00808 # DEPENDENCYPART_ARC
(8,9),-0.208974 # DEPENDENCYPART_ARC
(8,10),1.21435 # DEPENDENCYPART_ARC
(8,11),-0.430139 # DEPENDENCYPART_ARC
(8,12),-0.64471 # DEPENDENCYPART_ARC
(8,14),-0.83722 # DEPENDENCYPART_ARC
(8,15),0.257305 # DEPENDENCYPART_ARC
(10,9),2.34817 # DEPENDENCYPART_ARC
(10,11),-0.156161 # DEPENDENCYPART_ARC
(10,12),-0.409917 # DEPENDENCYPART_ARC
(10,14),-1.25301 # DEPENDENCYPART_ARC
(10,15),-0.491781 # DEPENDENCYPART_ARC
(10,17),-2.0729 # DEPENDENCYPART_ARC
(11,2),-0.963671 # DEPENDENCYPART_ARC
(11,5),-1.20436 # DEPENDENCYPART_ARC
(11,6),-0.989154 # DEPENDENCYPART_ARC
(11,7),-0.925111 # DEPENDENCYPART_ARC
(11,8),-0.492699 # DEPENDENCYPART_ARC
(11,10),-0.489582 # DEPENDENCYPART_ARC
(11,12),-0.474582 # DEPENDENCYPART_ARC
(11,14),-0.94697 # DEPENDENCYPART_ARC
(11,17),-1.29826 # DEPENDENCYPART_ARC
(11,20),-1.46676 # DEPENDENCYPART_ARC
(11,25),-1.00171 # DEPENDENCYPART_ARC
