# _root_ Σε ποσοστό 76,73% οι Ισπανοί είπαν ηχηρό " ναι " υπέρ του Ευρωπαϊκού Συντάγματος , στο δημοψήφισμα που διενεργήθηκε την Κυριακή .
#goldHeads=6,1,2,5,6,0,9,9,6,9,9,14,14,11,6,6,16,19,17,21,19,0,
#predictedHeads=6,1,2,5,6,0,6,9,6,9,6,14,14,11,11,6,16,19,17,21,19,0,
(0,1),-0.370753 # DEPENDENCYPART_ARC
(0,2),-0.213835 # DEPENDENCYPART_ARC
(0,3),-0.722857 # DEPENDENCYPART_ARC
(0,5),-0.807311 # DEPENDENCYPART_ARC
(0,6),0.780795 # DEPENDENCYPART_ARC
(0,7),-1.32618 # DEPENDENCYPART_ARC
(0,8),-0.0226329 # DEPENDENCYPART_ARC
(0,9),-0.986405 # DEPENDENCYPART_ARC
(0,10),-0.038984 # DEPENDENCYPART_ARC
(0,15),-0.310686 # DEPENDENCYPART_ARC
(0,19),-0.0496039 # DEPENDENCYPART_ARC
(0,21),-1.09869 # DEPENDENCYPART_ARC
(0,22),2.24046 # DEPENDENCYPART_ARC
(1,2),2.07123 # DEPENDENCYPART_ARC
(1,3),0.152709 # DEPENDENCYPART_ARC
(1,5),-0.193517 # DEPENDENCYPART_ARC
(1,6),-0.945214 # DEPENDENCYPART_ARC
(2,1),-0.495474 # DEPENDENCYPART_ARC
(2,3),0.565482 # DEPENDENCYPART_ARC
(2,4),-0.828061 # DEPENDENCYPART_ARC
(2,5),-0.82446 # DEPENDENCYPART_ARC
(2,6),-0.964781 # DEPENDENCYPART_ARC
(2,7),-0.943228 # DEPENDENCYPART_ARC
(2,8),-0.462833 # DEPENDENCYPART_ARC
(2,9),-0.943913 # DEPENDENCYPART_ARC
(2,11),-1.02592 # DEPENDENCYPART_ARC
(2,16),-1.21635 # DEPENDENCYPART_ARC
(2,19),-1.05135 # DEPENDENCYPART_ARC
(3,2),0.0114498 # DEPENDENCYPART_ARC
(3,5),-0.477346 # DEPENDENCYPART_ARC
(5,3),0.108723 # DEPENDENCYPART_ARC
(5,4),2.42171 # DEPENDENCYPART_ARC
(5,6),-1.4546 # DEPENDENCYPART_ARC
(5,7),-1.6465 # DEPENDENCYPART_ARC
(6,1),0.547774 # DEPENDENCYPART_ARC
(6,2),-0.971138 # DEPENDENCYPART_ARC
(6,3),-0.162226 # DEPENDENCYPART_ARC
(6,4),-0.669514 # DEPENDENCYPART_ARC
(6,5),1.0552 # DEPENDENCYPART_ARC
(6,7),0.666374 # DEPENDENCYPART_ARC
(6,8),0.101549 # DEPENDENCYPART_ARC
(6,9),0.244583 # DEPENDENCYPART_ARC
(6,10),-0.0473191 # DEPENDENCYPART_ARC
(6,11),0.196179 # DEPENDENCYPART_ARC
(6,13),-2.15455 # DEPENDENCYPART_ARC
(6,14),-1.98701 # DEPENDENCYPART_ARC
(6,15),-0.247889 # DEPENDENCYPART_ARC
(6,16),0.113414 # DEPENDENCYPART_ARC
(6,17),-1.12019 # DEPENDENCYPART_ARC
(6,19),-2.42707 # DEPENDENCYPART_ARC
(6,21),-0.889883 # DEPENDENCYPART_ARC
(6,22),-0.688497 # DEPENDENCYPART_ARC
(7,2),-0.681602 # DEPENDENCYPART_ARC
(7,4),0.755503 # DEPENDENCYPART_ARC
(7,6),-1.07311 # DEPENDENCYPART_ARC
(7,8),-0.0967187 # DEPENDENCYPART_ARC
(7,9),-0.404576 # DEPENDENCYPART_ARC
(7,10),-0.401271 # DEPENDENCYPART_ARC
(7,11),-0.388567 # DEPENDENCYPART_ARC
(7,14),-0.788809 # DEPENDENCYPART_ARC
(7,16),-0.978754 # DEPENDENCYPART_ARC
(7,22),-0.855189 # DEPENDENCYPART_ARC
(8,1),-1.16111 # DEPENDENCYPART_ARC
(8,2),-1.30682 # DEPENDENCYPART_ARC
(8,3),-1.14216 # DEPENDENCYPART_ARC
(8,5),-1.14182 # DEPENDENCYPART_ARC
(8,6),-0.858454 # DEPENDENCYPART_ARC
(8,7),-0.476425 # DEPENDENCYPART_ARC
(8,9),-0.487401 # DEPENDENCYPART_ARC
(8,10),-0.592069 # DEPENDENCYPART_ARC
(8,11),-0.876625 # DEPENDENCYPART_ARC
(8,13),-1.03789 # DEPENDENCYPART_ARC
(8,14),-1.53283 # DEPENDENCYPART_ARC
(8,15),-0.565923 # DEPENDENCYPART_ARC
(8,16),-1.01258 # DEPENDENCYPART_ARC
(8,17),-1.59632 # DEPENDENCYPART_ARC
(8,19),-1.03564 # DEPENDENCYPART_ARC
(8,22),-0.956815 # DEPENDENCYPART_ARC
(9,1),-0.446758 # DEPENDENCYPART_ARC
(9,2),-0.755441 # DEPENDENCYPART_ARC
(9,6),-0.926575 # DEPENDENCYPART_ARC
(9,7),0.0486106 # DEPENDENCYPART_ARC
(9,8),0.908149 # DEPENDENCYPART_ARC
(9,10),0.327438 # DEPENDENCYPART_ARC
(9,11),-0.257927 # DEPENDENCYPART_ARC
(9,14),-0.468215 # DEPENDENCYPART_ARC
(9,15),-0.40386 # DEPENDENCYPART_ARC
(9,17),-1.12349 # DEPENDENCYPART_ARC
(9,19),-0.893067 # DEPENDENCYPART_ARC
(9,22),-0.836991 # DEPENDENCYPART_ARC
(10,1),-1.28638 # DEPENDENCYPART_ARC
(10,2),-1.63992 # DEPENDENCYPART_ARC
(10,3),-1.30079 # DEPENDENCYPART_ARC
(10,5),-1.59644 # DEPENDENCYPART_ARC
(10,6),-1.33185 # DEPENDENCYPART_ARC
(10,7),-1.40229 # DEPENDENCYPART_ARC
(10,8),-0.874418 # DEPENDENCYPART_ARC
(10,9),-0.566735 # DEPENDENCYPART_ARC
(10,11),-0.852827 # DEPENDENCYPART_ARC
(10,13),-1.24624 # DEPENDENCYPART_ARC
(10,14),-1.63569 # DEPENDENCYPART_ARC
(10,15),-0.894243 # DEPENDENCYPART_ARC
(10,16),-1.40495 # DEPENDENCYPART_ARC
(10,17),-1.96115 # DEPENDENCYPART_ARC
(10,22),-1.26552 # DEPENDENCYPART_ARC
(11,8),-0.709018 # DEPENDENCYPART_ARC
(11,9),-0.723724 # DEPENDENCYPART_ARC
