# _root_ Στην αρχή υπήρξαν , επίσης , προβλήματα στην κατανομή των πόρων του προγράμματος στις εθνικές υπηρεσίες .
#goldHeads=3,1,0,5,3,5,3,7,8,11,9,13,11,9,16,14,0,
#predictedHeads=3,1,0,5,3,5,3,3,8,11,9,13,11,9,16,14,0,
(0,1),-0.328 # DEPENDENCYPART_ARC
(0,2),-0.252877 # DEPENDENCYPART_ARC
(0,3),0.710753 # DEPENDENCYPART_ARC
(0,4),-0.245281 # DEPENDENCYPART_ARC
(0,5),-1.03103 # DEPENDENCYPART_ARC
(0,6),-0.100374 # DEPENDENCYPART_ARC
(0,7),-0.946075 # DEPENDENCYPART_ARC
(0,8),-0.852095 # DEPENDENCYPART_ARC
(0,9),-1.09778 # DEPENDENCYPART_ARC
(0,11),-1.47161 # DEPENDENCYPART_ARC
(0,14),-0.755751 # DEPENDENCYPART_ARC
(0,16),-1.27242 # DEPENDENCYPART_ARC
(0,17),2.06079 # DEPENDENCYPART_ARC
(1,2),2.86676 # DEPENDENCYPART_ARC
(1,3),-0.686073 # DEPENDENCYPART_ARC
(1,4),-0.41575 # DEPENDENCYPART_ARC
(1,6),-0.600649 # DEPENDENCYPART_ARC
(2,1),-0.226159 # DEPENDENCYPART_ARC
(2,3),-0.621271 # DEPENDENCYPART_ARC
(2,4),-0.754966 # DEPENDENCYPART_ARC
(2,5),-0.89574 # DEPENDENCYPART_ARC
(2,6),-0.880078 # DEPENDENCYPART_ARC
(2,7),-1.96702 # DEPENDENCYPART_ARC
(2,8),-1.1384 # DEPENDENCYPART_ARC
(2,14),-1.17492 # DEPENDENCYPART_ARC
(3,1),0.892597 # DEPENDENCYPART_ARC
(3,2),0.230963 # DEPENDENCYPART_ARC
(3,4),0.384056 # DEPENDENCYPART_ARC
(3,5),0.489914 # DEPENDENCYPART_ARC
(3,6),-0.110637 # DEPENDENCYPART_ARC
(3,7),0.207594 # DEPENDENCYPART_ARC
(3,8),0.654249 # DEPENDENCYPART_ARC
(3,9),-0.927639 # DEPENDENCYPART_ARC
(3,11),-2.67641 # DEPENDENCYPART_ARC
(3,13),-2.54097 # DEPENDENCYPART_ARC
(3,14),0.137858 # DEPENDENCYPART_ARC
(3,16),-1.474 # DEPENDENCYPART_ARC
(3,17),-0.481816 # DEPENDENCYPART_ARC
(4,1),-0.811707 # DEPENDENCYPART_ARC
(4,2),-0.956422 # DEPENDENCYPART_ARC
(4,3),-0.247791 # DEPENDENCYPART_ARC
(4,5),-0.42073 # DEPENDENCYPART_ARC
(4,6),-0.373127 # DEPENDENCYPART_ARC
(4,7),-1.00218 # DEPENDENCYPART_ARC
(4,8),-0.709776 # DEPENDENCYPART_ARC
(4,9),-1.15986 # DEPENDENCYPART_ARC
(4,11),-1.41296 # DEPENDENCYPART_ARC
(4,13),-1.50663 # DEPENDENCYPART_ARC
(4,15),-1.13583 # DEPENDENCYPART_ARC
(5,1),-0.856156 # DEPENDENCYPART_ARC
(5,2),-1.04136 # DEPENDENCYPART_ARC
(5,3),-1.11118 # DEPENDENCYPART_ARC
(5,4),0.557081 # DEPENDENCYPART_ARC
(5,6),-0.00339141 # DEPENDENCYPART_ARC
(5,7),-0.543444 # DEPENDENCYPART_ARC
(5,8),-0.762745 # DEPENDENCYPART_ARC
(5,9),-1.18567 # DEPENDENCYPART_ARC
(5,11),-1.27791 # DEPENDENCYPART_ARC
(5,13),-1.17586 # DEPENDENCYPART_ARC
(5,17),-0.923225 # DEPENDENCYPART_ARC
(6,1),-1.11625 # DEPENDENCYPART_ARC
(6,2),-1.2832 # DEPENDENCYPART_ARC
(6,3),-1.04394 # DEPENDENCYPART_ARC
(6,4),-0.631947 # DEPENDENCYPART_ARC
(6,5),-0.440046 # DEPENDENCYPART_ARC
(6,7),-0.354367 # DEPENDENCYPART_ARC
(6,8),-0.837592 # DEPENDENCYPART_ARC
(6,9),-1.13387 # DEPENDENCYPART_ARC
(6,11),-1.29663 # DEPENDENCYPART_ARC
(6,13),-1.63178 # DEPENDENCYPART_ARC
(6,14),-0.855058 # DEPENDENCYPART_ARC
(6,15),-1.30229 # DEPENDENCYPART_ARC
(6,16),-1.61704 # DEPENDENCYPART_ARC
(7,2),-2.16667 # DEPENDENCYPART_ARC
(7,3),-2.81488 # DEPENDENCYPART_ARC
(7,4),-0.825195 # DEPENDENCYPART_ARC
(7,5),-0.280904 # DEPENDENCYPART_ARC
(7,6),0.163191 # DEPENDENCYPART_ARC
(7,8),0.401075 # DEPENDENCYPART_ARC
(7,9),0.0288074 # DEPENDENCYPART_ARC
(7,11),-0.128749 # DEPENDENCYPART_ARC
(7,13),-0.440043 # DEPENDENCYPART_ARC
(7,14),-0.720935 # DEPENDENCYPART_ARC
(7,16),-2.31893 # DEPENDENCYPART_ARC
(7,17),-0.0563743 # DEPENDENCYPART_ARC
(8,6),-0.547611 # DEPENDENCYPART_ARC
(8,9),2.8297 # DEPENDENCYPART_ARC
(8,11),-0.903944 # DEPENDENCYPART_ARC
(9,4),-1.37008 # DEPENDENCYPART_ARC
(9,5),-1.41254 # DEPENDENCYPART_ARC
(9,6),-1.21488 # DEPENDENCYPART_ARC
(9,7),-1.62824 # DEPENDENCYPART_ARC
(9,8),-0.373608 # DEPENDENCYPART_ARC
(9,10),0.0592144 # DEPENDENCYPART_ARC
(9,11),0.847549 # DEPENDENCYPART_ARC
(9,13),0.140834 # DEPENDENCYPART_ARC
(9,14),-0.0679146 # DEPENDENCYPART_ARC
(9,15),-1.20818 # DEPENDENCYPART_ARC
(9,16),-1.67566 # DEPENDENCYPART_ARC
(9,17),-0.399853 # DEPENDENCYPART_ARC
(11,3),-2.49584 # DEPENDENCYPART_ARC
