# _root_ Εκτός από την σωρεία καταχρήσεων μεγάλης κλίμακας , διαπράττονται και πολλές καταχρήσεις σε μικρή κλίμακα , διότι ο τομέας των μεταφορών χαρακτηρίζεται σε μεγάλο βαθμό από καταχρήσεις .
#goldHeads=9,1,5,5,2,7,5,9,0,12,12,9,9,15,13,17,9,19,22,21,19,17,22,25,23,22,26,0,
#predictedHeads=9,1,4,2,4,7,5,9,0,12,12,9,12,15,13,17,9,19,22,21,19,17,22,25,23,25,26,0,
(0,1),-0.431347 # DEPENDENCYPART_ARC
(0,2),-0.665204 # DEPENDENCYPART_ARC
(0,4),-0.465388 # DEPENDENCYPART_ARC
(0,6),-0.745888 # DEPENDENCYPART_ARC
(0,8),-0.0758675 # DEPENDENCYPART_ARC
(0,9),0.944224 # DEPENDENCYPART_ARC
(0,10),-0.495085 # DEPENDENCYPART_ARC
(0,11),-0.922168 # DEPENDENCYPART_ARC
(0,12),-1.16601 # DEPENDENCYPART_ARC
(0,13),-0.722236 # DEPENDENCYPART_ARC
(0,15),-1.08781 # DEPENDENCYPART_ARC
(0,16),-0.390579 # DEPENDENCYPART_ARC
(0,17),-0.542187 # DEPENDENCYPART_ARC
(0,22),0.45787 # DEPENDENCYPART_ARC
(0,28),3.2684 # DEPENDENCYPART_ARC
(1,2),0.866058 # DEPENDENCYPART_ARC
(1,4),-0.652609 # DEPENDENCYPART_ARC
(1,5),-0.539012 # DEPENDENCYPART_ARC
(1,7),-0.825931 # DEPENDENCYPART_ARC
(1,8),-0.363704 # DEPENDENCYPART_ARC
(1,9),-0.834185 # DEPENDENCYPART_ARC
(1,16),-0.734617 # DEPENDENCYPART_ARC
(1,22),-1.09373 # DEPENDENCYPART_ARC
(2,1),-0.403289 # DEPENDENCYPART_ARC
(2,3),-0.108046 # DEPENDENCYPART_ARC
(2,4),1.11617 # DEPENDENCYPART_ARC
(2,5),-0.0246224 # DEPENDENCYPART_ARC
(2,6),-0.583085 # DEPENDENCYPART_ARC
(2,7),-0.238533 # DEPENDENCYPART_ARC
(2,8),-0.481827 # DEPENDENCYPART_ARC
(2,9),-1.27976 # DEPENDENCYPART_ARC
(2,10),-0.746405 # DEPENDENCYPART_ARC
(3,5),-0.850869 # DEPENDENCYPART_ARC
(4,2),-0.800084 # DEPENDENCYPART_ARC
(4,3),2.08591 # DEPENDENCYPART_ARC
(4,5),1.716 # DEPENDENCYPART_ARC
(4,6),-0.34084 # DEPENDENCYPART_ARC
(4,7),0.676412 # DEPENDENCYPART_ARC
(4,8),-0.273968 # DEPENDENCYPART_ARC
(4,9),-1.25613 # DEPENDENCYPART_ARC
(4,10),-0.37769 # DEPENDENCYPART_ARC
(4,13),-0.812985 # DEPENDENCYPART_ARC
(5,1),-0.772602 # DEPENDENCYPART_ARC
(5,2),-0.913236 # DEPENDENCYPART_ARC
(5,3),-0.215502 # DEPENDENCYPART_ARC
(5,4),-0.856194 # DEPENDENCYPART_ARC
(5,6),0.496871 # DEPENDENCYPART_ARC
(5,7),1.02784 # DEPENDENCYPART_ARC
(5,8),-0.196952 # DEPENDENCYPART_ARC
(5,9),-0.875364 # DEPENDENCYPART_ARC
(5,10),-0.619701 # DEPENDENCYPART_ARC
(5,11),-1.00799 # DEPENDENCYPART_ARC
(5,13),-0.857432 # DEPENDENCYPART_ARC
(6,1),-0.718332 # DEPENDENCYPART_ARC
