# _root_ Από τη στιγμή που εγκαταλείφθηκε το Κάστρο το 1829 , με την ίδρυση του Ανεξάρτητου Ελληνικού Κράτους , αφέθηκε στην τύχη του .
#goldHeads=5,3,1,5,19,7,5,9,5,5,5,13,11,17,17,17,13,19,0,19,20,21,0,
#predictedHeads=19,3,1,5,3,7,5,9,5,5,5,13,11,17,17,17,13,19,0,19,20,21,0,
(0,1),-0.360358 # DEPENDENCYPART_ARC
(0,3),-0.376666 # DEPENDENCYPART_ARC
(0,4),-0.867926 # DEPENDENCYPART_ARC
(0,5),0.360326 # DEPENDENCYPART_ARC
(0,7),-1.09857 # DEPENDENCYPART_ARC
(0,9),-1.09565 # DEPENDENCYPART_ARC
(0,10),-0.189846 # DEPENDENCYPART_ARC
(0,11),-1.01338 # DEPENDENCYPART_ARC
(0,15),-1.38069 # DEPENDENCYPART_ARC
(0,17),-1.54174 # DEPENDENCYPART_ARC
(0,18),-0.426607 # DEPENDENCYPART_ARC
(0,19),0.53248 # DEPENDENCYPART_ARC
(0,23),2.59831 # DEPENDENCYPART_ARC
(1,2),-0.0520906 # DEPENDENCYPART_ARC
(1,3),1.22343 # DEPENDENCYPART_ARC
(1,4),-0.335208 # DEPENDENCYPART_ARC
(1,5),-0.801578 # DEPENDENCYPART_ARC
(1,7),-0.987771 # DEPENDENCYPART_ARC
(1,10),-0.798261 # DEPENDENCYPART_ARC
(2,3),-0.395847 # DEPENDENCYPART_ARC
(2,4),-0.651931 # DEPENDENCYPART_ARC
(3,1),-0.590478 # DEPENDENCYPART_ARC
(3,2),2.38034 # DEPENDENCYPART_ARC
(3,4),0.0834277 # DEPENDENCYPART_ARC
(3,5),-0.283374 # DEPENDENCYPART_ARC
(3,7),-1.3427 # DEPENDENCYPART_ARC
(3,9),-0.623297 # DEPENDENCYPART_ARC
(3,11),-0.838929 # DEPENDENCYPART_ARC
(3,13),-1.90878 # DEPENDENCYPART_ARC
(3,19),-1.61524 # DEPENDENCYPART_ARC
(3,20),-0.897875 # DEPENDENCYPART_ARC
(4,1),-0.648003 # DEPENDENCYPART_ARC
(4,2),-0.744592 # DEPENDENCYPART_ARC
(4,3),-0.511638 # DEPENDENCYPART_ARC
(4,5),-0.31983 # DEPENDENCYPART_ARC
(4,7),-1.35245 # DEPENDENCYPART_ARC
(4,10),-1.01377 # DEPENDENCYPART_ARC
(4,11),-1.2033 # DEPENDENCYPART_ARC
