# _root_ Το πιο διάσημο τέκνο της Λέσβου , η Σαπφώ , θεωρήθηκε από πολλούς η πρώτη φεμινίστρια και μιά από τις καλύτερες λυρικές ποιήτριες των εποχών .
#goldHeads=4,3,4,7,6,4,11,9,7,7,0,11,12,16,16,17,11,17,18,23,23,23,19,25,23,0,
#predictedHeads=4,3,4,11,6,4,11,9,11,11,0,11,12,16,16,17,12,17,18,23,23,23,19,25,23,0,
(0,2),-0.793235 # DEPENDENCYPART_ARC
(0,3),-0.696026 # DEPENDENCYPART_ARC
(0,4),-0.618607 # DEPENDENCYPART_ARC
(0,6),-0.99826 # DEPENDENCYPART_ARC
(0,7),0.0112389 # DEPENDENCYPART_ARC
(0,9),-0.857235 # DEPENDENCYPART_ARC
(0,10),0.0226121 # DEPENDENCYPART_ARC
(0,11),0.895582 # DEPENDENCYPART_ARC
(0,12),-0.591908 # DEPENDENCYPART_ARC
(0,13),-1.28035 # DEPENDENCYPART_ARC
(0,17),-0.739198 # DEPENDENCYPART_ARC
(0,19),-0.201901 # DEPENDENCYPART_ARC
(0,23),-1.36083 # DEPENDENCYPART_ARC
(0,26),3.08467 # DEPENDENCYPART_ARC
(1,2),-0.106787 # DEPENDENCYPART_ARC
(2,1),-0.0686665 # DEPENDENCYPART_ARC
(2,3),-0.257927 # DEPENDENCYPART_ARC
(2,4),-0.245265 # DEPENDENCYPART_ARC
(2,7),-0.742483 # DEPENDENCYPART_ARC
(2,10),-0.829 # DEPENDENCYPART_ARC
(2,11),-1.15284 # DEPENDENCYPART_ARC
(2,12),-1.11359 # DEPENDENCYPART_ARC
(3,1),0.568974 # DEPENDENCYPART_ARC
(3,2),1.02003 # DEPENDENCYPART_ARC
(3,4),-0.848368 # DEPENDENCYPART_ARC
(3,6),-0.313047 # DEPENDENCYPART_ARC
(3,7),-0.612975 # DEPENDENCYPART_ARC
(3,10),-0.624472 # DEPENDENCYPART_ARC
(3,12),-0.858039 # DEPENDENCYPART_ARC
(4,1),1.5925 # DEPENDENCYPART_ARC
(4,2),0.187937 # DEPENDENCYPART_ARC
(4,3),2.32485 # DEPENDENCYPART_ARC
(4,5),-0.439259 # DEPENDENCYPART_ARC
(4,6),1.38969 # DEPENDENCYPART_ARC
(4,7),-0.236111 # DEPENDENCYPART_ARC
(4,9),-0.630949 # DEPENDENCYPART_ARC
(4,10),-0.430846 # DEPENDENCYPART_ARC
(4,11),-1.28441 # DEPENDENCYPART_ARC
(4,12),-0.908968 # DEPENDENCYPART_ARC
(4,17),-0.620542 # DEPENDENCYPART_ARC
(4,19),-0.837227 # DEPENDENCYPART_ARC
(6,2),-0.912729 # DEPENDENCYPART_ARC
(6,4),-1.02781 # DEPENDENCYPART_ARC
(6,5),2.1938 # DEPENDENCYPART_ARC
(6,7),-0.708583 # DEPENDENCYPART_ARC
(6,11),-1.84989 # DEPENDENCYPART_ARC
(6,13),-2.23522 # DEPENDENCYPART_ARC
(7,2),-0.903471 # DEPENDENCYPART_ARC
(7,3),-1.19074 # DEPENDENCYPART_ARC
(7,4),-0.77408 # DEPENDENCYPART_ARC
(7,6),-0.277582 # DEPENDENCYPART_ARC
(7,9),-0.653966 # DEPENDENCYPART_ARC
(7,10),-0.103264 # DEPENDENCYPART_ARC
(7,11),-1.01866 # DEPENDENCYPART_ARC
(7,12),-1.07369 # DEPENDENCYPART_ARC
(7,13),-1.3744 # DEPENDENCYPART_ARC
(7,17),-0.416603 # DEPENDENCYPART_ARC
(7,21),-1.53465 # DEPENDENCYPART_ARC
(7,22),-1.47795 # DEPENDENCYPART_ARC
(9,5),-0.408725 # DEPENDENCYPART_ARC
(9,7),-0.581609 # DEPENDENCYPART_ARC
(9,8),2.48712 # DEPENDENCYPART_ARC
(9,10),-0.506426 # DEPENDENCYPART_ARC
(9,11),-1.23753 # DEPENDENCYPART_ARC
(9,13),-2.16543 # DEPENDENCYPART_ARC
(10,2),-0.724141 # DEPENDENCYPART_ARC
(10,3),-1.06029 # DEPENDENCYPART_ARC
(10,4),-1.00399 # DEPENDENCYPART_ARC
(10,6),-1.12595 # DEPENDENCYPART_ARC
(10,7),-0.44799 # DEPENDENCYPART_ARC
(10,9),-0.451304 # DEPENDENCYPART_ARC
(10,11),-0.753414 # DEPENDENCYPART_ARC
(10,12),-1.22779 # DEPENDENCYPART_ARC
(10,13),-1.35844 # DEPENDENCYPART_ARC
(10,21),-1.69038 # DEPENDENCYPART_ARC
(11,2),-0.167778 # DEPENDENCYPART_ARC
(11,3),-1.30338 # DEPENDENCYPART_ARC
(11,4),-0.313935 # DEPENDENCYPART_ARC
(11,6),-1.46628 # DEPENDENCYPART_ARC
(11,7),0.282777 # DEPENDENCYPART_ARC
(11,8),-1.36552 # DEPENDENCYPART_ARC
(11,9),0.75291 # DEPENDENCYPART_ARC
(11,10),0.777452 # DEPENDENCYPART_ARC
(11,12),1.84654 # DEPENDENCYPART_ARC
(11,13),0.380128 # DEPENDENCYPART_ARC
(11,15),-0.806762 # DEPENDENCYPART_ARC
(11,16),0.519132 # DEPENDENCYPART_ARC
(11,17),0.251238 # DEPENDENCYPART_ARC
(11,18),-0.865219 # DEPENDENCYPART_ARC
(11,19),0.232279 # DEPENDENCYPART_ARC
(11,23),-1.58666 # DEPENDENCYPART_ARC
(11,25),-2.85938 # DEPENDENCYPART_ARC
(11,26),0.425935 # DEPENDENCYPART_ARC
(12,10),-0.694156 # DEPENDENCYPART_ARC
(12,13),0.783473 # DEPENDENCYPART_ARC
(12,16),0.215276 # DEPENDENCYPART_ARC
(12,17),-0.190102 # DEPENDENCYPART_ARC
(12,18),-0.473084 # DEPENDENCYPART_ARC
(13,4),-1.45867 # DEPENDENCYPART_ARC
(13,10),-1.21007 # DEPENDENCYPART_ARC
(13,12),-0.637055 # DEPENDENCYPART_ARC
(13,14),-0.697286 # DEPENDENCYPART_ARC
(13,16),-1.10284 # DEPENDENCYPART_ARC
(13,17),-0.223149 # DEPENDENCYPART_ARC
(13,18),-1.31438 # DEPENDENCYPART_ARC
(13,19),-0.201384 # DEPENDENCYPART_ARC
(15,14),0.466731 # DEPENDENCYPART_ARC
(15,16),-0.0851314 # DEPENDENCYPART_ARC
(15,18),-0.89136 # DEPENDENCYPART_ARC
(16,7),-1.15061 # DEPENDENCYPART_ARC
(16,8),-0.258011 # DEPENDENCYPART_ARC
(16,11),-2.12028 # DEPENDENCYPART_ARC
(16,12),-1.09116 # DEPENDENCYPART_ARC
(16,13),-0.90363 # DEPENDENCYPART_ARC
(16,14),2.30606 # DEPENDENCYPART_ARC
(16,15),2.17636 # DEPENDENCYPART_ARC
(16,17),-0.16555 # DEPENDENCYPART_ARC
(16,18),-0.870768 # DEPENDENCYPART_ARC
(16,19),-0.546448 # DEPENDENCYPART_ARC
(16,21),-1.67309 # DEPENDENCYPART_ARC
(16,22),-1.93367 # DEPENDENCYPART_ARC
(16,23),-2.04672 # DEPENDENCYPART_ARC
(16,25),-1.12261 # DEPENDENCYPART_ARC
(17,2),-0.459804 # DEPENDENCYPART_ARC
(17,3),-1.21021 # DEPENDENCYPART_ARC
(17,4),-0.395878 # DEPENDENCYPART_ARC
(17,6),-0.0751878 # DEPENDENCYPART_ARC
(17,7),-0.0536748 # DEPENDENCYPART_ARC
(17,9),0.0109028 # DEPENDENCYPART_ARC
(17,10),-0.123911 # DEPENDENCYPART_ARC
(17,11),0.348674 # DEPENDENCYPART_ARC
(17,12),-0.200972 # DEPENDENCYPART_ARC
(17,13),-0.311863 # DEPENDENCYPART_ARC
(17,14),-0.365783 # DEPENDENCYPART_ARC
(17,15),0.206112 # DEPENDENCYPART_ARC
(17,16),1.64307 # DEPENDENCYPART_ARC
(17,18),1.85233 # DEPENDENCYPART_ARC
(17,19),-0.0963101 # DEPENDENCYPART_ARC
(17,21),-0.340595 # DEPENDENCYPART_ARC
(17,22),-0.429917 # DEPENDENCYPART_ARC
(17,23),-0.704555 # DEPENDENCYPART_ARC
