# _root_ Μιλώντας στην 46η επέτειο από την εξέγερση των κατοίκων του Θιβέτ , ο Δαλάι Λάμα είπε ότι η εικόνα της Κίνας δέχεται πλήγματα από αντιδημοκρατικές συμπεριφορές , καταπάτηση των ανθρωπίνων δικαιωμάτων και ανισότητες στον τρόπο μεταχείρισης των μειονοτήτων .
#goldHeads=16,1,4,2,4,7,5,9,7,11,9,16,15,15,16,0,16,19,22,21,19,17,22,23,26,32,32,32,31,31,28,24,32,33,34,35,38,36,0,
#predictedHeads=16,1,4,2,1,7,5,9,7,11,9,16,15,15,16,0,16,19,22,21,19,17,22,23,26,24,32,32,31,31,28,24,32,33,34,35,38,36,0,
(0,1),-0.292272 # DEPENDENCYPART_ARC
(0,2),-0.990785 # DEPENDENCYPART_ARC
(0,3),-1.04259 # DEPENDENCYPART_ARC
(0,4),-0.842933 # DEPENDENCYPART_ARC
(0,5),-0.88137 # DEPENDENCYPART_ARC
(0,11),-1.12235 # DEPENDENCYPART_ARC
(0,16),0.652859 # DEPENDENCYPART_ARC
(0,17),-1.85497 # DEPENDENCYPART_ARC
(0,22),0.267789 # DEPENDENCYPART_ARC
(0,39),4.18473 # DEPENDENCYPART_ARC
(1,2),1.65121 # DEPENDENCYPART_ARC
(1,3),0.020597 # DEPENDENCYPART_ARC
(1,4),0.94657 # DEPENDENCYPART_ARC
(1,5),0.351931 # DEPENDENCYPART_ARC
(1,7),-0.261658 # DEPENDENCYPART_ARC
(1,9),-2.75714 # DEPENDENCYPART_ARC
(1,12),-0.144417 # DEPENDENCYPART_ARC
(1,14),-0.416023 # DEPENDENCYPART_ARC
(1,15),-0.988959 # DEPENDENCYPART_ARC
(1,16),-2.69907 # DEPENDENCYPART_ARC
(1,17),-1.43285 # DEPENDENCYPART_ARC
(1,24),-1.12758 # DEPENDENCYPART_ARC
(1,27),-0.656525 # DEPENDENCYPART_ARC
(2,3),0.700117 # DEPENDENCYPART_ARC
(2,4),1.85471 # DEPENDENCYPART_ARC
(2,5),-0.653088 # DEPENDENCYPART_ARC
(3,1),-0.688792 # DEPENDENCYPART_ARC
(3,4),-0.269907 # DEPENDENCYPART_ARC
(3,5),-0.587711 # DEPENDENCYPART_ARC
(3,7),-1.14639 # DEPENDENCYPART_ARC
(4,1),-1.26188 # DEPENDENCYPART_ARC
(4,2),-0.0453293 # DEPENDENCYPART_ARC
(4,3),1.37006 # DEPENDENCYPART_ARC
(4,5),0.777473 # DEPENDENCYPART_ARC
(4,6),-0.481186 # DEPENDENCYPART_ARC
(4,7),-0.535296 # DEPENDENCYPART_ARC
(4,9),0.0614338 # DEPENDENCYPART_ARC
(4,11),-0.502997 # DEPENDENCYPART_ARC
(4,14),-0.345141 # DEPENDENCYPART_ARC
(4,16),-0.785033 # DEPENDENCYPART_ARC
(5,4),-1.15876 # DEPENDENCYPART_ARC
(5,6),-0.152746 # DEPENDENCYPART_ARC
(5,7),1.17322 # DEPENDENCYPART_ARC
(5,9),-0.174929 # DEPENDENCYPART_ARC
(5,12),-0.625853 # DEPENDENCYPART_ARC
(5,17),-0.596866 # DEPENDENCYPART_ARC
(7,4),-1.27247 # DEPENDENCYPART_ARC
(7,5),-0.778509 # DEPENDENCYPART_ARC
(7,6),2.34604 # DEPENDENCYPART_ARC
(7,8),0.166465 # DEPENDENCYPART_ARC
(7,9),1.02858 # DEPENDENCYPART_ARC
(7,11),-0.377143 # DEPENDENCYPART_ARC
(7,12),-0.281103 # DEPENDENCYPART_ARC
(7,14),-0.525118 # DEPENDENCYPART_ARC
(7,15),-1.3506 # DEPENDENCYPART_ARC
(7,16),-1.08174 # DEPENDENCYPART_ARC
(7,17),-0.588779 # DEPENDENCYPART_ARC
(7,22),-1.78201 # DEPENDENCYPART_ARC
(7,24),-0.621566 # DEPENDENCYPART_ARC
(7,32),-0.29271 # DEPENDENCYPART_ARC
(9,6),-2.00918 # DEPENDENCYPART_ARC
(9,7),-2.2114 # DEPENDENCYPART_ARC
(9,8),2.18991 # DEPENDENCYPART_ARC
(9,10),-0.380549 # DEPENDENCYPART_ARC
(9,11),-0.270244 # DEPENDENCYPART_ARC
(9,12),-0.393875 # DEPENDENCYPART_ARC
(9,14),-0.437382 # DEPENDENCYPART_ARC
(9,15),-1.39927 # DEPENDENCYPART_ARC
(9,16),-2.02552 # DEPENDENCYPART_ARC
(9,17),-0.808735 # DEPENDENCYPART_ARC
(9,19),-2.03076 # DEPENDENCYPART_ARC
(9,24),-0.884305 # DEPENDENCYPART_ARC
(11,8),0.458622 # DEPENDENCYPART_ARC
(11,9),-0.16375 # DEPENDENCYPART_ARC
(11,10),1.77055 # DEPENDENCYPART_ARC
(11,12),-0.158119 # DEPENDENCYPART_ARC
(11,15),-0.921388 # DEPENDENCYPART_ARC
(12,1),-1.19756 # DEPENDENCYPART_ARC
(12,4),-1.24651 # DEPENDENCYPART_ARC
(12,5),-0.882511 # DEPENDENCYPART_ARC
(12,7),-1.15244 # DEPENDENCYPART_ARC
(12,9),-0.929736 # DEPENDENCYPART_ARC
(12,11),-0.480981 # DEPENDENCYPART_ARC
(12,14),-0.915961 # DEPENDENCYPART_ARC
(12,15),-1.0301 # DEPENDENCYPART_ARC
(12,16),-0.991576 # DEPENDENCYPART_ARC
(12,17),-0.99356 # DEPENDENCYPART_ARC
(12,21),-1.81099 # DEPENDENCYPART_ARC
(12,22),-1.10909 # DEPENDENCYPART_ARC
(13,14),-0.00543867 # DEPENDENCYPART_ARC
(14,1),-1.72218 # DEPENDENCYPART_ARC
(14,5),-0.996537 # DEPENDENCYPART_ARC
(14,9),-1.248 # DEPENDENCYPART_ARC
(14,12),-0.503343 # DEPENDENCYPART_ARC
(14,13),-0.280643 # DEPENDENCYPART_ARC
(14,15),-0.0886537 # DEPENDENCYPART_ARC
(14,16),-0.639865 # DEPENDENCYPART_ARC
(14,19),-1.33329 # DEPENDENCYPART_ARC
(14,22),-1.45508 # DEPENDENCYPART_ARC
(15,1),-1.50112 # DEPENDENCYPART_ARC
(15,6),-0.877848 # DEPENDENCYPART_ARC
(15,8),-2.37425 # DEPENDENCYPART_ARC
(15,10),-0.986912 # DEPENDENCYPART_ARC
(15,12),-0.440828 # DEPENDENCYPART_ARC
(15,13),0.967671 # DEPENDENCYPART_ARC
(15,14),1.0249 # DEPENDENCYPART_ARC
(15,16),-0.386344 # DEPENDENCYPART_ARC
(15,17),-0.635105 # DEPENDENCYPART_ARC
(15,19),-1.67242 # DEPENDENCYPART_ARC
(15,21),-0.802157 # DEPENDENCYPART_ARC
(16,1),1.75133 # DEPENDENCYPART_ARC
(16,2),-0.421701 # DEPENDENCYPART_ARC
(16,3),-0.39386 # DEPENDENCYPART_ARC
(16,4),-0.861781 # DEPENDENCYPART_ARC
(16,5),-0.586355 # DEPENDENCYPART_ARC
(16,7),-0.585988 # DEPENDENCYPART_ARC
(16,9),-1.89743 # DEPENDENCYPART_ARC
(16,11),-0.615302 # DEPENDENCYPART_ARC
(16,12),0.442609 # DEPENDENCYPART_ARC
(16,13),-1.44087 # DEPENDENCYPART_ARC
(16,14),0.692248 # DEPENDENCYPART_ARC
(16,15),0.526948 # DEPENDENCYPART_ARC
(16,17),1.38244 # DEPENDENCYPART_ARC
(16,18),-1.18722 # DEPENDENCYPART_ARC
(16,19),0.576142 # DEPENDENCYPART_ARC
(16,21),-1.3949 # DEPENDENCYPART_ARC
(16,22),-1.0453 # DEPENDENCYPART_ARC
(16,23),-1.22309 # DEPENDENCYPART_ARC
(16,24),-0.493809 # DEPENDENCYPART_ARC
(16,27),-0.295523 # DEPENDENCYPART_ARC
(16,32),-0.366168 # DEPENDENCYPART_ARC
(16,34),-0.604151 # DEPENDENCYPART_ARC
