# _root_ Χάρη στο Κοινοβούλιο , η οδηγία θα μπορέσει τελικά να καλύψει όλους τους οδηγούς όλων των κατηγοριών , αυτοαπασχολούμενους και μη .
#goldHeads=8,1,2,8,6,8,8,0,8,11,8,14,14,18,17,17,14,11,20,18,20,0,
#predictedHeads=8,1,2,8,6,8,8,0,8,11,8,14,14,11,17,17,14,20,20,14,20,0,
(0,1),-0.418663 # DEPENDENCYPART_ARC
(0,2),-0.61319 # DEPENDENCYPART_ARC
(0,3),-0.266303 # DEPENDENCYPART_ARC
(0,4),-0.105689 # DEPENDENCYPART_ARC
(0,6),-0.707898 # DEPENDENCYPART_ARC
(0,8),-0.0467862 # DEPENDENCYPART_ARC
(0,9),-0.974719 # DEPENDENCYPART_ARC
(0,11),-0.549852 # DEPENDENCYPART_ARC
(0,12),-1.14587 # DEPENDENCYPART_ARC
(0,15),-1.04289 # DEPENDENCYPART_ARC
(0,18),-0.166018 # DEPENDENCYPART_ARC
(0,19),-1.28978 # DEPENDENCYPART_ARC
(0,20),-0.654538 # DEPENDENCYPART_ARC
(0,22),2.5249 # DEPENDENCYPART_ARC
(1,2),0.538837 # DEPENDENCYPART_ARC
(1,3),-0.309504 # DEPENDENCYPART_ARC
(1,4),-0.350518 # DEPENDENCYPART_ARC
(1,6),-0.919421 # DEPENDENCYPART_ARC
(1,8),-0.951669 # DEPENDENCYPART_ARC
(1,9),-1.18719 # DEPENDENCYPART_ARC
(1,11),-1.18174 # DEPENDENCYPART_ARC
(2,1),-0.186178 # DEPENDENCYPART_ARC
(2,3),2.90421 # DEPENDENCYPART_ARC
(2,4),-0.153027 # DEPENDENCYPART_ARC
(2,6),-0.386742 # DEPENDENCYPART_ARC
(3,1),-0.441908 # DEPENDENCYPART_ARC
(3,2),-0.407564 # DEPENDENCYPART_ARC
(3,4),-0.535642 # DEPENDENCYPART_ARC
(3,5),-1.52982 # DEPENDENCYPART_ARC
(3,6),-1.15446 # DEPENDENCYPART_ARC
