# _root_ Η εταιρεία αυτή στη Black Country στο Ηνωμένο Βασίλειο απασχολεί 80 άτομα , δηλαδή 80 θέσεις εργασίες για τις οποίες υπάρχει μεγάλη ανάγκη , και συμμορφώνεται με όλες τις κοινωνικές προδιαγραφές της νομοθεσίας του Ηνωμένου Βασιλείου .
#goldHeads=2,10,2,2,6,4,6,9,7,25,12,14,14,10,16,14,16,21,20,18,16,23,21,25,0,25,26,31,31,31,27,33,31,36,36,33,0,
#predictedHeads=2,10,2,2,6,4,2,9,7,0,12,10,14,10,16,17,10,21,20,18,25,23,21,25,0,25,26,31,31,31,27,33,31,36,36,33,0,
(0,2),-0.41707 # DEPENDENCYPART_ARC
(0,3),-0.693162 # DEPENDENCYPART_ARC
(0,4),-0.550874 # DEPENDENCYPART_ARC
(0,5),-0.64413 # DEPENDENCYPART_ARC
(0,6),-0.589475 # DEPENDENCYPART_ARC
(0,8),-0.896606 # DEPENDENCYPART_ARC
(0,10),0.809293 # DEPENDENCYPART_ARC
(0,11),-1.21717 # DEPENDENCYPART_ARC
(0,13),-0.471795 # DEPENDENCYPART_ARC
(0,15),-1.24852 # DEPENDENCYPART_ARC
(0,21),0.110596 # DEPENDENCYPART_ARC
(0,24),-0.482419 # DEPENDENCYPART_ARC
(0,25),0.53048 # DEPENDENCYPART_ARC
(0,26),-0.11663 # DEPENDENCYPART_ARC
(0,37),3.72846 # DEPENDENCYPART_ARC
(1,2),-0.868316 # DEPENDENCYPART_ARC
(2,1),2.41719 # DEPENDENCYPART_ARC
(2,3),1.64125 # DEPENDENCYPART_ARC
(2,4),0.287958 # DEPENDENCYPART_ARC
(2,5),-0.186299 # DEPENDENCYPART_ARC
(2,6),-0.146571 # DEPENDENCYPART_ARC
(2,7),-0.0406792 # DEPENDENCYPART_ARC
(2,8),-1.57279 # DEPENDENCYPART_ARC
(2,9),-1.05986 # DEPENDENCYPART_ARC
(2,10),-0.949665 # DEPENDENCYPART_ARC
(2,14),-0.738346 # DEPENDENCYPART_ARC
(2,18),-0.585909 # DEPENDENCYPART_ARC
(2,25),-0.460543 # DEPENDENCYPART_ARC
(4,5),1.03132 # DEPENDENCYPART_ARC
(4,6),0.618293 # DEPENDENCYPART_ARC
(5,6),0.0185209 # DEPENDENCYPART_ARC
(5,7),-0.165599 # DEPENDENCYPART_ARC
(6,5),1.40926 # DEPENDENCYPART_ARC
(6,7),0.0982964 # DEPENDENCYPART_ARC
(6,9),-0.728504 # DEPENDENCYPART_ARC
(6,10),-0.68711 # DEPENDENCYPART_ARC
(7,8),1.02103 # DEPENDENCYPART_ARC
(7,9),2.01935 # DEPENDENCYPART_ARC
(7,10),-1.24652 # DEPENDENCYPART_ARC
(8,2),-1.53195 # DEPENDENCYPART_ARC
(8,9),-0.25374 # DEPENDENCYPART_ARC
(8,11),-0.904142 # DEPENDENCYPART_ARC
(9,1),-0.757214 # DEPENDENCYPART_ARC
(9,2),-1.09453 # DEPENDENCYPART_ARC
(9,3),-0.652788 # DEPENDENCYPART_ARC
(9,7),-0.174612 # DEPENDENCYPART_ARC
(9,8),2.42997 # DEPENDENCYPART_ARC
(9,10),-0.562343 # DEPENDENCYPART_ARC
(9,11),-0.7537 # DEPENDENCYPART_ARC
(9,12),-1.70578 # DEPENDENCYPART_ARC
(9,15),-1.15237 # DEPENDENCYPART_ARC
(10,2),-0.0353121 # DEPENDENCYPART_ARC
(10,3),-0.254089 # DEPENDENCYPART_ARC
(10,4),-0.537557 # DEPENDENCYPART_ARC
(10,5),-0.684229 # DEPENDENCYPART_ARC
(10,6),-0.703218 # DEPENDENCYPART_ARC
(10,7),-0.160358 # DEPENDENCYPART_ARC
(10,8),-0.351541 # DEPENDENCYPART_ARC
(10,9),0.231073 # DEPENDENCYPART_ARC
(10,11),0.398746 # DEPENDENCYPART_ARC
(10,12),0.975609 # DEPENDENCYPART_ARC
(10,13),0.101019 # DEPENDENCYPART_ARC
(10,14),-0.0194638 # DEPENDENCYPART_ARC
(10,15),-0.523549 # DEPENDENCYPART_ARC
(10,16),-0.371372 # DEPENDENCYPART_ARC
(10,17),-0.393963 # DEPENDENCYPART_ARC
(10,18),-0.137556 # DEPENDENCYPART_ARC
(10,23),-1.30588 # DEPENDENCYPART_ARC
(10,24),-0.672527 # DEPENDENCYPART_ARC
(10,25),-0.723542 # DEPENDENCYPART_ARC
(10,26),-2.12448 # DEPENDENCYPART_ARC
(10,27),-0.892194 # DEPENDENCYPART_ARC
(10,31),-1.88086 # DEPENDENCYPART_ARC
(10,33),-3.38084 # DEPENDENCYPART_ARC
(10,36),-3.6355 # DEPENDENCYPART_ARC
(11,9),-0.560661 # DEPENDENCYPART_ARC
(11,10),0.251891 # DEPENDENCYPART_ARC
(11,12),-0.379487 # DEPENDENCYPART_ARC
