# _root_ Κύριε Πρόεδρε , στο πλαίσιο της προπαρασκευαστικής συζήτησης για την εκλογή του Προέδρου του Κοινοβουλίου , μου δόθηκε η ευκαιρία να διατυπώσω τις προσδοκίες που είχα από τον νέο Πρόεδρο .
#goldHeads=2,0,4,18,4,8,8,5,8,11,9,13,11,15,13,4,18,0,20,18,22,20,24,22,26,24,26,30,30,27,0,
#predictedHeads=2,0,2,18,4,8,8,5,8,11,9,13,11,15,13,18,18,0,20,18,22,20,24,22,26,24,26,30,30,27,0,
(0,1),0.35646 # DEPENDENCYPART_ARC
(0,2),0.213877 # DEPENDENCYPART_ARC
(0,3),0.253232 # DEPENDENCYPART_ARC
(0,4),-0.413438 # DEPENDENCYPART_ARC
(0,5),-0.499737 # DEPENDENCYPART_ARC
(0,7),-0.85351 # DEPENDENCYPART_ARC
(0,8),-1.07017 # DEPENDENCYPART_ARC
(0,9),-0.423537 # DEPENDENCYPART_ARC
(0,11),-0.81235 # DEPENDENCYPART_ARC
(0,13),-1.19095 # DEPENDENCYPART_ARC
(0,15),-1.06555 # DEPENDENCYPART_ARC
(0,16),-0.22923 # DEPENDENCYPART_ARC
(0,18),0.62905 # DEPENDENCYPART_ARC
(0,20),-1.31739 # DEPENDENCYPART_ARC
(0,22),-0.199244 # DEPENDENCYPART_ARC
(0,26),-0.149852 # DEPENDENCYPART_ARC
(0,30),-1.19794 # DEPENDENCYPART_ARC
(0,31),3.73292 # DEPENDENCYPART_ARC
(1,2),-0.712424 # DEPENDENCYPART_ARC
(1,3),-0.561817 # DEPENDENCYPART_ARC
(1,4),-0.303065 # DEPENDENCYPART_ARC
(1,5),-1.52617 # DEPENDENCYPART_ARC
(1,7),-1.12289 # DEPENDENCYPART_ARC
(1,8),-1.25518 # DEPENDENCYPART_ARC
(1,9),-0.524827 # DEPENDENCYPART_ARC
(1,18),-1.35 # DEPENDENCYPART_ARC
(2,1),2.5313 # DEPENDENCYPART_ARC
(2,3),-0.0186526 # DEPENDENCYPART_ARC
(2,4),-0.299755 # DEPENDENCYPART_ARC
(2,5),-1.42332 # DEPENDENCYPART_ARC
(2,7),-1.00919 # DEPENDENCYPART_ARC
(2,9),-0.57269 # DEPENDENCYPART_ARC
(2,18),-1.44352 # DEPENDENCYPART_ARC
(3,1),-1.04233 # DEPENDENCYPART_ARC
(3,2),-0.648029 # DEPENDENCYPART_ARC
(3,4),-0.512171 # DEPENDENCYPART_ARC
(3,5),-0.742494 # DEPENDENCYPART_ARC
(3,7),-1.13759 # DEPENDENCYPART_ARC
(3,8),-1.27248 # DEPENDENCYPART_ARC
(3,11),-1.50287 # DEPENDENCYPART_ARC
(3,16),-0.731415 # DEPENDENCYPART_ARC
(4,3),-0.0854982 # DEPENDENCYPART_ARC
(4,5),3.07914 # DEPENDENCYPART_ARC
(4,8),-0.304006 # DEPENDENCYPART_ARC
(5,1),-0.775017 # DEPENDENCYPART_ARC
(5,2),-0.754284 # DEPENDENCYPART_ARC
(5,3),-0.920425 # DEPENDENCYPART_ARC
(5,4),-0.692097 # DEPENDENCYPART_ARC
(5,6),-0.164709 # DEPENDENCYPART_ARC
(5,7),-0.228585 # DEPENDENCYPART_ARC
(5,8),0.758043 # DEPENDENCYPART_ARC
(5,9),-0.0289267 # DEPENDENCYPART_ARC
(5,11),-1.15912 # DEPENDENCYPART_ARC
(5,13),-0.326335 # DEPENDENCYPART_ARC
(5,15),-0.65916 # DEPENDENCYPART_ARC
(5,16),-0.395878 # DEPENDENCYPART_ARC
(5,18),-0.76975 # DEPENDENCYPART_ARC
(5,22),-1.14377 # DEPENDENCYPART_ARC
