# _root_ Το παράδειγμα που ανέφερε μόλις ο κ. Bolkestein αποτελεί βέβαια ένα κατάφωρο , ίσως μάλιστα και εξαιρετικό , παράδειγμα των καταχρήσεων που γίνονται στον τομέα των μεταφορών .
#goldHeads=2,9,4,2,4,8,8,4,0,9,19,16,17,17,17,19,16,17,9,21,19,23,21,23,24,27,25,0,
#predictedHeads=2,9,4,2,4,8,8,9,0,9,12,16,14,15,16,19,16,19,9,21,19,23,21,23,24,27,25,0,
(0,2),-0.40122 # DEPENDENCYPART_ARC
(0,4),0.271584 # DEPENDENCYPART_ARC
(0,5),-1.09509 # DEPENDENCYPART_ARC
(0,7),-0.949187 # DEPENDENCYPART_ARC
(0,8),-0.957586 # DEPENDENCYPART_ARC
(0,9),0.169132 # DEPENDENCYPART_ARC
(0,12),-1.10749 # DEPENDENCYPART_ARC
(0,13),-0.213479 # DEPENDENCYPART_ARC
(0,16),-0.526342 # DEPENDENCYPART_ARC
(0,17),-1.32354 # DEPENDENCYPART_ARC
(0,18),-0.0624077 # DEPENDENCYPART_ARC
(0,23),-0.322462 # DEPENDENCYPART_ARC
(0,28),2.96816 # DEPENDENCYPART_ARC
(2,1),2.56309 # DEPENDENCYPART_ARC
(2,3),0.752524 # DEPENDENCYPART_ARC
(2,4),0.0525196 # DEPENDENCYPART_ARC
(2,5),-0.455405 # DEPENDENCYPART_ARC
(2,7),-0.684539 # DEPENDENCYPART_ARC
(2,8),-0.622206 # DEPENDENCYPART_ARC
(2,9),-1.23926 # DEPENDENCYPART_ARC
(2,10),-0.775283 # DEPENDENCYPART_ARC
(2,23),-1.34562 # DEPENDENCYPART_ARC
(3,4),-0.552962 # DEPENDENCYPART_ARC
(4,1),-1.2769 # DEPENDENCYPART_ARC
(4,2),-0.0137879 # DEPENDENCYPART_ARC
(4,3),1.8851 # DEPENDENCYPART_ARC
(4,5),1.27393 # DEPENDENCYPART_ARC
(4,6),-1.41526 # DEPENDENCYPART_ARC
(4,7),-0.146296 # DEPENDENCYPART_ARC
(4,8),-0.242492 # DEPENDENCYPART_ARC
(4,9),-0.601733 # DEPENDENCYPART_ARC
(4,10),-0.271685 # DEPENDENCYPART_ARC
(4,12),-1.23716 # DEPENDENCYPART_ARC
(4,13),-0.16828 # DEPENDENCYPART_ARC
(4,14),-0.558719 # DEPENDENCYPART_ARC
(4,16),-0.968071 # DEPENDENCYPART_ARC
(4,18),-0.461264 # DEPENDENCYPART_ARC
(4,19),-0.9557 # DEPENDENCYPART_ARC
(4,21),-3.10454 # DEPENDENCYPART_ARC
(4,24),-0.566745 # DEPENDENCYPART_ARC
(4,27),-3.72148 # DEPENDENCYPART_ARC
(4,28),-0.315712 # DEPENDENCYPART_ARC
(5,2),-0.996806 # DEPENDENCYPART_ARC
(5,3),-1.26772 # DEPENDENCYPART_ARC
(5,4),-0.710518 # DEPENDENCYPART_ARC
(5,6),-0.381897 # DEPENDENCYPART_ARC
(5,7),-0.546345 # DEPENDENCYPART_ARC
(5,9),-0.914272 # DEPENDENCYPART_ARC
(7,6),0.629191 # DEPENDENCYPART_ARC
(8,6),1.05535 # DEPENDENCYPART_ARC
(8,7),1.69883 # DEPENDENCYPART_ARC
(8,9),-0.298801 # DEPENDENCYPART_ARC
(9,2),-0.252277 # DEPENDENCYPART_ARC
(9,3),-0.383009 # DEPENDENCYPART_ARC
(9,4),-1.67928 # DEPENDENCYPART_ARC
(9,5),-0.135388 # DEPENDENCYPART_ARC
(9,6),-1.17024 # DEPENDENCYPART_ARC
(9,7),-0.406486 # DEPENDENCYPART_ARC
(9,8),0.0734117 # DEPENDENCYPART_ARC
(9,10),1.03446 # DEPENDENCYPART_ARC
(9,12),-0.809349 # DEPENDENCYPART_ARC
(9,13),-0.00998741 # DEPENDENCYPART_ARC
(9,14),-0.175766 # DEPENDENCYPART_ARC
(9,15),-0.502738 # DEPENDENCYPART_ARC
(9,16),-0.523556 # DEPENDENCYPART_ARC
(9,17),-0.647029 # DEPENDENCYPART_ARC
(9,18),-0.321044 # DEPENDENCYPART_ARC
(9,19),-0.20377 # DEPENDENCYPART_ARC
(9,21),-2.03693 # DEPENDENCYPART_ARC
(9,23),-1.5454 # DEPENDENCYPART_ARC
(9,24),-1.27336 # DEPENDENCYPART_ARC
(9,25),-1.42499 # DEPENDENCYPART_ARC
(9,27),-3.0902 # DEPENDENCYPART_ARC
(9,28),-0.520483 # DEPENDENCYPART_ARC
(10,2),-1.2401 # DEPENDENCYPART_ARC
(10,3),-1.69693 # DEPENDENCYPART_ARC
(10,4),-1.66606 # DEPENDENCYPART_ARC
(10,5),-0.59239 # DEPENDENCYPART_ARC
(10,8),-0.498568 # DEPENDENCYPART_ARC
(10,9),-0.585196 # DEPENDENCYPART_ARC
(10,12),-1.16968 # DEPENDENCYPART_ARC
(10,13),-0.664637 # DEPENDENCYPART_ARC
(10,14),-1.07611 # DEPENDENCYPART_ARC
(10,16),-0.780102 # DEPENDENCYPART_ARC
(10,18),-0.898827 # DEPENDENCYPART_ARC
(11,10),0.655049 # DEPENDENCYPART_ARC
(12,10),-0.0820404 # DEPENDENCYPART_ARC
(12,11),1.03671 # DEPENDENCYPART_ARC
(12,13),-0.189245 # DEPENDENCYPART_ARC
(12,14),-0.424649 # DEPENDENCYPART_ARC
(12,15),-0.589714 # DEPENDENCYPART_ARC
(12,19),-2.18209 # DEPENDENCYPART_ARC
(13,2),-1.55268 # DEPENDENCYPART_ARC
(13,4),-0.952192 # DEPENDENCYPART_ARC
(13,5),-0.863642 # DEPENDENCYPART_ARC
(13,9),-0.897739 # DEPENDENCYPART_ARC
(13,10),-0.612806 # DEPENDENCYPART_ARC
(13,12),-0.286022 # DEPENDENCYPART_ARC
(13,14),-0.372125 # DEPENDENCYPART_ARC
(13,15),-0.659319 # DEPENDENCYPART_ARC
(13,16),-0.392689 # DEPENDENCYPART_ARC
(13,17),-0.805151 # DEPENDENCYPART_ARC
(13,18),-0.224991 # DEPENDENCYPART_ARC
(13,19),-1.28165 # DEPENDENCYPART_ARC
(13,21),-1.36604 # DEPENDENCYPART_ARC
(13,23),-0.744673 # DEPENDENCYPART_ARC
(14,3),-1.7257 # DEPENDENCYPART_ARC
(14,5),-0.664369 # DEPENDENCYPART_ARC
(14,10),-0.467996 # DEPENDENCYPART_ARC
(14,12),-0.542134 # DEPENDENCYPART_ARC
(14,13),0.323204 # DEPENDENCYPART_ARC
(14,15),0.0827783 # DEPENDENCYPART_ARC
(14,16),-0.16286 # DEPENDENCYPART_ARC
(14,17),-0.750478 # DEPENDENCYPART_ARC
(14,18),-0.301788 # DEPENDENCYPART_ARC
(14,19),-0.575319 # DEPENDENCYPART_ARC
(14,21),-0.970866 # DEPENDENCYPART_ARC
(14,23),-0.936539 # DEPENDENCYPART_ARC
(15,10),-0.470543 # DEPENDENCYPART_ARC
(15,13),-0.412897 # DEPENDENCYPART_ARC
(15,14),0.642417 # DEPENDENCYPART_ARC
(15,17),-0.711467 # DEPENDENCYPART_ARC
(15,19),-1.77072 # DEPENDENCYPART_ARC
(15,21),-1.034 # DEPENDENCYPART_ARC
(15,24),-1.35398 # DEPENDENCYPART_ARC
(16,2),-0.925899 # DEPENDENCYPART_ARC
(16,3),-0.402192 # DEPENDENCYPART_ARC
(16,4),-0.855813 # DEPENDENCYPART_ARC
(16,5),-0.324408 # DEPENDENCYPART_ARC
(16,8),-0.577419 # DEPENDENCYPART_ARC
(16,9),-0.22878 # DEPENDENCYPART_ARC
(16,10),-0.144682 # DEPENDENCYPART_ARC
(16,11),-0.763743 # DEPENDENCYPART_ARC
(16,12),0.133185 # DEPENDENCYPART_ARC
(16,13),0.166488 # DEPENDENCYPART_ARC
(16,14),0.102075 # DEPENDENCYPART_ARC
(16,15),1.32103 # DEPENDENCYPART_ARC
(16,17),1.37013 # DEPENDENCYPART_ARC
(16,18),-0.118458 # DEPENDENCYPART_ARC
(16,19),-0.49744 # DEPENDENCYPART_ARC
(16,21),-0.855828 # DEPENDENCYPART_ARC
(16,23),-0.77398 # DEPENDENCYPART_ARC
(16,24),-1.12088 # DEPENDENCYPART_ARC
(16,25),-1.7792 # DEPENDENCYPART_ARC
(17,14),-0.093985 # DEPENDENCYPART_ARC
(17,15),0.15156 # DEPENDENCYPART_ARC
(17,16),0.287889 # DEPENDENCYPART_ARC
(17,18),-0.308758 # DEPENDENCYPART_ARC
(17,19),-1.482 # DEPENDENCYPART_ARC
(17,21),-0.44021 # DEPENDENCYPART_ARC
(17,24),-1.71281 # DEPENDENCYPART_ARC
(18,2),-1.45668 # DEPENDENCYPART_ARC
(18,4),-1.05652 # DEPENDENCYPART_ARC
(18,9),-0.936159 # DEPENDENCYPART_ARC
