# _root_ Οι βακτηριακές αποικίες , που παραμένουν στο ίζημα εκατομμύρια χρόνια , φαίνονται μάλιστα να αναπτύσσονται με ρυθμό παρόμοιο με των βακτηρίων της επιφάνειας .
#goldHeads=3,3,12,6,6,3,6,7,10,6,6,0,12,15,12,15,16,17,18,21,19,23,21,0,
#predictedHeads=3,3,12,6,6,3,6,7,10,7,12,0,12,15,12,15,16,17,18,21,19,23,21,0,
(0,2),-0.434212 # DEPENDENCYPART_ARC
(0,3),-0.46706 # DEPENDENCYPART_ARC
(0,4),-0.00684995 # DEPENDENCYPART_ARC
(0,6),0.0908898 # DEPENDENCYPART_ARC
(0,7),-0.875013 # DEPENDENCYPART_ARC
(0,8),-1.0855 # DEPENDENCYPART_ARC
(0,11),-0.300828 # DEPENDENCYPART_ARC
(0,12),0.478418 # DEPENDENCYPART_ARC
(0,13),-0.973343 # DEPENDENCYPART_ARC
(0,15),-0.358773 # DEPENDENCYPART_ARC
(0,18),-1.29897 # DEPENDENCYPART_ARC
(0,24),2.86763 # DEPENDENCYPART_ARC
(2,1),1.18813 # DEPENDENCYPART_ARC
(2,3),-1.07961 # DEPENDENCYPART_ARC
(2,4),-0.633951 # DEPENDENCYPART_ARC
(2,6),-0.944712 # DEPENDENCYPART_ARC
(2,7),-1.30736 # DEPENDENCYPART_ARC
(3,1),2.78948 # DEPENDENCYPART_ARC
(3,2),2.95036 # DEPENDENCYPART_ARC
(3,4),-0.260697 # DEPENDENCYPART_ARC
(3,5),-0.716822 # DEPENDENCYPART_ARC
(3,6),-0.276524 # DEPENDENCYPART_ARC
(3,7),-1.06527 # DEPENDENCYPART_ARC
(3,9),-2.01846 # DEPENDENCYPART_ARC
(4,2),-0.913514 # DEPENDENCYPART_ARC
(4,3),-0.479066 # DEPENDENCYPART_ARC
(4,5),-0.523984 # DEPENDENCYPART_ARC
(4,6),-0.917931 # DEPENDENCYPART_ARC
(4,7),-1.02505 # DEPENDENCYPART_ARC
(4,8),-1.37312 # DEPENDENCYPART_ARC
(4,9),-1.3149 # DEPENDENCYPART_ARC
(4,10),-1.60369 # DEPENDENCYPART_ARC
(4,11),-0.430026 # DEPENDENCYPART_ARC
(4,12),-1.26304 # DEPENDENCYPART_ARC
(4,13),-1.19724 # DEPENDENCYPART_ARC
(4,15),-1.28671 # DEPENDENCYPART_ARC
(4,18),-1.34776 # DEPENDENCYPART_ARC
(4,19),-0.82472 # DEPENDENCYPART_ARC
(5,4),-0.0672612 # DEPENDENCYPART_ARC
(5,6),-0.554514 # DEPENDENCYPART_ARC
(5,12),-1.80556 # DEPENDENCYPART_ARC
(5,15),-1.74258 # DEPENDENCYPART_ARC
(6,1),-1.4316 # DEPENDENCYPART_ARC
(6,2),-0.980007 # DEPENDENCYPART_ARC
(6,3),-0.406573 # DEPENDENCYPART_ARC
(6,4),0.491377 # DEPENDENCYPART_ARC
(6,5),1.78619 # DEPENDENCYPART_ARC
(6,7),1.36676 # DEPENDENCYPART_ARC
(6,8),0.631368 # DEPENDENCYPART_ARC
(6,9),-0.72955 # DEPENDENCYPART_ARC
(6,10),0.235033 # DEPENDENCYPART_ARC
(6,11),0.112211 # DEPENDENCYPART_ARC
(6,12),-1.72891 # DEPENDENCYPART_ARC
(6,13),-0.621143 # DEPENDENCYPART_ARC
(6,15),-2.06703 # DEPENDENCYPART_ARC
(6,16),-0.479385 # DEPENDENCYPART_ARC
(6,19),-1.03155 # DEPENDENCYPART_ARC
(6,21),-2.9973 # DEPENDENCYPART_ARC
(6,23),-3.54325 # DEPENDENCYPART_ARC
(6,24),-0.281713 # DEPENDENCYPART_ARC
(7,8),2.85138 # DEPENDENCYPART_ARC
(7,9),0.416463 # DEPENDENCYPART_ARC
(7,10),0.408112 # DEPENDENCYPART_ARC
(7,11),-0.452313 # DEPENDENCYPART_ARC
(8,1),-2.6392 # DEPENDENCYPART_ARC
(8,2),-2.60799 # DEPENDENCYPART_ARC
(8,3),-2.7989 # DEPENDENCYPART_ARC
(8,5),-2.03659 # DEPENDENCYPART_ARC
(8,7),-0.616343 # DEPENDENCYPART_ARC
(8,9),-0.186853 # DEPENDENCYPART_ARC
(8,10),-0.561165 # DEPENDENCYPART_ARC
(8,11),-0.356702 # DEPENDENCYPART_ARC
(8,12),-1.52029 # DEPENDENCYPART_ARC
(8,13),-0.982221 # DEPENDENCYPART_ARC
(8,15),-2.12002 # DEPENDENCYPART_ARC
(8,16),-1.01972 # DEPENDENCYPART_ARC
(8,19),-1.09855 # DEPENDENCYPART_ARC
(9,3),-1.06369 # DEPENDENCYPART_ARC
(9,8),0.514079 # DEPENDENCYPART_ARC
(9,10),-0.38477 # DEPENDENCYPART_ARC
(9,11),-0.584334 # DEPENDENCYPART_ARC
(9,12),-1.12 # DEPENDENCYPART_ARC
(9,13),-0.965517 # DEPENDENCYPART_ARC
(9,16),-0.901002 # DEPENDENCYPART_ARC
(9,19),-0.783919 # DEPENDENCYPART_ARC
(10,1),-0.70523 # DEPENDENCYPART_ARC
(10,3),-1.28177 # DEPENDENCYPART_ARC
(10,4),-0.575025 # DEPENDENCYPART_ARC
(10,5),-0.391774 # DEPENDENCYPART_ARC
(10,6),-2.1335 # DEPENDENCYPART_ARC
(10,8),0.32973 # DEPENDENCYPART_ARC
(10,9),2.58374 # DEPENDENCYPART_ARC
(10,11),-0.383201 # DEPENDENCYPART_ARC
(10,12),-1.20663 # DEPENDENCYPART_ARC
(10,13),-1.02657 # DEPENDENCYPART_ARC
(10,15),-1.72259 # DEPENDENCYPART_ARC
(11,3),-1.41485 # DEPENDENCYPART_ARC
(11,4),-0.644044 # DEPENDENCYPART_ARC
(11,6),-1.26048 # DEPENDENCYPART_ARC
(11,7),-0.840358 # DEPENDENCYPART_ARC
(11,8),-0.896954 # DEPENDENCYPART_ARC
(11,9),-0.884516 # DEPENDENCYPART_ARC
(11,10),-0.535866 # DEPENDENCYPART_ARC
(11,12),-0.752214 # DEPENDENCYPART_ARC
(11,13),-1.33659 # DEPENDENCYPART_ARC
(11,18),-1.62789 # DEPENDENCYPART_ARC
(12,2),-0.992836 # DEPENDENCYPART_ARC
(12,3),-0.724222 # DEPENDENCYPART_ARC
(12,4),-0.586501 # DEPENDENCYPART_ARC
(12,5),-0.152279 # DEPENDENCYPART_ARC
(12,6),-1.50705 # DEPENDENCYPART_ARC
(12,7),0.00673453 # DEPENDENCYPART_ARC
(12,8),-1.19443 # DEPENDENCYPART_ARC
(12,9),-0.429939 # DEPENDENCYPART_ARC
(12,10),-0.429881 # DEPENDENCYPART_ARC
(12,11),0.503037 # DEPENDENCYPART_ARC
(12,13),1.29431 # DEPENDENCYPART_ARC
(12,14),-0.0178935 # DEPENDENCYPART_ARC
(12,15),-0.909484 # DEPENDENCYPART_ARC
(12,16),-0.0797934 # DEPENDENCYPART_ARC
(12,17),-0.806561 # DEPENDENCYPART_ARC
(12,18),-1.02587 # DEPENDENCYPART_ARC
(12,19),-0.576291 # DEPENDENCYPART_ARC
(12,21),-2.33343 # DEPENDENCYPART_ARC
(12,23),-2.87348 # DEPENDENCYPART_ARC
(12,24),-0.234355 # DEPENDENCYPART_ARC
(13,4),-0.761377 # DEPENDENCYPART_ARC
(13,5),-1.83129 # DEPENDENCYPART_ARC
