# _root_ " Βάζουμε τον εξεταζόμενο στην εξεταστική τράπεζα , με τη βοήθεια των τριών κεφαλών παίρνουμε λήψη σπεκτ , δηλαδή λήψη σε τρία επίπεδα .
#goldHeads=8,8,4,2,2,7,5,0,15,11,9,14,14,11,8,19,16,19,15,19,20,23,21,0,
#predictedHeads=2,0,4,2,2,7,5,2,2,11,9,14,14,11,0,15,16,19,15,19,20,23,21,0,
(0,1),0.286501 # DEPENDENCYPART_ARC
(0,2),0.644477 # DEPENDENCYPART_ARC
(0,4),-1.2516 # DEPENDENCYPART_ARC
(0,5),-1.04439 # DEPENDENCYPART_ARC
(0,8),-0.114448 # DEPENDENCYPART_ARC
(0,15),0.139044 # DEPENDENCYPART_ARC
(0,17),-0.880827 # DEPENDENCYPART_ARC
(0,18),-0.436542 # DEPENDENCYPART_ARC
(0,20),-1.07648 # DEPENDENCYPART_ARC
(0,23),-0.987836 # DEPENDENCYPART_ARC
(0,24),2.3723 # DEPENDENCYPART_ARC
(1,2),-0.857091 # DEPENDENCYPART_ARC
(1,4),-1.59636 # DEPENDENCYPART_ARC
(1,5),-1.49596 # DEPENDENCYPART_ARC
(2,1),0.595562 # DEPENDENCYPART_ARC
(2,3),-0.464299 # DEPENDENCYPART_ARC
(2,4),-0.288241 # DEPENDENCYPART_ARC
(2,5),0.3386 # DEPENDENCYPART_ARC
(2,6),-1.09843 # DEPENDENCYPART_ARC
(2,7),0.271149 # DEPENDENCYPART_ARC
(2,8),0.393164 # DEPENDENCYPART_ARC
(2,9),0.112301 # DEPENDENCYPART_ARC
(2,11),-0.720247 # DEPENDENCYPART_ARC
(2,14),-2.37515 # DEPENDENCYPART_ARC
(2,15),-1.67788 # DEPENDENCYPART_ARC
(2,16),-1.5232 # DEPENDENCYPART_ARC
(2,18),-0.274647 # DEPENDENCYPART_ARC
(2,19),-0.485814 # DEPENDENCYPART_ARC
(2,20),-1.67937 # DEPENDENCYPART_ARC
(2,21),-0.601875 # DEPENDENCYPART_ARC
(2,23),-2.22288 # DEPENDENCYPART_ARC
(2,24),-0.200907 # DEPENDENCYPART_ARC
(4,1),-0.760124 # DEPENDENCYPART_ARC
(4,3),0.503489 # DEPENDENCYPART_ARC
(4,5),0.428357 # DEPENDENCYPART_ARC
(4,6),-1.28994 # DEPENDENCYPART_ARC
(4,7),-1.16905 # DEPENDENCYPART_ARC
(4,8),-0.32271 # DEPENDENCYPART_ARC
(4,9),-0.222856 # DEPENDENCYPART_ARC
(4,11),-1.71033 # DEPENDENCYPART_ARC
(4,15),-1.92157 # DEPENDENCYPART_ARC
(5,4),-0.605432 # DEPENDENCYPART_ARC
(5,6),0.624144 # DEPENDENCYPART_ARC
(5,7),2.09797 # DEPENDENCYPART_ARC
(5,8),-0.158087 # DEPENDENCYPART_ARC
(6,3),-0.387305 # DEPENDENCYPART_ARC
(6,4),-0.387076 # DEPENDENCYPART_ARC
(6,7),-0.620462 # DEPENDENCYPART_ARC
(6,8),-0.685414 # DEPENDENCYPART_ARC
(6,9),-0.444979 # DEPENDENCYPART_ARC
(6,11),-1.78598 # DEPENDENCYPART_ARC
(6,14),-0.681312 # DEPENDENCYPART_ARC
(7,1),-0.630346 # DEPENDENCYPART_ARC
(7,2),-2.77985 # DEPENDENCYPART_ARC
(7,3),0.166075 # DEPENDENCYPART_ARC
(7,4),0.0647535 # DEPENDENCYPART_ARC
(7,5),0.00219997 # DEPENDENCYPART_ARC
(7,6),2.21001 # DEPENDENCYPART_ARC
(7,8),-0.243604 # DEPENDENCYPART_ARC
(7,9),-0.416641 # DEPENDENCYPART_ARC
(7,11),-1.22912 # DEPENDENCYPART_ARC
(7,13),-1.10085 # DEPENDENCYPART_ARC
(7,15),-1.35286 # DEPENDENCYPART_ARC
(8,1),-0.804184 # DEPENDENCYPART_ARC
(8,2),-1.1481 # DEPENDENCYPART_ARC
(8,4),-1.29612 # DEPENDENCYPART_ARC
(8,5),-0.67034 # DEPENDENCYPART_ARC
(8,6),-0.887363 # DEPENDENCYPART_ARC
(8,7),-0.514627 # DEPENDENCYPART_ARC
