# _root_ Επισκεφθείτε επίσης το Απολιθωμένο Δάσος , το μεγαλύτερο στην Ευρώπη , που δημιουργήθηκε από μια ηφαιστιακή έκρηξη πριν από περίπου 15 με 20 εκατομμύρια χρόνια .
#goldHeads=0,1,5,5,1,1,8,5,8,9,13,13,5,13,17,17,14,13,18,22,22,25,22,25,19,0,
#predictedHeads=0,1,5,5,1,5,8,6,8,9,13,13,10,13,17,17,14,13,18,21,19,18,25,25,22,0,
(0,1),0.372985 # DEPENDENCYPART_ARC
(0,2),-1.04805 # DEPENDENCYPART_ARC
(0,4),-1.29895 # DEPENDENCYPART_ARC
(0,5),-0.816987 # DEPENDENCYPART_ARC
(0,6),-0.075331 # DEPENDENCYPART_ARC
(0,8),-1.27144 # DEPENDENCYPART_ARC
(0,9),-1.03955 # DEPENDENCYPART_ARC
(0,10),-1.01201 # DEPENDENCYPART_ARC
(0,11),-0.226199 # DEPENDENCYPART_ARC
(0,13),-0.608705 # DEPENDENCYPART_ARC
(0,21),-1.32014 # DEPENDENCYPART_ARC
(0,23),-1.38217 # DEPENDENCYPART_ARC
(0,26),2.63368 # DEPENDENCYPART_ARC
(1,2),1.37997 # DEPENDENCYPART_ARC
(1,3),-0.885081 # DEPENDENCYPART_ARC
(1,4),-0.550352 # DEPENDENCYPART_ARC
(1,5),-0.738918 # DEPENDENCYPART_ARC
(1,6),-0.189578 # DEPENDENCYPART_ARC
(1,8),-0.595556 # DEPENDENCYPART_ARC
(1,9),0.0860158 # DEPENDENCYPART_ARC
(1,10),-1.98877 # DEPENDENCYPART_ARC
(1,11),-0.321918 # DEPENDENCYPART_ARC
(1,13),-3.62842 # DEPENDENCYPART_ARC
(1,14),-0.966806 # DEPENDENCYPART_ARC
(1,17),-1.96374 # DEPENDENCYPART_ARC
(1,18),-0.467769 # DEPENDENCYPART_ARC
(1,19),-1.17249 # DEPENDENCYPART_ARC
(1,20),-0.74396 # DEPENDENCYPART_ARC
(1,22),-0.813029 # DEPENDENCYPART_ARC
(1,26),-0.463478 # DEPENDENCYPART_ARC
(2,1),-0.852479 # DEPENDENCYPART_ARC
(2,3),-0.505157 # DEPENDENCYPART_ARC
(2,4),-0.697962 # DEPENDENCYPART_ARC
(2,5),-1.2556 # DEPENDENCYPART_ARC
(2,6),-0.933143 # DEPENDENCYPART_ARC
(2,13),-1.61401 # DEPENDENCYPART_ARC
(3,5),-1.16435 # DEPENDENCYPART_ARC
(4,1),-3.09097 # DEPENDENCYPART_ARC
(4,2),0.0444699 # DEPENDENCYPART_ARC
(4,3),-0.351408 # DEPENDENCYPART_ARC
(4,5),-1.05187 # DEPENDENCYPART_ARC
(4,6),-0.483023 # DEPENDENCYPART_ARC
(4,8),-0.667125 # DEPENDENCYPART_ARC
(4,9),-0.187218 # DEPENDENCYPART_ARC
(4,10),-3.45016 # DEPENDENCYPART_ARC
(4,11),-0.807532 # DEPENDENCYPART_ARC
(4,13),-3.66243 # DEPENDENCYPART_ARC
(4,14),-1.41451 # DEPENDENCYPART_ARC
(4,18),-1.22221 # DEPENDENCYPART_ARC
(4,21),-1.50929 # DEPENDENCYPART_ARC
(4,23),-1.52548 # DEPENDENCYPART_ARC
(5,1),-1.10606 # DEPENDENCYPART_ARC
(5,2),-0.557442 # DEPENDENCYPART_ARC
(5,3),1.57507 # DEPENDENCYPART_ARC
(5,4),3.41565 # DEPENDENCYPART_ARC
(5,6),-0.28648 # DEPENDENCYPART_ARC
(5,7),-1.45195 # DEPENDENCYPART_ARC
(5,8),-0.581117 # DEPENDENCYPART_ARC
(5,9),-0.936305 # DEPENDENCYPART_ARC
(5,10),-1.08442 # DEPENDENCYPART_ARC
(5,13),-0.760055 # DEPENDENCYPART_ARC
