# _root_ Πιστεύω ότι το ένταλμα για το οποίο εργαζόμαστε μπορεί να είναι , τουλάχιστον , πρακτικό και να μας οδηγήσει σε θετικά αποτελέσματα .
#goldHeads=0,1,4,16,8,7,5,4,2,11,16,13,11,13,11,9,19,19,16,19,22,20,0,
#predictedHeads=0,1,4,9,8,7,5,4,2,11,9,13,11,16,16,11,19,19,16,19,22,20,0,
(0,1),0.865708 # DEPENDENCYPART_ARC
(0,2),-0.949383 # DEPENDENCYPART_ARC
(0,4),-0.929508 # DEPENDENCYPART_ARC
(0,8),-0.703839 # DEPENDENCYPART_ARC
(0,9),-0.518242 # DEPENDENCYPART_ARC
(0,11),-0.52581 # DEPENDENCYPART_ARC
(0,12),0.0242055 # DEPENDENCYPART_ARC
(0,14),-0.0602962 # DEPENDENCYPART_ARC
(0,15),-1.26923 # DEPENDENCYPART_ARC
(0,16),-0.583395 # DEPENDENCYPART_ARC
(0,19),-1.60769 # DEPENDENCYPART_ARC
(0,23),2.6485 # DEPENDENCYPART_ARC
(1,2),1.14151 # DEPENDENCYPART_ARC
(1,3),-1.69564 # DEPENDENCYPART_ARC
(1,4),0.0372904 # DEPENDENCYPART_ARC
(1,5),0.194672 # DEPENDENCYPART_ARC
(1,8),-1.43531 # DEPENDENCYPART_ARC
(1,9),-1.83276 # DEPENDENCYPART_ARC
(1,13),-0.970176 # DEPENDENCYPART_ARC
(1,16),-0.7664 # DEPENDENCYPART_ARC
(1,23),-0.220106 # DEPENDENCYPART_ARC
(2,3),-0.130876 # DEPENDENCYPART_ARC
(2,8),0.650541 # DEPENDENCYPART_ARC
(2,9),0.125045 # DEPENDENCYPART_ARC
(2,11),-0.411217 # DEPENDENCYPART_ARC
(2,12),-0.280559 # DEPENDENCYPART_ARC
(2,14),-0.554033 # DEPENDENCYPART_ARC
(2,16),-0.305337 # DEPENDENCYPART_ARC
(2,19),-1.16661 # DEPENDENCYPART_ARC
(2,23),-0.742142 # DEPENDENCYPART_ARC
(4,1),-2.19073 # DEPENDENCYPART_ARC
(4,3),2.43366 # DEPENDENCYPART_ARC
(4,5),0.607664 # DEPENDENCYPART_ARC
(4,6),-1.34495 # DEPENDENCYPART_ARC
(4,7),-0.273199 # DEPENDENCYPART_ARC
