# _root_ Είναι πιθανό να διατηρούμε έγκλειστα δόντια στο στόμα μας , επί χρόνια , και να το αγνοούμε .
#goldHeads=0,1,4,14,6,4,5,7,8,14,14,11,14,2,17,17,14,0,
#predictedHeads=0,1,4,14,6,4,6,7,8,11,4,11,14,2,17,17,14,0,
(0,1),1.01273 # DEPENDENCYPART_ARC
(0,2),-1.02963 # DEPENDENCYPART_ARC
(0,4),-0.255198 # DEPENDENCYPART_ARC
(0,10),-0.0470788 # DEPENDENCYPART_ARC
(0,12),-1.1671 # DEPENDENCYPART_ARC
(0,13),-0.277095 # DEPENDENCYPART_ARC
(0,14),-0.187731 # DEPENDENCYPART_ARC
(0,17),-0.779481 # DEPENDENCYPART_ARC
(0,18),2.19556 # DEPENDENCYPART_ARC
(1,2),1.83084 # DEPENDENCYPART_ARC
(1,3),-0.154584 # DEPENDENCYPART_ARC
(1,4),0.0445945 # DEPENDENCYPART_ARC
(1,5),-0.669331 # DEPENDENCYPART_ARC
(1,6),-0.202874 # DEPENDENCYPART_ARC
(1,7),-0.691672 # DEPENDENCYPART_ARC
(1,8),-1.09715 # DEPENDENCYPART_ARC
(1,10),-0.24541 # DEPENDENCYPART_ARC
(1,11),-0.792617 # DEPENDENCYPART_ARC
(1,12),-1.9133 # DEPENDENCYPART_ARC
(1,13),-0.533049 # DEPENDENCYPART_ARC
(1,14),-0.322384 # DEPENDENCYPART_ARC
(1,17),-1.41323 # DEPENDENCYPART_ARC
(1,18),-0.401485 # DEPENDENCYPART_ARC
(2,1),-2.12336 # DEPENDENCYPART_ARC
(2,4),-1.2686 # DEPENDENCYPART_ARC
(2,5),-1.02672 # DEPENDENCYPART_ARC
(2,6),-1.48105 # DEPENDENCYPART_ARC
(2,7),-1.49129 # DEPENDENCYPART_ARC
(2,11),-0.829589 # DEPENDENCYPART_ARC
(2,14),-0.401992 # DEPENDENCYPART_ARC
(2,18),-0.75275 # DEPENDENCYPART_ARC
(3,4),-0.0962319 # DEPENDENCYPART_ARC
(3,6),-1.02297 # DEPENDENCYPART_ARC
(4,1),-1.95546 # DEPENDENCYPART_ARC
(4,2),-0.435729 # DEPENDENCYPART_ARC
(4,3),1.73123 # DEPENDENCYPART_ARC
(4,5),0.665261 # DEPENDENCYPART_ARC
(4,6),1.52151 # DEPENDENCYPART_ARC
