# _root_ Απλουστευτικές ενιαίες λύσεις , όπως η περικοπή του χρόνου εργασίας σε ευρωπαϊκό επίπεδο , είναι άνευ σημαντικής ουσίας .
#goldHeads=3,3,5,5,15,7,5,9,7,9,7,13,11,15,0,15,18,16,0,
#predictedHeads=3,3,4,15,4,7,15,9,7,9,7,13,11,15,0,15,18,16,0,
(0,1),0.391641 # DEPENDENCYPART_ARC
(0,2),-0.193763 # DEPENDENCYPART_ARC
(0,3),-0.233574 # DEPENDENCYPART_ARC
(0,4),0.143593 # DEPENDENCYPART_ARC
(0,5),-0.783964 # DEPENDENCYPART_ARC
(0,7),-0.70042 # DEPENDENCYPART_ARC
(0,10),-0.842984 # DEPENDENCYPART_ARC
(0,12),-0.840546 # DEPENDENCYPART_ARC
(0,14),-0.065107 # DEPENDENCYPART_ARC
(0,15),1.58965 # DEPENDENCYPART_ARC
(0,18),-1.38715 # DEPENDENCYPART_ARC
(0,19),2.57034 # DEPENDENCYPART_ARC
(1,2),-1.13381 # DEPENDENCYPART_ARC
(1,3),-1.08202 # DEPENDENCYPART_ARC
(1,4),-0.291129 # DEPENDENCYPART_ARC
(1,5),-0.583739 # DEPENDENCYPART_ARC
(1,7),-1.84977 # DEPENDENCYPART_ARC
(1,9),-0.838248 # DEPENDENCYPART_ARC
(1,11),-0.496602 # DEPENDENCYPART_ARC
(2,1),0.375642 # DEPENDENCYPART_ARC
(2,3),-0.65261 # DEPENDENCYPART_ARC
(2,4),-0.53211 # DEPENDENCYPART_ARC
(2,5),-0.584083 # DEPENDENCYPART_ARC
(2,7),-1.68347 # DEPENDENCYPART_ARC
(2,9),-0.939655 # DEPENDENCYPART_ARC
(3,1),2.12388 # DEPENDENCYPART_ARC
(3,2),2.73498 # DEPENDENCYPART_ARC
(3,4),-0.210807 # DEPENDENCYPART_ARC
(3,5),-0.394099 # DEPENDENCYPART_ARC
(3,7),-1.52375 # DEPENDENCYPART_ARC
(3,11),-0.8736 # DEPENDENCYPART_ARC
(4,1),-1.04535 # DEPENDENCYPART_ARC
(4,2),-0.785858 # DEPENDENCYPART_ARC
(4,3),-0.343712 # DEPENDENCYPART_ARC
(4,5),-0.509104 # DEPENDENCYPART_ARC
(4,7),-0.943171 # DEPENDENCYPART_ARC
(4,9),-1.17825 # DEPENDENCYPART_ARC
(4,12),-1.25682 # DEPENDENCYPART_ARC
(4,14),-0.334964 # DEPENDENCYPART_ARC
(4,15),-1.03905 # DEPENDENCYPART_ARC
(5,2),-1.21982 # DEPENDENCYPART_ARC
(5,3),-1.0481 # DEPENDENCYPART_ARC
(5,4),-0.233943 # DEPENDENCYPART_ARC
(5,6),-0.437474 # DEPENDENCYPART_ARC
(5,7),-0.432379 # DEPENDENCYPART_ARC
(5,9),-0.821908 # DEPENDENCYPART_ARC
(5,10),-0.939711 # DEPENDENCYPART_ARC
(5,11),-0.734505 # DEPENDENCYPART_ARC
(5,13),-1.58464 # DEPENDENCYPART_ARC
(5,14),-0.714869 # DEPENDENCYPART_ARC
(5,15),-1.13379 # DEPENDENCYPART_ARC
(5,16),-1.21948 # DEPENDENCYPART_ARC
(7,1),-1.38381 # DEPENDENCYPART_ARC
(7,2),-1.20564 # DEPENDENCYPART_ARC
(7,3),-2.64086 # DEPENDENCYPART_ARC
(7,4),-1.16629 # DEPENDENCYPART_ARC
(7,5),-0.689604 # DEPENDENCYPART_ARC
(7,6),2.47061 # DEPENDENCYPART_ARC
(7,8),-0.196238 # DEPENDENCYPART_ARC
(7,9),0.928947 # DEPENDENCYPART_ARC
(7,10),0.527511 # DEPENDENCYPART_ARC
(7,11),0.110135 # DEPENDENCYPART_ARC
(7,12),-1.50342 # DEPENDENCYPART_ARC
(7,13),-1.26338 # DEPENDENCYPART_ARC
(7,14),-0.208629 # DEPENDENCYPART_ARC
(7,15),-1.33974 # DEPENDENCYPART_ARC
(7,16),-0.688977 # DEPENDENCYPART_ARC
(7,18),-0.683803 # DEPENDENCYPART_ARC
(8,10),-1.19191 # DEPENDENCYPART_ARC
(9,6),-0.615953 # DEPENDENCYPART_ARC
(9,7),-1.04299 # DEPENDENCYPART_ARC
(9,8),1.99547 # DEPENDENCYPART_ARC
(9,10),1.46109 # DEPENDENCYPART_ARC
(9,11),0.0192984 # DEPENDENCYPART_ARC
(9,12),-0.871929 # DEPENDENCYPART_ARC
(9,13),-0.861502 # DEPENDENCYPART_ARC
(9,15),-1.53494 # DEPENDENCYPART_ARC
(9,16),-0.955339 # DEPENDENCYPART_ARC
(10,3),-3.33165 # DEPENDENCYPART_ARC
(10,4),-1.29577 # DEPENDENCYPART_ARC
(10,5),-1.20101 # DEPENDENCYPART_ARC
(10,6),-0.852631 # DEPENDENCYPART_ARC
(10,7),-1.65677 # DEPENDENCYPART_ARC
(10,8),-0.0553904 # DEPENDENCYPART_ARC
(10,9),0.250747 # DEPENDENCYPART_ARC
(10,11),0.500526 # DEPENDENCYPART_ARC
(10,12),-0.949316 # DEPENDENCYPART_ARC
(10,13),-0.94608 # DEPENDENCYPART_ARC
(10,14),-0.334419 # DEPENDENCYPART_ARC
(10,15),-1.21917 # DEPENDENCYPART_ARC
(10,16),-0.941075 # DEPENDENCYPART_ARC
(11,9),-1.22777 # DEPENDENCYPART_ARC
(11,10),-0.791902 # DEPENDENCYPART_ARC
(11,12),0.632449 # DEPENDENCYPART_ARC
(11,13),1.39344 # DEPENDENCYPART_ARC
(11,14),-0.277178 # DEPENDENCYPART_ARC
(11,15),-0.810504 # DEPENDENCYPART_ARC
(11,18),-0.909924 # DEPENDENCYPART_ARC
(12,3),-1.94222 # DEPENDENCYPART_ARC
(12,10),-1.7385 # DEPENDENCYPART_ARC
(12,13),-0.164212 # DEPENDENCYPART_ARC
(12,14),-0.481596 # DEPENDENCYPART_ARC
(12,15),-0.993262 # DEPENDENCYPART_ARC
(12,16),-0.643861 # DEPENDENCYPART_ARC
(12,18),-0.630448 # DEPENDENCYPART_ARC
(13,4),-0.494602 # DEPENDENCYPART_ARC
(13,5),-0.717718 # DEPENDENCYPART_ARC
(13,6),-1.288 # DEPENDENCYPART_ARC
(13,8),-0.632951 # DEPENDENCYPART_ARC
(13,9),0.283255 # DEPENDENCYPART_ARC
(13,10),-0.485617 # DEPENDENCYPART_ARC
(13,11),-0.109923 # DEPENDENCYPART_ARC
(13,12),2.51156 # DEPENDENCYPART_ARC
(13,14),-0.368176 # DEPENDENCYPART_ARC
(13,15),-1.05627 # DEPENDENCYPART_ARC
(13,16),-1.00805 # DEPENDENCYPART_ARC
(13,17),-1.32826 # DEPENDENCYPART_ARC
(13,18),-0.244592 # DEPENDENCYPART_ARC
(14,3),-1.428 # DEPENDENCYPART_ARC
(14,4),-0.917477 # DEPENDENCYPART_ARC
(14,5),-0.840097 # DEPENDENCYPART_ARC
(14,7),-1.23546 # DEPENDENCYPART_ARC
(14,9),-1.15036 # DEPENDENCYPART_ARC
(14,10),-1.03929 # DEPENDENCYPART_ARC
(14,11),-0.773057 # DEPENDENCYPART_ARC
(14,12),-0.937253 # DEPENDENCYPART_ARC
(14,13),-0.588378 # DEPENDENCYPART_ARC
(14,15),-0.799798 # DEPENDENCYPART_ARC
(14,16),-1.22729 # DEPENDENCYPART_ARC
(14,17),-1.388 # DEPENDENCYPART_ARC
(14,18),-1.54384 # DEPENDENCYPART_ARC
(15,1),-0.945884 # DEPENDENCYPART_ARC
(15,2),-0.954152 # DEPENDENCYPART_ARC
(15,3),-1.66537 # DEPENDENCYPART_ARC
(15,4),-0.117866 # DEPENDENCYPART_ARC
(15,5),-0.294061 # DEPENDENCYPART_ARC
