# _root_ Επιλέξτε κάποιον καλύτερο , τόσο από τον Cox όσο και από τον Martin , ψηφίζοντας τον κ. Bonde του γραφείου 007 .
#goldHeads=0,1,2,10,10,5,8,6,10,3,9,13,11,10,1,18,18,15,20,18,20,0,
#predictedHeads=0,1,2,10,10,10,8,6,10,1,10,13,11,15,1,18,18,15,20,18,20,0,
(0,1),0.292641 # DEPENDENCYPART_ARC
(0,2),-0.915451 # DEPENDENCYPART_ARC
(0,3),-1.12288 # DEPENDENCYPART_ARC
(0,4),-0.193826 # DEPENDENCYPART_ARC
(0,5),-1.25177 # DEPENDENCYPART_ARC
(0,6),-1.07276 # DEPENDENCYPART_ARC
(0,8),-0.807161 # DEPENDENCYPART_ARC
(0,9),-1.17597 # DEPENDENCYPART_ARC
(0,10),-0.385989 # DEPENDENCYPART_ARC
(0,11),-1.15783 # DEPENDENCYPART_ARC
(0,13),-0.851104 # DEPENDENCYPART_ARC
(0,14),-0.40945 # DEPENDENCYPART_ARC
(0,15),-1.2675 # DEPENDENCYPART_ARC
(0,17),-0.823244 # DEPENDENCYPART_ARC
(0,18),-0.801999 # DEPENDENCYPART_ARC
(0,20),-1.2911 # DEPENDENCYPART_ARC
(0,21),-1.29332 # DEPENDENCYPART_ARC
(0,22),1.75246 # DEPENDENCYPART_ARC
(1,2),1.52069 # DEPENDENCYPART_ARC
(1,3),-0.0829538 # DEPENDENCYPART_ARC
(1,4),0.148136 # DEPENDENCYPART_ARC
(1,5),-0.131115 # DEPENDENCYPART_ARC
(1,6),-0.1148 # DEPENDENCYPART_ARC
(1,9),-0.447451 # DEPENDENCYPART_ARC
(1,10),-0.315956 # DEPENDENCYPART_ARC
(1,11),-0.491891 # DEPENDENCYPART_ARC
(1,14),0.0331873 # DEPENDENCYPART_ARC
(1,15),1.40972 # DEPENDENCYPART_ARC
(1,20),-3.81772 # DEPENDENCYPART_ARC
(1,22),-0.332739 # DEPENDENCYPART_ARC
(2,3),0.605879 # DEPENDENCYPART_ARC
(2,6),-0.244636 # DEPENDENCYPART_ARC
(2,10),-0.471259 # DEPENDENCYPART_ARC
(3,2),0.550268 # DEPENDENCYPART_ARC
(3,4),-0.13003 # DEPENDENCYPART_ARC
(3,5),-0.362984 # DEPENDENCYPART_ARC
(3,6),-0.098506 # DEPENDENCYPART_ARC
(3,9),-0.665965 # DEPENDENCYPART_ARC
(3,11),-0.293504 # DEPENDENCYPART_ARC
(3,15),-2.25082 # DEPENDENCYPART_ARC
(4,1),-0.709544 # DEPENDENCYPART_ARC
(4,2),-0.697349 # DEPENDENCYPART_ARC
(4,3),-0.246848 # DEPENDENCYPART_ARC
(4,5),-0.494837 # DEPENDENCYPART_ARC
(4,6),-0.840111 # DEPENDENCYPART_ARC
(4,11),-1.00894 # DEPENDENCYPART_ARC
(4,14),-0.361392 # DEPENDENCYPART_ARC
(4,15),-1.16423 # DEPENDENCYPART_ARC
(4,22),-0.918912 # DEPENDENCYPART_ARC
(5,1),-1.59098 # DEPENDENCYPART_ARC
(5,3),-0.44626 # DEPENDENCYPART_ARC
(5,4),0.330649 # DEPENDENCYPART_ARC
(5,6),0.962137 # DEPENDENCYPART_ARC
(5,9),-0.500717 # DEPENDENCYPART_ARC
(5,10),-0.291852 # DEPENDENCYPART_ARC
(5,11),-0.270824 # DEPENDENCYPART_ARC
(5,14),-0.151987 # DEPENDENCYPART_ARC
(5,15),-0.760749 # DEPENDENCYPART_ARC
(6,1),-1.33554 # DEPENDENCYPART_ARC
(6,4),-0.517092 # DEPENDENCYPART_ARC
(6,5),-0.209754 # DEPENDENCYPART_ARC
(6,7),-0.0822881 # DEPENDENCYPART_ARC
(6,8),0.300924 # DEPENDENCYPART_ARC
(6,9),-0.357191 # DEPENDENCYPART_ARC
(6,10),-0.343639 # DEPENDENCYPART_ARC
(6,14),-0.613885 # DEPENDENCYPART_ARC
(6,22),-1.09198 # DEPENDENCYPART_ARC
(7,9),-0.336259 # DEPENDENCYPART_ARC
(8,7),1.20362 # DEPENDENCYPART_ARC
(8,9),0.240804 # DEPENDENCYPART_ARC
(8,13),-0.734588 # DEPENDENCYPART_ARC
(9,1),-1.67094 # DEPENDENCYPART_ARC
(9,4),-0.73484 # DEPENDENCYPART_ARC
(9,5),-0.536779 # DEPENDENCYPART_ARC
(9,6),-0.582916 # DEPENDENCYPART_ARC
(9,7),-0.602485 # DEPENDENCYPART_ARC
(9,8),0.132688 # DEPENDENCYPART_ARC
(9,10),-0.200645 # DEPENDENCYPART_ARC
(9,11),-0.515819 # DEPENDENCYPART_ARC
(9,15),-1.41015 # DEPENDENCYPART_ARC
(9,17),-1.41892 # DEPENDENCYPART_ARC
(10,1),0.174166 # DEPENDENCYPART_ARC
(10,2),-0.0380912 # DEPENDENCYPART_ARC
(10,3),-0.132604 # DEPENDENCYPART_ARC
(10,4),-0.0231696 # DEPENDENCYPART_ARC
(10,5),0.487567 # DEPENDENCYPART_ARC
(10,6),0.563364 # DEPENDENCYPART_ARC
(10,7),-0.263709 # DEPENDENCYPART_ARC
(10,8),0.248446 # DEPENDENCYPART_ARC
(10,9),1.03271 # DEPENDENCYPART_ARC
(10,11),0.739487 # DEPENDENCYPART_ARC
(10,13),0.0269705 # DEPENDENCYPART_ARC
(10,14),0.00846723 # DEPENDENCYPART_ARC
(10,15),0.00377879 # DEPENDENCYPART_ARC
(10,20),-1.24341 # DEPENDENCYPART_ARC
(10,22),-0.525343 # DEPENDENCYPART_ARC
(11,9),-0.827437 # DEPENDENCYPART_ARC
(11,10),-0.0283711 # DEPENDENCYPART_ARC
(11,12),-0.0630099 # DEPENDENCYPART_ARC
(11,13),0.311372 # DEPENDENCYPART_ARC
(11,14),-0.273937 # DEPENDENCYPART_ARC
(11,15),-0.743261 # DEPENDENCYPART_ARC
(11,17),-0.785733 # DEPENDENCYPART_ARC
(11,22),-0.93513 # DEPENDENCYPART_ARC
(13,10),-0.00197455 # DEPENDENCYPART_ARC
(13,12),1.43655 # DEPENDENCYPART_ARC
(13,14),-0.193949 # DEPENDENCYPART_ARC
(13,15),-0.610761 # DEPENDENCYPART_ARC
(13,18),-1.13552 # DEPENDENCYPART_ARC
(14,1),-1.19081 # DEPENDENCYPART_ARC
(14,2),-1.43 # DEPENDENCYPART_ARC
(14,4),-1.53797 # DEPENDENCYPART_ARC
(14,5),-0.965709 # DEPENDENCYPART_ARC
(14,6),-0.984937 # DEPENDENCYPART_ARC
(14,11),-0.817971 # DEPENDENCYPART_ARC
(14,13),-0.566679 # DEPENDENCYPART_ARC
(14,15),-0.580755 # DEPENDENCYPART_ARC
(14,17),-1.17296 # DEPENDENCYPART_ARC
(14,20),-1.73695 # DEPENDENCYPART_ARC
