# _root_ * Να περάσετε μια νύχτα στο Ξενοδοχείο Loriet , ένα ανακαινισμένο αρχοντικό , στην Χρυσή Ακτή της Μυτιλήνης .
#goldHeads=0,3,0,5,3,3,8,9,6,12,12,9,3,12,16,14,18,16,0,
#predictedHeads=0,3,0,5,3,3,6,7,11,12,7,11,11,11,16,14,18,16,0,
(0,1),0.806914 # DEPENDENCYPART_ARC
(0,3),0.00107022 # DEPENDENCYPART_ARC
(0,5),-0.599932 # DEPENDENCYPART_ARC
(0,6),-0.657164 # DEPENDENCYPART_ARC
(0,7),-0.816575 # DEPENDENCYPART_ARC
(0,8),-0.554737 # DEPENDENCYPART_ARC
(0,9),-0.112638 # DEPENDENCYPART_ARC
(0,11),-0.860181 # DEPENDENCYPART_ARC
(0,12),-1.22981 # DEPENDENCYPART_ARC
(0,13),-0.0350017 # DEPENDENCYPART_ARC
(0,14),-0.752509 # DEPENDENCYPART_ARC
(0,16),-0.914121 # DEPENDENCYPART_ARC
(0,18),-1.09448 # DEPENDENCYPART_ARC
(0,19),2.32582 # DEPENDENCYPART_ARC
(1,3),-0.992565 # DEPENDENCYPART_ARC
(1,5),-1.62631 # DEPENDENCYPART_ARC
(1,6),-1.31031 # DEPENDENCYPART_ARC
(1,7),-1.87273 # DEPENDENCYPART_ARC
(1,9),-0.893578 # DEPENDENCYPART_ARC
(1,11),-1.31416 # DEPENDENCYPART_ARC
(1,12),-1.4673 # DEPENDENCYPART_ARC
(1,13),-0.952509 # DEPENDENCYPART_ARC
(1,18),-1.9689 # DEPENDENCYPART_ARC
(2,5),-0.903137 # DEPENDENCYPART_ARC
(3,1),0.00124359 # DEPENDENCYPART_ARC
(3,2),1.55939 # DEPENDENCYPART_ARC
(3,5),0.861906 # DEPENDENCYPART_ARC
(3,6),0.631397 # DEPENDENCYPART_ARC
(3,7),-0.798275 # DEPENDENCYPART_ARC
(3,9),0.0153588 # DEPENDENCYPART_ARC
(3,11),-1.75441 # DEPENDENCYPART_ARC
(3,13),-0.352527 # DEPENDENCYPART_ARC
(3,14),-0.39288 # DEPENDENCYPART_ARC
(3,16),-2.02801 # DEPENDENCYPART_ARC
(3,18),-3.88801 # DEPENDENCYPART_ARC
(3,19),-0.564269 # DEPENDENCYPART_ARC
(5,1),-1.12086 # DEPENDENCYPART_ARC
(5,3),-2.04673 # DEPENDENCYPART_ARC
(5,4),2.34946 # DEPENDENCYPART_ARC
(5,6),0.718459 # DEPENDENCYPART_ARC
(5,7),-0.277199 # DEPENDENCYPART_ARC
(5,8),-0.286165 # DEPENDENCYPART_ARC
(5,9),-0.16157 # DEPENDENCYPART_ARC
(5,11),-0.490476 # DEPENDENCYPART_ARC
(5,14),-0.702515 # DEPENDENCYPART_ARC
(6,7),2.79031 # DEPENDENCYPART_ARC
(6,8),0.172269 # DEPENDENCYPART_ARC
(6,9),-0.395307 # DEPENDENCYPART_ARC
(7,1),-1.56986 # DEPENDENCYPART_ARC
(7,3),-2.51695 # DEPENDENCYPART_ARC
(7,4),-0.724563 # DEPENDENCYPART_ARC
(7,5),-1.09126 # DEPENDENCYPART_ARC
(7,6),-0.494108 # DEPENDENCYPART_ARC
(7,8),0.579771 # DEPENDENCYPART_ARC
(7,9),-0.186239 # DEPENDENCYPART_ARC
(7,11),-0.0448028 # DEPENDENCYPART_ARC
(7,12),-0.868648 # DEPENDENCYPART_ARC
(7,13),-0.522168 # DEPENDENCYPART_ARC
(7,14),-1.22214 # DEPENDENCYPART_ARC
(7,16),-1.32482 # DEPENDENCYPART_ARC
(8,7),0.351996 # DEPENDENCYPART_ARC
(8,9),-0.215256 # DEPENDENCYPART_ARC
(8,11),-0.766644 # DEPENDENCYPART_ARC
(9,1),-1.04139 # DEPENDENCYPART_ARC
(9,3),-1.12914 # DEPENDENCYPART_ARC
(9,5),-1.02049 # DEPENDENCYPART_ARC
(9,6),-0.761817 # DEPENDENCYPART_ARC
(9,7),-0.913952 # DEPENDENCYPART_ARC
(9,8),-0.427102 # DEPENDENCYPART_ARC
(9,10),-0.415586 # DEPENDENCYPART_ARC
(9,11),-0.956815 # DEPENDENCYPART_ARC
(9,12),-1.24341 # DEPENDENCYPART_ARC
(9,13),-0.594075 # DEPENDENCYPART_ARC
(9,14),-1.14364 # DEPENDENCYPART_ARC
(9,15),-1.38399 # DEPENDENCYPART_ARC
(9,16),-1.77951 # DEPENDENCYPART_ARC
(9,18),-1.82674 # DEPENDENCYPART_ARC
(9,19),-0.769539 # DEPENDENCYPART_ARC
(11,1),-1.15857 # DEPENDENCYPART_ARC
(11,3),-2.47201 # DEPENDENCYPART_ARC
(11,5),-1.27476 # DEPENDENCYPART_ARC
(11,6),-1.53529 # DEPENDENCYPART_ARC
(11,7),-1.42155 # DEPENDENCYPART_ARC
(11,8),-1.11664 # DEPENDENCYPART_ARC
(11,9),0.0403379 # DEPENDENCYPART_ARC
(11,10),-0.6136 # DEPENDENCYPART_ARC
(11,12),0.350881 # DEPENDENCYPART_ARC
(11,13),-0.0480945 # DEPENDENCYPART_ARC
(11,14),0.546727 # DEPENDENCYPART_ARC
(11,15),-1.25789 # DEPENDENCYPART_ARC
(11,16),-2.07826 # DEPENDENCYPART_ARC
(11,18),-4.05609 # DEPENDENCYPART_ARC
