# _root_ Κύριε Πρόεδρε , καταρχάς θα ήθελα να συγχαρώ τους τρεις εισηγητές - τον κ. Χατζηδάκη , τον κ. van Dam και τον κ. Grosch - για το έργο τους .
#goldHeads=2,6,2,6,6,0,8,6,11,11,12,8,15,15,21,21,20,20,20,21,12,24,24,21,12,8,28,26,28,0,
#predictedHeads=2,6,4,6,6,0,8,6,11,11,8,21,15,15,21,21,20,20,20,21,8,24,24,21,21,8,28,26,28,0,
(0,1),0.35646 # DEPENDENCYPART_ARC
(0,2),0.213877 # DEPENDENCYPART_ARC
(0,3),0.335688 # DEPENDENCYPART_ARC
(0,4),-0.32847 # DEPENDENCYPART_ARC
(0,6),0.726937 # DEPENDENCYPART_ARC
(0,8),-0.34148 # DEPENDENCYPART_ARC
(0,11),-0.746818 # DEPENDENCYPART_ARC
(0,12),0.019005 # DEPENDENCYPART_ARC
(0,14),-0.788143 # DEPENDENCYPART_ARC
(0,15),-0.681067 # DEPENDENCYPART_ARC
(0,16),-0.125813 # DEPENDENCYPART_ARC
(0,18),-0.837309 # DEPENDENCYPART_ARC
(0,19),-0.803291 # DEPENDENCYPART_ARC
(0,20),-0.842978 # DEPENDENCYPART_ARC
(0,21),-0.723839 # DEPENDENCYPART_ARC
(0,23),-0.941672 # DEPENDENCYPART_ARC
(0,24),-0.830993 # DEPENDENCYPART_ARC
(0,25),0.15133 # DEPENDENCYPART_ARC
(0,26),-1.00321 # DEPENDENCYPART_ARC
(0,28),-0.819578 # DEPENDENCYPART_ARC
(0,30),2.51696 # DEPENDENCYPART_ARC
(1,2),-0.712424 # DEPENDENCYPART_ARC
(1,3),-0.574391 # DEPENDENCYPART_ARC
(1,4),-1.64243 # DEPENDENCYPART_ARC
(1,6),-1.20635 # DEPENDENCYPART_ARC
(1,8),-1.65166 # DEPENDENCYPART_ARC
(1,21),-0.885161 # DEPENDENCYPART_ARC
(2,1),2.54304 # DEPENDENCYPART_ARC
(2,3),-0.0954583 # DEPENDENCYPART_ARC
(2,4),-1.10492 # DEPENDENCYPART_ARC
(2,6),-1.20468 # DEPENDENCYPART_ARC
(3,1),-0.983699 # DEPENDENCYPART_ARC
(3,2),-0.374976 # DEPENDENCYPART_ARC
(3,4),-0.29161 # DEPENDENCYPART_ARC
(3,6),-1.0121 # DEPENDENCYPART_ARC
(3,8),-1.44477 # DEPENDENCYPART_ARC
(3,11),-1.77819 # DEPENDENCYPART_ARC
(3,12),-0.619991 # DEPENDENCYPART_ARC
(3,15),-1.77314 # DEPENDENCYPART_ARC
(4,1),-1.13683 # DEPENDENCYPART_ARC
(4,2),-0.698527 # DEPENDENCYPART_ARC
(4,3),0.106357 # DEPENDENCYPART_ARC
(4,6),-0.663868 # DEPENDENCYPART_ARC
(4,7),-0.967755 # DEPENDENCYPART_ARC
(4,8),-1.35312 # DEPENDENCYPART_ARC
(4,10),-1.37084 # DEPENDENCYPART_ARC
(4,11),-2.22571 # DEPENDENCYPART_ARC
(4,12),-0.476427 # DEPENDENCYPART_ARC
(6,1),-0.203321 # DEPENDENCYPART_ARC
(6,2),-0.270107 # DEPENDENCYPART_ARC
(6,3),0.372026 # DEPENDENCYPART_ARC
(6,4),0.0824783 # DEPENDENCYPART_ARC
(6,5),1.93015 # DEPENDENCYPART_ARC
(6,7),0.358451 # DEPENDENCYPART_ARC
(6,8),1.7626 # DEPENDENCYPART_ARC
(6,11),-0.733934 # DEPENDENCYPART_ARC
(6,12),-0.157247 # DEPENDENCYPART_ARC
(6,15),-1.14305 # DEPENDENCYPART_ARC
(6,16),-0.160079 # DEPENDENCYPART_ARC
(6,21),-0.260558 # DEPENDENCYPART_ARC
