# _root_ Επίσης , επικροτούμε τον στόχο να συμπεριληφθούν και μικροί οργανισμοί χωρίς διεθνή εμπειρία , προκειμένου να έχουν ευκολότερη πρόσβαση στο πρόγραμμα και νέοι που βρίσκονται εκτός οργανισμών .
#goldHeads=3,1,0,5,3,7,5,10,10,7,10,13,11,15,7,17,15,19,17,19,20,23,17,25,23,25,26,0,
#predictedHeads=3,3,0,5,3,7,5,10,10,7,10,13,11,15,7,17,15,19,17,19,20,21,22,25,22,25,26,0,
(0,1),-0.247571 # DEPENDENCYPART_ARC
(0,2),-0.168809 # DEPENDENCYPART_ARC
(0,3),0.699644 # DEPENDENCYPART_ARC
(0,5),-0.744508 # DEPENDENCYPART_ARC
(0,7),-0.4583 # DEPENDENCYPART_ARC
(0,8),-0.689099 # DEPENDENCYPART_ARC
(0,9),-1.11748 # DEPENDENCYPART_ARC
(0,14),-0.109074 # DEPENDENCYPART_ARC
(0,17),-0.420968 # DEPENDENCYPART_ARC
(0,18),-1.0274 # DEPENDENCYPART_ARC
(0,22),-0.575975 # DEPENDENCYPART_ARC
(0,23),-1.36957 # DEPENDENCYPART_ARC
(0,25),-0.500583 # DEPENDENCYPART_ARC
(0,26),-0.601301 # DEPENDENCYPART_ARC
(0,27),-1.29429 # DEPENDENCYPART_ARC
(0,28),3.26377 # DEPENDENCYPART_ARC
(1,2),-0.232404 # DEPENDENCYPART_ARC
(1,3),-0.779449 # DEPENDENCYPART_ARC
(1,5),-1.51667 # DEPENDENCYPART_ARC
(1,7),-1.41098 # DEPENDENCYPART_ARC
(2,1),-0.481896 # DEPENDENCYPART_ARC
(2,3),-0.722973 # DEPENDENCYPART_ARC
(3,1),0.869976 # DEPENDENCYPART_ARC
(3,2),0.690874 # DEPENDENCYPART_ARC
(3,4),-0.561386 # DEPENDENCYPART_ARC
(3,5),0.940017 # DEPENDENCYPART_ARC
(3,6),-0.398536 # DEPENDENCYPART_ARC
(3,7),-0.611893 # DEPENDENCYPART_ARC
(3,8),-0.4683 # DEPENDENCYPART_ARC
(3,9),-1.11889 # DEPENDENCYPART_ARC
(3,10),-0.939872 # DEPENDENCYPART_ARC
(3,11),-0.644413 # DEPENDENCYPART_ARC
(3,13),-1.16892 # DEPENDENCYPART_ARC
(3,14),-0.285351 # DEPENDENCYPART_ARC
(3,15),-0.462261 # DEPENDENCYPART_ARC
(3,17),-2.12566 # DEPENDENCYPART_ARC
(3,19),-1.29879 # DEPENDENCYPART_ARC
(3,20),-1.93373 # DEPENDENCYPART_ARC
(3,22),-0.420516 # DEPENDENCYPART_ARC
(3,26),-1.15619 # DEPENDENCYPART_ARC
(3,27),-3.5741 # DEPENDENCYPART_ARC
(5,1),-0.958507 # DEPENDENCYPART_ARC
(5,2),-0.899923 # DEPENDENCYPART_ARC
(5,3),-1.74067 # DEPENDENCYPART_ARC
(5,4),2.14056 # DEPENDENCYPART_ARC
(5,6),-0.229457 # DEPENDENCYPART_ARC
(5,7),-0.772468 # DEPENDENCYPART_ARC
(5,8),-0.40389 # DEPENDENCYPART_ARC
(5,9),-1.22398 # DEPENDENCYPART_ARC
(5,10),-1.62598 # DEPENDENCYPART_ARC
(5,11),-0.77588 # DEPENDENCYPART_ARC
(5,20),-0.840285 # DEPENDENCYPART_ARC
(5,22),-0.527602 # DEPENDENCYPART_ARC
(6,7),-0.094599 # DEPENDENCYPART_ARC
(7,1),-0.377549 # DEPENDENCYPART_ARC
(7,2),-0.657395 # DEPENDENCYPART_ARC
(7,3),-1.50898 # DEPENDENCYPART_ARC
(7,4),-1.66653 # DEPENDENCYPART_ARC
(7,5),-1.0097 # DEPENDENCYPART_ARC
(7,6),1.55763 # DEPENDENCYPART_ARC
(7,8),0.330297 # DEPENDENCYPART_ARC
(7,9),0.213922 # DEPENDENCYPART_ARC
(7,10),0.476346 # DEPENDENCYPART_ARC
(7,11),0.0369181 # DEPENDENCYPART_ARC
(7,12),-1.2759 # DEPENDENCYPART_ARC
(7,13),-0.885487 # DEPENDENCYPART_ARC
(7,14),-0.27236 # DEPENDENCYPART_ARC
(7,15),-0.265457 # DEPENDENCYPART_ARC
(7,17),-1.90748 # DEPENDENCYPART_ARC
(7,19),-1.48592 # DEPENDENCYPART_ARC
(7,22),-0.734507 # DEPENDENCYPART_ARC
(7,26),-1.30982 # DEPENDENCYPART_ARC
(8,1),-0.480903 # DEPENDENCYPART_ARC
(8,2),-0.0942238 # DEPENDENCYPART_ARC
(8,3),-0.175511 # DEPENDENCYPART_ARC
(8,4),-0.619356 # DEPENDENCYPART_ARC
(8,5),0.132766 # DEPENDENCYPART_ARC
(8,6),-0.147311 # DEPENDENCYPART_ARC
(8,7),1.23584 # DEPENDENCYPART_ARC
(8,9),0.854286 # DEPENDENCYPART_ARC
(8,10),-0.0356439 # DEPENDENCYPART_ARC
(8,11),-0.630906 # DEPENDENCYPART_ARC
(8,12),-0.440827 # DEPENDENCYPART_ARC
(8,13),-1.12095 # DEPENDENCYPART_ARC
(8,14),-0.574831 # DEPENDENCYPART_ARC
(8,15),-0.930862 # DEPENDENCYPART_ARC
(8,17),-1.45714 # DEPENDENCYPART_ARC
(9,8),0.072236 # DEPENDENCYPART_ARC
(9,10),-1.35309 # DEPENDENCYPART_ARC
(9,11),-0.317754 # DEPENDENCYPART_ARC
(9,12),-2.18359 # DEPENDENCYPART_ARC
(9,13),-1.47617 # DEPENDENCYPART_ARC
(10,4),-1.44728 # DEPENDENCYPART_ARC
(10,5),-1.24681 # DEPENDENCYPART_ARC
(10,7),-1.89102 # DEPENDENCYPART_ARC
(10,8),0.674292 # DEPENDENCYPART_ARC
(10,9),2.40577 # DEPENDENCYPART_ARC
(10,11),0.525313 # DEPENDENCYPART_ARC
(10,12),-0.942959 # DEPENDENCYPART_ARC
(10,13),-0.995821 # DEPENDENCYPART_ARC
(10,14),-0.298402 # DEPENDENCYPART_ARC
(10,15),-0.508332 # DEPENDENCYPART_ARC
(10,17),-1.3293 # DEPENDENCYPART_ARC
(10,20),-0.979109 # DEPENDENCYPART_ARC
(11,8),-0.415488 # DEPENDENCYPART_ARC
(11,10),-0.752273 # DEPENDENCYPART_ARC
(11,12),0.656746 # DEPENDENCYPART_ARC
