# _root_ Στους πρόποδές του , αξίζει να επισκεφθείτε το Δασικό Χωριό της Ελευθερούπολης , στο οποίο μπορείτε να κλείσετε και δωμάτιο για διαμονή .
#goldHeads=5,1,2,5,0,7,5,10,10,7,12,10,7,18,14,10,18,16,18,18,20,21,0,
#predictedHeads=5,1,2,5,0,7,5,10,10,7,12,10,16,16,14,10,18,16,20,18,20,21,0,
(0,1),-0.331803 # DEPENDENCYPART_ARC
(0,2),-0.285676 # DEPENDENCYPART_ARC
(0,4),-0.138018 # DEPENDENCYPART_ARC
(0,5),0.846685 # DEPENDENCYPART_ARC
(0,7),-0.667486 # DEPENDENCYPART_ARC
(0,10),-1.00825 # DEPENDENCYPART_ARC
(0,12),-1.32066 # DEPENDENCYPART_ARC
(0,13),-0.181184 # DEPENDENCYPART_ARC
(0,14),-0.890171 # DEPENDENCYPART_ARC
(0,16),-0.543438 # DEPENDENCYPART_ARC
(0,18),-0.838857 # DEPENDENCYPART_ARC
(0,19),-0.376966 # DEPENDENCYPART_ARC
(0,20),-0.976876 # DEPENDENCYPART_ARC
(0,23),2.68208 # DEPENDENCYPART_ARC
(1,2),2.315 # DEPENDENCYPART_ARC
(1,4),-0.232339 # DEPENDENCYPART_ARC
(2,1),-1.01127 # DEPENDENCYPART_ARC
(2,3),1.45906 # DEPENDENCYPART_ARC
(2,4),-0.291274 # DEPENDENCYPART_ARC
(2,5),-0.366868 # DEPENDENCYPART_ARC
(2,7),-1.04805 # DEPENDENCYPART_ARC
(2,10),-1.94962 # DEPENDENCYPART_ARC
(2,14),-0.932019 # DEPENDENCYPART_ARC
(2,16),-0.800533 # DEPENDENCYPART_ARC
(2,18),-1.65128 # DEPENDENCYPART_ARC
(2,19),-0.511058 # DEPENDENCYPART_ARC
(2,21),-0.863406 # DEPENDENCYPART_ARC
(4,1),-0.710426 # DEPENDENCYPART_ARC
(4,2),-0.82482 # DEPENDENCYPART_ARC
(4,5),-0.717481 # DEPENDENCYPART_ARC
(4,7),-1.46861 # DEPENDENCYPART_ARC
(4,12),-1.96775 # DEPENDENCYPART_ARC
(5,1),-0.125845 # DEPENDENCYPART_ARC
(5,2),-0.95135 # DEPENDENCYPART_ARC
(5,4),0.72462 # DEPENDENCYPART_ARC
(5,7),1.4597 # DEPENDENCYPART_ARC
(5,9),-1.20091 # DEPENDENCYPART_ARC
(5,10),-0.154312 # DEPENDENCYPART_ARC
(5,13),-0.00394295 # DEPENDENCYPART_ARC
(5,16),-1.15351 # DEPENDENCYPART_ARC
(5,18),-0.188784 # DEPENDENCYPART_ARC
(5,19),-0.553388 # DEPENDENCYPART_ARC
(5,20),-1.47599 # DEPENDENCYPART_ARC
(5,21),-1.18506 # DEPENDENCYPART_ARC
(5,23),-0.0338588 # DEPENDENCYPART_ARC
(7,1),0.105542 # DEPENDENCYPART_ARC
(7,2),-1.10623 # DEPENDENCYPART_ARC
(7,4),-0.572275 # DEPENDENCYPART_ARC
(7,5),-1.23426 # DEPENDENCYPART_ARC
