# _root_ Σημειώνεται πάντως ότι το " νέο , ευέλικτο Σύμφωνο Σταθερότητας " δίνει μεγαλύτερη έμφαση στο δημόσιο χρέος , κάτι το οποίο δεν ευνοεί χώρες όπως η Ελλάδα .
#goldHeads=0,1,1,9,9,7,9,7,12,9,9,3,14,12,12,17,15,12,3,21,23,23,19,23,24,27,24,0,
#predictedHeads=0,1,1,9,9,9,9,9,12,9,9,3,14,12,12,17,15,23,17,21,23,23,19,23,24,27,23,0,
(0,1),0.901314 # DEPENDENCYPART_ARC
(0,2),-1.0696 # DEPENDENCYPART_ARC
(0,3),-0.912524 # DEPENDENCYPART_ARC
(0,5),-0.259634 # DEPENDENCYPART_ARC
(0,6),-1.24408 # DEPENDENCYPART_ARC
(0,7),-0.132687 # DEPENDENCYPART_ARC
(0,12),0.168007 # DEPENDENCYPART_ARC
(0,18),-0.255929 # DEPENDENCYPART_ARC
(0,19),-1.20051 # DEPENDENCYPART_ARC
(0,23),-0.610272 # DEPENDENCYPART_ARC
(0,24),-1.0597 # DEPENDENCYPART_ARC
(0,28),3.02424 # DEPENDENCYPART_ARC
(1,2),1.14474 # DEPENDENCYPART_ARC
(1,3),0.755652 # DEPENDENCYPART_ARC
(1,5),0.0337116 # DEPENDENCYPART_ARC
(1,6),0.343896 # DEPENDENCYPART_ARC
(1,7),-0.110857 # DEPENDENCYPART_ARC
(1,8),-1.02338 # DEPENDENCYPART_ARC
(1,9),-0.499995 # DEPENDENCYPART_ARC
(1,10),-1.88918 # DEPENDENCYPART_ARC
(1,11),-0.0696692 # DEPENDENCYPART_ARC
(1,12),-1.63072 # DEPENDENCYPART_ARC
(1,14),-1.2462 # DEPENDENCYPART_ARC
(1,15),-1.26496 # DEPENDENCYPART_ARC
(1,17),-1.57719 # DEPENDENCYPART_ARC
(1,18),-0.864705 # DEPENDENCYPART_ARC
(1,24),-2.22334 # DEPENDENCYPART_ARC
(1,25),-1.30045 # DEPENDENCYPART_ARC
(1,27),-1.80957 # DEPENDENCYPART_ARC
(2,1),-0.54059 # DEPENDENCYPART_ARC
(2,3),-0.120495 # DEPENDENCYPART_ARC
(2,5),-0.636207 # DEPENDENCYPART_ARC
(2,12),-1.24075 # DEPENDENCYPART_ARC
(3,2),0.00060364 # DEPENDENCYPART_ARC
(3,4),-0.0475024 # DEPENDENCYPART_ARC
(3,5),-0.0847013 # DEPENDENCYPART_ARC
(3,7),-0.284609 # DEPENDENCYPART_ARC
(3,11),-0.472436 # DEPENDENCYPART_ARC
(3,12),0.35473 # DEPENDENCYPART_ARC
(3,18),-1.00326 # DEPENDENCYPART_ARC
(3,19),-0.474775 # DEPENDENCYPART_ARC
(3,23),-0.643603 # DEPENDENCYPART_ARC
(5,1),-1.15068 # DEPENDENCYPART_ARC
(5,2),-0.848496 # DEPENDENCYPART_ARC
(5,3),-0.767568 # DEPENDENCYPART_ARC
(5,6),-0.413427 # DEPENDENCYPART_ARC
(5,7),-0.600946 # DEPENDENCYPART_ARC
(5,8),-0.957286 # DEPENDENCYPART_ARC
(5,9),-1.38705 # DEPENDENCYPART_ARC
(5,10),-1.39533 # DEPENDENCYPART_ARC
(5,11),-0.492101 # DEPENDENCYPART_ARC
(5,12),-1.15338 # DEPENDENCYPART_ARC
(5,27),-2.00877 # DEPENDENCYPART_ARC
(6,2),-0.477119 # DEPENDENCYPART_ARC
(6,3),-0.507402 # DEPENDENCYPART_ARC
(6,4),0.416553 # DEPENDENCYPART_ARC
(6,5),0.290974 # DEPENDENCYPART_ARC
(6,7),-0.0190095 # DEPENDENCYPART_ARC
(6,8),-0.581337 # DEPENDENCYPART_ARC
(6,9),-1.21121 # DEPENDENCYPART_ARC
(6,10),-0.219366 # DEPENDENCYPART_ARC
(6,15),-1.66597 # DEPENDENCYPART_ARC
(7,1),-0.85982 # DEPENDENCYPART_ARC
(7,2),-0.720099 # DEPENDENCYPART_ARC
(7,3),-0.56626 # DEPENDENCYPART_ARC
(7,5),-0.309567 # DEPENDENCYPART_ARC
(7,6),-0.168436 # DEPENDENCYPART_ARC
(7,8),0.0158991 # DEPENDENCYPART_ARC
(7,9),-0.672729 # DEPENDENCYPART_ARC
(7,10),-0.922168 # DEPENDENCYPART_ARC
(7,11),-0.150979 # DEPENDENCYPART_ARC
(7,12),-0.845479 # DEPENDENCYPART_ARC
(7,13),-1.11985 # DEPENDENCYPART_ARC
