# _root_ Το πάρτυ διαρκεί μέχρι τις 10 ή 11 το βράδυ , όταν οι περισσότεροι πάνε για ντουζ , ένα εσπρέσο και μετά δείπνο και περισσότερη διασκέδαση.Μέχρι πρωίας .
#goldHeads=2,3,0,3,7,7,10,7,10,4,3,10,14,15,12,15,18,21,20,18,16,21,24,21,26,24,26,0,
#predictedHeads=2,3,0,3,6,4,3,7,10,8,12,3,14,15,12,15,16,21,20,21,15,21,22,23,24,25,24,0,
(0,2),-0.368929 # DEPENDENCYPART_ARC
(0,3),0.723901 # DEPENDENCYPART_ARC
(0,4),-0.828602 # DEPENDENCYPART_ARC
(0,6),-1.00425 # DEPENDENCYPART_ARC
(0,7),-0.686693 # DEPENDENCYPART_ARC
(0,8),-1.09904 # DEPENDENCYPART_ARC
(0,11),-0.186731 # DEPENDENCYPART_ARC
(0,12),-0.490829 # DEPENDENCYPART_ARC
(0,14),-1.30371 # DEPENDENCYPART_ARC
(0,15),-0.156977 # DEPENDENCYPART_ARC
(0,18),-0.337824 # DEPENDENCYPART_ARC
(0,21),-0.600667 # DEPENDENCYPART_ARC
(0,24),-0.737961 # DEPENDENCYPART_ARC
(0,28),3.07112 # DEPENDENCYPART_ARC
(1,2),-0.671389 # DEPENDENCYPART_ARC
(2,1),2.45329 # DEPENDENCYPART_ARC
(2,3),-0.635195 # DEPENDENCYPART_ARC
(2,4),-0.526163 # DEPENDENCYPART_ARC
(2,6),-0.74059 # DEPENDENCYPART_ARC
(2,8),-0.875798 # DEPENDENCYPART_ARC
(3,1),0.0982824 # DEPENDENCYPART_ARC
(3,2),1.05116 # DEPENDENCYPART_ARC
(3,4),1.35218 # DEPENDENCYPART_ARC
(3,5),-0.869328 # DEPENDENCYPART_ARC
(3,6),-0.309872 # DEPENDENCYPART_ARC
(3,7),0.0654294 # DEPENDENCYPART_ARC
(3,8),-0.527039 # DEPENDENCYPART_ARC
(3,10),-0.837653 # DEPENDENCYPART_ARC
(3,11),-0.142312 # DEPENDENCYPART_ARC
(3,12),-0.0729091 # DEPENDENCYPART_ARC
(3,15),-1.47503 # DEPENDENCYPART_ARC
(3,16),-0.819213 # DEPENDENCYPART_ARC
(3,18),-0.754299 # DEPENDENCYPART_ARC
(3,22),-1.24055 # DEPENDENCYPART_ARC
(3,26),-1.6077 # DEPENDENCYPART_ARC
(3,28),-0.578523 # DEPENDENCYPART_ARC
(4,2),-1.23652 # DEPENDENCYPART_ARC
(4,3),-0.364545 # DEPENDENCYPART_ARC
(4,5),-0.097409 # DEPENDENCYPART_ARC
(4,6),0.196416 # DEPENDENCYPART_ARC
(4,7),-0.0868537 # DEPENDENCYPART_ARC
(4,10),-0.281899 # DEPENDENCYPART_ARC
(4,11),-0.502565 # DEPENDENCYPART_ARC
(4,12),-0.189664 # DEPENDENCYPART_ARC
(4,21),-0.572401 # DEPENDENCYPART_ARC
(5,7),-0.360225 # DEPENDENCYPART_ARC
(6,5),0.977422 # DEPENDENCYPART_ARC
(6,10),-1.18375 # DEPENDENCYPART_ARC
(7,1),-0.658661 # DEPENDENCYPART_ARC
(7,2),-0.12663 # DEPENDENCYPART_ARC
(7,3),0.390714 # DEPENDENCYPART_ARC
(7,4),0.210626 # DEPENDENCYPART_ARC
(7,5),-0.0559855 # DEPENDENCYPART_ARC
(7,6),1.03544 # DEPENDENCYPART_ARC
(7,8),0.904081 # DEPENDENCYPART_ARC
(7,10),0.00238581 # DEPENDENCYPART_ARC
(7,11),0.183167 # DEPENDENCYPART_ARC
(7,12),-0.0729394 # DEPENDENCYPART_ARC
(7,14),-0.200315 # DEPENDENCYPART_ARC
(7,15),0.178301 # DEPENDENCYPART_ARC
(7,16),-0.630166 # DEPENDENCYPART_ARC
(7,17),-1.02116 # DEPENDENCYPART_ARC
(7,18),-0.277267 # DEPENDENCYPART_ARC
(8,7),0.273511 # DEPENDENCYPART_ARC
(8,10),-0.506582 # DEPENDENCYPART_ARC
(10,1),-1.08907 # DEPENDENCYPART_ARC
(10,3),-2.38086 # DEPENDENCYPART_ARC
(10,4),-1.19098 # DEPENDENCYPART_ARC
(10,5),-1.15016 # DEPENDENCYPART_ARC
(10,7),-0.216923 # DEPENDENCYPART_ARC
(10,8),0.371602 # DEPENDENCYPART_ARC
(10,9),2.39569 # DEPENDENCYPART_ARC
(10,11),-0.335361 # DEPENDENCYPART_ARC
(10,12),-0.680993 # DEPENDENCYPART_ARC
(10,14),-0.786683 # DEPENDENCYPART_ARC
(10,15),-1.50425 # DEPENDENCYPART_ARC
(11,2),-1.33584 # DEPENDENCYPART_ARC
(11,3),-1.16345 # DEPENDENCYPART_ARC
(11,4),-0.71497 # DEPENDENCYPART_ARC
(11,6),-0.841556 # DEPENDENCYPART_ARC
(11,7),-0.616755 # DEPENDENCYPART_ARC
(11,8),-0.682459 # DEPENDENCYPART_ARC
