# _root_ Έτσι απαγορεύουμε με κοινοτικό νόμο σε ένα δημοκρατικά εκλεγμένο όργανο , σε έναν δήμο ή μια κοινότητα , να αποφασίσει τη συνέχιση ή την καθιέρωση μιας πολιτικής προμηθειών φιλικής προς το περιβάλλον .
#goldHeads=2,0,2,5,3,11,10,9,10,6,2,11,14,15,12,17,15,20,20,2,22,23,20,25,23,27,25,27,27,29,32,30,0,
#predictedHeads=2,0,2,5,3,2,9,9,6,9,2,2,14,15,12,17,15,20,20,17,22,23,20,25,23,28,28,25,28,29,32,30,0,
(0,1),-0.349695 # DEPENDENCYPART_ARC
(0,2),0.183473 # DEPENDENCYPART_ARC
(0,3),-0.854791 # DEPENDENCYPART_ARC
(0,4),-1.13221 # DEPENDENCYPART_ARC
(0,11),-0.289459 # DEPENDENCYPART_ARC
(0,15),-1.11548 # DEPENDENCYPART_ARC
(0,17),-1.1252 # DEPENDENCYPART_ARC
(0,18),-0.498232 # DEPENDENCYPART_ARC
(0,20),-0.388843 # DEPENDENCYPART_ARC
(0,25),-1.17237 # DEPENDENCYPART_ARC
(0,29),-1.4509 # DEPENDENCYPART_ARC
(0,33),3.69367 # DEPENDENCYPART_ARC
(1,2),-0.192401 # DEPENDENCYPART_ARC
(1,3),-0.572088 # DEPENDENCYPART_ARC
(1,4),-1.45113 # DEPENDENCYPART_ARC
(2,1),1.52425 # DEPENDENCYPART_ARC
(2,3),1.50936 # DEPENDENCYPART_ARC
(2,4),-0.39458 # DEPENDENCYPART_ARC
(2,5),0.261819 # DEPENDENCYPART_ARC
(2,6),0.54429 # DEPENDENCYPART_ARC
(2,8),-1.00916 # DEPENDENCYPART_ARC
(2,9),-0.937792 # DEPENDENCYPART_ARC
(2,10),-1.33906 # DEPENDENCYPART_ARC
(2,11),0.120376 # DEPENDENCYPART_ARC
(2,12),0.200812 # DEPENDENCYPART_ARC
(2,14),-1.58997 # DEPENDENCYPART_ARC
(2,15),-0.0098606 # DEPENDENCYPART_ARC
(2,17),-1.73395 # DEPENDENCYPART_ARC
