# _root_ Λυπάμαι πολύ , κύριε Ύπατε Εκπρόσωπε , που δεν μπορώ να συμμεριστώ ούτε καν τη μετριασμένη αισιοδοξία σας .
#goldHeads=0,1,6,6,6,1,6,1,10,8,12,10,12,12,17,17,12,17,0,
#predictedHeads=0,1,1,6,6,1,10,10,10,6,12,10,12,13,17,17,12,17,0,
(0,1),0.866712 # DEPENDENCYPART_ARC
(0,2),-0.997973 # DEPENDENCYPART_ARC
(0,3),-0.0604568 # DEPENDENCYPART_ARC
(0,4),-0.674236 # DEPENDENCYPART_ARC
(0,5),-1.36804 # DEPENDENCYPART_ARC
(0,6),-1.01999 # DEPENDENCYPART_ARC
(0,7),-0.168379 # DEPENDENCYPART_ARC
(0,10),-0.223469 # DEPENDENCYPART_ARC
(0,12),-0.501013 # DEPENDENCYPART_ARC
(0,13),-0.384997 # DEPENDENCYPART_ARC
(0,14),-0.823627 # DEPENDENCYPART_ARC
(0,16),-1.23308 # DEPENDENCYPART_ARC
(0,17),-1.12706 # DEPENDENCYPART_ARC
(0,19),2.29386 # DEPENDENCYPART_ARC
(1,2),1.27493 # DEPENDENCYPART_ARC
(1,3),0.148629 # DEPENDENCYPART_ARC
(1,4),0.228446 # DEPENDENCYPART_ARC
(1,5),-0.220212 # DEPENDENCYPART_ARC
(1,6),0.070172 # DEPENDENCYPART_ARC
(1,7),-0.160569 # DEPENDENCYPART_ARC
(1,10),-1.09363 # DEPENDENCYPART_ARC
(1,12),-1.54116 # DEPENDENCYPART_ARC
(1,13),-0.472515 # DEPENDENCYPART_ARC
(1,14),-0.881877 # DEPENDENCYPART_ARC
(1,17),-1.67403 # DEPENDENCYPART_ARC
(1,19),-0.332976 # DEPENDENCYPART_ARC
(2,1),-0.383111 # DEPENDENCYPART_ARC
(2,3),-0.418229 # DEPENDENCYPART_ARC
(2,4),-0.667229 # DEPENDENCYPART_ARC
(2,5),-1.39265 # DEPENDENCYPART_ARC
(2,6),-1.28323 # DEPENDENCYPART_ARC
(2,10),-1.53563 # DEPENDENCYPART_ARC
(3,1),-0.576989 # DEPENDENCYPART_ARC
(3,2),-0.0654877 # DEPENDENCYPART_ARC
(3,4),-0.420102 # DEPENDENCYPART_ARC
(3,5),-0.894916 # DEPENDENCYPART_ARC
(3,6),-1.16493 # DEPENDENCYPART_ARC
(3,7),-0.343628 # DEPENDENCYPART_ARC
(3,16),-1.53074 # DEPENDENCYPART_ARC
(4,1),-1.43827 # DEPENDENCYPART_ARC
(4,2),-0.349244 # DEPENDENCYPART_ARC
(4,3),-0.00661187 # DEPENDENCYPART_ARC
(4,5),-0.149736 # DEPENDENCYPART_ARC
(4,6),-1.08718 # DEPENDENCYPART_ARC
(4,7),-0.123424 # DEPENDENCYPART_ARC
(4,10),-0.999235 # DEPENDENCYPART_ARC
(4,12),-1.53784 # DEPENDENCYPART_ARC
(4,13),-0.681106 # DEPENDENCYPART_ARC
(4,14),-0.772057 # DEPENDENCYPART_ARC
(4,17),-2.38899 # DEPENDENCYPART_ARC
(4,19),-0.462002 # DEPENDENCYPART_ARC
(5,2),-0.167004 # DEPENDENCYPART_ARC
(5,3),-0.236111 # DEPENDENCYPART_ARC
(5,4),0.482715 # DEPENDENCYPART_ARC
(5,6),-0.549023 # DEPENDENCYPART_ARC
(5,7),-0.540886 # DEPENDENCYPART_ARC
(5,10),-1.40447 # DEPENDENCYPART_ARC
(5,13),-0.713878 # DEPENDENCYPART_ARC
(6,1),-0.930739 # DEPENDENCYPART_ARC
(6,2),-0.436187 # DEPENDENCYPART_ARC
(6,3),-0.167633 # DEPENDENCYPART_ARC
(6,4),1.54779 # DEPENDENCYPART_ARC
(6,5),1.75554 # DEPENDENCYPART_ARC
(6,7),-0.266175 # DEPENDENCYPART_ARC
(6,8),-0.643704 # DEPENDENCYPART_ARC
(6,10),-0.930503 # DEPENDENCYPART_ARC
(6,12),-1.65529 # DEPENDENCYPART_ARC
(6,13),-0.928499 # DEPENDENCYPART_ARC
(6,14),-1.15493 # DEPENDENCYPART_ARC
(7,1),-1.17793 # DEPENDENCYPART_ARC
(7,2),-0.955437 # DEPENDENCYPART_ARC
(7,3),-0.441425 # DEPENDENCYPART_ARC
(7,4),-0.896792 # DEPENDENCYPART_ARC
(7,5),-0.879703 # DEPENDENCYPART_ARC
(7,6),-0.46732 # DEPENDENCYPART_ARC
(7,8),-0.437063 # DEPENDENCYPART_ARC
(7,10),-0.920037 # DEPENDENCYPART_ARC
(7,12),-1.35316 # DEPENDENCYPART_ARC
(7,13),-0.618481 # DEPENDENCYPART_ARC
(7,14),-1.18351 # DEPENDENCYPART_ARC
(7,16),-1.37308 # DEPENDENCYPART_ARC
(7,17),-1.56522 # DEPENDENCYPART_ARC
(7,19),-0.606322 # DEPENDENCYPART_ARC
(8,7),0.00968042 # DEPENDENCYPART_ARC
(8,10),-1.20681 # DEPENDENCYPART_ARC
(8,12),-1.71051 # DEPENDENCYPART_ARC
(10,1),-1.87093 # DEPENDENCYPART_ARC
(10,2),-0.173154 # DEPENDENCYPART_ARC
(10,3),-0.215026 # DEPENDENCYPART_ARC
(10,4),-0.609428 # DEPENDENCYPART_ARC
(10,5),-0.940352 # DEPENDENCYPART_ARC
(10,6),-0.358279 # DEPENDENCYPART_ARC
(10,7),0.430091 # DEPENDENCYPART_ARC
(10,8),0.822305 # DEPENDENCYPART_ARC
(10,9),1.81592 # DEPENDENCYPART_ARC
(10,11),0.207994 # DEPENDENCYPART_ARC
(10,12),0.618748 # DEPENDENCYPART_ARC
(10,13),-0.124799 # DEPENDENCYPART_ARC
(10,14),-0.420052 # DEPENDENCYPART_ARC
(10,16),-1.40648 # DEPENDENCYPART_ARC
(10,17),-0.835139 # DEPENDENCYPART_ARC
(10,19),-0.355888 # DEPENDENCYPART_ARC
(11,12),-0.229264 # DEPENDENCYPART_ARC
(12,1),-2.46385 # DEPENDENCYPART_ARC
(12,2),-0.538126 # DEPENDENCYPART_ARC
(12,3),-0.77478 # DEPENDENCYPART_ARC
(12,4),-0.911548 # DEPENDENCYPART_ARC
(12,5),-1.44759 # DEPENDENCYPART_ARC
(12,6),-0.760788 # DEPENDENCYPART_ARC
(12,7),-0.411838 # DEPENDENCYPART_ARC
(12,8),-0.194368 # DEPENDENCYPART_ARC
(12,9),0.315183 # DEPENDENCYPART_ARC
(12,10),-0.770677 # DEPENDENCYPART_ARC
(12,11),1.843 # DEPENDENCYPART_ARC
(12,13),0.695662 # DEPENDENCYPART_ARC
(12,14),0.23715 # DEPENDENCYPART_ARC
(12,16),-0.956657 # DEPENDENCYPART_ARC
(12,17),0.140617 # DEPENDENCYPART_ARC
(12,19),-0.262763 # DEPENDENCYPART_ARC
(13,1),-0.375221 # DEPENDENCYPART_ARC
(13,2),-0.417764 # DEPENDENCYPART_ARC
(13,3),-0.399362 # DEPENDENCYPART_ARC
(13,4),-0.47524 # DEPENDENCYPART_ARC
(13,5),-0.778662 # DEPENDENCYPART_ARC
(13,6),-0.490799 # DEPENDENCYPART_ARC
(13,7),-0.0365387 # DEPENDENCYPART_ARC
(13,8),-0.393923 # DEPENDENCYPART_ARC
(13,9),-0.489076 # DEPENDENCYPART_ARC
(13,10),0.182519 # DEPENDENCYPART_ARC
(13,11),-0.173393 # DEPENDENCYPART_ARC
(13,12),1.22937 # DEPENDENCYPART_ARC
(13,14),0.149313 # DEPENDENCYPART_ARC
(13,16),-0.242102 # DEPENDENCYPART_ARC
(13,17),-0.646863 # DEPENDENCYPART_ARC
(13,19),-0.308009 # DEPENDENCYPART_ARC
(14,1),-1.76704 # DEPENDENCYPART_ARC
(14,8),-1.9911 # DEPENDENCYPART_ARC
(14,12),-1.2452 # DEPENDENCYPART_ARC
(14,13),0.155435 # DEPENDENCYPART_ARC
(14,15),-0.503889 # DEPENDENCYPART_ARC
(14,16),-0.970382 # DEPENDENCYPART_ARC
(14,17),-0.958523 # DEPENDENCYPART_ARC
(14,19),-0.735372 # DEPENDENCYPART_ARC
(16,14),-0.295302 # DEPENDENCYPART_ARC
(16,15),0.293917 # DEPENDENCYPART_ARC
(16,17),-0.581298 # DEPENDENCYPART_ARC
(16,18),-1.50362 # DEPENDENCYPART_ARC
(16,19),-0.40887 # DEPENDENCYPART_ARC
(17,13),-0.214729 # DEPENDENCYPART_ARC
(17,14),-0.589407 # DEPENDENCYPART_ARC
(17,15),2.12103 # DEPENDENCYPART_ARC
(17,16),2.2902 # DEPENDENCYPART_ARC
(17,18),1.05827 # DEPENDENCYPART_ARC
(17,19),-0.238777 # DEPENDENCYPART_ARC
(19,16),-1.52677 # DEPENDENCYPART_ARC
(19,17),-1.41248 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.113712 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0564746 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0145291 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.15745 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0139086 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0564746 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.601102 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.601093 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.285846 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.113556 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.157449 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0136023 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.104121 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.057528 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.178605 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0175383 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.179784 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.057528 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.172346 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.172225 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0119868 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0344869 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0175395 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.18009 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0488403 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.214197 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.00771183 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.218936 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0210454 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.21084 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.210366 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0394313 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0348022 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.00771071 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.219643 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.402918 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0277209 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0251677 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.00460263 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.241899 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.241488 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0746903 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.0204837 # DEPENDENCYPART_SIBL
