# _root_ Από την δεκαετία του '70 , η Κως έχει μετατραπεί σε σημαντικό τουριστικό προορισμό και έχει δει το τοπίο της να αλλάζει , με την ανέγερση πολυτελών ξενοδοχειακών θερέτρων πάνω στις κατάλευκες αμμουδιές της .
#goldHeads=10,3,1,5,3,15,8,15,10,15,10,14,14,11,0,17,15,19,22,19,22,17,24,22,26,24,29,29,26,26,30,33,31,33,0,
#predictedHeads=10,3,1,5,3,10,8,15,10,15,10,14,14,11,0,17,15,19,17,19,22,19,22,22,26,24,29,29,26,29,30,33,31,33,0,
(0,1),-0.360358 # DEPENDENCYPART_ARC
(0,3),-0.394758 # DEPENDENCYPART_ARC
(0,5),-0.636358 # DEPENDENCYPART_ARC
(0,6),-0.0365441 # DEPENDENCYPART_ARC
(0,8),-1.1344 # DEPENDENCYPART_ARC
(0,9),0.484405 # DEPENDENCYPART_ARC
(0,10),-0.708934 # DEPENDENCYPART_ARC
(0,15),-0.284083 # DEPENDENCYPART_ARC
(0,16),-0.432735 # DEPENDENCYPART_ARC
(0,17),-1.10412 # DEPENDENCYPART_ARC
(0,22),-0.495697 # DEPENDENCYPART_ARC
(0,23),-0.0313418 # DEPENDENCYPART_ARC
(0,35),3.91057 # DEPENDENCYPART_ARC
(1,2),-0.0684969 # DEPENDENCYPART_ARC
(1,3),1.23831 # DEPENDENCYPART_ARC
(1,6),-0.431657 # DEPENDENCYPART_ARC
(1,8),-0.762207 # DEPENDENCYPART_ARC
(3,1),-0.816581 # DEPENDENCYPART_ARC
(3,2),2.27966 # DEPENDENCYPART_ARC
(3,4),0.126458 # DEPENDENCYPART_ARC
(3,5),-0.00316821 # DEPENDENCYPART_ARC
(3,6),-0.199028 # DEPENDENCYPART_ARC
(3,8),0.552139 # DEPENDENCYPART_ARC
(3,9),-0.998046 # DEPENDENCYPART_ARC
(3,10),-0.881494 # DEPENDENCYPART_ARC
(3,11),-0.742535 # DEPENDENCYPART_ARC
(3,14),-1.74858 # DEPENDENCYPART_ARC
(3,15),-0.531882 # DEPENDENCYPART_ARC
(3,17),-1.20306 # DEPENDENCYPART_ARC
(3,22),-1.60317 # DEPENDENCYPART_ARC
(5,4),1.412 # DEPENDENCYPART_ARC
(6,1),-1.19302 # DEPENDENCYPART_ARC
(6,3),-1.08244 # DEPENDENCYPART_ARC
(6,8),-0.8013 # DEPENDENCYPART_ARC
(6,9),-0.877232 # DEPENDENCYPART_ARC
(8,4),-1.09127 # DEPENDENCYPART_ARC
(8,6),-0.50391 # DEPENDENCYPART_ARC
(8,7),1.83087 # DEPENDENCYPART_ARC
(8,9),-0.99181 # DEPENDENCYPART_ARC
(8,10),-1.41082 # DEPENDENCYPART_ARC
(8,12),-1.7646 # DEPENDENCYPART_ARC
(9,1),-0.338186 # DEPENDENCYPART_ARC
(9,3),-1.09716 # DEPENDENCYPART_ARC
(9,4),-2.16389 # DEPENDENCYPART_ARC
(9,5),-0.87109 # DEPENDENCYPART_ARC
(9,6),0.138117 # DEPENDENCYPART_ARC
