# _root_ Από αυτή την άποψη , θέλω να εξετάσω την ισορροπία μεταξύ των οικονομικών , των περιβαλλοντικών και των κοινωνικών ζητημάτων .
#goldHeads=6,4,4,1,6,0,8,6,10,8,10,13,17,17,16,17,20,19,17,11,0,
#predictedHeads=6,4,4,1,6,0,8,6,10,8,10,13,11,17,16,17,11,20,20,17,0,
(0,1),-0.320905 # DEPENDENCYPART_ARC
(0,2),-0.556174 # DEPENDENCYPART_ARC
(0,4),-0.381698 # DEPENDENCYPART_ARC
(0,5),-0.172403 # DEPENDENCYPART_ARC
(0,6),0.876249 # DEPENDENCYPART_ARC
(0,8),-0.572492 # DEPENDENCYPART_ARC
(0,11),-0.913635 # DEPENDENCYPART_ARC
(0,13),-1.10417 # DEPENDENCYPART_ARC
(0,14),-0.161312 # DEPENDENCYPART_ARC
(0,16),-1.40676 # DEPENDENCYPART_ARC
(0,17),-0.798212 # DEPENDENCYPART_ARC
(0,20),-1.42726 # DEPENDENCYPART_ARC
(0,21),2.59847 # DEPENDENCYPART_ARC
(1,2),1.08981 # DEPENDENCYPART_ARC
(1,4),0.425177 # DEPENDENCYPART_ARC
(1,5),-0.21436 # DEPENDENCYPART_ARC
(1,6),-0.754818 # DEPENDENCYPART_ARC
(1,8),-1.17452 # DEPENDENCYPART_ARC
(1,14),-0.732332 # DEPENDENCYPART_ARC
(1,17),-0.663273 # DEPENDENCYPART_ARC
(2,4),-0.910514 # DEPENDENCYPART_ARC
(2,5),-0.197386 # DEPENDENCYPART_ARC
(2,6),-1.09971 # DEPENDENCYPART_ARC
(3,2),0.105167 # DEPENDENCYPART_ARC
(4,1),-0.883336 # DEPENDENCYPART_ARC
(4,2),1.96086 # DEPENDENCYPART_ARC
(4,3),2.55226 # DEPENDENCYPART_ARC
(4,5),-0.290449 # DEPENDENCYPART_ARC
(4,6),-0.602946 # DEPENDENCYPART_ARC
(4,7),-1.20727 # DEPENDENCYPART_ARC
(4,8),-0.902964 # DEPENDENCYPART_ARC
(5,1),-0.97915 # DEPENDENCYPART_ARC
(5,4),-0.639446 # DEPENDENCYPART_ARC
(5,6),-0.718685 # DEPENDENCYPART_ARC
(5,8),-1.46415 # DEPENDENCYPART_ARC
(5,10),-1.59895 # DEPENDENCYPART_ARC
(5,13),-1.64317 # DEPENDENCYPART_ARC
(5,16),-1.63887 # DEPENDENCYPART_ARC
(6,1),0.125862 # DEPENDENCYPART_ARC
(6,2),-1.15612 # DEPENDENCYPART_ARC
(6,3),-1.09113 # DEPENDENCYPART_ARC
(6,4),-0.285836 # DEPENDENCYPART_ARC
(6,5),0.907504 # DEPENDENCYPART_ARC
(6,7),0.557565 # DEPENDENCYPART_ARC
(6,8),1.92606 # DEPENDENCYPART_ARC
(6,10),0.0298354 # DEPENDENCYPART_ARC
(6,11),0.00109998 # DEPENDENCYPART_ARC
(6,13),-1.76209 # DEPENDENCYPART_ARC
(6,14),0.153425 # DEPENDENCYPART_ARC
(6,17),-0.365109 # DEPENDENCYPART_ARC
