# _root_ Εσείς αυξηθήκατε περισσότερο , έχετε την τρόικα και την προεδρική τριάδα , αλλά είμαστε σχετικά κερδισμένοι .
#goldHeads=2,4,2,13,4,7,8,5,11,11,8,13,0,13,16,14,0,
#predictedHeads=2,13,2,5,13,7,8,5,11,11,8,13,0,13,16,14,0,
(0,2),0.132173 # DEPENDENCYPART_ARC
(0,3),-0.620297 # DEPENDENCYPART_ARC
(0,4),-0.0951617 # DEPENDENCYPART_ARC
(0,5),0.005225 # DEPENDENCYPART_ARC
(0,7),-0.835451 # DEPENDENCYPART_ARC
(0,8),-0.533766 # DEPENDENCYPART_ARC
(0,10),-0.88985 # DEPENDENCYPART_ARC
(0,11),-0.823828 # DEPENDENCYPART_ARC
(0,12),0.0658972 # DEPENDENCYPART_ARC
(0,13),0.0203342 # DEPENDENCYPART_ARC
(0,14),-0.722366 # DEPENDENCYPART_ARC
(0,15),-0.756264 # DEPENDENCYPART_ARC
(0,16),-1.23215 # DEPENDENCYPART_ARC
(0,17),2.33838 # DEPENDENCYPART_ARC
(2,1),2.41496 # DEPENDENCYPART_ARC
(2,3),1.78322 # DEPENDENCYPART_ARC
(2,4),0.134077 # DEPENDENCYPART_ARC
(2,5),-1.09797 # DEPENDENCYPART_ARC
(2,7),-1.25851 # DEPENDENCYPART_ARC
(2,8),-0.588988 # DEPENDENCYPART_ARC
(2,10),-1.58618 # DEPENDENCYPART_ARC
(2,11),-2.03684 # DEPENDENCYPART_ARC
(2,12),-0.463944 # DEPENDENCYPART_ARC
(2,13),-0.970774 # DEPENDENCYPART_ARC
(2,14),-2.34441 # DEPENDENCYPART_ARC
(2,15),-1.11187 # DEPENDENCYPART_ARC
(2,17),-0.654195 # DEPENDENCYPART_ARC
(3,2),-0.0319875 # DEPENDENCYPART_ARC
(3,4),-0.279076 # DEPENDENCYPART_ARC
(3,5),-1.55579 # DEPENDENCYPART_ARC
(4,1),-1.09955 # DEPENDENCYPART_ARC
(4,2),-0.750533 # DEPENDENCYPART_ARC
(4,3),-0.237787 # DEPENDENCYPART_ARC
(4,5),-0.725067 # DEPENDENCYPART_ARC
(4,16),-1.65667 # DEPENDENCYPART_ARC
(5,1),-0.0709525 # DEPENDENCYPART_ARC
(5,2),-2.57785 # DEPENDENCYPART_ARC
(5,3),-0.15724 # DEPENDENCYPART_ARC
(5,4),0.50489 # DEPENDENCYPART_ARC
(5,6),-0.643664 # DEPENDENCYPART_ARC
(5,7),0.652847 # DEPENDENCYPART_ARC
(5,8),0.0697631 # DEPENDENCYPART_ARC
(5,10),-1.89757 # DEPENDENCYPART_ARC
(5,11),-0.923568 # DEPENDENCYPART_ARC
(5,12),-0.0654959 # DEPENDENCYPART_ARC
(5,13),-0.549288 # DEPENDENCYPART_ARC
(5,14),-2.28289 # DEPENDENCYPART_ARC
(5,15),-1.2538 # DEPENDENCYPART_ARC
(5,17),-0.645472 # DEPENDENCYPART_ARC
(7,2),-2.3853 # DEPENDENCYPART_ARC
(7,3),-0.964457 # DEPENDENCYPART_ARC
(7,4),-0.948195 # DEPENDENCYPART_ARC
(7,5),-2.33977 # DEPENDENCYPART_ARC
(7,6),2.41615 # DEPENDENCYPART_ARC
(7,8),-0.130938 # DEPENDENCYPART_ARC
(7,9),-1.15063 # DEPENDENCYPART_ARC
(7,10),-1.15552 # DEPENDENCYPART_ARC
(7,11),-1.27696 # DEPENDENCYPART_ARC
(7,12),-0.803774 # DEPENDENCYPART_ARC
(8,1),-0.498905 # DEPENDENCYPART_ARC
(8,2),-0.737992 # DEPENDENCYPART_ARC
(8,3),-0.569774 # DEPENDENCYPART_ARC
(8,4),-0.0345441 # DEPENDENCYPART_ARC
(8,5),0.0950638 # DEPENDENCYPART_ARC
(8,6),-0.271898 # DEPENDENCYPART_ARC
(8,7),1.50678 # DEPENDENCYPART_ARC
(8,9),-0.225949 # DEPENDENCYPART_ARC
(8,10),0.175002 # DEPENDENCYPART_ARC
(8,11),0.0898051 # DEPENDENCYPART_ARC
(8,12),-0.341705 # DEPENDENCYPART_ARC
(8,13),-0.434515 # DEPENDENCYPART_ARC
(8,14),-0.377495 # DEPENDENCYPART_ARC
(8,15),-0.943455 # DEPENDENCYPART_ARC
(8,16),-0.892671 # DEPENDENCYPART_ARC
(8,17),-0.669959 # DEPENDENCYPART_ARC
(10,7),-1.51917 # DEPENDENCYPART_ARC
(10,8),-0.461489 # DEPENDENCYPART_ARC
(10,9),0.463731 # DEPENDENCYPART_ARC
(10,11),-0.536737 # DEPENDENCYPART_ARC
(10,12),-0.594846 # DEPENDENCYPART_ARC
(10,13),-0.436739 # DEPENDENCYPART_ARC
(10,14),-1.43945 # DEPENDENCYPART_ARC
(11,2),-2.08361 # DEPENDENCYPART_ARC
(11,3),-0.783442 # DEPENDENCYPART_ARC
(11,4),-0.722157 # DEPENDENCYPART_ARC
(11,5),-2.85401 # DEPENDENCYPART_ARC
(11,6),0.393549 # DEPENDENCYPART_ARC
