# _root_ Ο κ. Γιούνκερ εκτίμησε ωστόσο ότι στις συνομιλίες , που διήρκεσαν σχεδόν δέκα ώρες , επιτεύχθηκε πρόοδος .
#goldHeads=3,3,4,5,0,4,16,7,11,11,8,13,14,11,11,6,16,0,
#predictedHeads=3,3,4,0,4,5,16,7,11,11,8,13,14,11,16,0,16,0,
(0,2),-0.539067 # DEPENDENCYPART_ARC
(0,3),-0.504321 # DEPENDENCYPART_ARC
(0,4),0.760366 # DEPENDENCYPART_ARC
(0,5),-0.257846 # DEPENDENCYPART_ARC
(0,6),-0.75772 # DEPENDENCYPART_ARC
(0,7),-0.98583 # DEPENDENCYPART_ARC
(0,8),-0.93367 # DEPENDENCYPART_ARC
(0,9),-0.297493 # DEPENDENCYPART_ARC
(0,11),-0.545144 # DEPENDENCYPART_ARC
(0,14),-0.776896 # DEPENDENCYPART_ARC
(0,15),-0.340243 # DEPENDENCYPART_ARC
(0,16),-0.11605 # DEPENDENCYPART_ARC
(0,17),-0.858427 # DEPENDENCYPART_ARC
(0,18),2.11289 # DEPENDENCYPART_ARC
(1,3),-1.04495 # DEPENDENCYPART_ARC
(2,1),0.864734 # DEPENDENCYPART_ARC
(2,3),0.107205 # DEPENDENCYPART_ARC
(3,1),1.71167 # DEPENDENCYPART_ARC
(3,2),1.00417 # DEPENDENCYPART_ARC
(3,4),-0.841958 # DEPENDENCYPART_ARC
(3,5),-0.86682 # DEPENDENCYPART_ARC
(3,6),-0.868495 # DEPENDENCYPART_ARC
(3,7),-1.70975 # DEPENDENCYPART_ARC
(4,1),-1.54952 # DEPENDENCYPART_ARC
(4,2),-0.256365 # DEPENDENCYPART_ARC
(4,3),0.801877 # DEPENDENCYPART_ARC
(4,5),0.911763 # DEPENDENCYPART_ARC
(4,6),0.598112 # DEPENDENCYPART_ARC
(4,7),0.736211 # DEPENDENCYPART_ARC
(4,8),-0.67597 # DEPENDENCYPART_ARC
(4,9),0.0723119 # DEPENDENCYPART_ARC
(4,11),-1.75847 # DEPENDENCYPART_ARC
(4,12),-0.849184 # DEPENDENCYPART_ARC
(4,14),-1.7875 # DEPENDENCYPART_ARC
(4,15),-0.329236 # DEPENDENCYPART_ARC
(4,17),-1.44406 # DEPENDENCYPART_ARC
(4,18),-0.352367 # DEPENDENCYPART_ARC
(5,1),-0.64267 # DEPENDENCYPART_ARC
(5,3),-0.023627 # DEPENDENCYPART_ARC
(5,4),1.34487 # DEPENDENCYPART_ARC
(5,6),0.321162 # DEPENDENCYPART_ARC
(5,7),-0.198584 # DEPENDENCYPART_ARC
(5,8),-0.576889 # DEPENDENCYPART_ARC
(5,9),-0.193062 # DEPENDENCYPART_ARC
(5,11),-0.0264233 # DEPENDENCYPART_ARC
(5,12),-1.05128 # DEPENDENCYPART_ARC
(5,14),-1.48797 # DEPENDENCYPART_ARC
(5,15),-0.378335 # DEPENDENCYPART_ARC
(5,16),-1.02536 # DEPENDENCYPART_ARC
(5,18),-0.814267 # DEPENDENCYPART_ARC
(6,5),0.235078 # DEPENDENCYPART_ARC
(6,9),0.00222144 # DEPENDENCYPART_ARC
(6,11),0.66489 # DEPENDENCYPART_ARC
(6,15),-0.367852 # DEPENDENCYPART_ARC
(6,16),-0.304845 # DEPENDENCYPART_ARC
(6,18),-0.645805 # DEPENDENCYPART_ARC
(7,8),2.55297 # DEPENDENCYPART_ARC
(7,9),-0.15335 # DEPENDENCYPART_ARC
(8,1),-2.93107 # DEPENDENCYPART_ARC
(8,3),-2.42392 # DEPENDENCYPART_ARC
(8,4),-3.36759 # DEPENDENCYPART_ARC
(8,5),-0.718501 # DEPENDENCYPART_ARC
(8,7),-0.156217 # DEPENDENCYPART_ARC
(8,9),-0.284712 # DEPENDENCYPART_ARC
(8,10),-1.18761 # DEPENDENCYPART_ARC
(8,11),-0.74427 # DEPENDENCYPART_ARC
(8,12),-0.863643 # DEPENDENCYPART_ARC
(8,13),-1.76536 # DEPENDENCYPART_ARC
(8,14),-2.34667 # DEPENDENCYPART_ARC
(8,17),-2.29639 # DEPENDENCYPART_ARC
(9,3),-1.31807 # DEPENDENCYPART_ARC
(9,4),-1.23915 # DEPENDENCYPART_ARC
(9,5),-0.822805 # DEPENDENCYPART_ARC
(9,6),-0.691857 # DEPENDENCYPART_ARC
(9,7),-0.815719 # DEPENDENCYPART_ARC
(9,8),-0.481079 # DEPENDENCYPART_ARC
(9,10),-0.504959 # DEPENDENCYPART_ARC
(9,11),-0.884785 # DEPENDENCYPART_ARC
(9,12),-1.05993 # DEPENDENCYPART_ARC
(9,14),-1.36466 # DEPENDENCYPART_ARC
(9,15),-0.327174 # DEPENDENCYPART_ARC
(9,17),-1.62467 # DEPENDENCYPART_ARC
(9,18),-0.610907 # DEPENDENCYPART_ARC
(10,9),-0.091875 # DEPENDENCYPART_ARC
(10,11),-0.137783 # DEPENDENCYPART_ARC
(10,16),-1.83435 # DEPENDENCYPART_ARC
(11,3),-1.4417 # DEPENDENCYPART_ARC
(11,4),-2.24508 # DEPENDENCYPART_ARC
(11,5),-0.904221 # DEPENDENCYPART_ARC
(11,6),-0.974785 # DEPENDENCYPART_ARC
(11,7),0.301151 # DEPENDENCYPART_ARC
(11,8),-0.6581 # DEPENDENCYPART_ARC
(11,9),0.369433 # DEPENDENCYPART_ARC
(11,10),2.22991 # DEPENDENCYPART_ARC
(11,12),1.18057 # DEPENDENCYPART_ARC
(11,13),-0.732339 # DEPENDENCYPART_ARC
(11,14),0.486617 # DEPENDENCYPART_ARC
(11,15),0.179135 # DEPENDENCYPART_ARC
(11,16),-1.72781 # DEPENDENCYPART_ARC
(11,17),-0.772434 # DEPENDENCYPART_ARC
