# _root_ Καθορίσαμε ορισμένους επιμέρους στόχους , ορισμένες τιμές στόχους για το έτος 2010 , τις οποίες πρέπει να σεβαστούμε .
#goldHeads=0,4,4,5,1,7,5,7,8,11,9,11,16,15,18,7,18,16,0,
#predictedHeads=0,4,4,1,1,7,8,1,8,11,9,11,16,15,18,11,18,16,0,
(0,1),0.797662 # DEPENDENCYPART_ARC
(0,2),-0.968966 # DEPENDENCYPART_ARC
(0,3),-1.03921 # DEPENDENCYPART_ARC
(0,4),-0.82485 # DEPENDENCYPART_ARC
(0,5),-0.320579 # DEPENDENCYPART_ARC
(0,6),-0.947108 # DEPENDENCYPART_ARC
(0,12),-1.31267 # DEPENDENCYPART_ARC
(0,16),-0.165291 # DEPENDENCYPART_ARC
(0,18),-0.750106 # DEPENDENCYPART_ARC
(0,19),2.44589 # DEPENDENCYPART_ARC
(1,2),0.936322 # DEPENDENCYPART_ARC
(1,3),0.600973 # DEPENDENCYPART_ARC
(1,4),0.0567395 # DEPENDENCYPART_ARC
(1,5),0.0507196 # DEPENDENCYPART_ARC
(1,6),-0.538251 # DEPENDENCYPART_ARC
(1,7),-0.337933 # DEPENDENCYPART_ARC
(1,8),-0.62744 # DEPENDENCYPART_ARC
(1,9),-0.240354 # DEPENDENCYPART_ARC
(1,11),-1.01492 # DEPENDENCYPART_ARC
(1,12),-0.662352 # DEPENDENCYPART_ARC
(1,13),-0.507452 # DEPENDENCYPART_ARC
(1,18),-1.41493 # DEPENDENCYPART_ARC
(1,19),-0.442929 # DEPENDENCYPART_ARC
(2,1),-0.70506 # DEPENDENCYPART_ARC
(2,3),0.225006 # DEPENDENCYPART_ARC
(2,4),-1.17197 # DEPENDENCYPART_ARC
(2,5),-0.245995 # DEPENDENCYPART_ARC
(2,7),-1.6445 # DEPENDENCYPART_ARC
(2,8),-2.03189 # DEPENDENCYPART_ARC
(2,9),-0.415515 # DEPENDENCYPART_ARC
(3,1),-1.14703 # DEPENDENCYPART_ARC
(3,2),0.15654 # DEPENDENCYPART_ARC
(3,4),0.0146955 # DEPENDENCYPART_ARC
(3,5),-0.518461 # DEPENDENCYPART_ARC
(3,6),-0.971357 # DEPENDENCYPART_ARC
(3,7),-0.922268 # DEPENDENCYPART_ARC
(3,8),-1.18518 # DEPENDENCYPART_ARC
(3,9),-0.914328 # DEPENDENCYPART_ARC
(3,11),-1.3788 # DEPENDENCYPART_ARC
(3,13),-0.713433 # DEPENDENCYPART_ARC
(3,18),-1.31577 # DEPENDENCYPART_ARC
(3,19),-1.06634 # DEPENDENCYPART_ARC
(4,1),-2.02792 # DEPENDENCYPART_ARC
(4,2),1.5461 # DEPENDENCYPART_ARC
(4,3),0.760456 # DEPENDENCYPART_ARC
(4,5),-0.329178 # DEPENDENCYPART_ARC
(4,6),-0.621864 # DEPENDENCYPART_ARC
(4,7),-1.78661 # DEPENDENCYPART_ARC
(4,8),-1.97551 # DEPENDENCYPART_ARC
(4,9),-0.503525 # DEPENDENCYPART_ARC
(4,12),-0.878788 # DEPENDENCYPART_ARC
(4,16),-1.24682 # DEPENDENCYPART_ARC
(5,1),-0.968509 # DEPENDENCYPART_ARC
(5,2),-0.896066 # DEPENDENCYPART_ARC
