# _root_ * Επισκεφθείτε τις ερημικές παραλίες της νότιας Ρόδου , από το Πρασονήσι έως το Πλυμήρι , που προσφέρονται για απομόνωση και ηρεμία .
#goldHeads=0,0,5,5,2,8,8,5,2,5,12,10,5,15,13,18,18,5,18,21,19,21,0,
#predictedHeads=0,0,5,5,2,8,8,5,2,2,12,10,12,15,13,18,18,15,18,21,19,21,0,
(0,1),0.764985 # DEPENDENCYPART_ARC
(0,2),0.4539 # DEPENDENCYPART_ARC
(0,4),-0.687476 # DEPENDENCYPART_ARC
(0,5),-0.705374 # DEPENDENCYPART_ARC
(0,7),-1.01392 # DEPENDENCYPART_ARC
(0,8),-1.14096 # DEPENDENCYPART_ARC
(0,9),0.073162 # DEPENDENCYPART_ARC
(0,16),-0.305332 # DEPENDENCYPART_ARC
(0,18),-0.0286017 # DEPENDENCYPART_ARC
(0,20),-1.03429 # DEPENDENCYPART_ARC
(0,21),-0.547421 # DEPENDENCYPART_ARC
(0,22),-0.913966 # DEPENDENCYPART_ARC
(0,23),2.7047 # DEPENDENCYPART_ARC
(1,2),-0.719973 # DEPENDENCYPART_ARC
(1,4),-1.43813 # DEPENDENCYPART_ARC
(1,5),-1.80056 # DEPENDENCYPART_ARC
(1,8),-2.13716 # DEPENDENCYPART_ARC
(2,1),0.304638 # DEPENDENCYPART_ARC
(2,3),-0.432343 # DEPENDENCYPART_ARC
(2,4),-0.369576 # DEPENDENCYPART_ARC
(2,5),-0.00990849 # DEPENDENCYPART_ARC
(2,7),-1.86195 # DEPENDENCYPART_ARC
(2,8),-2.33022 # DEPENDENCYPART_ARC
(2,9),0.218997 # DEPENDENCYPART_ARC
(2,10),-0.172533 # DEPENDENCYPART_ARC
(2,12),-1.38245 # DEPENDENCYPART_ARC
(2,13),-0.367183 # DEPENDENCYPART_ARC
(2,15),-2.16153 # DEPENDENCYPART_ARC
(2,16),-0.253148 # DEPENDENCYPART_ARC
(2,18),-3.03438 # DEPENDENCYPART_ARC
(2,19),-1.00243 # DEPENDENCYPART_ARC
(2,20),-3.09764 # DEPENDENCYPART_ARC
(2,21),-0.305197 # DEPENDENCYPART_ARC
(2,22),-3.22023 # DEPENDENCYPART_ARC
(2,23),-0.348441 # DEPENDENCYPART_ARC
(4,1),-0.800802 # DEPENDENCYPART_ARC
(4,3),0.629619 # DEPENDENCYPART_ARC
(4,5),-0.692496 # DEPENDENCYPART_ARC
(4,7),-1.36787 # DEPENDENCYPART_ARC
(4,10),-0.341712 # DEPENDENCYPART_ARC
(5,1),-0.655917 # DEPENDENCYPART_ARC
(5,2),-1.83259 # DEPENDENCYPART_ARC
(5,3),2.64352 # DEPENDENCYPART_ARC
(5,4),2.88923 # DEPENDENCYPART_ARC
(5,6),0.0725904 # DEPENDENCYPART_ARC
(5,7),-0.169728 # DEPENDENCYPART_ARC
(5,8),0.96671 # DEPENDENCYPART_ARC
(5,9),-0.176214 # DEPENDENCYPART_ARC
(5,10),-0.158712 # DEPENDENCYPART_ARC
(5,12),-1.67998 # DEPENDENCYPART_ARC
(5,13),-0.0993985 # DEPENDENCYPART_ARC
(5,15),-1.76473 # DEPENDENCYPART_ARC
(5,16),-0.329847 # DEPENDENCYPART_ARC
(5,18),-0.486998 # DEPENDENCYPART_ARC
(5,19),-0.724606 # DEPENDENCYPART_ARC
(5,21),-0.331827 # DEPENDENCYPART_ARC
(7,5),-2.0274 # DEPENDENCYPART_ARC
(7,6),0.0133707 # DEPENDENCYPART_ARC
(7,8),0.0482666 # DEPENDENCYPART_ARC
(7,9),-0.670092 # DEPENDENCYPART_ARC
(7,10),-0.239396 # DEPENDENCYPART_ARC
(7,12),-2.13641 # DEPENDENCYPART_ARC
(7,13),-0.544436 # DEPENDENCYPART_ARC
(7,15),-2.47619 # DEPENDENCYPART_ARC
(8,6),1.92347 # DEPENDENCYPART_ARC
(8,7),1.98881 # DEPENDENCYPART_ARC
(8,9),-0.665476 # DEPENDENCYPART_ARC
(8,10),-0.910895 # DEPENDENCYPART_ARC
(9,1),-0.759919 # DEPENDENCYPART_ARC
(9,2),-0.919116 # DEPENDENCYPART_ARC
(9,4),-1.07211 # DEPENDENCYPART_ARC
(9,5),-0.764059 # DEPENDENCYPART_ARC
(9,7),-0.691281 # DEPENDENCYPART_ARC
(9,8),-0.30063 # DEPENDENCYPART_ARC
(9,10),-0.354377 # DEPENDENCYPART_ARC
(9,12),-0.887148 # DEPENDENCYPART_ARC
(9,13),-0.64464 # DEPENDENCYPART_ARC
(9,15),-1.23611 # DEPENDENCYPART_ARC
(9,16),-0.29835 # DEPENDENCYPART_ARC
(9,18),-0.8436 # DEPENDENCYPART_ARC
(9,19),-0.8815 # DEPENDENCYPART_ARC
(10,9),-0.278771 # DEPENDENCYPART_ARC
(10,11),-0.0291103 # DEPENDENCYPART_ARC
(10,12),1.27875 # DEPENDENCYPART_ARC
(10,13),-0.474702 # DEPENDENCYPART_ARC
(10,15),-0.110881 # DEPENDENCYPART_ARC
(10,16),-0.200318 # DEPENDENCYPART_ARC
(10,21),-0.456898 # DEPENDENCYPART_ARC
(12,2),-1.68975 # DEPENDENCYPART_ARC
(12,3),-2.2592 # DEPENDENCYPART_ARC
(12,5),-2.66257 # DEPENDENCYPART_ARC
(12,6),-1.54123 # DEPENDENCYPART_ARC
(12,7),-0.732873 # DEPENDENCYPART_ARC
