# _root_ Στις διάφορες δράσεις κατέστη δυνατόν , όπως επιθυμούσαμε , να γίνει ισόρροπη κατανομή πόρων μεταξύ ανταλλαγής νέων και εθελοντικής υπηρεσίας .
#goldHeads=4,3,1,0,4,8,8,4,8,11,4,13,11,13,13,18,16,15,20,18,0,
#predictedHeads=4,3,1,0,4,8,8,4,8,11,8,13,11,13,14,15,18,20,18,16,0,
(0,1),-0.374966 # DEPENDENCYPART_ARC
(0,2),-0.373812 # DEPENDENCYPART_ARC
(0,3),-0.533085 # DEPENDENCYPART_ARC
(0,4),0.913696 # DEPENDENCYPART_ARC
(0,5),-1.2138 # DEPENDENCYPART_ARC
(0,6),-0.129252 # DEPENDENCYPART_ARC
(0,7),-1.08376 # DEPENDENCYPART_ARC
(0,8),-0.120484 # DEPENDENCYPART_ARC
(0,9),-0.0816062 # DEPENDENCYPART_ARC
(0,11),-0.566953 # DEPENDENCYPART_ARC
(0,18),-0.393888 # DEPENDENCYPART_ARC
(0,20),-1.4543 # DEPENDENCYPART_ARC
(0,21),2.69004 # DEPENDENCYPART_ARC
(1,2),1.09122 # DEPENDENCYPART_ARC
(1,3),1.85996 # DEPENDENCYPART_ARC
(1,6),-0.490749 # DEPENDENCYPART_ARC
(2,3),-0.607472 # DEPENDENCYPART_ARC
(2,4),-0.538246 # DEPENDENCYPART_ARC
(2,5),-1.42981 # DEPENDENCYPART_ARC
(3,1),-0.0847665 # DEPENDENCYPART_ARC
(3,2),2.57315 # DEPENDENCYPART_ARC
(3,4),-0.764413 # DEPENDENCYPART_ARC
(3,5),-1.02168 # DEPENDENCYPART_ARC
(3,6),-0.625634 # DEPENDENCYPART_ARC
(3,7),-0.79053 # DEPENDENCYPART_ARC
(3,8),-1.51844 # DEPENDENCYPART_ARC
(4,1),0.683117 # DEPENDENCYPART_ARC
(4,3),-0.0870994 # DEPENDENCYPART_ARC
(4,5),1.80444 # DEPENDENCYPART_ARC
(4,6),0.11891 # DEPENDENCYPART_ARC
(4,7),0.141756 # DEPENDENCYPART_ARC
(4,8),-0.266813 # DEPENDENCYPART_ARC
(4,9),-0.415923 # DEPENDENCYPART_ARC
(4,11),-1.1667 # DEPENDENCYPART_ARC
(4,12),-0.222899 # DEPENDENCYPART_ARC
(4,13),-0.537545 # DEPENDENCYPART_ARC
(4,14),-2.78376 # DEPENDENCYPART_ARC
(4,15),-0.813266 # DEPENDENCYPART_ARC
(4,16),-2.46358 # DEPENDENCYPART_ARC
(4,17),-1.65966 # DEPENDENCYPART_ARC
(4,18),-0.72644 # DEPENDENCYPART_ARC
(4,19),-1.79636 # DEPENDENCYPART_ARC
(4,20),-2.49225 # DEPENDENCYPART_ARC
(4,21),-0.49572 # DEPENDENCYPART_ARC
(5,3),-0.97388 # DEPENDENCYPART_ARC
(5,6),-0.299586 # DEPENDENCYPART_ARC
(5,7),-0.576849 # DEPENDENCYPART_ARC
(5,8),-1.3415 # DEPENDENCYPART_ARC
(5,11),-1.92158 # DEPENDENCYPART_ARC
(6,1),-0.920933 # DEPENDENCYPART_ARC
(6,2),-1.29326 # DEPENDENCYPART_ARC
(6,3),-0.876569 # DEPENDENCYPART_ARC
