# _root_ Αποτελεί πρόκληση για όλους εμάς - το Κοινοβούλιο , την Επιτροπή και το Συμβούλιο - να θεσπίσουμε αυτά τα εχέγγυα , διότι είναι δύσκολο να εξακολουθήσουμε να συμφωνούμε ώσπου να τα αποκτήσουμε .
#goldHeads=0,1,1,5,6,3,8,12,12,11,12,6,14,12,6,17,1,20,20,17,17,1,22,23,26,23,28,26,28,32,32,29,0,
#predictedHeads=0,1,2,5,3,4,8,12,12,11,12,3,14,12,6,17,15,19,20,17,22,17,22,23,26,23,28,26,28,32,32,29,0,
(0,1),0.865527 # DEPENDENCYPART_ARC
(0,2),-0.531733 # DEPENDENCYPART_ARC
(0,3),-0.845275 # DEPENDENCYPART_ARC
(0,6),0.00980899 # DEPENDENCYPART_ARC
(0,9),-0.298583 # DEPENDENCYPART_ARC
(0,12),-0.749187 # DEPENDENCYPART_ARC
(0,15),-0.272394 # DEPENDENCYPART_ARC
(0,17),-0.759245 # DEPENDENCYPART_ARC
(0,18),-1.128 # DEPENDENCYPART_ARC
(0,22),-0.682513 # DEPENDENCYPART_ARC
(0,23),-0.162858 # DEPENDENCYPART_ARC
(0,24),-1.54371 # DEPENDENCYPART_ARC
(0,26),-1.32901 # DEPENDENCYPART_ARC
(0,28),-1.07641 # DEPENDENCYPART_ARC
(0,29),-0.658988 # DEPENDENCYPART_ARC
(0,33),3.60499 # DEPENDENCYPART_ARC
(1,2),1.95732 # DEPENDENCYPART_ARC
(1,3),0.441168 # DEPENDENCYPART_ARC
(1,4),-1.16001 # DEPENDENCYPART_ARC
(1,5),-0.0273484 # DEPENDENCYPART_ARC
(1,6),-0.298483 # DEPENDENCYPART_ARC
(1,8),-0.832185 # DEPENDENCYPART_ARC
(1,9),-0.426296 # DEPENDENCYPART_ARC
(1,11),-0.781494 # DEPENDENCYPART_ARC
(1,12),-0.265683 # DEPENDENCYPART_ARC
(1,14),-1.51639 # DEPENDENCYPART_ARC
(1,15),-0.495088 # DEPENDENCYPART_ARC
(1,17),-0.630945 # DEPENDENCYPART_ARC
(1,22),-0.720478 # DEPENDENCYPART_ARC
(2,1),-1.50001 # DEPENDENCYPART_ARC
(2,3),0.72214 # DEPENDENCYPART_ARC
(2,4),-0.906834 # DEPENDENCYPART_ARC
(2,6),-0.379826 # DEPENDENCYPART_ARC
(2,8),-1.51731 # DEPENDENCYPART_ARC
(2,12),-0.328986 # DEPENDENCYPART_ARC
(2,17),-0.854618 # DEPENDENCYPART_ARC
(3,1),-0.843596 # DEPENDENCYPART_ARC
(3,2),-0.823531 # DEPENDENCYPART_ARC
(3,4),0.696505 # DEPENDENCYPART_ARC
(3,5),0.632296 # DEPENDENCYPART_ARC
(3,6),-0.202252 # DEPENDENCYPART_ARC
(3,8),0.145404 # DEPENDENCYPART_ARC
(3,9),-0.485562 # DEPENDENCYPART_ARC
(3,11),-0.889298 # DEPENDENCYPART_ARC
(3,12),0.0740084 # DEPENDENCYPART_ARC
(3,15),-0.703518 # DEPENDENCYPART_ARC
(4,2),-1.85401 # DEPENDENCYPART_ARC
(4,3),-0.557968 # DEPENDENCYPART_ARC
(4,5),-0.481791 # DEPENDENCYPART_ARC
(4,6),-0.403792 # DEPENDENCYPART_ARC
(4,8),-1.18323 # DEPENDENCYPART_ARC
(4,9),-0.466529 # DEPENDENCYPART_ARC
(4,12),-0.287319 # DEPENDENCYPART_ARC
(5,4),1.19879 # DEPENDENCYPART_ARC
(5,8),-1.10979 # DEPENDENCYPART_ARC
(6,1),-1.04916 # DEPENDENCYPART_ARC
(6,2),-0.964868 # DEPENDENCYPART_ARC
(6,3),-0.683523 # DEPENDENCYPART_ARC
(6,4),-0.83939 # DEPENDENCYPART_ARC
(6,5),-0.36007 # DEPENDENCYPART_ARC
(6,8),-0.675772 # DEPENDENCYPART_ARC
(6,9),-0.239599 # DEPENDENCYPART_ARC
(6,11),-1.15828 # DEPENDENCYPART_ARC
(6,12),-0.351133 # DEPENDENCYPART_ARC
(6,15),-0.129496 # DEPENDENCYPART_ARC
(6,17),-0.7967 # DEPENDENCYPART_ARC
(8,4),-0.772402 # DEPENDENCYPART_ARC
(8,6),0.014325 # DEPENDENCYPART_ARC
(8,7),2.3802 # DEPENDENCYPART_ARC
(8,9),-0.417751 # DEPENDENCYPART_ARC
(8,10),-1.37831 # DEPENDENCYPART_ARC
(8,11),-0.938781 # DEPENDENCYPART_ARC
(8,12),-0.644296 # DEPENDENCYPART_ARC
(9,1),-1.13239 # DEPENDENCYPART_ARC
(9,2),-0.920812 # DEPENDENCYPART_ARC
(9,3),-0.69736 # DEPENDENCYPART_ARC
(9,4),-1.20861 # DEPENDENCYPART_ARC
(9,5),-1.22616 # DEPENDENCYPART_ARC
(9,6),-0.582138 # DEPENDENCYPART_ARC
(9,8),-0.257717 # DEPENDENCYPART_ARC
(9,11),-0.681625 # DEPENDENCYPART_ARC
(9,12),-0.36881 # DEPENDENCYPART_ARC
(9,14),-1.11232 # DEPENDENCYPART_ARC
(9,15),-0.263035 # DEPENDENCYPART_ARC
(9,17),-0.996071 # DEPENDENCYPART_ARC
(9,20),-1.52254 # DEPENDENCYPART_ARC
(9,24),-1.42723 # DEPENDENCYPART_ARC
(11,7),-0.93699 # DEPENDENCYPART_ARC
(11,9),-0.565206 # DEPENDENCYPART_ARC
(11,10),2.29802 # DEPENDENCYPART_ARC
(11,13),-1.39931 # DEPENDENCYPART_ARC
(11,14),-1.41695 # DEPENDENCYPART_ARC
(11,17),-1.29273 # DEPENDENCYPART_ARC
(12,1),-0.453636 # DEPENDENCYPART_ARC
(12,2),-0.531552 # DEPENDENCYPART_ARC
(12,3),-0.59614 # DEPENDENCYPART_ARC
(12,4),-0.882251 # DEPENDENCYPART_ARC
(12,5),-0.294595 # DEPENDENCYPART_ARC
(12,6),-0.0582216 # DEPENDENCYPART_ARC
(12,7),-0.694829 # DEPENDENCYPART_ARC
(12,8),0.365949 # DEPENDENCYPART_ARC
(12,9),0.798022 # DEPENDENCYPART_ARC
(12,10),-0.283267 # DEPENDENCYPART_ARC
(12,11),1.58209 # DEPENDENCYPART_ARC
(12,13),-0.204793 # DEPENDENCYPART_ARC
(12,14),0.729472 # DEPENDENCYPART_ARC
(12,15),-0.164847 # DEPENDENCYPART_ARC
(12,17),-0.223976 # DEPENDENCYPART_ARC
(12,20),-0.834532 # DEPENDENCYPART_ARC
(12,21),-0.594409 # DEPENDENCYPART_ARC
(12,22),-0.568904 # DEPENDENCYPART_ARC
(12,23),-1.59228 # DEPENDENCYPART_ARC
(12,26),-2.14156 # DEPENDENCYPART_ARC
(12,28),-2.51791 # DEPENDENCYPART_ARC
(12,29),-0.598361 # DEPENDENCYPART_ARC
(14,7),-0.872162 # DEPENDENCYPART_ARC
(14,10),-0.563387 # DEPENDENCYPART_ARC
(14,11),-1.1025 # DEPENDENCYPART_ARC
(14,12),0.251149 # DEPENDENCYPART_ARC
(14,13),2.41943 # DEPENDENCYPART_ARC
(14,15),-0.316216 # DEPENDENCYPART_ARC
(14,16),-0.94674 # DEPENDENCYPART_ARC
(14,17),-0.927036 # DEPENDENCYPART_ARC
(14,20),-1.62429 # DEPENDENCYPART_ARC
(14,32),-1.58253 # DEPENDENCYPART_ARC
(15,2),-1.18852 # DEPENDENCYPART_ARC
(15,11),-1.17966 # DEPENDENCYPART_ARC
(15,14),-0.591404 # DEPENDENCYPART_ARC
(15,17),-0.703443 # DEPENDENCYPART_ARC
(15,20),-1.15784 # DEPENDENCYPART_ARC
(15,21),-0.334319 # DEPENDENCYPART_ARC
(15,22),-0.67743 # DEPENDENCYPART_ARC
(15,23),-1.08363 # DEPENDENCYPART_ARC
(15,24),-1.16622 # DEPENDENCYPART_ARC
(15,26),-1.09057 # DEPENDENCYPART_ARC
(15,28),-1.13178 # DEPENDENCYPART_ARC
(17,1),-1.25926 # DEPENDENCYPART_ARC
(17,2),-2.17296 # DEPENDENCYPART_ARC
(17,3),-1.03308 # DEPENDENCYPART_ARC
(17,4),-1.46408 # DEPENDENCYPART_ARC
(17,6),-0.818473 # DEPENDENCYPART_ARC
(17,8),-1.94195 # DEPENDENCYPART_ARC
(17,9),-0.4427 # DEPENDENCYPART_ARC
(17,11),-1.64974 # DEPENDENCYPART_ARC
(17,12),-0.720738 # DEPENDENCYPART_ARC
(17,13),-0.810024 # DEPENDENCYPART_ARC
(17,14),-1.43679 # DEPENDENCYPART_ARC
(17,15),-0.0162725 # DEPENDENCYPART_ARC
(17,16),1.57088 # DEPENDENCYPART_ARC
(17,18),0.515046 # DEPENDENCYPART_ARC
(17,19),-0.788557 # DEPENDENCYPART_ARC
(17,20),-0.468932 # DEPENDENCYPART_ARC
(17,21),0.019123 # DEPENDENCYPART_ARC
(17,22),0.122094 # DEPENDENCYPART_ARC
(17,23),-1.91591 # DEPENDENCYPART_ARC
(17,24),-1.21264 # DEPENDENCYPART_ARC
(17,26),-0.920991 # DEPENDENCYPART_ARC
(17,28),-1.29611 # DEPENDENCYPART_ARC
(17,29),-0.675176 # DEPENDENCYPART_ARC
(17,32),-1.04485 # DEPENDENCYPART_ARC
(18,21),-0.252642 # DEPENDENCYPART_ARC
(18,23),-1.25238 # DEPENDENCYPART_ARC
(19,18),0.672421 # DEPENDENCYPART_ARC
(20,18),-0.331982 # DEPENDENCYPART_ARC
(20,19),1.37856 # DEPENDENCYPART_ARC
(20,21),-0.313592 # DEPENDENCYPART_ARC
(20,22),-0.683235 # DEPENDENCYPART_ARC
(20,23),-0.993295 # DEPENDENCYPART_ARC
(21,2),-1.36869 # DEPENDENCYPART_ARC
(21,20),-0.457028 # DEPENDENCYPART_ARC
(21,22),-0.26811 # DEPENDENCYPART_ARC
(21,23),-0.942074 # DEPENDENCYPART_ARC
(21,24),-1.1708 # DEPENDENCYPART_ARC
(21,29),-0.831957 # DEPENDENCYPART_ARC
(22,21),0.778823 # DEPENDENCYPART_ARC
(22,23),2.05534 # DEPENDENCYPART_ARC
(22,26),-0.109604 # DEPENDENCYPART_ARC
(22,28),-0.65813 # DEPENDENCYPART_ARC
(22,32),-0.966707 # DEPENDENCYPART_ARC
(23,3),-1.20062 # DEPENDENCYPART_ARC
(23,4),-1.3114 # DEPENDENCYPART_ARC
(23,6),-1.09079 # DEPENDENCYPART_ARC
(23,8),-1.8566 # DEPENDENCYPART_ARC
(23,9),-0.76284 # DEPENDENCYPART_ARC
(23,11),-1.73796 # DEPENDENCYPART_ARC
(23,14),-1.50979 # DEPENDENCYPART_ARC
(23,15),-0.751709 # DEPENDENCYPART_ARC
(23,17),-2.09309 # DEPENDENCYPART_ARC
(23,18),-0.70497 # DEPENDENCYPART_ARC
(23,19),-1.33916 # DEPENDENCYPART_ARC
(23,20),-0.440204 # DEPENDENCYPART_ARC
(23,21),0.181128 # DEPENDENCYPART_ARC
(23,22),-0.0865786 # DEPENDENCYPART_ARC
(23,24),1.7419 # DEPENDENCYPART_ARC
(23,25),-0.318525 # DEPENDENCYPART_ARC
(23,26),0.690972 # DEPENDENCYPART_ARC
(23,27),-0.951404 # DEPENDENCYPART_ARC
(23,28),-0.693184 # DEPENDENCYPART_ARC
(23,29),-0.421655 # DEPENDENCYPART_ARC
(23,32),-0.366861 # DEPENDENCYPART_ARC
