# _root_ Επίσης , η περιοχή έχει χαρακτηριστεί μόνιμο καταφύγιο άγριων ζώων , ενώ ανάλογης ποικιλότητας και σημασίας είναι και η πανίδα της .
#goldHeads=12,12,4,6,6,12,8,6,10,8,12,0,15,15,17,15,12,20,20,17,20,0,
#predictedHeads=6,6,4,6,6,12,8,6,10,8,12,0,14,15,17,15,12,20,20,17,20,0,
(0,1),-0.247571 # DEPENDENCYPART_ARC
(0,2),-0.150872 # DEPENDENCYPART_ARC
(0,4),-0.506463 # DEPENDENCYPART_ARC
(0,5),0.46766 # DEPENDENCYPART_ARC
(0,6),-0.695636 # DEPENDENCYPART_ARC
(0,11),9.44116e-06 # DEPENDENCYPART_ARC
(0,12),0.633979 # DEPENDENCYPART_ARC
(0,15),-0.569599 # DEPENDENCYPART_ARC
(0,16),-1.40046 # DEPENDENCYPART_ARC
(0,17),0.43441 # DEPENDENCYPART_ARC
(0,18),-0.60027 # DEPENDENCYPART_ARC
(0,20),-1.14936 # DEPENDENCYPART_ARC
(0,22),2.92605 # DEPENDENCYPART_ARC
(1,2),-0.213489 # DEPENDENCYPART_ARC
(1,4),-0.997028 # DEPENDENCYPART_ARC
(1,5),-0.949601 # DEPENDENCYPART_ARC
(2,1),-0.639427 # DEPENDENCYPART_ARC
(2,4),-0.905915 # DEPENDENCYPART_ARC
(2,5),-0.942358 # DEPENDENCYPART_ARC
(4,1),-0.988958 # DEPENDENCYPART_ARC
(4,2),-0.537017 # DEPENDENCYPART_ARC
(4,3),2.51751 # DEPENDENCYPART_ARC
(4,5),-0.509769 # DEPENDENCYPART_ARC
(4,6),-0.677399 # DEPENDENCYPART_ARC
(4,7),-1.81172 # DEPENDENCYPART_ARC
(5,1),-0.0933405 # DEPENDENCYPART_ARC
(5,2),0.100831 # DEPENDENCYPART_ARC
(5,3),-1.05881 # DEPENDENCYPART_ARC
(5,4),0.505324 # DEPENDENCYPART_ARC
(5,6),-0.928752 # DEPENDENCYPART_ARC
(5,7),-1.08871 # DEPENDENCYPART_ARC
(5,8),-0.381366 # DEPENDENCYPART_ARC
(5,10),-2.33342 # DEPENDENCYPART_ARC
(5,11),-0.781613 # DEPENDENCYPART_ARC
(5,20),-1.56374 # DEPENDENCYPART_ARC
(5,22),-0.78804 # DEPENDENCYPART_ARC
(6,1),0.598707 # DEPENDENCYPART_ARC
(6,2),0.507552 # DEPENDENCYPART_ARC
(6,3),-0.436678 # DEPENDENCYPART_ARC
(6,4),1.26432 # DEPENDENCYPART_ARC
(6,5),3.11427 # DEPENDENCYPART_ARC
(6,7),0.835589 # DEPENDENCYPART_ARC
(6,8),1.73647 # DEPENDENCYPART_ARC
(6,9),-1.04852 # DEPENDENCYPART_ARC
(6,10),-0.662194 # DEPENDENCYPART_ARC
(6,11),-0.0571638 # DEPENDENCYPART_ARC
(6,12),-0.122417 # DEPENDENCYPART_ARC
(6,13),-1.67949 # DEPENDENCYPART_ARC
(6,14),-1.40055 # DEPENDENCYPART_ARC
(6,15),-0.183957 # DEPENDENCYPART_ARC
(6,16),-1.66905 # DEPENDENCYPART_ARC
(6,17),-2.70692 # DEPENDENCYPART_ARC
(6,18),-0.760303 # DEPENDENCYPART_ARC
(6,20),-0.820576 # DEPENDENCYPART_ARC
(6,22),-0.479943 # DEPENDENCYPART_ARC
(7,6),-1.71204 # DEPENDENCYPART_ARC
(7,8),-0.342651 # DEPENDENCYPART_ARC
(7,9),-0.136436 # DEPENDENCYPART_ARC
(7,10),-0.13143 # DEPENDENCYPART_ARC
(8,3),-0.664659 # DEPENDENCYPART_ARC
(8,4),-1.11002 # DEPENDENCYPART_ARC
(8,5),-2.0243 # DEPENDENCYPART_ARC
(8,6),0.141182 # DEPENDENCYPART_ARC
(8,7),2.38833 # DEPENDENCYPART_ARC
(8,9),-0.0428051 # DEPENDENCYPART_ARC
(8,10),0.710021 # DEPENDENCYPART_ARC
(8,11),-0.214082 # DEPENDENCYPART_ARC
(8,12),-0.337439 # DEPENDENCYPART_ARC
(8,13),-0.704461 # DEPENDENCYPART_ARC
(8,14),0.0101488 # DEPENDENCYPART_ARC
(8,15),-0.353353 # DEPENDENCYPART_ARC
(8,16),-0.340417 # DEPENDENCYPART_ARC
(8,17),-1.69486 # DEPENDENCYPART_ARC
(8,18),-0.676441 # DEPENDENCYPART_ARC
(9,7),-0.960885 # DEPENDENCYPART_ARC
(9,8),-0.26281 # DEPENDENCYPART_ARC
(9,10),0.0588059 # DEPENDENCYPART_ARC
(10,1),-0.789047 # DEPENDENCYPART_ARC
(10,3),-2.13583 # DEPENDENCYPART_ARC
(10,6),-0.445651 # DEPENDENCYPART_ARC
