# _root_ Πιστεύω ότι αξίζει στ' αλήθεια τον κόπο να συνεχίσουμε το πρόγραμμα αυτό και , αν είναι δυνατόν , να αυξήσουμε τους σχετικούς πόρους .
#goldHeads=0,1,13,3,4,7,3,9,3,11,9,11,2,15,13,15,16,13,20,13,23,23,20,0,
#predictedHeads=0,1,2,5,3,7,3,9,7,11,9,11,15,15,9,15,16,15,20,16,23,23,20,0,
(0,1),0.865708 # DEPENDENCYPART_ARC
(0,2),-0.651896 # DEPENDENCYPART_ARC
(0,3),-0.17046 # DEPENDENCYPART_ARC
(0,5),-0.809479 # DEPENDENCYPART_ARC
(0,9),-1.04167 # DEPENDENCYPART_ARC
(0,12),-1.14152 # DEPENDENCYPART_ARC
(0,13),-0.587914 # DEPENDENCYPART_ARC
(0,14),-0.121511 # DEPENDENCYPART_ARC
(0,15),-0.371984 # DEPENDENCYPART_ARC
(0,16),-0.57136 # DEPENDENCYPART_ARC
(0,17),-1.34651 # DEPENDENCYPART_ARC
(0,18),-0.0626853 # DEPENDENCYPART_ARC
(0,20),-1.57524 # DEPENDENCYPART_ARC
(0,24),3.02517 # DEPENDENCYPART_ARC
(1,2),1.06133 # DEPENDENCYPART_ARC
(1,3),-0.0825444 # DEPENDENCYPART_ARC
(1,4),-1.4971 # DEPENDENCYPART_ARC
(1,5),-0.376617 # DEPENDENCYPART_ARC
(1,7),-1.12902 # DEPENDENCYPART_ARC
(1,9),-0.307295 # DEPENDENCYPART_ARC
(1,14),-0.356858 # DEPENDENCYPART_ARC
(1,15),-0.649809 # DEPENDENCYPART_ARC
(1,18),-0.419257 # DEPENDENCYPART_ARC
(1,24),-0.133564 # DEPENDENCYPART_ARC
(2,3),1.91547 # DEPENDENCYPART_ARC
(2,9),-0.284098 # DEPENDENCYPART_ARC
(2,13),-0.175148 # DEPENDENCYPART_ARC
(2,14),-0.475152 # DEPENDENCYPART_ARC
(2,16),0.0436707 # DEPENDENCYPART_ARC
(2,18),-0.555037 # DEPENDENCYPART_ARC
(2,20),-1.04391 # DEPENDENCYPART_ARC
(3,1),-0.788513 # DEPENDENCYPART_ARC
(3,2),-0.146298 # DEPENDENCYPART_ARC
(3,5),1.20392 # DEPENDENCYPART_ARC
(3,7),0.199717 # DEPENDENCYPART_ARC
(3,9),0.0791058 # DEPENDENCYPART_ARC
(3,11),-1.18101 # DEPENDENCYPART_ARC
(3,13),-0.561898 # DEPENDENCYPART_ARC
(3,14),-0.435715 # DEPENDENCYPART_ARC
(3,15),-0.781165 # DEPENDENCYPART_ARC
(3,17),-1.21883 # DEPENDENCYPART_ARC
(3,18),-0.413661 # DEPENDENCYPART_ARC
(3,20),-0.760213 # DEPENDENCYPART_ARC
(3,22),-2.5019 # DEPENDENCYPART_ARC
(3,23),-2.01926 # DEPENDENCYPART_ARC
(3,24),-0.3008 # DEPENDENCYPART_ARC
(4,5),0.164561 # DEPENDENCYPART_ARC
(4,7),-0.807995 # DEPENDENCYPART_ARC
(5,1),-2.83836 # DEPENDENCYPART_ARC
(5,4),1.68697 # DEPENDENCYPART_ARC
(5,6),-0.619294 # DEPENDENCYPART_ARC
(5,7),-0.370885 # DEPENDENCYPART_ARC
(5,8),-0.717354 # DEPENDENCYPART_ARC
(5,9),-0.41779 # DEPENDENCYPART_ARC
(5,11),-1.80884 # DEPENDENCYPART_ARC
(7,4),-0.42748 # DEPENDENCYPART_ARC
(7,5),-0.326866 # DEPENDENCYPART_ARC
(7,6),2.18659 # DEPENDENCYPART_ARC
(7,8),-0.205895 # DEPENDENCYPART_ARC
(7,9),-0.502868 # DEPENDENCYPART_ARC
(7,11),-1.27397 # DEPENDENCYPART_ARC
(7,13),-0.531235 # DEPENDENCYPART_ARC
(7,15),-0.69806 # DEPENDENCYPART_ARC
(8,9),-0.110912 # DEPENDENCYPART_ARC
(8,11),-1.05377 # DEPENDENCYPART_ARC
(9,1),-1.87103 # DEPENDENCYPART_ARC
(9,2),-1.01216 # DEPENDENCYPART_ARC
(9,3),-1.13655 # DEPENDENCYPART_ARC
(9,4),-1.16668 # DEPENDENCYPART_ARC
(9,5),-0.735465 # DEPENDENCYPART_ARC
(9,6),-1.31806 # DEPENDENCYPART_ARC
(9,7),-1.0128 # DEPENDENCYPART_ARC
(9,8),1.73692 # DEPENDENCYPART_ARC
(9,10),-0.50337 # DEPENDENCYPART_ARC
(9,11),0.947819 # DEPENDENCYPART_ARC
(9,12),-0.308983 # DEPENDENCYPART_ARC
(9,13),0.00577251 # DEPENDENCYPART_ARC
(9,14),0.0600143 # DEPENDENCYPART_ARC
(9,15),-0.0491448 # DEPENDENCYPART_ARC
(9,16),-2.12795 # DEPENDENCYPART_ARC
(9,17),-1.25657 # DEPENDENCYPART_ARC
(9,18),-0.369882 # DEPENDENCYPART_ARC
(9,20),-1.16629 # DEPENDENCYPART_ARC
(9,23),-1.39327 # DEPENDENCYPART_ARC
(9,24),-0.263468 # DEPENDENCYPART_ARC
(11,6),-0.568597 # DEPENDENCYPART_ARC
(11,7),-0.746445 # DEPENDENCYPART_ARC
(11,9),-1.12717 # DEPENDENCYPART_ARC
(11,10),2.56261 # DEPENDENCYPART_ARC
(11,12),1.05771 # DEPENDENCYPART_ARC
(11,13),-0.0436645 # DEPENDENCYPART_ARC
(11,14),-0.108369 # DEPENDENCYPART_ARC
(11,15),-0.234042 # DEPENDENCYPART_ARC
(11,16),-0.582077 # DEPENDENCYPART_ARC
(11,17),-0.844612 # DEPENDENCYPART_ARC
(11,20),-0.961362 # DEPENDENCYPART_ARC
(11,23),-1.81177 # DEPENDENCYPART_ARC
(12,13),-0.0651064 # DEPENDENCYPART_ARC
(12,14),-0.624505 # DEPENDENCYPART_ARC
(12,16),-1.40827 # DEPENDENCYPART_ARC
(13,1),-0.615905 # DEPENDENCYPART_ARC
(13,2),-0.14258 # DEPENDENCYPART_ARC
(13,3),-0.493016 # DEPENDENCYPART_ARC
(13,4),-0.422295 # DEPENDENCYPART_ARC
(13,5),-0.71227 # DEPENDENCYPART_ARC
(13,7),-0.468052 # DEPENDENCYPART_ARC
(13,8),-0.643112 # DEPENDENCYPART_ARC
(13,9),0.271837 # DEPENDENCYPART_ARC
(13,10),-0.393905 # DEPENDENCYPART_ARC
(13,11),0.119856 # DEPENDENCYPART_ARC
(13,12),0.536408 # DEPENDENCYPART_ARC
(13,14),0.363949 # DEPENDENCYPART_ARC
(13,15),-0.175411 # DEPENDENCYPART_ARC
(13,16),0.164591 # DEPENDENCYPART_ARC
(13,17),-0.670502 # DEPENDENCYPART_ARC
(13,18),-0.566003 # DEPENDENCYPART_ARC
(13,20),-1.39133 # DEPENDENCYPART_ARC
(13,23),-1.46507 # DEPENDENCYPART_ARC
(14,1),-1.15782 # DEPENDENCYPART_ARC
(14,11),-1.06362 # DEPENDENCYPART_ARC
(14,13),-0.284242 # DEPENDENCYPART_ARC
(14,15),-0.47717 # DEPENDENCYPART_ARC
(14,17),-1.366 # DEPENDENCYPART_ARC
(15,13),0.0176762 # DEPENDENCYPART_ARC
(15,14),0.827278 # DEPENDENCYPART_ARC
