# _root_ Επιπλέον , η ισπανική κοινωνία έχει να αντιμετωπίσει και τη βασκική ΕΤΑ , η οποία συνεχίζει τη δράση της παρά τις προσπάθειες εξάρθρωσής της .
#goldHeads=6,6,5,5,6,0,8,6,12,12,12,8,16,15,16,12,18,16,18,16,22,20,22,23,0,
#predictedHeads=6,6,5,5,6,0,8,6,8,12,9,8,16,15,16,12,18,16,18,16,22,20,22,23,0,
(0,1),-0.237071 # DEPENDENCYPART_ARC
(0,2),-0.174185 # DEPENDENCYPART_ARC
(0,4),-0.669788 # DEPENDENCYPART_ARC
(0,5),-0.643533 # DEPENDENCYPART_ARC
(0,6),0.648728 # DEPENDENCYPART_ARC
(0,8),-0.410653 # DEPENDENCYPART_ARC
(0,9),-0.730815 # DEPENDENCYPART_ARC
(0,11),-1.02603 # DEPENDENCYPART_ARC
(0,12),-0.672856 # DEPENDENCYPART_ARC
(0,13),-0.105763 # DEPENDENCYPART_ARC
(0,16),-0.716006 # DEPENDENCYPART_ARC
(0,23),-1.27727 # DEPENDENCYPART_ARC
(0,25),2.80308 # DEPENDENCYPART_ARC
(1,2),-0.196436 # DEPENDENCYPART_ARC
(1,4),-1.25251 # DEPENDENCYPART_ARC
(1,5),-1.05786 # DEPENDENCYPART_ARC
(1,6),-0.999872 # DEPENDENCYPART_ARC
(1,8),-1.43323 # DEPENDENCYPART_ARC
(1,9),-1.04113 # DEPENDENCYPART_ARC
(1,13),-1.08001 # DEPENDENCYPART_ARC
(1,16),-1.51315 # DEPENDENCYPART_ARC
(2,1),-0.587432 # DEPENDENCYPART_ARC
(2,4),-0.938688 # DEPENDENCYPART_ARC
(2,5),-1.17117 # DEPENDENCYPART_ARC
(2,6),-1.01759 # DEPENDENCYPART_ARC
(2,8),-1.34605 # DEPENDENCYPART_ARC
(2,9),-0.760681 # DEPENDENCYPART_ARC
(2,11),-1.56745 # DEPENDENCYPART_ARC
(2,13),-0.75848 # DEPENDENCYPART_ARC
(2,16),-1.19145 # DEPENDENCYPART_ARC
(3,9),-0.536172 # DEPENDENCYPART_ARC
(4,1),-0.705776 # DEPENDENCYPART_ARC
(4,2),-0.639482 # DEPENDENCYPART_ARC
(4,3),0.537254 # DEPENDENCYPART_ARC
(4,5),-0.762443 # DEPENDENCYPART_ARC
(4,6),-0.693813 # DEPENDENCYPART_ARC
(4,8),-1.05116 # DEPENDENCYPART_ARC
(5,1),-0.653756 # DEPENDENCYPART_ARC
(5,2),-0.413558 # DEPENDENCYPART_ARC
(5,3),2.52524 # DEPENDENCYPART_ARC
(5,4),2.51824 # DEPENDENCYPART_ARC
