# _root_ Το ζητούμενο δεν είναι μόνον ποιος θα επιτύχει τα περισσότερα , η Επιτροπή ή το Συμβούλιο η εμείς ως Κοινοβούλιο , όχι !
#goldHeads=2,4,4,21,4,11,8,4,10,8,8,13,17,17,16,17,11,17,18,19,0,21,21,
#predictedHeads=2,4,4,0,4,8,8,4,10,8,14,13,14,8,16,14,16,21,18,19,22,0,0,
(0,2),-0.325278 # DEPENDENCYPART_ARC
(0,4),0.568805 # DEPENDENCYPART_ARC
(0,5),-1.07884 # DEPENDENCYPART_ARC
(0,8),-0.664168 # DEPENDENCYPART_ARC
(0,10),-1.01893 # DEPENDENCYPART_ARC
(0,11),-0.0309173 # DEPENDENCYPART_ARC
(0,14),-1.22834 # DEPENDENCYPART_ARC
(0,21),-0.195334 # DEPENDENCYPART_ARC
(0,23),1.03257 # DEPENDENCYPART_ARC
(1,2),-0.663614 # DEPENDENCYPART_ARC
(2,1),2.53492 # DEPENDENCYPART_ARC
(2,4),-0.854019 # DEPENDENCYPART_ARC
(2,5),-0.77601 # DEPENDENCYPART_ARC
(2,8),-1.35084 # DEPENDENCYPART_ARC
(2,11),-0.549096 # DEPENDENCYPART_ARC
(2,14),-0.669297 # DEPENDENCYPART_ARC
(3,1),-0.403526 # DEPENDENCYPART_ARC
(4,1),-0.13569 # DEPENDENCYPART_ARC
(4,2),0.810846 # DEPENDENCYPART_ARC
(4,3),1.78192 # DEPENDENCYPART_ARC
(4,5),1.09632 # DEPENDENCYPART_ARC
(4,7),-0.366825 # DEPENDENCYPART_ARC
(4,8),0.196698 # DEPENDENCYPART_ARC
(4,10),-0.6778 # DEPENDENCYPART_ARC
(4,11),-0.302675 # DEPENDENCYPART_ARC
(4,13),-0.558403 # DEPENDENCYPART_ARC
(4,14),-0.318277 # DEPENDENCYPART_ARC
(4,16),-0.94916 # DEPENDENCYPART_ARC
(4,19),-0.951574 # DEPENDENCYPART_ARC
(4,20),-1.66964 # DEPENDENCYPART_ARC
(4,21),-0.587148 # DEPENDENCYPART_ARC
(4,23),-0.579706 # DEPENDENCYPART_ARC
(5,2),-1.04824 # DEPENDENCYPART_ARC
(5,4),-0.7302 # DEPENDENCYPART_ARC
(5,8),-0.797716 # DEPENDENCYPART_ARC
(5,11),-0.819792 # DEPENDENCYPART_ARC
(5,13),-1.67546 # DEPENDENCYPART_ARC
(8,2),0.109788 # DEPENDENCYPART_ARC
(8,4),-1.3009 # DEPENDENCYPART_ARC
(8,5),0.351372 # DEPENDENCYPART_ARC
(8,6),1.38337 # DEPENDENCYPART_ARC
(8,7),2.00051 # DEPENDENCYPART_ARC
(8,9),-0.252322 # DEPENDENCYPART_ARC
(8,10),-0.0963802 # DEPENDENCYPART_ARC
(8,11),0.093949 # DEPENDENCYPART_ARC
(8,13),0.298499 # DEPENDENCYPART_ARC
(8,14),0.196494 # DEPENDENCYPART_ARC
(8,16),-0.533204 # DEPENDENCYPART_ARC
(8,19),-0.700504 # DEPENDENCYPART_ARC
(8,20),-1.05437 # DEPENDENCYPART_ARC
(8,21),-0.285197 # DEPENDENCYPART_ARC
(8,23),-0.16822 # DEPENDENCYPART_ARC
(10,2),-0.740094 # DEPENDENCYPART_ARC
(10,5),-0.166357 # DEPENDENCYPART_ARC
(10,9),1.12389 # DEPENDENCYPART_ARC
(10,11),-0.212062 # DEPENDENCYPART_ARC
(10,13),-1.41479 # DEPENDENCYPART_ARC
(10,16),-1.84005 # DEPENDENCYPART_ARC
(11,2),-1.45534 # DEPENDENCYPART_ARC
(11,4),-1.10309 # DEPENDENCYPART_ARC
(11,5),-1.1584 # DEPENDENCYPART_ARC
