# _root_ Αποτελεί έναν από τους αγαπημένους προορισμούς των Κερκυραίων , καθώς συνδυάζει αστείρευτη φυσική ομορφιά με τη μαγεία της θάλασσας , ενώ απέχει ελάχιστα από την πόλη .
#goldHeads=21,1,2,6,6,3,8,6,10,1,10,14,14,11,11,17,15,19,17,21,0,21,22,22,26,24,0,
#predictedHeads=21,1,2,6,6,3,8,6,11,11,21,14,14,11,11,17,15,19,17,21,0,21,22,22,26,24,0,
(0,1),0.904359 # DEPENDENCYPART_ARC
(0,9),-0.289674 # DEPENDENCYPART_ARC
(0,11),-0.065075 # DEPENDENCYPART_ARC
(0,20),-0.382867 # DEPENDENCYPART_ARC
(0,21),1.07375 # DEPENDENCYPART_ARC
(0,22),-0.363447 # DEPENDENCYPART_ARC
(0,27),3.02412 # DEPENDENCYPART_ARC
(1,2),0.324234 # DEPENDENCYPART_ARC
(1,3),0.453767 # DEPENDENCYPART_ARC
(1,5),-1.32378 # DEPENDENCYPART_ARC
(1,6),-0.0664339 # DEPENDENCYPART_ARC
(1,8),-2.27837 # DEPENDENCYPART_ARC
(1,9),-0.140137 # DEPENDENCYPART_ARC
(1,10),-0.219792 # DEPENDENCYPART_ARC
(1,11),-1.07347 # DEPENDENCYPART_ARC
(1,15),-0.878038 # DEPENDENCYPART_ARC
(1,20),-0.7031 # DEPENDENCYPART_ARC
(1,21),-1.12443 # DEPENDENCYPART_ARC
(1,23),-1.68747 # DEPENDENCYPART_ARC
(1,27),-0.418951 # DEPENDENCYPART_ARC
(2,3),1.15956 # DEPENDENCYPART_ARC
(2,11),-1.02313 # DEPENDENCYPART_ARC
(3,1),-1.1093 # DEPENDENCYPART_ARC
(3,2),-0.606337 # DEPENDENCYPART_ARC
(3,4),0.0516845 # DEPENDENCYPART_ARC
(3,5),0.149887 # DEPENDENCYPART_ARC
(3,6),0.543972 # DEPENDENCYPART_ARC
(3,8),-0.0445063 # DEPENDENCYPART_ARC
(3,9),-0.344962 # DEPENDENCYPART_ARC
(3,10),-0.571768 # DEPENDENCYPART_ARC
(5,3),-0.694175 # DEPENDENCYPART_ARC
(5,4),0.990166 # DEPENDENCYPART_ARC
(5,6),-0.8901 # DEPENDENCYPART_ARC
(5,8),-0.590611 # DEPENDENCYPART_ARC
(6,1),-2.28362 # DEPENDENCYPART_ARC
(6,3),-0.649205 # DEPENDENCYPART_ARC
(6,4),2.18069 # DEPENDENCYPART_ARC
(6,5),2.9348 # DEPENDENCYPART_ARC
(6,7),-0.445117 # DEPENDENCYPART_ARC
(6,8),0.716042 # DEPENDENCYPART_ARC
(6,9),-0.220436 # DEPENDENCYPART_ARC
(6,10),-0.354644 # DEPENDENCYPART_ARC
(6,11),-0.996912 # DEPENDENCYPART_ARC
(6,12),-1.13368 # DEPENDENCYPART_ARC
(6,14),-1.96354 # DEPENDENCYPART_ARC
(6,15),-0.872345 # DEPENDENCYPART_ARC
(6,21),-0.675841 # DEPENDENCYPART_ARC
(6,24),-1.17638 # DEPENDENCYPART_ARC
(8,4),-1.51831 # DEPENDENCYPART_ARC
(8,5),-1.04786 # DEPENDENCYPART_ARC
(8,6),-1.51211 # DEPENDENCYPART_ARC
(8,7),2.39034 # DEPENDENCYPART_ARC
(8,9),-0.33186 # DEPENDENCYPART_ARC
(8,10),-0.59984 # DEPENDENCYPART_ARC
(8,11),-1.19686 # DEPENDENCYPART_ARC
(9,1),-1.10879 # DEPENDENCYPART_ARC
(9,3),-0.723132 # DEPENDENCYPART_ARC
(9,5),-1.13216 # DEPENDENCYPART_ARC
(9,6),-0.828345 # DEPENDENCYPART_ARC
(9,8),-0.524886 # DEPENDENCYPART_ARC
(9,10),-0.562898 # DEPENDENCYPART_ARC
(9,11),-1.00845 # DEPENDENCYPART_ARC
(9,12),-1.21564 # DEPENDENCYPART_ARC
(9,13),-1.28771 # DEPENDENCYPART_ARC
(9,14),-1.42727 # DEPENDENCYPART_ARC
(10,1),-1.43297 # DEPENDENCYPART_ARC
(10,3),-0.696918 # DEPENDENCYPART_ARC
(10,6),-1.0432 # DEPENDENCYPART_ARC
(10,7),-0.677783 # DEPENDENCYPART_ARC
(10,8),-0.752349 # DEPENDENCYPART_ARC
(10,9),0.276069 # DEPENDENCYPART_ARC
(10,11),0.0510423 # DEPENDENCYPART_ARC
(10,12),-1.15762 # DEPENDENCYPART_ARC
(10,13),-1.37215 # DEPENDENCYPART_ARC
(10,14),-1.30658 # DEPENDENCYPART_ARC
(10,15),-0.811959 # DEPENDENCYPART_ARC
(10,22),-1.01538 # DEPENDENCYPART_ARC
(11,1),-0.811824 # DEPENDENCYPART_ARC
(11,2),-0.593962 # DEPENDENCYPART_ARC
(11,3),-0.275123 # DEPENDENCYPART_ARC
(11,5),-0.744286 # DEPENDENCYPART_ARC
(11,6),-0.840888 # DEPENDENCYPART_ARC
(11,7),-1.9539 # DEPENDENCYPART_ARC
(11,8),-1.41608 # DEPENDENCYPART_ARC
(11,9),0.967354 # DEPENDENCYPART_ARC
(11,10),1.3358 # DEPENDENCYPART_ARC
(11,12),0.491635 # DEPENDENCYPART_ARC
(11,13),-0.358112 # DEPENDENCYPART_ARC
(11,14),1.10732 # DEPENDENCYPART_ARC
(11,15),0.440566 # DEPENDENCYPART_ARC
(11,17),-0.154701 # DEPENDENCYPART_ARC
(11,19),-1.93053 # DEPENDENCYPART_ARC
(11,20),0.0216878 # DEPENDENCYPART_ARC
(11,21),-0.174435 # DEPENDENCYPART_ARC
(11,22),-1.28145 # DEPENDENCYPART_ARC
(11,23),-1.34455 # DEPENDENCYPART_ARC
(11,24),-1.24925 # DEPENDENCYPART_ARC
(11,26),-1.54248 # DEPENDENCYPART_ARC
(11,27),-0.342931 # DEPENDENCYPART_ARC
(12,8),-1.92942 # DEPENDENCYPART_ARC
(12,9),-0.65209 # DEPENDENCYPART_ARC
(12,10),-0.229034 # DEPENDENCYPART_ARC
(12,11),-2.14069 # DEPENDENCYPART_ARC
(12,13),-0.908008 # DEPENDENCYPART_ARC
(12,14),-1.0979 # DEPENDENCYPART_ARC
(12,15),-0.283929 # DEPENDENCYPART_ARC
(12,17),-1.71624 # DEPENDENCYPART_ARC
(12,19),-0.80383 # DEPENDENCYPART_ARC
(12,22),-0.868628 # DEPENDENCYPART_ARC
(12,24),-0.750443 # DEPENDENCYPART_ARC
(13,10),-0.369602 # DEPENDENCYPART_ARC
(13,12),0.572216 # DEPENDENCYPART_ARC
(13,14),-0.548224 # DEPENDENCYPART_ARC
(13,15),-0.224584 # DEPENDENCYPART_ARC
(13,17),-1.60399 # DEPENDENCYPART_ARC
(13,19),-0.751058 # DEPENDENCYPART_ARC
(14,4),-2.02891 # DEPENDENCYPART_ARC
(14,7),-1.09718 # DEPENDENCYPART_ARC
(14,12),1.74972 # DEPENDENCYPART_ARC
(14,13),2.27972 # DEPENDENCYPART_ARC
(14,15),0.612336 # DEPENDENCYPART_ARC
(14,16),-0.736321 # DEPENDENCYPART_ARC
(14,17),-0.762777 # DEPENDENCYPART_ARC
(14,19),0.173381 # DEPENDENCYPART_ARC
(14,20),-0.308599 # DEPENDENCYPART_ARC
(14,21),-0.313411 # DEPENDENCYPART_ARC
(14,22),-0.987835 # DEPENDENCYPART_ARC
(14,23),-0.948343 # DEPENDENCYPART_ARC
(14,24),-0.936725 # DEPENDENCYPART_ARC
(15,14),-1.15764 # DEPENDENCYPART_ARC
(15,16),-0.201118 # DEPENDENCYPART_ARC
(15,17),1.10615 # DEPENDENCYPART_ARC
(15,19),-0.124936 # DEPENDENCYPART_ARC
(15,20),-0.595384 # DEPENDENCYPART_ARC
(15,21),-0.477719 # DEPENDENCYPART_ARC
(15,22),-1.37933 # DEPENDENCYPART_ARC
(17,7),-2.02328 # DEPENDENCYPART_ARC
(17,12),-0.404591 # DEPENDENCYPART_ARC
(17,13),-0.339529 # DEPENDENCYPART_ARC
(17,16),2.40745 # DEPENDENCYPART_ARC
(17,18),0.192676 # DEPENDENCYPART_ARC
(17,19),1.46899 # DEPENDENCYPART_ARC
(17,20),-0.146293 # DEPENDENCYPART_ARC
(17,21),-0.236987 # DEPENDENCYPART_ARC
(17,22),-0.730903 # DEPENDENCYPART_ARC
(17,23),-0.726155 # DEPENDENCYPART_ARC
(17,24),-0.924591 # DEPENDENCYPART_ARC
(17,26),-1.68467 # DEPENDENCYPART_ARC
(19,13),-1.87465 # DEPENDENCYPART_ARC
(19,16),-0.767618 # DEPENDENCYPART_ARC
