# _root_ Ιδιαίτερα , όσον αφορά μια μελλοντική συνεργασία βασισμένη στις δημοκρατικές αρχές των ανθρωπίνων δικαιωμάτων , των θεμελιωδών ελευθεριών και του κράτους δικαίου .
#goldHeads=4,4,4,0,7,7,4,7,8,11,9,14,14,19,19,18,18,19,11,21,19,21,0,
#predictedHeads=4,4,4,0,7,7,4,7,8,11,9,14,14,11,19,18,18,19,11,22,22,19,0,
(0,1),-0.250214 # DEPENDENCYPART_ARC
(0,2),-0.171395 # DEPENDENCYPART_ARC
(0,3),-0.771928 # DEPENDENCYPART_ARC
(0,4),0.0596887 # DEPENDENCYPART_ARC
(0,6),-0.938818 # DEPENDENCYPART_ARC
(0,7),-1.06885 # DEPENDENCYPART_ARC
(0,8),-1.12684 # DEPENDENCYPART_ARC
(0,9),-1.03935 # DEPENDENCYPART_ARC
(0,15),-0.182924 # DEPENDENCYPART_ARC
(0,19),-0.661312 # DEPENDENCYPART_ARC
(0,23),2.91996 # DEPENDENCYPART_ARC
(1,2),-0.17007 # DEPENDENCYPART_ARC
(1,3),-0.824912 # DEPENDENCYPART_ARC
(1,8),-1.41636 # DEPENDENCYPART_ARC
(2,1),-0.179712 # DEPENDENCYPART_ARC
(2,3),-0.56839 # DEPENDENCYPART_ARC
(2,4),-1.02858 # DEPENDENCYPART_ARC
(2,6),-1.36813 # DEPENDENCYPART_ARC
(2,7),-1.58689 # DEPENDENCYPART_ARC
(2,8),-1.35375 # DEPENDENCYPART_ARC
(2,9),-1.22104 # DEPENDENCYPART_ARC
(3,1),-0.470248 # DEPENDENCYPART_ARC
(3,2),-0.0888949 # DEPENDENCYPART_ARC
(3,4),-0.187605 # DEPENDENCYPART_ARC
(3,6),-1.48105 # DEPENDENCYPART_ARC
(3,7),-1.43188 # DEPENDENCYPART_ARC
(3,8),-1.17006 # DEPENDENCYPART_ARC
(3,15),-0.95746 # DEPENDENCYPART_ARC
(4,1),0.521018 # DEPENDENCYPART_ARC
(4,2),0.821665 # DEPENDENCYPART_ARC
(4,3),1.57132 # DEPENDENCYPART_ARC
(4,6),-1.02025 # DEPENDENCYPART_ARC
(4,7),0.337611 # DEPENDENCYPART_ARC
(4,8),0.27313 # DEPENDENCYPART_ARC
(4,10),-2.23776 # DEPENDENCYPART_ARC
(4,11),-1.32122 # DEPENDENCYPART_ARC
(4,13),-2.93293 # DEPENDENCYPART_ARC
(4,14),-3.11482 # DEPENDENCYPART_ARC
(4,15),-0.652032 # DEPENDENCYPART_ARC
(4,17),-3.50501 # DEPENDENCYPART_ARC
(4,19),-0.496437 # DEPENDENCYPART_ARC
(4,21),-3.33168 # DEPENDENCYPART_ARC
(4,22),-3.58069 # DEPENDENCYPART_ARC
(4,23),-0.472127 # DEPENDENCYPART_ARC
(6,1),-0.889206 # DEPENDENCYPART_ARC
(6,3),-0.65442 # DEPENDENCYPART_ARC
(6,5),0.185859 # DEPENDENCYPART_ARC
(6,7),-0.368029 # DEPENDENCYPART_ARC
(6,8),-0.523994 # DEPENDENCYPART_ARC
(6,9),-0.544884 # DEPENDENCYPART_ARC
(6,11),-1.71585 # DEPENDENCYPART_ARC
(7,1),-0.837279 # DEPENDENCYPART_ARC
(7,2),-0.613267 # DEPENDENCYPART_ARC
(7,3),-0.68981 # DEPENDENCYPART_ARC
(7,5),2.27588 # DEPENDENCYPART_ARC
(7,6),2.50553 # DEPENDENCYPART_ARC
(7,8),0.496512 # DEPENDENCYPART_ARC
(7,9),-0.529602 # DEPENDENCYPART_ARC
(7,10),-1.42392 # DEPENDENCYPART_ARC
(7,11),-1.50261 # DEPENDENCYPART_ARC
(8,1),-0.560239 # DEPENDENCYPART_ARC
(8,2),-0.338965 # DEPENDENCYPART_ARC
(8,3),-0.420203 # DEPENDENCYPART_ARC
(8,4),-1.69074 # DEPENDENCYPART_ARC
(8,5),-1.14958 # DEPENDENCYPART_ARC
(8,6),-0.0029572 # DEPENDENCYPART_ARC
(8,7),-0.0381982 # DEPENDENCYPART_ARC
(8,9),1.77572 # DEPENDENCYPART_ARC
(8,10),-0.79109 # DEPENDENCYPART_ARC
(8,11),-2.18976 # DEPENDENCYPART_ARC
(8,13),-2.01047 # DEPENDENCYPART_ARC
(8,14),-4.17676 # DEPENDENCYPART_ARC
(8,15),-0.22406 # DEPENDENCYPART_ARC
(8,17),-4.40864 # DEPENDENCYPART_ARC
(8,18),-4.39026 # DEPENDENCYPART_ARC
(8,19),-0.19846 # DEPENDENCYPART_ARC
(8,22),-4.72179 # DEPENDENCYPART_ARC
(8,23),-0.123944 # DEPENDENCYPART_ARC
(9,10),1.06053 # DEPENDENCYPART_ARC
(9,11),1.81505 # DEPENDENCYPART_ARC
(10,11),-0.617186 # DEPENDENCYPART_ARC
(10,13),-1.12639 # DEPENDENCYPART_ARC
(10,14),-0.594758 # DEPENDENCYPART_ARC
(10,19),-0.214038 # DEPENDENCYPART_ARC
(11,1),-1.02808 # DEPENDENCYPART_ARC
(11,2),-0.778389 # DEPENDENCYPART_ARC
(11,3),-1.02582 # DEPENDENCYPART_ARC
(11,5),-0.355975 # DEPENDENCYPART_ARC
(11,6),0.0321601 # DEPENDENCYPART_ARC
(11,7),-1.47911 # DEPENDENCYPART_ARC
(11,8),0.627761 # DEPENDENCYPART_ARC
(11,9),-0.122718 # DEPENDENCYPART_ARC
(11,10),2.60603 # DEPENDENCYPART_ARC
(11,12),-0.265409 # DEPENDENCYPART_ARC
(11,13),-0.464725 # DEPENDENCYPART_ARC
(11,14),0.183124 # DEPENDENCYPART_ARC
(11,15),-0.260095 # DEPENDENCYPART_ARC
(11,17),-0.385861 # DEPENDENCYPART_ARC
(11,18),-0.511046 # DEPENDENCYPART_ARC
(11,19),-0.223027 # DEPENDENCYPART_ARC
(11,22),-0.68754 # DEPENDENCYPART_ARC
(13,11),-1.6401 # DEPENDENCYPART_ARC
(13,12),1.16851 # DEPENDENCYPART_ARC
(13,14),0.0780446 # DEPENDENCYPART_ARC
(13,15),-0.72668 # DEPENDENCYPART_ARC
(13,17),-1.11123 # DEPENDENCYPART_ARC
(13,18),-1.14238 # DEPENDENCYPART_ARC
(13,22),-1.24823 # DEPENDENCYPART_ARC
(14,1),-0.848542 # DEPENDENCYPART_ARC
(14,3),-0.842407 # DEPENDENCYPART_ARC
(14,7),-2.93475 # DEPENDENCYPART_ARC
(14,10),-0.502424 # DEPENDENCYPART_ARC
(14,11),-1.90759 # DEPENDENCYPART_ARC
(14,12),2.20941 # DEPENDENCYPART_ARC
