# _root_ Τα τελευταία χρόνια , η δημιουργία Συνεδριακού Κέντρου , δυναμικότητας 1000 συνέδρων έδωσε σημαντική ώθηση στην τουριστική ανάπτυξη της περιοχής .
#goldHeads=3,3,13,13,6,13,8,6,13,8,12,10,0,15,13,13,18,16,20,18,0,
#predictedHeads=3,3,4,13,6,13,8,6,13,8,12,10,0,15,13,13,18,16,20,18,0,
(0,2),-0.560536 # DEPENDENCYPART_ARC
(0,3),-0.406347 # DEPENDENCYPART_ARC
(0,4),-0.0615673 # DEPENDENCYPART_ARC
(0,6),-0.862766 # DEPENDENCYPART_ARC
(0,7),-1.03044 # DEPENDENCYPART_ARC
(0,8),-1.07453 # DEPENDENCYPART_ARC
(0,9),0.0757691 # DEPENDENCYPART_ARC
(0,10),-0.967919 # DEPENDENCYPART_ARC
(0,11),-0.990063 # DEPENDENCYPART_ARC
(0,12),-1.27978 # DEPENDENCYPART_ARC
(0,13),0.837695 # DEPENDENCYPART_ARC
(0,14),-1.16203 # DEPENDENCYPART_ARC
(0,15),-1.31176 # DEPENDENCYPART_ARC
(0,20),-1.69607 # DEPENDENCYPART_ARC
(0,21),2.78481 # DEPENDENCYPART_ARC
(1,3),-1.17026 # DEPENDENCYPART_ARC
(2,1),1.20234 # DEPENDENCYPART_ARC
(2,3),-0.342909 # DEPENDENCYPART_ARC
(2,4),-0.637837 # DEPENDENCYPART_ARC
(2,6),-1.42676 # DEPENDENCYPART_ARC
(2,8),-0.582227 # DEPENDENCYPART_ARC
(3,1),2.55869 # DEPENDENCYPART_ARC
(3,2),2.64939 # DEPENDENCYPART_ARC
(3,4),-0.378224 # DEPENDENCYPART_ARC
(3,5),-1.61714 # DEPENDENCYPART_ARC
(3,6),-1.04446 # DEPENDENCYPART_ARC
(3,7),-1.02065 # DEPENDENCYPART_ARC
(3,8),-0.40589 # DEPENDENCYPART_ARC
(3,9),-0.854413 # DEPENDENCYPART_ARC
(3,11),-1.01282 # DEPENDENCYPART_ARC
(3,13),-2.02141 # DEPENDENCYPART_ARC
(4,2),-1.04617 # DEPENDENCYPART_ARC
(4,3),-0.369346 # DEPENDENCYPART_ARC
(4,6),-0.721098 # DEPENDENCYPART_ARC
(4,7),-0.9745 # DEPENDENCYPART_ARC
(4,8),-1.00936 # DEPENDENCYPART_ARC
(4,9),-0.377367 # DEPENDENCYPART_ARC
(4,10),-1.37558 # DEPENDENCYPART_ARC
(4,13),-0.893695 # DEPENDENCYPART_ARC
(4,14),-1.42943 # DEPENDENCYPART_ARC
(6,1),-2.32002 # DEPENDENCYPART_ARC
(6,2),-1.79709 # DEPENDENCYPART_ARC
(6,3),-2.581 # DEPENDENCYPART_ARC
(6,4),-0.758739 # DEPENDENCYPART_ARC
(6,5),2.3155 # DEPENDENCYPART_ARC
(6,7),-0.211429 # DEPENDENCYPART_ARC
(6,8),1.29698 # DEPENDENCYPART_ARC
(6,9),-0.0500977 # DEPENDENCYPART_ARC
(6,10),0.416339 # DEPENDENCYPART_ARC
(6,11),-0.1239 # DEPENDENCYPART_ARC
(6,12),-0.0779012 # DEPENDENCYPART_ARC
(6,13),-1.48156 # DEPENDENCYPART_ARC
(6,15),-1.7677 # DEPENDENCYPART_ARC
(6,16),-0.614232 # DEPENDENCYPART_ARC
(7,3),-0.94391 # DEPENDENCYPART_ARC
(7,4),-0.524603 # DEPENDENCYPART_ARC
(7,5),-0.0199459 # DEPENDENCYPART_ARC
(7,6),-0.291401 # DEPENDENCYPART_ARC
(7,8),0.154482 # DEPENDENCYPART_ARC
(7,9),-0.636125 # DEPENDENCYPART_ARC
(7,10),-0.669769 # DEPENDENCYPART_ARC
(7,12),-0.687144 # DEPENDENCYPART_ARC
(7,13),-1.29412 # DEPENDENCYPART_ARC
(7,16),-1.55834 # DEPENDENCYPART_ARC
(8,1),-1.74818 # DEPENDENCYPART_ARC
(8,2),-1.45443 # DEPENDENCYPART_ARC
(8,3),-2.07017 # DEPENDENCYPART_ARC
(8,4),-0.553705 # DEPENDENCYPART_ARC
(8,5),-0.227051 # DEPENDENCYPART_ARC
(8,6),-0.592055 # DEPENDENCYPART_ARC
(8,7),1.96327 # DEPENDENCYPART_ARC
(8,9),-0.468408 # DEPENDENCYPART_ARC
(8,10),0.487372 # DEPENDENCYPART_ARC
(8,11),-0.735251 # DEPENDENCYPART_ARC
(8,12),-0.604616 # DEPENDENCYPART_ARC
(8,13),-1.61625 # DEPENDENCYPART_ARC
(8,16),-1.83875 # DEPENDENCYPART_ARC
(9,2),-1.1658 # DEPENDENCYPART_ARC
(9,3),-0.911051 # DEPENDENCYPART_ARC
(9,4),-0.530779 # DEPENDENCYPART_ARC
(9,6),-0.785774 # DEPENDENCYPART_ARC
(9,7),-0.779797 # DEPENDENCYPART_ARC
(9,8),-0.186947 # DEPENDENCYPART_ARC
(9,10),-0.249216 # DEPENDENCYPART_ARC
(9,11),-0.789042 # DEPENDENCYPART_ARC
(9,12),-1.08711 # DEPENDENCYPART_ARC
(9,13),-1.01391 # DEPENDENCYPART_ARC
(9,14),-1.43239 # DEPENDENCYPART_ARC
(9,16),-1.06615 # DEPENDENCYPART_ARC
(9,18),-1.70849 # DEPENDENCYPART_ARC
(10,1),-3.61898 # DEPENDENCYPART_ARC
(10,3),-3.51768 # DEPENDENCYPART_ARC
(10,4),-1.52872 # DEPENDENCYPART_ARC
(10,5),-0.654728 # DEPENDENCYPART_ARC
(10,6),-2.05156 # DEPENDENCYPART_ARC
(10,7),-1.23299 # DEPENDENCYPART_ARC
(10,8),-0.946693 # DEPENDENCYPART_ARC
(10,9),-0.242036 # DEPENDENCYPART_ARC
(10,11),0.545211 # DEPENDENCYPART_ARC
(10,12),0.995351 # DEPENDENCYPART_ARC
(10,13),-0.94323 # DEPENDENCYPART_ARC
(10,14),-1.0111 # DEPENDENCYPART_ARC
(10,15),-1.0749 # DEPENDENCYPART_ARC
(10,16),-0.498606 # DEPENDENCYPART_ARC
(10,18),-1.58757 # DEPENDENCYPART_ARC
(10,20),-0.843093 # DEPENDENCYPART_ARC
(11,9),-0.327425 # DEPENDENCYPART_ARC
(11,10),-0.0173652 # DEPENDENCYPART_ARC
(11,12),-0.279195 # DEPENDENCYPART_ARC
(11,15),-1.40629 # DEPENDENCYPART_ARC
(12,4),-0.934607 # DEPENDENCYPART_ARC
(12,5),-1.49695 # DEPENDENCYPART_ARC
(12,6),-2.12809 # DEPENDENCYPART_ARC
(12,7),-1.53726 # DEPENDENCYPART_ARC
(12,8),-1.30752 # DEPENDENCYPART_ARC
(12,9),-0.590781 # DEPENDENCYPART_ARC
(12,10),-0.358575 # DEPENDENCYPART_ARC
(12,11),1.43713 # DEPENDENCYPART_ARC
(12,13),-1.23637 # DEPENDENCYPART_ARC
(12,14),-0.89288 # DEPENDENCYPART_ARC
(12,15),-1.33296 # DEPENDENCYPART_ARC
(12,16),-0.778835 # DEPENDENCYPART_ARC
(12,17),-1.27516 # DEPENDENCYPART_ARC
(12,18),-1.98537 # DEPENDENCYPART_ARC
(12,20),-1.13951 # DEPENDENCYPART_ARC
(13,2),-1.66886 # DEPENDENCYPART_ARC
(13,3),-1.62834 # DEPENDENCYPART_ARC
(13,4),0.206588 # DEPENDENCYPART_ARC
(13,6),0.0321572 # DEPENDENCYPART_ARC
(13,7),-2.53675 # DEPENDENCYPART_ARC
(13,8),-1.73058 # DEPENDENCYPART_ARC
(13,9),0.329108 # DEPENDENCYPART_ARC
(13,10),-1.01065 # DEPENDENCYPART_ARC
(13,11),-0.0123588 # DEPENDENCYPART_ARC
(13,12),-0.430878 # DEPENDENCYPART_ARC
(13,14),0.592589 # DEPENDENCYPART_ARC
(13,15),1.47869 # DEPENDENCYPART_ARC
(13,16),0.869218 # DEPENDENCYPART_ARC
(13,17),-0.808792 # DEPENDENCYPART_ARC
(13,18),0.239073 # DEPENDENCYPART_ARC
(13,20),-2.00056 # DEPENDENCYPART_ARC
(13,21),-0.0777096 # DEPENDENCYPART_ARC
(14,12),-1.52933 # DEPENDENCYPART_ARC
(14,15),-0.638365 # DEPENDENCYPART_ARC
(14,16),-0.55317 # DEPENDENCYPART_ARC
(14,17),-1.60909 # DEPENDENCYPART_ARC
(14,18),-1.65464 # DEPENDENCYPART_ARC
(14,20),-0.820423 # DEPENDENCYPART_ARC
(15,5),-1.09192 # DEPENDENCYPART_ARC
(15,10),-0.946067 # DEPENDENCYPART_ARC
(15,12),-1.34141 # DEPENDENCYPART_ARC
(15,13),-1.75473 # DEPENDENCYPART_ARC
(15,14),2.29023 # DEPENDENCYPART_ARC
(15,16),0.780334 # DEPENDENCYPART_ARC
(15,17),-0.62249 # DEPENDENCYPART_ARC
(15,18),-0.763886 # DEPENDENCYPART_ARC
(15,20),0.180929 # DEPENDENCYPART_ARC
(16,14),-0.945542 # DEPENDENCYPART_ARC
(16,17),0.552653 # DEPENDENCYPART_ARC
(16,18),1.90632 # DEPENDENCYPART_ARC
(16,20),-0.274049 # DEPENDENCYPART_ARC
(16,21),-0.519861 # DEPENDENCYPART_ARC
(17,15),-1.75016 # DEPENDENCYPART_ARC
(17,18),-0.566273 # DEPENDENCYPART_ARC
(17,20),-0.377074 # DEPENDENCYPART_ARC
(18,14),0.441968 # DEPENDENCYPART_ARC
(18,15),-0.79287 # DEPENDENCYPART_ARC
(18,16),-0.0586001 # DEPENDENCYPART_ARC
(18,17),2.27382 # DEPENDENCYPART_ARC
(18,19),0.107064 # DEPENDENCYPART_ARC
(18,20),1.4011 # DEPENDENCYPART_ARC
(18,21),-0.211255 # DEPENDENCYPART_ARC
(20,14),-1.96434 # DEPENDENCYPART_ARC
(20,15),-2.6024 # DEPENDENCYPART_ARC
(20,17),-1.33265 # DEPENDENCYPART_ARC
(20,18),-1.81299 # DEPENDENCYPART_ARC
(20,19),2.09939 # DEPENDENCYPART_ARC
(20,21),-0.359573 # DEPENDENCYPART_ARC
(21,18),-1.46101 # DEPENDENCYPART_ARC
(21,20),-1.16365 # DEPENDENCYPART_ARC
(0,2),(0,3),0.1523 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0793829 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.154784 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0156962 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.154782 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0793829 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.154784 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0394957 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.154784 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.250331 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0179217 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.154783 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.154784 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.313368 # DEPENDENCYPART_SIBL
