# _root_ Το Κάστρο βρίσκεται πάνω σε ένα γιγαντιαίο βράχο , κρεμασμένο πάνω από το πέλαγος , με πανοραμική θέα και αποτελεί ένα φυσικό φρούριο .
#goldHeads=2,19,19,3,4,8,8,5,10,3,10,11,14,12,10,2,18,16,0,19,23,23,20,0,
#predictedHeads=2,3,0,3,3,8,8,5,3,19,10,11,14,12,10,10,18,16,0,19,23,23,20,0,
(0,2),-0.297939 # DEPENDENCYPART_ARC
(0,3),0.874055 # DEPENDENCYPART_ARC
(0,9),-0.270061 # DEPENDENCYPART_ARC
(0,10),-0.613402 # DEPENDENCYPART_ARC
(0,15),-0.2584 # DEPENDENCYPART_ARC
(0,19),-0.188828 # DEPENDENCYPART_ARC
(0,20),-0.128079 # DEPENDENCYPART_ARC
(0,24),2.8832 # DEPENDENCYPART_ARC
(2,1),2.04069 # DEPENDENCYPART_ARC
(2,4),-0.814124 # DEPENDENCYPART_ARC
(3,1),-0.498167 # DEPENDENCYPART_ARC
(3,2),0.655131 # DEPENDENCYPART_ARC
(3,4),1.05655 # DEPENDENCYPART_ARC
(3,5),0.649649 # DEPENDENCYPART_ARC
(3,7),-1.02681 # DEPENDENCYPART_ARC
(3,8),-0.432364 # DEPENDENCYPART_ARC
(3,9),0.0773231 # DEPENDENCYPART_ARC
(3,10),0.827025 # DEPENDENCYPART_ARC
(3,11),-0.571231 # DEPENDENCYPART_ARC
(3,12),-0.932994 # DEPENDENCYPART_ARC
(3,14),-1.97039 # DEPENDENCYPART_ARC
(3,15),-0.382297 # DEPENDENCYPART_ARC
(3,16),-0.823827 # DEPENDENCYPART_ARC
(3,19),-0.798658 # DEPENDENCYPART_ARC
(3,20),-2.46069 # DEPENDENCYPART_ARC
(3,23),-2.47514 # DEPENDENCYPART_ARC
(3,24),-0.394867 # DEPENDENCYPART_ARC
(4,1),-1.12301 # DEPENDENCYPART_ARC
(4,3),-0.752124 # DEPENDENCYPART_ARC
(4,5),0.502856 # DEPENDENCYPART_ARC
(4,7),-1.06914 # DEPENDENCYPART_ARC
(4,8),-1.02872 # DEPENDENCYPART_ARC
(4,9),-0.564141 # DEPENDENCYPART_ARC
(4,10),-1.04862 # DEPENDENCYPART_ARC
(4,12),-0.775642 # DEPENDENCYPART_ARC
(5,3),-0.962885 # DEPENDENCYPART_ARC
