# _root_ Πρότεινα να ξεκινήσει ο Πρόεδρός μας , παράλληλα με τις εργασίες της Συνέλευσης και σε συνεργασία με τα εθνικά κοινοβούλια , εκστρατεία με θέμα " Ας μιλήσουμε ανοιχτά " .
#goldHeads=0,3,1,5,3,5,14,14,8,11,9,13,11,3,14,15,16,20,20,17,14,3,22,23,27,27,24,27,27,0,
#predictedHeads=0,3,1,5,3,5,8,3,8,11,9,13,11,3,14,15,16,20,20,17,3,21,22,23,27,27,24,27,27,0,
(0,1),0.805571 # DEPENDENCYPART_ARC
(0,3),-0.53263 # DEPENDENCYPART_ARC
(0,7),-0.0411285 # DEPENDENCYPART_ARC
(0,8),-1.05504 # DEPENDENCYPART_ARC
(0,9),-1.1398 # DEPENDENCYPART_ARC
(0,27),-1.02403 # DEPENDENCYPART_ARC
(0,30),2.85554 # DEPENDENCYPART_ARC
(1,2),0.35359 # DEPENDENCYPART_ARC
(1,3),0.978141 # DEPENDENCYPART_ARC
(1,5),-0.416766 # DEPENDENCYPART_ARC
(1,7),-0.0676159 # DEPENDENCYPART_ARC
(1,8),-0.359891 # DEPENDENCYPART_ARC
(1,9),-0.589706 # DEPENDENCYPART_ARC
(1,11),-1.94576 # DEPENDENCYPART_ARC
(1,14),-0.404187 # DEPENDENCYPART_ARC
(1,15),-0.780507 # DEPENDENCYPART_ARC
(1,17),-0.869291 # DEPENDENCYPART_ARC
(1,21),-0.506251 # DEPENDENCYPART_ARC
(1,25),-0.115673 # DEPENDENCYPART_ARC
(1,28),-0.828024 # DEPENDENCYPART_ARC
(1,29),-0.139117 # DEPENDENCYPART_ARC
(1,30),-0.275154 # DEPENDENCYPART_ARC
(2,3),-0.246397 # DEPENDENCYPART_ARC
(2,5),-1.1117 # DEPENDENCYPART_ARC
(3,1),-1.36574 # DEPENDENCYPART_ARC
(3,2),1.87646 # DEPENDENCYPART_ARC
(3,4),-1.04392 # DEPENDENCYPART_ARC
(3,5),1.14308 # DEPENDENCYPART_ARC
(3,7),0.0852522 # DEPENDENCYPART_ARC
(3,8),-0.196591 # DEPENDENCYPART_ARC
(3,9),-0.0624355 # DEPENDENCYPART_ARC
(3,11),-0.81904 # DEPENDENCYPART_ARC
(3,13),-2.4037 # DEPENDENCYPART_ARC
(3,14),-0.227498 # DEPENDENCYPART_ARC
(3,15),-0.323209 # DEPENDENCYPART_ARC
(3,16),-1.4328 # DEPENDENCYPART_ARC
