# _root_ Υποστήριξη στις ΗΠΑ ως προς την πρόταση παραπομπής του Ιράν στο Συμβούλιο Ασφαλείας , εφόσον επαναληφθεί ο εμπλουτισμός ουρανίου ή παραβιαστούν καίριες δεσμεύσεις , πρόκειται να παράσχει η ΕΕ.
#goldHeads=27,1,2,1,4,7,5,7,10,8,8,11,12,15,27,20,18,16,18,15,20,23,21,25,0,27,25,29,27,
#predictedHeads=0,1,2,20,4,7,5,7,10,7,10,11,12,15,25,15,18,16,18,25,20,23,21,25,0,27,25,29,27,
(0,1),0.337267 # DEPENDENCYPART_ARC
(0,2),-0.379471 # DEPENDENCYPART_ARC
(0,3),-0.358765 # DEPENDENCYPART_ARC
(0,4),-0.805967 # DEPENDENCYPART_ARC
(0,5),-0.578377 # DEPENDENCYPART_ARC
(0,8),-0.821976 # DEPENDENCYPART_ARC
(0,10),-0.742108 # DEPENDENCYPART_ARC
(0,13),-0.793071 # DEPENDENCYPART_ARC
(0,14),-0.126152 # DEPENDENCYPART_ARC
(0,15),-0.139948 # DEPENDENCYPART_ARC
(0,16),0.245797 # DEPENDENCYPART_ARC
(0,18),-1.09372 # DEPENDENCYPART_ARC
(0,20),-1.19369 # DEPENDENCYPART_ARC
(0,21),-0.1924 # DEPENDENCYPART_ARC
(0,23),-1.06203 # DEPENDENCYPART_ARC
(0,25),0.158078 # DEPENDENCYPART_ARC
(0,27),-0.445075 # DEPENDENCYPART_ARC
(0,29),-0.891661 # DEPENDENCYPART_ARC
(1,2),0.502839 # DEPENDENCYPART_ARC
(1,3),-0.141856 # DEPENDENCYPART_ARC
(1,4),-0.299429 # DEPENDENCYPART_ARC
(1,5),-0.0878203 # DEPENDENCYPART_ARC
(1,11),-0.247466 # DEPENDENCYPART_ARC
(1,20),-0.365139 # DEPENDENCYPART_ARC
(2,3),0.998636 # DEPENDENCYPART_ARC
(2,5),-0.509833 # DEPENDENCYPART_ARC
(3,1),-0.558594 # DEPENDENCYPART_ARC
(3,7),-0.810424 # DEPENDENCYPART_ARC
(4,1),-0.993894 # DEPENDENCYPART_ARC
(4,2),-0.469784 # DEPENDENCYPART_ARC
(4,3),0.154635 # DEPENDENCYPART_ARC
(4,5),1.04348 # DEPENDENCYPART_ARC
(4,7),-0.241166 # DEPENDENCYPART_ARC
(4,8),-0.0331219 # DEPENDENCYPART_ARC
(4,12),-0.703353 # DEPENDENCYPART_ARC
(4,14),-0.169228 # DEPENDENCYPART_ARC
(4,16),-0.657085 # DEPENDENCYPART_ARC
(4,27),-0.955244 # DEPENDENCYPART_ARC
(5,4),-0.407749 # DEPENDENCYPART_ARC
(5,6),-0.081729 # DEPENDENCYPART_ARC
(5,7),1.05982 # DEPENDENCYPART_ARC
(5,8),-0.012964 # DEPENDENCYPART_ARC
(5,12),-0.984317 # DEPENDENCYPART_ARC
(5,14),-0.570341 # DEPENDENCYPART_ARC
(5,15),-0.502171 # DEPENDENCYPART_ARC
(5,24),-0.92693 # DEPENDENCYPART_ARC
(6,8),-0.888306 # DEPENDENCYPART_ARC
(7,5),-0.786468 # DEPENDENCYPART_ARC
(7,6),2.06367 # DEPENDENCYPART_ARC
(7,8),2.11795 # DEPENDENCYPART_ARC
(7,9),-0.289982 # DEPENDENCYPART_ARC
(7,10),-0.131867 # DEPENDENCYPART_ARC
